search URL:,https://patents.google.com/?assignee=ACADIA+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7485651-B2,Compounds with activity on muscarinic receptors ,"Acadia Pharmaceuticals, Inc.","Mark Brann, Terri Messier, Erika Currier, Kate Duggento, Tracy Spalding, Mikael Friberg, Niels Skjaerbaek",1998-03-31,2003-01-07,2009-02-03,2009-02-03,https://patents.google.com/patent/US7485651B2/en,
US-5912132-A,Identification of ligands by selective amplification of cells transfected with receptors ,"Acadia Pharmaceuticals, Inc.",Mark Robert Brann,1993-07-13,1997-10-20,1999-06-15,1999-06-15,https://patents.google.com/patent/US5912132A/en,https://patentimages.storage.googleapis.com/8d/f1/5e/e59a7ec9e0886d/US5912132-drawings-page-2.png
US-7550454-B2,"Amino substituted diaryl[a,d]cycloheptene analogs as muscarinic agonists and methods of treatment of neuropsychiatric disorders ","Acadia Pharmaceuticals, Inc.","Fredrik Ek, Roger Olsson, Jörgen Ohlsson",2003-12-22,2004-12-21,2009-06-23,2009-06-23,https://patents.google.com/patent/US7550454B2/en,
US-6627645-B2,Muscarinic agonists ,"Acadia Pharmaceuticals, Inc.","Carl-Magnus A. Andersson, Bo Lennart M. Friberg, Niels Skjaerbaek, Tracy A. Spalding, Allan K. Uldam",2000-04-28,2001-04-27,2003-09-30,2003-09-30,https://patents.google.com/patent/US6627645B2/en,
US-6911452-B2,Spiroazacyclic compounds as monoamine receptor modulators ,Acadia Pharmaceuticals Inc.,Nathalie Schlienger,2001-12-28,2002-12-23,2005-06-28,2005-06-28,https://patents.google.com/patent/US6911452B2/en,https://patentimages.storage.googleapis.com/7e/0a/ec/91ea1c748c11ae/US06911452-20050628-D00001.png
AU-2005202257-B2,Azacyclic compounds for use in the treatment of serotonin related diseases ,Acadia Pharmaceuticals Inc.,"Carl Magnus Andersson, Glenn Croston, E.L. Hansen, Allan K. Uldam",2000-03-06,2005-05-24,2009-06-18,2009-06-18,https://patents.google.com/patent/AU2005202257B2/en,
US-7732615-B2,N-(4-fluorobenzyl)-N-(1-methylpiperidin-4-yl)-N′-(4-(2-methylpropyloxy)phenylmethyl)carbamide and its tartrate salt and crystalline forms ,Acadia Pharmaceuticals Inc.,"Mikkel Boas Thygesen, Nathalie Schlienger, Bo-Ragnar Tolf, Carl-Magnus A. Andersson, Fritz Blatter, Jörg Berghausen",2004-09-27,2005-09-26,2010-06-08,2010-06-08,https://patents.google.com/patent/US7732615B2/en,https://patentimages.storage.googleapis.com/18/02/5b/6bea52637ba7e4/US07732615-20100608-D00001.png
US-7659285-B2,Selective serotonin 2A/2C receptor inverse agonists as therapeutics for neurodegenerative diseases ,"Acadia Pharmaceuticals, Inc.","David M. Weiner, Robert E. Davis, Mark R. Brann, Carl-Magnus A. Andersson, Allan K. Uldam",2003-01-16,2006-05-03,2010-02-09,2010-02-09,https://patents.google.com/patent/US7659285B2/en,
CA-2326804-C,Compounds with activity on muscarinic receptors ,"Acadia Pharmaceuticals Inc., Mark Robert Brann, Terri Messier, Erika Anne Currier, Katharan Lauri Duggento, Mikael Friberg, Niels Skjaerbaek, Tracy Spalding","Mark Robert Brann, Terri Messier, Erika Anne Currier, Katharan Lauri Duggento, Mikael Friberg, Niels Skjaerbaek, Tracy Spalding",1998-03-31,1999-03-31,2006-05-02,2006-05-02,https://patents.google.com/patent/CA2326804C/en,
US-7863296-B2,Selective serotonin receptor inverse agonists as therapeutics for disease ,"Acadia Pharmaceuticals, Inc.","David M. Weiner, Robert E. Davis, Mark R. Brann, Norman Nash",2004-05-21,2005-05-20,2011-01-04,2011-01-04,https://patents.google.com/patent/US7863296B2/en,
