search URL:,https://patents.google.com/?assignee=ACCELERON+PHARMA+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7560541-B2,Heart20049410 full-length cDNA and polypeptides ,"Acceleron Pharma, Inc.","Takao Isogai, Tomoyasu Sugiyama, Tetsuji Otsuki, Ai Wakamatsu, Hiroyuki Sato, Shizuko Ishii, Jun-Ichi Yamamoto, Yuuko Isono, Yuri Hio, Kaoru Otsuka, Keiichi Nagai, Ryotaro Irie, Ichiro Tamechika, Naohiko Seki, Tsutomu Yoshikawa, Motoyuki Otsuka, Kenji Nagahari, Yasuhiko Masuho",2002-03-22,2007-06-25,2009-07-14,2009-07-14,https://patents.google.com/patent/US7560541B2/en,https://patentimages.storage.googleapis.com/US7560541B2/US07560541-20090714-D00001.png
EP-1771470-B1,"Actrii receptor polypeptides, methods and compositions ",Acceleron Pharma Inc.,"John Knopf, Jasbir Seehra",2004-07-23,2005-07-25,2013-06-26,2013-06-26,https://patents.google.com/patent/EP1771470B1/en,https://patentimages.storage.googleapis.com/43/1f/7f/213f679f4863e9/imgf0001.png
EP-2125884-B1,Variants derived from actriib and uses therefor ,"Acceleron Pharma, Inc.","John Knopf, Ravindra Kumar, Jasbir Seehra",2007-02-02,2008-02-04,2014-07-09,2014-07-09,https://patents.google.com/patent/EP2125884B1/en,https://patentimages.storage.googleapis.com/da/6c/40/de7ab02e763605/imgf0001.png
US-7988973-B2,Activin-ActRII antagonists and uses for increasing red blood cell levels ,Acceleron Pharma Inc.,Matthew L. Sherman,2006-12-18,2007-12-18,2011-08-02,2011-08-02,https://patents.google.com/patent/US7988973B2/en,https://patentimages.storage.googleapis.com/2d/08/b2/13ca4d49f0b103/US07988973-20110802-D00001.png
US-9505813-B2,Use of GDF traps to treat anemia ,Acceleron Pharma Inc.,"Jasbir Seehra, Robert Scott Pearsall, Ravindra Kumar",2008-08-14,2013-01-25,2016-11-29,2016-11-29,https://patents.google.com/patent/US9505813B2/en,https://patentimages.storage.googleapis.com/c0/c1/b0/cbdda6e2e4c95a/US09505813-20161129-D00001.png
US-10071135-B2,Method of identifying an agent that promotes bone growth or increases bone density ,Acceleron Pharma Inc.,"John Knopf, Jasbir Seehra",2005-11-23,2015-09-09,2018-09-11,2018-09-11,https://patents.google.com/patent/US10071135B2/en,https://patentimages.storage.googleapis.com/37/e8/c9/89546bb16fb0e8/US10071135-20180911-D00001.png
US-8703927-B2,Isolated nucleotide sequences encoding GDF traps ,Acceleron Pharma Inc.,"Jasbir Seehra, Robert Scott Pearsall, Ravindra Kumar",2008-08-14,2012-07-05,2014-04-22,2014-04-22,https://patents.google.com/patent/US8703927B2/en,https://patentimages.storage.googleapis.com/26/33/8b/df0b1a5251c4c2/US08703927-20140422-D00001.png
US-8178488-B2,Methods for increasing thermogenic adipocytes ,"Acceleron Pharma, Inc.","John Knopf, Jasbir Seehra, Ravindra Kumar",2009-06-08,2010-06-08,2012-05-15,2012-05-15,https://patents.google.com/patent/US8178488B2/en,https://patentimages.storage.googleapis.com/3e/e7/2d/114f11b0b729f6/US08178488-20120515-D00001.png
US-2009042780-A1,Modified TGF-Beta Superfamily Polypeptides and Related Methods ,Acceleron Pharma Inc,"John Knopf, Jasbir Seehra",2004-05-20,2005-05-20,2009-02-12,,https://patents.google.com/patent/US20090042780A1/en,
US-9353356-B2,Activin-actriia antagonists for treating a follicle-stimulating horomone-secreting pituitary tumor ,Acceleron Pharma Inc.,"John Knopf, Jasbir Seehra, Matthew L. Sherman",2007-09-18,2013-01-30,2016-05-31,2016-05-31,https://patents.google.com/patent/US9353356B2/en,https://patentimages.storage.googleapis.com/49/60/bb/355770c3fc5b21/US09353356-20160531-D00001.png
US-8138142-B2,Methods for increasing adiponectin in a patient in need thereof ,Acceleron Pharma Inc.,"Jasbir Seehra, Ravindra Kumar, Jennifer Lachey, Alan Koncarevic",2009-01-13,2010-01-13,2012-03-20,2012-03-20,https://patents.google.com/patent/US8138142B2/en,https://patentimages.storage.googleapis.com/7d/3b/47/f274d9c54e9e47/US08138142-20120320-D00001.png
EP-2303918-B1,SOLUBLE ACTRIIa AS ACTIVIN-ACTRIIA ANTAGONIST FOR USE IN TREATING ANEMIA ,"Acceleron Pharma, Inc.","Matthew L. Sherman, Niels Borgstein",2008-06-26,2009-06-26,2018-09-05,2018-09-05,https://patents.google.com/patent/EP2303918B1/en,https://patentimages.storage.googleapis.com/1c/c5/e4/fe0ea7d603d267/imgf0001.png
US-8772234-B2,BMP10 propeptides and related methods ,"Acceleron Pharma, Inc.","Jasbir Seehra, John Knopf",2004-05-12,2012-04-09,2014-07-08,2014-07-08,https://patents.google.com/patent/US8772234B2/en,https://patentimages.storage.googleapis.com/32/0d/21/32329ca3a19339/US08772234-20140708-D00001.png
US-8293881-B2,Isolated nucleic acid encoding a truncated ActRIIB fusion protein ,Acceleron Pharma Inc.,"Jasbir Seehra, Ravindra Kumar",2009-06-12,2010-06-08,2012-10-23,2012-10-23,https://patents.google.com/patent/US8293881B2/en,https://patentimages.storage.googleapis.com/1e/39/87/6aea910c64857d/US08293881-20121023-D00001.png
US-10093707-B2,Antagonists of activin-ActRIIa and uses for increasing red blood cell levels ,Acceleron Pharma Inc.,"Matthew L. Sherman, Jasbir Seehra, Niels Borgstein",2006-12-18,2014-11-20,2018-10-09,2018-10-09,https://patents.google.com/patent/US10093707B2/en,https://patentimages.storage.googleapis.com/07/64/97/f8c70173ad022a/US10093707-20181009-D00001.png
AU-2008211007-B2,Activin-ActRIIa antagonists and uses for treating or preventing breast cancer ,Acceleron Pharma Inc.,"John Knopf, Ravindra Kumar, Jasbir Seehra",2007-02-01,2008-02-01,2013-09-19,2013-09-19,https://patents.google.com/patent/AU2008211007B2/en,
EP-2501400-B1,Actriib proteins and variants and uses therefore relating to utrophin induction for muscular dystrophy therapy ,"Acceleron Pharma, Inc.","Jasbir Seehra, Jennifer Lachey",2009-11-17,2010-11-17,2017-11-01,2017-11-01,https://patents.google.com/patent/EP2501400B1/en,https://patentimages.storage.googleapis.com/72/0a/7e/1e5ae81a74488d/imgf0001.png
AU-2017201580-B2,Methods and compositions for treating ineffective erythropoiesis ,"Acceleron Pharma, Inc.","Ravindra Kumar, Robert Scott Pearsall, Jasbir Seehra, Naga Venkata Sai Rajasekhar Suragani",2011-10-17,2017-03-08,2018-07-12,2018-07-12,https://patents.google.com/patent/AU2017201580B2/en,
EP-3117829-A1,Combined use of gdf traps and erythropoietin receptor activators to increase red blood cell levels ,Acceleron Pharma Inc.,"Jasbir Seehra, Robert Scott Pearsall, Ravindra Kumar",2009-08-13,2010-08-13,2017-01-18,,https://patents.google.com/patent/EP3117829A1/en,https://patentimages.storage.googleapis.com/6b/ea/d5/2a9828bee0ba45/imgf0001.png
AU-2008216896-B2,Activin-actriia antagonists and uses for promoting bone growth in cancer patients ,Acceleron Pharma Inc.,"John Knopf, Ravindra Kumar, Jasbir Seehra",2007-02-09,2008-02-01,2013-06-20,2013-06-20,https://patents.google.com/patent/AU2008216896B2/en,
ES-2613523-T3,Antagonists ActRIIB and dosage and uses thereof ,"Acceleron Pharma, Inc.","Jasbir Seehra, John Knopf, Ken Attie",2009-09-09,2010-09-09,2017-05-24,2017-05-24,https://patents.google.com/patent/ES2613523T3/en,
US-2010028332-A1,Antagonists of actriib and uses for increasing red blood cell levels ,Acceleron Pharma Inc.,"Matthew L. Sherman, Jasbir Seehra, Niels Borgstein",2006-12-18,2009-06-26,2010-02-04,,https://patents.google.com/patent/US20100028332A1/en,
US-7625867-B2,BMP-3 propeptides and related methods ,Acceleron Pharma Inc.,"John Knopf, Jabir Seehra",2004-03-26,2005-03-28,2009-12-01,2009-12-01,https://patents.google.com/patent/US7625867B2/en,https://patentimages.storage.googleapis.com/US7625867B2/US07625867-20091201-D00001.png
CA-2729098-C,Antagonists of activin-actriia and uses for increasing red blood cell levels ,"Acceleron Pharma Inc., Matthew L. Sherman, Jasbir Seehra, Niels Borgstein","Matthew L. Sherman, Jasbir Seehra, Niels Borgstein",2008-06-26,2009-06-26,2018-02-13,2018-02-13,https://patents.google.com/patent/CA2729098C/en,
WO-2013063536-A1,Actriib binding agents and uses thereof ,"Acceleron Pharma, Inc.","Ravindra Kumar, Asya Grinberg, Monique Davies, Diana MARTIK, Janja COSIC, Rachel KENT, David Buckler",2011-10-27,2012-10-27,2013-05-02,,https://patents.google.com/patent/WO2013063536A1/en,
AU-2017200612-B2,Methods for treating fatty liver disease ,Acceleron Pharma Inc.,"Alan Koncarevic, Jennifer Lachey, Jasbir Seehra, Matthew L. Sherman",2009-11-03,2017-01-31,2019-04-18,2019-04-18,https://patents.google.com/patent/AU2017200612B2/en,
US-10239940-B2,Method of promoting bone growth by an anti-actriia antibody ,Acceleron Pharma Inc.,"John Knopf, Jasbir Seehra",2005-11-23,2016-09-28,2019-03-26,2019-03-26,https://patents.google.com/patent/US10239940B2/en,https://patentimages.storage.googleapis.com/2b/23/3e/5e041696e6ce84/US10239940-20190326-D00001.png
