search URL:,https://patents.google.com/?assignee=ACCENTIA+BIOPHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2012100162-A1,Cyclophosphamide in Combination with Immune Therapeutics ,"Accentia Biopharmaceuticals, Inc., The Johns Hopkins University","Robert A. Brodsky, Richard J. Jones, Richard F. Ambinder",2006-09-15,2011-09-14,2012-04-26,,https://patents.google.com/patent/US20120100162A1/en,
US-2012128685-A1,Use of high-dose oxazaphosphorine drugs in combination with monoclonal antibodies for treating immune disorders ,"Accentia Biopharmaceuticals, Inc., The Johns Hopkins University","Robert A. Brodsky, Richard J. Jones, Francis E. O'Donnell, Jr., Susan Bonitz, Carlos Santos, Adam Kaplin",2006-11-03,2011-09-22,2012-05-24,,https://patents.google.com/patent/US20120128685A1/en,
US-9026372-B2,Methods for providing a system of care for a high-dose oxazaphosphorine drug regimen ,"Accentia Biopharmaceuticals, Inc.","Francis O'Donnell, JR., Carlos Santos",2007-11-21,2010-05-27,2015-05-05,2015-05-05,https://patents.google.com/patent/US9026372B2/en,https://patentimages.storage.googleapis.com/c0/1e/0e/1798766db94b91/US09026372-20150505-D00001.png
US-2012148577-A1,"Use of high-dose, post-transplantation oxazaphosphorine drugs for reduction of transplant rejection ","Accentia Biopharmaceuticals, Inc., Johns Hopkins University","Ephraim J. Fuchs, Leo Luznik, Robert A. Brodsky, Richard J. Jones, Francis E. O'Donnell, Jr., Carlos Santos, Susan Bonitz",2008-01-22,2011-10-13,2012-06-14,,https://patents.google.com/patent/US20120148577A1/en,https://patentimages.storage.googleapis.com/61/a1/ed/44bc1f0ea8f1d0/US20120148577A1-20120614-D00001.png
US-8673321-B2,Cyclophosphamide in combination with anti-idiotypic vaccines ,"The Johns Hopkins University, Accentia Biopharmaceuticals, Inc.","Robert A. Brodsky, Richard J. Jones, Francis E. O'Donnell, Jr., Susan Bonitz, Carlos Santos",2006-09-15,2011-09-12,2014-03-18,2014-03-18,https://patents.google.com/patent/US8673321B2/en,
US-2011097426-A1,Methods for Safe and Effective Treatment Using Oxazaphosphorine Drugs ,"Accentia Biopharmaceuticals, Inc.","Francis O'Donnell, JR., Carlos Santos",2007-11-21,2010-05-21,2011-04-28,,https://patents.google.com/patent/US20110097426A1/en,https://patentimages.storage.googleapis.com/a7/6d/c8/58e0c1d65e3147/US20110097426A1-20110428-D00000.png
US-9279803-B2,Method of identifying patients not suitable for high-dose cyclophosphamide treatment ,"The Johns Hopkins University, Accentia Biopharmaceuticals, Inc.","Robert A. Brodsky, Richard J. Jones, Francis E. O'Donnell, Jr., Susan Bonitz, Adam Kaplin, Carlos Santos",2006-09-15,2011-09-22,2016-03-08,2016-03-08,https://patents.google.com/patent/US9279803B2/en,
US-2009258000-A1,Mucosally non-irritative amphotericin b formulations and methods for treating non-invasive fungus-induced mucositis ,"Accentia Biopharmaceuticals, Inc.","Francis E. O'Donnell, Jr., Donald Deroo",2006-10-03,2009-03-31,2009-10-15,,https://patents.google.com/patent/US20090258000A1/en,
US-2008131420-A1,Methods and compositions for treating mucosal inflammation ,"Accentia, Inc.",Francis E. O'Donnell,2006-07-13,2007-07-13,2008-06-05,,https://patents.google.com/patent/US20080131420A1/en,
US-8211460-B2,"Formulations, devices and methods for treating and preventing mucositis ","Accentia Biopharmaceuticals, Inc.","Francis E. O'Donnell, Jr., Angelos M. Stergiou",2008-04-02,2009-08-03,2012-07-03,2012-07-03,https://patents.google.com/patent/US8211460B2/en,https://patentimages.storage.googleapis.com/99/11/2c/dcd5a08ddc3f89/US08211460-20120703-D00001.png
WO-2009102814-A3,Mucosally non-irritative liquid amphotericin b formulations and methods for treating non-invasive fungus-induced mucositis ,"Accentia Biopharmaceuticals, Inc.","Francis E. O'donnell, Donald Deroo",2008-02-11,2009-02-11,2009-12-03,,https://patents.google.com/patent/WO2009102814A3/en,
