search URL:,https://patents.google.com/?assignee=ACELRX+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CA-2636115-C,Drug storage and dispensing devices and systems comprising the same ,"Acelrx Pharmaceuticals, Inc., Andrew I. Poutiatine, Charles Rampersaud, Thomas Schreck, William Kolosi, Sascha Retailleau","Andrew I. Poutiatine, Charles Rampersaud, Thomas Schreck, William Kolosi, Sascha Retailleau",2006-01-06,2007-01-08,2014-06-03,2014-06-03,https://patents.google.com/patent/CA2636115C/en,
EP-2099406-B1,Storage and dispensing devices for administration of oral transmucosal dosage forms ,"Acelrx Pharmaceuticals, Inc.","Andrew I. Poutiatine, Charles Rampersaud, Bruce Edwards, Edmond Chiu, Stelios Tzannis, Pamela Palmer, William Kolosi",2007-01-05,2007-12-28,2014-07-30,2014-07-30,https://patents.google.com/patent/EP2099406B1/en,https://patentimages.storage.googleapis.com/f3/9e/ba/ea6cbdd706254f/imgf0001.png
US-8548623-B2,Storage and dispensing devices for administration of oral transmucosal dosage forms ,"Acelrx Pharmaceuticals, Inc.","Andrew Poutiatine, Bruce Edwards, Charles Rampersaud, Pamela Palmer, Bradley Blackwood, Benjamin K. Yaffe",2009-03-18,2010-03-16,2013-10-01,2013-10-01,https://patents.google.com/patent/US8548623B2/en,https://patentimages.storage.googleapis.com/12/3e/69/92d5c2a4cbbdf1/US08548623-20131001-D00000.png
US-9642996-B2,Methods and apparatus for administering small volume oral transmucosal dosage forms ,"Acelrx Pharmaceuticals, Inc.","Pamela Palmer, Andrew Poutiatine, Charles Rampersaud, Bruce Edwards, Edmond Chiu, Thomas Schreck, Stelios Tzannis, Lawrence Hamel, William Kolosi, Sascha Retailleau",2006-01-06,2014-06-16,2017-05-09,2017-05-09,https://patents.google.com/patent/US9642996B2/en,https://patentimages.storage.googleapis.com/70/c8/f7/5f696fff9e1a8e/US09642996-20170509-D00000.png
US-2007260491-A1,System for delivery and monitoring of administration of controlled substances ,"Pamela Palmer, Thomas Schreck, Poutiatine Andrew I","Pamela Palmer, Thomas Schreck, Andrew Poutiatine",2006-05-08,2006-05-08,2007-11-08,,https://patents.google.com/patent/US20070260491A1/en,https://patentimages.storage.googleapis.com/00/3c/50/fd8270faa6de79/US20070260491A1-20071108-D00001.png
US-8252328-B2,Bioadhesive drug formulations for oral transmucosal delivery ,"Acelrx Pharmaceuticals, Inc.","Stelios Tzannis, Pamela Palmer, Thomas Schreck, Larry Hamel, Andrew I. Poutiatine",2006-01-06,2007-01-05,2012-08-28,2012-08-28,https://patents.google.com/patent/US8252328B2/en,https://patentimages.storage.googleapis.com/5b/56/d7/2d9dc6d6a4b024/US08252328-20120828-D00000.png
US-8252329-B2,Bioadhesive drug formulations for oral transmucosal delivery ,"Acelrx Pharmaceuticals, Inc.","Stelios Tzannis, Larry Hamel, Pamela Palmer, Thomas Schreck, Andrew I. Poutiatine",2007-01-05,2007-07-03,2012-08-28,2012-08-28,https://patents.google.com/patent/US8252329B2/en,https://patentimages.storage.googleapis.com/9f/e5/4d/201552b3cf0a11/US08252329-20120828-D00000.png
US-9289583-B2,Methods for administering small volume oral transmucosal dosage forms using a dispensing device ,"Acelrx Pharmaceuticals, Inc.","Pamela Palmer, Andrew I Poutiatine, Charles Rampersaud, Bruce Edwards, Edmond Chiu, Thomas Schreck, Stelios Tzannis, Larry Hamel",2006-01-06,2007-10-30,2016-03-22,2016-03-22,https://patents.google.com/patent/US9289583B2/en,https://patentimages.storage.googleapis.com/c7/e9/81/86d6f72dad115e/US09289583-20160322-D00000.png
US-2007299687-A1,Inpatient system for patient-controlled delivery of oral transmucosal medications dosed as needed ,"Pamela Palmer, Poutiatine Andrew I, Thomas Schreck","Pamela Palmer, Andrew I. Poutiatine, Thomas Schreck",2006-06-23,2006-06-23,2007-12-27,,https://patents.google.com/patent/US20070299687A1/en,https://patentimages.storage.googleapis.com/US20070299687A1/US20070299687A1-20071227-D00000.png
US-2009131479-A1,Small-volume oral transmucosal dosage ,"Acelrx Pharmaceuticals, Inc.","Pamela Palmer, Thomas Schreck, Stelios Tzannis, Larry Hamel, Andrew I. Poutiatine",2006-01-06,2007-10-11,2009-05-21,,https://patents.google.com/patent/US20090131479A1/en,
US-2008268023-A1,Small volume oral transmucosal dosage forms containing sufentanil for treatment of pain ,"Acelrx Pharmaceuticals, Inc.","Pamela Palmer, Thomas Schreck, Stelios Tzannis, Larry Hamel, Andrew I. Poutiatine, Charles Rampersaud, Bruce Edwards",2006-01-06,2007-11-14,2008-10-30,,https://patents.google.com/patent/US20080268023A1/en,
ES-2635137-T3,Transmucosal oral dosage forms comprising sufentanil and triazolam that ,"Acelrx Pharmaceuticals, Inc.","Pamela Palmer, Stelios Tzannis, Thomas Schreck",2007-08-07,2008-08-07,2017-10-02,2017-10-02,https://patents.google.com/patent/ES2635137T3/en,
