search URL:,https://patents.google.com/?assignee=ACHAOGEN+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-2170814-B1,Antibacterial agents ,"Achaogen, Inc.","Heinz Moser, Qing Lu, Phillip A. Patten, Dan Wang, Ramesh Kasar, Stephen Kaldor, Brian D. Patterson",2007-06-12,2008-06-12,2016-08-17,2016-08-17,https://patents.google.com/patent/EP2170814B1/en,
US-7455840-B2,Compositions and methods to reduce mutagenesis ,"The Scripps Research Institute, Achaogen, Inc.","Floyd Romesberg, Nathaniel E. David, Ryan Cirz",2003-11-19,2004-11-19,2008-11-25,2008-11-25,https://patents.google.com/patent/US7455840B2/en,https://patentimages.storage.googleapis.com/43/2d/86/00a8e4c9982c33/US07455840-20081125-D00004.png
US-2012214759-A1,Treatment of klebsiella pneumoniae infections with antibacterial aminoglycoside compounds ,"Achaogen, Inc.","Jon B. Bruss, George H. Miller, James Bradley Aggen, Eliana Saxon Armstrong",2009-05-14,2011-11-11,2012-08-23,,https://patents.google.com/patent/US20120214759A1/en,https://patentimages.storage.googleapis.com/ff/d6/a4/16b7878f302e15/US20120214759A1-20120823-D00000.png
AU-2008326297-B2,Antibacterial aminoglycoside analogs ,"Achaogen, Inc.","James Aggen, Paola Dozzo, Micah Gliedt, Adam Aaron Goldblum, Darin Hildebrandt, Martin Linsell, Heinz Ernst Moser",2007-11-21,2008-11-21,2012-11-08,2012-11-08,https://patents.google.com/patent/AU2008326297B2/en,
US-2008300199-A1,"Antibacterial 1,4,5-substituted aminoglycoside analogs ",Achaogen Inc.,"Martin Linsell, Adam Aaron Goldblum, James Aggen, Heinz Ernst Moser, Stephen Hanessian, Kandasamy Pachamuthu, Ellen Klegraf",2007-04-10,2008-04-10,2008-12-04,,https://patents.google.com/patent/US20080300199A1/en,
US-2012214760-A1,Treatment of urinary tract infections with antibacterial aminoglycoside compounds ,"Achaogen, Inc.","Jon B. Bruss, George H. Miller, James Bradley Aggen, Eliana Saxon Armstrong",2009-05-14,2011-11-11,2012-08-23,,https://patents.google.com/patent/US20120214760A1/en,https://patentimages.storage.googleapis.com/e0/2a/b0/02635b20b9b938/US20120214760A1-20120823-D00001.png
US-2006286574-A1,Compositions and methods for enhancing drug sensitivity and treating drug resistant infections and diseases ,"The Scripps Research Institute & Achaogen, Inc., Achaogen Inc.","Floyd Romesberg, Ryan Cirz, Philip Patten",2005-04-05,2006-04-05,2006-12-21,,https://patents.google.com/patent/US20060286574A1/en,https://patentimages.storage.googleapis.com/0b/b7/ee/c30418ce99b103/US20060286574A1-20061221-D00001.png
US-9701622-B2,Antibacterial agents ,"Achaogen, Inc.","Brian D. Patterson, Qing Lu, James Bradley Aggen, Paola Dozzo, Ramesh Annasaheb Kasar, Martin Sheringham linsell, Timothy Robert Kane, Micah James Gliedt, Darin James Hildebrandt, Glenn A. McEnroe, Frederick Cohen",2012-05-10,2016-06-10,2017-07-11,2017-07-11,https://patents.google.com/patent/US9701622B2/en,
US-2012208781-A1,Aminoglycoside dosing regimens ,"Achaogen, Inc.","Jon B. Bruss, Corwin F. Kostrub, Eliana Saxon Armstrong, Robert T. Cass, George H. Miller, James Bradley Aggen, Adam Aaron Goldblum, Paola Dozzo, Martin Sheringham linsell",2009-05-14,2011-11-11,2012-08-16,,https://patents.google.com/patent/US20120208781A1/en,https://patentimages.storage.googleapis.com/97/c2/a7/c80750dc52d0cc/US20120208781A1-20120816-D00001.png
US-2012196791-A1,Combination therapies using antibacterial aminoglycoside compounds ,"Achaogen, Inc.","Eliana Saxon Armstrong, Jon B. Bruss",2009-06-17,2011-12-15,2012-08-02,,https://patents.google.com/patent/US20120196791A1/en,
US-2011275586-A1,Antibacterial aminoglycoside analogs ,"Achaogen, Inc.","James Bradley Aggen, Martin Sheringham linsell, Adam Aaron Goldblum, Darin James Hildebrandt, Timothy Robert Kane, Paola Dozzo, Micah James Gliedt, Stephen Hanessian, Alexandre Giguère, Justyna Grzyb, Juan Pablo Maianti",2008-09-10,2011-03-09,2011-11-10,,https://patents.google.com/patent/US20110275586A1/en,
US-8524689-B2,Antibacterial aminoglycoside analogs ,"Achaogen, Inc.","Adam Aaron Goldblum, Paola Dozzo, James Bradley Aggen, Martin Sheringham linsell",2009-05-15,2011-11-14,2013-09-03,2013-09-03,https://patents.google.com/patent/US8524689B2/en,
US-8481502-B2,Antibacterial aminoglycoside analogs ,"Achaogen, Inc.","James Bradley Aggen, Paola Dozzo, Adam Aaron Goldblum, Darin James Hildebrandt, Timothy Robert Kane, Micah James Gliedt, Martin Sheringham linsell",2009-10-09,2012-04-06,2013-07-09,2013-07-09,https://patents.google.com/patent/US8481502B2/en,
US-8318685-B2,Antibacterial aminoglycoside analogs ,"Achaogen, Inc.","Adam Aaron Goldblum, Paola Dozzo, Timothy Robert Kane, James Bradley Aggen, Martin Sheringham linsell, Darin James Hildebrandt, Micah James Gliedt",2010-11-17,2011-11-14,2012-11-27,2012-11-27,https://patents.google.com/patent/US8318685B2/en,
US-8658606-B2,Antibacterial aminoglycoside analogs ,"Achaogen, Inc.","Adam Aaron Goldblum, Paola Dozzo, James Bradley Aggen, Martin Sheringham linsell",2009-05-15,2011-11-14,2014-02-25,2014-02-25,https://patents.google.com/patent/US8658606B2/en,
US-8372813-B2,Antibacterial aminoglycoside analogs ,"Achaogen, Inc.","James Bradley Aggen, Martin Sheringham linsell, Adam Aaron Goldblum, Darin James Hildebrandt, Timothy Robert Kane, Paola Dozzo, Micah James Gliedt, Heinz Ernst Moser",2008-10-09,2011-04-07,2013-02-12,2013-02-12,https://patents.google.com/patent/US8372813B2/en,
US-8653042-B2,Antibacterial aminoglycoside analogs ,"Achaogen, Inc.","Paola Dozzo, Adam Aaron Goldblum, James Bradley Aggen, Martin Sheringham linsell",2009-05-15,2011-11-14,2014-02-18,2014-02-18,https://patents.google.com/patent/US8653042B2/en,
US-8367625-B2,Antibacterial aminoglycoside analogs ,"Achaogen, Inc.","James Bradley Aggen, Martin Sheringham linsell, Adam Aaron Goldblum, Darin James Hildebrandt, Timothy Robert Kane, Paola Dozzo, Micah James Gliedt, Heinz Ernst Moser",2008-10-09,2011-04-07,2013-02-05,2013-02-05,https://patents.google.com/patent/US8367625B2/en,
US-8492354-B2,Antibacterial aminoglycoside analogs ,"Achaogen, Inc.","Paola Dozzo, Adam Aaron Goldblum, James Bradley Aggen, Martin Sheringham linsell",2009-05-15,2011-11-14,2013-07-23,2013-07-23,https://patents.google.com/patent/US8492354B2/en,
US-8524675-B2,Antibacterial aminoglycoside analogs ,"Achaogen, Inc.","Paola Dozzo, Adam Aaron Goldblum, James Bradley Aggen, Martin Sheringham linsell",2009-05-15,2011-11-14,2013-09-03,2013-09-03,https://patents.google.com/patent/US8524675B2/en,
WO-2011044538-A9,Antibacterial aminoglycoside analogs ,"Achaogen, Inc.","James Bradley Aggen, Paola Dozzo, Micah James Gliedt, Adam Aaron Goldblum, Darin James Hildebrandt, Timothy Robert Kane, Martin Sheringham Linsell",2009-10-09,2010-10-08,2012-01-05,,https://patents.google.com/patent/WO2011044538A9/en,
US-2012283175-A1,Antibacterial compositions ,"Achaogen, Inc.","Phillip A. Patten, Eliana Saxon Armstrong",2009-05-07,2011-11-04,2012-11-08,,https://patents.google.com/patent/US20120283175A1/en,https://patentimages.storage.googleapis.com/01/25/f6/b385838d6622c1/US20120283175A1-20121108-D00001.png
US-2012283208-A1,Antibacterial aminoglycoside analogs ,"Achaogen, Inc.","James Bradley Aggen, Adam Aaron Goldblum, Paola Dozzo, Darin James Hildebrandt, Timothy Robert Kane, Micah James Gliedt, Martin Sheringham linsell",2009-10-09,2012-04-06,2012-11-08,,https://patents.google.com/patent/US20120283208A1/en,
US-2012283207-A1,Antibacterial aminoglycoside analogs ,"Achaogen, Inc.","Juan Pablo Maianti, James Bradley Aggen, Paola Dozzo, Adam Aaron Goldblum, Martin Sheringham linsell, Stephen Hanessian, Alexandre Giguère, Justyna Grzyb",2009-10-09,2012-04-06,2012-11-08,,https://patents.google.com/patent/US20120283207A1/en,
US-2012283209-A1,Antibacterial aminoglycoside analogs ,"Achaogen, Inc.","Paola Dozzo, Adam Aaron Goldblum, James Bradley Aggen, Martin Sheringham linsell",2009-10-09,2012-04-06,2012-11-08,,https://patents.google.com/patent/US20120283209A1/en,
AU-2011367819-A1,Hydroxamic acid derivatives and their use in the treatment of bacterial infections ,"Achaogen, Inc.","James Bradley Aggen, Tim CHURCH, Ramesh Kasar, Martin Sheringham Linsell, Qing LU (Jane), Heinz E. Moser, Phillip A. Patten, Dan Wang",2010-11-10,2011-11-04,2013-05-02,,https://patents.google.com/patent/AU2011367819A1/en,
US-2015175530-A1,Antibacterial agents ,"Achaogen, Inc.","Brian D. Patterson, Qing Lu, James Bradley Aggen, Paola Dozzo, Ramesh Annasaheb Kasar, Martin Sheringham linsell, Timothy Robert Kane, Micah James Gliedt, Darin James Hildebrandt, Glenn A. McEnroe, Frederick Cohen, Heinz E. Moser",2012-05-09,2014-11-07,2015-06-25,,https://patents.google.com/patent/US20150175530A1/en,
US-8445476-B2,Carbacephem β-lactam antibiotics ,"Achaogen, Inc.","Allan S. Wagman, Heinz E. Moser",2007-10-25,2010-04-21,2013-05-21,2013-05-21,https://patents.google.com/patent/US8445476B2/en,https://patentimages.storage.googleapis.com/e7/da/63/73c39f2522315c/US08445476-20130521-D00001.png
US-2010234031-A1,Method for controlling the operation of the cells of a cellular communication system ,"Vodafone Group Plc, Vodafone Omnitel N.V.",Claudio Lidron,2006-03-29,2007-03-22,2010-09-16,,https://patents.google.com/patent/US20100234031A1/en,https://patentimages.storage.googleapis.com/3c/7a/49/42311635eb51b0/US20100234031A1-20100916-D00000.png
