search URL:,https://patents.google.com/?assignee=ACHILLION+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8088806-B2,Thiazole compounds and methods of use ,"Achillion Pharmaceuticals, Inc.","Suoming Zhang, Avinash Phadke, Cuixian Liu, Xiangzhu Wang, Jesse Quinn, Dawei Chen, Venkat Gadhachanda, Shouming Li, Milind Deshpande",2005-05-09,2006-05-09,2012-01-03,2012-01-03,https://patents.google.com/patent/US8088806B2/en,
CA-2657618-C,4-amino-4-oxobutanoyl peptides as inhibitors of viral replication ,"Achillion Pharmaceuticals, Inc., Avinash Phadke, Xiangzhu Wang, Suoming Zhang, Atul Agarwal","Avinash Phadke, Xiangzhu Wang, Suoming Zhang, Atul Agarwal",2006-07-13,2007-07-13,2016-10-11,2016-10-11,https://patents.google.com/patent/CA2657618C/en,
US-8435984-B2,Tertiary amine substituted peptides useful as inhibitors of HCV replication ,"Achillion Pharmaceuticals, Inc.","Atul Agarwal, Xiangzhu Wang, Dawei Chen, Suoming Zhang, Avinash Phadke",2007-02-26,2008-02-26,2013-05-07,2013-05-07,https://patents.google.com/patent/US8435984B2/en,
US-7094807-B2,Substituted aryl thioureas and related compounds; inhibitors of viral replication ,"Achillion Pharmaceuticals, Inc.","Dawei Chen, Milind Deshpande, Andrew Thurkauf, Avinash Phadke, Xiangzhu Wang, Yiping Shen, Cuixian Liu, Jesse Quinn, Junko Ohkanda, Shouming Li",2002-11-19,2003-11-18,2006-08-22,2006-08-22,https://patents.google.com/patent/US7094807B2/en,https://patentimages.storage.googleapis.com/a8/67/e6/31132a8c46456f/US07094807-20060822-D00001.png
US-2008207760-A1,Pharmaceutical Compositions For and Methods of Inhibiting Hcv ,"Achillion Pharmaceuticals, Inc.",Mingjun Huang,2005-04-11,2006-04-11,2008-08-28,,https://patents.google.com/patent/US20080207760A1/en,
US-2009023730-A1,Substituted aryl acylthioureas and related compounds; inhibitors of viral replication ,Achillion Pharmaceuticals,"Avinash Phadke, Dawei Chen, Milind Deshpande, Andrew Thurkauf, Xiangzhu Wang, Yiping Shen, Cuixian Liu, Jesse Quinn, Junko Ohkanda, Shouming Li",2004-05-18,2008-02-25,2009-01-22,,https://patents.google.com/patent/US20090023730A1/en,
AU-2009324643-B2,New 4-amino-4-oxobutanoyl peptides as inhibitors of viral replication ,"Achillion Pharmaceuticals, Inc.","Atul Agarwal, Dawei Chen, Milind Deshpande, Venkat Gadhachanda, Akihiro Hashimoto, Ha Young Kim, Shouming Li, Cuixian Liu, Godwin Pais, Avinash Phadke, Xiangzhu Wang, Suoming Zhang",2008-12-10,2009-12-10,2014-08-28,2014-08-28,https://patents.google.com/patent/AU2009324643B2/en,
AU-2005204369-B2,Azabenzofuran substituted thioureas as inhibitors of viral replication ,"Achillion Pharmaceuticals, Inc.","Dawei Chen, Milind Deshpande, Shouming Li, Avinash Phadke, Andrew Thurkauf",2004-01-06,2005-01-05,2010-06-10,2010-06-10,https://patents.google.com/patent/AU2005204369B2/en,
US-9447132-B2,Highly active nucleoside derivative for the treatment of HCV ,"Achillion Pharmaceuticals, Inc.","Milind Deshpande, Jason Allan Wiles, Akihiro Hashimoto, Avinash Phadke",2013-04-12,2014-04-14,2016-09-20,2016-09-20,https://patents.google.com/patent/US9447132B2/en,https://patentimages.storage.googleapis.com/9a/f8/76/147db84629e5af/US09447132-20160920-D00001.png
US-2010124545-A1,Cyclic carboxamide compounds and analogues thereof as of hepatitis c virus ,"Achillion Pharmaceuticals, Inc.","Suoming Zhang, Avinash Phadke, Milind Deshpande, Venkat Gadhachanda",2008-11-20,2009-11-20,2010-05-20,,https://patents.google.com/patent/US20100124545A1/en,
US-2007213301-A1,Substituted Aminothiazole Derivatives With Anti-HCV Activity ,"Achillion Pharmaceuticals, Inc.","Souming Zhang, Xiangzhu Wang, Cuixian Liu, Avinash Phadke",2006-03-08,2007-03-08,2007-09-13,,https://patents.google.com/patent/US20070213301A1/en,
