search URL:,https://patents.google.com/?assignee=ACLARIS+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7381427-B2,Seborrheic keratosis treatment ,Mickey Miller,"Margaret Ancira, Mickey Miller",2001-02-09,2003-10-09,2008-06-03,2008-06-03,https://patents.google.com/patent/US7381427B2/en,https://patentimages.storage.googleapis.com/US7381427B2/US07381427-20080603-D00001.png
US-2012177585-A1,Compositions and methods for treating purpura ,"Allergan, Inc.","Stuart D. Shanler, Andrew Ondo",2007-11-16,2012-01-06,2012-07-12,,https://patents.google.com/patent/US20120177585A1/en,
AU-2011336449-B2,Pharmaceutical cream compositions comprising oxymetazoline ,"Aclaris Therapeutics, Inc.","Christopher Powala, Luis Rios, Stuart D. Shanler",2010-12-03,2011-12-01,2016-07-07,2016-07-07,https://patents.google.com/patent/AU2011336449B2/en,
US-9695200-B2,Heterocyclic ITK inhibitors for treating inflammation and cancer ,"Confluence Life Sciences, Inc.","Eric Jon Jacobsen, James Robert Blinn, John Robert Springer, Susan L. Hockerman",2015-01-23,2016-01-25,2017-07-04,2017-07-04,https://patents.google.com/patent/US9695200B2/en,
US-2003008018-A1,Acrochordon alleviation ,"Mickey Miller, Margaret Ancira","Mickey Miller, Margaret Ancira",2001-02-09,2002-02-08,2003-01-09,,https://patents.google.com/patent/US20030008018A1/en,
EP-2675449-B1,Pharmaceutical cream compositions of oxymetazoline for treating symptoms of rosacea ,"Aclaris Therapeutics, Inc.","Stuart D. SHANLER, Christopher Powala",2011-02-15,2012-02-14,2019-04-24,2019-04-24,https://patents.google.com/patent/EP2675449B1/en,https://patentimages.storage.googleapis.com/8e/84/24/6061c94e9c2e8f/imgf0001.png
US-2013079379-A1,Gel compositions of oxymetazoline and methods of use ,"Allergan, Inc.","Stuart D. Shanler, Christopher Powala, Marc Barry Brown, Sian Tiong Lim, Charles Rodney Greenaway Evans",2011-07-14,2012-07-12,2013-03-28,,https://patents.google.com/patent/US20130079379A1/en,https://patentimages.storage.googleapis.com/28/a5/9e/a9822064fb69b7/US20130079379A1-20130328-D00001.png
US-9145393-B2,Arylpyridinone ITK inhibitors for treating inflammation and cancer ,"Confluence Life Sciences, Inc.","Eric Jon Jacobsen, James Robert Blinn",2014-01-24,2015-01-23,2015-09-29,2015-09-29,https://patents.google.com/patent/US9145393B2/en,
US-9056110-B2,Substituted pyrimidinone-phenyl-pyrimidinyl compounds ,"Confluence Life Sciences, Inc.","Shaun R. Selness, Balekudru Devadas, Susan L. Hockerman, Joseph B. Monahan",2011-12-06,2012-12-06,2015-06-16,2015-06-16,https://patents.google.com/patent/US9056110B2/en,
US-9365546-B2,Substituted pyridinone-pyridinyl compounds ,Confluence Life Sciences Inc.,"Shaun R. Selness, Joseph B. Monahan, John F. Schindler, Balekudru Devadas",2010-12-06,2014-01-07,2016-06-14,2016-06-14,https://patents.google.com/patent/US9365546B2/en,
US-10098910-B2,Peroxide formulations and methods and applicators for using the same ,"Aclaris Therapeutics, Inc.","Stuart D. Shanler, Christopher Powala, Christopher Phillips, Brian BEGER, Charles Rodney Greenaway Evans, Sian Tiong Lim, Marc Barry Brown, Michael A. Botta, Thomas Nagler",2014-04-21,2016-12-05,2018-10-16,2018-10-16,https://patents.google.com/patent/US10098910B2/en,https://patentimages.storage.googleapis.com/1a/1c/d4/8c63396e3f57b7/US10098910-20181016-D00001.png
US-9499551-B2,"Substituted pyrrolo[2,3-b]pyridines for treating cancer or inflammatory diseases ","Confluence Life Sciences, Inc.","Eric Jon Jacobsen, James Robert Blinn, John Robert Springer, Susan L. Hockerman",2014-01-24,2015-01-23,2016-11-22,2016-11-22,https://patents.google.com/patent/US9499551B2/en,
