search URL:,https://patents.google.com/?assignee=ACORDA+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-5792849-A,"Glial mitogenic factors, their preparation and use ","Ludwig Institute For Cancer Research And Cambridge Neuroscience, Cambridge Neuroscience","Andrew Goodearl, Paul Stroobant, Luisa Minghetti, Michael Waterfield, Mark Marchioni, Mario Su Chen, Ian Hiles",1991-04-10,1995-06-06,1998-08-11,1998-08-11,https://patents.google.com/patent/US5792849A/en,https://patentimages.storage.googleapis.com/14/69/b5/406a8f4fce8d78/US5792849-drawings-page-2.png
US-8263093-B2,Methods and compositions for administration of TRPV1 agonists ,"Neurogesx, Inc.","Naweed Muhammad, Gene Curtis Jamieson, Keith R. Bley, Sanjay Chanda",2003-04-10,2011-04-08,2012-09-11,2012-09-11,https://patents.google.com/patent/US8263093B2/en,https://patentimages.storage.googleapis.com/90/d9/2b/7eb31d51f54311/US08263093-20120911-D00001.png
EP-1289553-B1,"Nrg-2 nucleic acid molecules, polypeptides, and diagnostic and therapeutic methods ","CeNeS Pharmaceuticals, Inc.",Mark A. Marchionni,2000-05-23,2001-05-23,2011-07-13,2011-07-13,https://patents.google.com/patent/EP1289553B1/en,https://patentimages.storage.googleapis.com/87/0b/0a/43510e4e8063e5/imgf0001.png
US-5594114-A,"Schwann cell mitogenic factor, its preparation and use ",Ludwig Institute For Cancer Research,"Andrew D. J. Goodearl, Paul Stroobant, Michael D. Waterfield",1992-08-14,1994-09-23,1997-01-14,1997-01-14,https://patents.google.com/patent/US5594114A/en,https://patentimages.storage.googleapis.com/bb/09/ba/4c12733a9ad56d/US5594114-drawings-page-2.png
US-2002169762-A1,"System and method for database retrieval, indexing and statistical analysis ",Carlos Cardona,Carlos Cardona,1999-05-07,2001-11-09,2002-11-14,,https://patents.google.com/patent/US20020169762A1/en,https://patentimages.storage.googleapis.com/ad/1c/d1/9c6b67d56963f7/US20020169762A1-20021114-D00000.png
US-6204241-B1,Method for treating nervous system pathophysiologies using glial growth factors ,"Cambridge Neuroscience, Inc., Ludwig Institute For Cancer Research","Andrew David Goodearl, Paul Stroobant, Luisa Minghetti, Michael Waterfield, Mark Marchionni, Maio Su Chen, Ian Hiles",1991-04-10,1996-10-22,2001-03-20,2001-03-20,https://patents.google.com/patent/US6204241B1/en,https://patentimages.storage.googleapis.com/fa/e2/a5/4f8c384c54685f/US6204241-drawings-page-2.png
US-7662772-B2,Methods for treating congestive heart failure ,"Acorda Therapeutics, Inc., Beth Israel Deaconess Medical Center, The Brigham And Women's Hospital, Inc.","Mark Marchionni, Ralph Kelly, Beverly Lorell, Douglas B. Sawyer",1999-04-23,2003-08-22,2010-02-16,2010-02-16,https://patents.google.com/patent/US7662772B2/en,https://patentimages.storage.googleapis.com/US7662772B2/US07662772-20100216-D00001.png
US-8663685-B2,Sustained release aminopyridine composition ,"Acorda Therapeutics, Inc.","Andrew R. Blight, Ron Cohen",2003-12-11,2011-07-20,2014-03-04,2014-03-04,https://patents.google.com/patent/US8663685B2/en,https://patentimages.storage.googleapis.com/73/d1/49/954fba960f245f/US08663685-20140304-D00000.png
EP-0703785-B1,Methods for treating muscle diseases and disorders ,Cambridge Neuroscience,"David I. Gwynne, Mark Marchionni, Robert Sklar",1993-05-06,1994-05-06,2005-07-20,2005-07-20,https://patents.google.com/patent/EP0703785B1/en,https://patentimages.storage.googleapis.com/94/88/ce/132ac46fd81eb1/01860001.png
US-7968089-B2,Proteoglycan degrading mutants for the treatment of CNS ,"Acorda Therapeutics, Inc.","Elliott A. Gruskin, Anthony O. Caggiano, Gargi Roy, Rohini D'Souza",2003-05-16,2008-07-03,2011-06-28,2011-06-28,https://patents.google.com/patent/US7968089B2/en,https://patentimages.storage.googleapis.com/fc/e1/0e/ee93aef31079ec/US07968089-20110628-D00001.png
