search URL:,https://patents.google.com/?assignee=ACUSPHERE+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2003295704-B2,Methods and apparatus for making particles using spray dryer and in-line jet mill ,"Acusphere, Inc.","David Altreuter, Howard Bernstein, Donald E. Chickering Iii, Mark Keegan, Paul Kopesky, Sridhar Narasimhan, Julie A. Straub",2002-12-19,2003-11-20,2008-05-08,2008-05-08,https://patents.google.com/patent/AU2003295704B2/en,
US-6689390-B2,Matrices formed of polymer and hydrophobic compounds for use in drug delivery ,"Acusphere, Inc.","Howard Bernstein, Donald Chickering, Sarwat Khattak, Julie Straub",1998-04-30,2003-03-05,2004-02-10,2004-02-10,https://patents.google.com/patent/US6689390B2/en,
US-6071496-A,Polyalkylcyanoacrylate agents and methods for enhancing contrast in ultrasound imaging ,Scharing Aktiengesellschaft,"Michael Stein, Dieter Heldmann, Thomas Fritzsch, Joachim Siegert, Georg Roessling, Ulrich Speck",1988-02-05,1995-06-07,2000-06-06,2000-06-06,https://patents.google.com/patent/US6071496A/en,
US-6645528-B1,Porous drug matrices and methods of manufacture thereof ,"Acusphere, Inc.","Julie Straub, Howard Bernstein, Donald E. Chickering, III, Sarwat Khattak, Greg Randall",1999-05-27,2000-10-23,2003-11-11,2003-11-11,https://patents.google.com/patent/US6645528B1/en,https://patentimages.storage.googleapis.com/c6/0b/39/03505b4a05d295/US06645528-20031111-D00000.png
US-7919119-B2,Porous drug matrices and methods of manufacture thereof ,"Acusphere, Inc.","Julie Straub, David Altreuter, Howard Bernstein, Donald E. Chickering, III, Sarwat Khattak, Greg Randall",1999-05-27,2002-01-22,2011-04-05,2011-04-05,https://patents.google.com/patent/US7919119B2/en,https://patentimages.storage.googleapis.com/ab/88/29/3d086afd945a33/US07919119-20110405-D00000.png
US-6610317-B2,Porous paclitaxel matrices and methods of manufacture thereof ,"Acusphere, Inc.","Julie Straub, Howard Bernstein, Donald E. Chickering, III, Sarwat Khattak, Greg Randall",1999-05-27,2001-03-02,2003-08-26,2003-08-26,https://patents.google.com/patent/US6610317B2/en,https://patentimages.storage.googleapis.com/5b/18/c5/647ac22e00b141/US06610317-20030826-D00000.png
US-5611344-A,Microencapsulated fluorinated gases for use as imaging agents ,"Acusphere, Inc.","Howard Bernstein, Julie A. Straub, Henry T. Brush, Richard E. Wing",1996-03-05,1996-03-05,1997-03-18,1997-03-18,https://patents.google.com/patent/US5611344A/en,
US-6284280-B1,"Microparticles containing active ingredients, agents containing these microparticles, their use for ultrasound-controlled release of active ingredients, as well as a process for their production ",Schering Aktiengesellschaft,"Werner Weitschies, Dieter Heldmann, Peter Hauff, Thomas Fritzsch, Harald Stahl",1993-09-09,1999-12-13,2001-09-04,2001-09-04,https://patents.google.com/patent/US6284280B1/en,
US-5425366-A,Ultrasonic contrast agents for color Doppler imaging ,Schering Aktiengesellschaft,"Michael Reinhardt, Thomas Fritzsch, Dieter Heldmann, Joachim Siegert",1988-02-05,1993-06-07,1995-06-20,1995-06-20,https://patents.google.com/patent/US5425366A/en,https://patentimages.storage.googleapis.com/ac/80/07/8138912b714f01/US5425366-drawings-page-2.png
EP-0957942-B1,Polymer-lipid microencapsulated gases for use as imaging agents ,"Acusphere, Inc.","Howard Bernstein, Henry T. Brush, Charles C. Church, Julie Ann Straub",1996-07-29,1997-02-27,2004-06-16,2004-06-16,https://patents.google.com/patent/EP0957942B1/en,https://patentimages.storage.googleapis.com/47/75/f8/f085a367c76fea/00420001.png
US-6223455-B1,Spray drying apparatus and methods of use ,"Acusphere, Inc.","Donald E. Chickering, III, Howard Bernstein, Mark Keegan, Greg Randall, Julie Straub",1999-05-03,1999-05-03,2001-05-01,2001-05-01,https://patents.google.com/patent/US6223455B1/en,https://patentimages.storage.googleapis.com/45/f1/d9/5a112e928bfa1a/US6223455-drawings-page-2.png
EP-1180020-B2,Porous drug matrices and methods of manufacture thereof ,"Acusphere, Inc.","Howard Bernstein, Donald E. Chickering Iii, Sarwat Khatak, Greg Randall, Julie Straub",1999-05-27,2000-05-25,2009-06-24,2009-06-24,https://patents.google.com/patent/EP1180020B2/en,https://patentimages.storage.googleapis.com/67/e7/9e/f3cf6489a35bd1/imgf0001.png
CA-2145505-C,Microparticle preparations made from biodegradable copolymers ,"Thomas Fritzsch, Dieter Heldmann, Werner Weitschies, Schering Aktiengesellschaft, Acusphere, Inc.","Thomas Fritzsch, Dieter Heldmann, Werner Weitschies",1992-09-26,1993-09-08,2004-02-17,2004-02-17,https://patents.google.com/patent/CA2145505C/en,
US-2005079138-A1,"Methods for making pharmaceutical formulations comprising microparticles with improved dispersibility, suspendability or wettability ","Chickering Donald E., Shaina Reese, Sridhar Narasimhan, Straub Julie A., Howard Bernstein, David Altreuter, Huang Eric K., Brito Luis A., Jain Rajeev A.","Donald Chickering, Shaina Reese, Sridhar Narasimhan, Julie Straub, Howard Bernstein, David Altreuter, Eric Huang, Luis Brito, Rajeev Jain",2002-12-19,2004-09-30,2005-04-14,,https://patents.google.com/patent/US20050079138A1/en,https://patentimages.storage.googleapis.com/8f/a8/af/7739d7d78ebca7/US20050079138A1-20050414-D00001.png
US-2007178166-A1,Processes for making particle-based pharmaceutical formulations for pulmonary or nasal administration ,"Acusphere, Inc.","Howard Bernstein, Shaina Brito, Donald Chickering, Eric Huang, Rajeev Jain, Julie Straub",2005-12-15,2006-12-14,2007-08-02,,https://patents.google.com/patent/US20070178166A1/en,https://patentimages.storage.googleapis.com/c7/c5/05/98eeddd4fadeff/US20070178166A1-20070802-D00000.png
US-2004105821-A1,Sustained release pharmaceutical formulation for inhalation ,"Howard Bernstein, Chickering Donald E., Huang Eric K., Shaina Reese, Sridhar Narasimhan, Straub Julie A.","Howard Bernstein, Donald Chickering, Eric Huang, Shaina Reese, Sridhar Narasimhan, Julie Straub",2002-09-30,2003-09-30,2004-06-03,,https://patents.google.com/patent/US20040105821A1/en,https://patentimages.storage.googleapis.com/89/90/76/9d0e3f1af4b169/US20040105821A1-20040603-D00001.png
