search URL:,https://patents.google.com/?assignee=ADAMAS+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-1874282-B1,Methods and compositions for treatment of cns disorders ,"Adamas Pharmaceuticals, Inc.","Timothy J. Fultz, Gregory T. Went",2005-04-06,2006-04-06,2010-09-15,2010-09-15,https://patents.google.com/patent/EP1874282B1/en,https://patentimages.storage.googleapis.com/be/bd/99/1b3502e9fd88c8/imgf0001.png
US-8598233-B2,Method for administering an NMDA receptor antagonist to a subject ,"Adamas Pharmacueticals, Inc.","Gregory T. Went, Timothy J. Fultz, Laurence R. Meyerson",2004-11-23,2013-01-28,2013-12-03,2013-12-03,https://patents.google.com/patent/US8598233B2/en,https://patentimages.storage.googleapis.com/8e/f4/d2/19677152fcecf7/US08598233-20131203-D00001.png
US-6620845-B2,Aminoadamantane derivatives as therapeutic agents ,"Neuromolecular, Inc.","Yuqiang Wang, Wenqing Ye, James W. Larrick, Jonathan S. Stemler, Stuart A. Lipton",2000-02-22,2002-07-19,2003-09-16,2003-09-16,https://patents.google.com/patent/US6620845B2/en,https://patentimages.storage.googleapis.com/aa/7e/5e/19f0ca8622a166/US06620845-20030916-D00001.png
US-2010292216-A1,Methods and Compositions for the Treatment of Psychiatric Conditions ,"Adamas Pharmaceuticals, Inc.","Laurence R. Meyerson, Gregory T. Went, Timothy J. Fultz",2004-02-13,2009-11-16,2010-11-18,,https://patents.google.com/patent/US20100292216A1/en,https://patentimages.storage.googleapis.com/ed/60/1e/15275b73eeb224/US20100292216A1-20101118-D00001.png
US-2010137448-A1,Methods for Treating Neuropsychiatric Disorders with NMDA Receptor Antagonists ,"Lipton Stuart A, Gregory Went","Stuart A. Lipton, Gregory Went",2000-12-07,2009-07-16,2010-06-03,,https://patents.google.com/patent/US20100137448A1/en,https://patentimages.storage.googleapis.com/ac/ff/77/75eca2d8090e7f/US20100137448A1-20100603-D00000.png
CA-2588295-C,Method and composition for administering an nmda receptor antagonist to a subject ,"Neuromolecular Pharmaceuticals, Inc., Gregory T. Went, Timothy J. Fultz, Seth Porter, Laurence R. Meyerson, Timothy Burkoth, Neuromolecular, Inc., Adamas Pharmaceuticals, Inc.","Gregory T. Went, Timothy J. Fultz, Seth Porter, Laurence R. Meyerson, Timothy Burkoth",2004-11-23,2005-11-22,2013-10-22,2013-10-22,https://patents.google.com/patent/CA2588295C/en,
US-8389578-B2,Composition and method for treating neurological disease ,"Adamas Pharmaceuticals, Inc","Gregory T. Went, Timothy J. Fultz, Seth Porter, Laurence R. Meyerson, Timothy S. Burkoth",2004-11-24,2005-11-23,2013-03-05,2013-03-05,https://patents.google.com/patent/US8389578B2/en,https://patentimages.storage.googleapis.com/43/5e/f9/63c9c5fd12218d/US08389578-20130305-D00001.png
CA-2554959-A1,Combination of a nmda receptor antagonist and a mao-inhibitor or a gadpf-inhibitor for the treatment of central nervous system-related conditions ,"Neuromolecular, Inc., Gregory T. Went, Lawrence Meyerson, Timothy J. Fultz, Neuromolecular Pharmaceuticals, Inc., Adamas Pharmaceuticals, Inc.","Gregory T. Went, Lawrence Meyerson, Timothy J. Fultz",2004-01-29,2005-01-31,2005-08-11,,https://patents.google.com/patent/CA2554959A1/en,
AU-2005215767-A1,Combination of an NMDA receptor antagonist and an anti-epileptic drug for the treatment of epilepsy and other CNS disorders ,"Adamas Pharmaceuticals, Inc.","Timothy J. Fultz, Lawrence Meyerson, Gregory Went",2004-02-13,2005-02-14,2005-09-01,,https://patents.google.com/patent/AU2005215767A1/en,
US-2008089861-A1,Combination therapy for treatment of demyelinating conditions ,"Went Gregory T, Ivan Lieberburg","Gregory Went, Ivan Lieberburg",2006-07-10,2007-07-10,2008-04-17,,https://patents.google.com/patent/US20080089861A1/en,
CA-2436311-A1,Methods for treating neuropsychiatric disorders with nmda receptor antagonists ,"Neuromolecular Inc., Stuart Lipton M.D., Neuromolecular Pharmaceuticals, Inc., Adamas Pharmaceuticals, Inc.",Stuart Lipton M.D.,2000-12-07,2001-12-07,2002-06-13,,https://patents.google.com/patent/CA2436311A1/en,
EP-2142192-B1,Compositions and kits for treating influenza ,"Adamas Pharmaceuticals, Inc.","Jack Nguyen, Gregory T. Went, Paul Spence, Timothy J. Fultz, David Chernoff, Terry L. Burkoth, Rowan Chapman, Mickey S. Urdea",2007-03-13,2008-03-12,2012-02-15,2012-02-15,https://patents.google.com/patent/EP2142192B1/en,https://patentimages.storage.googleapis.com/ae/50/ff/247d414964b4e9/imgf0001.png
CA-2520423-A1,Treatment of demyelinating conditions ,"Neuromolecular, Inc., Stuart Lipton, Greg Went, Lawrence Meyerson, Neuromolecular Pharmaceuticals, Inc., Adamas Pharmaceuticals, Inc.","Stuart Lipton, Greg Went, Lawrence Meyerson",2003-03-27,2004-03-29,2004-10-14,,https://patents.google.com/patent/CA2520423A1/en,
CA-2782556-C,Amantadine compositions and methods of use ,"Adamas Pharmaceuticals, Inc., Greg Went, Gayatri Sathyan, Ashok Katdare, Kavita Vermani, Gangadhara Ganapati, Michael Coffee, Efraim Shek","Greg Went, Gayatri Sathyan, Ashok Katdare, Kavita Vermani, Gangadhara Ganapati, Michael Coffee, Efraim Shek",2009-12-02,2010-12-02,2018-03-27,2018-03-27,https://patents.google.com/patent/CA2782556C/en,
AU-2007254215-A1,Methods and compositions for the treatment of viral infections ,"Adamas Pharmaceuticals, Inc.","Terry Burkoth, David Chernoff, Timothy Fultz, Paul Spence, Gregory Went",2006-05-19,2007-05-18,2007-11-29,,https://patents.google.com/patent/AU2007254215A1/en,
