search URL:,https://patents.google.com/?assignee=ADAMIS+PHARMACEUTICALS+CORP
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-5655523-A,Dry powder inhalation device having deagglomeration/aerosolization structure responsive to patient inhalation ,Minnesota Mining And Manufacturing Company,"Peter David Hodson, David Keith Smith, Anthony Charles Lammond Wass",1989-04-28,1995-05-22,1997-08-12,1997-08-12,https://patents.google.com/patent/US5655523A/en,https://patentimages.storage.googleapis.com/20/0c/06/d0c3c1331c6978/US5655523-drawings-page-2.png
US-5619984-A,Dry powder inhalation device having a powder-loaded elongate carrier ,Astra Aktiebolag,"Peter D. Hodson, David K. Smith, David J. Velasquez, Anthony C. L. Wass",1989-04-28,1995-05-08,1997-04-15,1997-04-15,https://patents.google.com/patent/US5619984A/en,https://patentimages.storage.googleapis.com/10/f3/f7/03e610252cbfe2/US5619984-drawings-page-2.png
US-5482032-A,Dry powder inhalers ,Astra Aktiebolag,"David K. Smith, Peter D. Hodson, Anthony C. L. Wass",1993-07-14,1994-07-12,1996-01-09,1996-01-09,https://patents.google.com/patent/US5482032A/en,https://patentimages.storage.googleapis.com/1d/85/07/0fc094ec4955d4/US5482032-drawings-page-2.png
US-9474870-B2,Dry powder inhalers ,Adamis Pharmaceuticals Corporation,"Peter D. Hodson, Stephen W. Stein, Herbert C. Chiou, Zhaolin Wang, Thomas S. Robison, Michael K. Domroese, Blake D. Walburg",2009-05-18,2015-02-13,2016-10-25,2016-10-25,https://patents.google.com/patent/US9474870B2/en,https://patentimages.storage.googleapis.com/0d/da/db/1b288ff409ccd0/US09474870-20161025-D00000.png
US-6102179-A,Device for transmission of one-way torque ,Astra Aktiebolag,"Peter D. Hodson, Stephen J. Howgill, Anthony C. L. Wass",1993-11-26,1997-05-05,2000-08-15,2000-08-15,https://patents.google.com/patent/US6102179A/en,https://patentimages.storage.googleapis.com/43/e8/6b/5b4f1c7e0eba5e/US6102179-drawings-page-2.png
AU-2007230711-B2,Powder filling processes ,Adamis Pharmaceuticals Corporation,"Peter D. Hodson, Matthew J. Wilby",2006-03-23,2007-03-22,2012-05-03,2012-05-03,https://patents.google.com/patent/AU2007230711B2/en,
US-9987442-B2,Dry powder inhaler dose counters ,Adamis Pharmaceuticals Corporation,"Bryan E. Rolfs, Benjamin L. Rush, Jonathan D. Toback, Peter D. Hodson, Stephan W. Stein, Michael K. Domroese",2009-05-18,2015-08-03,2018-06-05,2018-06-05,https://patents.google.com/patent/US9987442B2/en,https://patentimages.storage.googleapis.com/6a/04/8c/79613bc529ce42/US09987442-20180605-D00000.png
US-D635660-S,Inhalation device ,3M Innovative Properties Company,John S. White,2009-11-18,2010-05-04,2011-04-05,2011-04-05,https://patents.google.com/patent/USD635660S1/en,https://patentimages.storage.googleapis.com/45/87/d8/b82ff8eb71cb2c/USD0635660-20110405-D00000.png
US-D677377-S,Inhaler ,3M Innovative Properties Company,John S. White,2009-11-18,2010-05-04,2013-03-05,2013-03-05,https://patents.google.com/patent/USD677377S1/en,https://patentimages.storage.googleapis.com/09/e3/d6/f2d48bfc1b4fbe/USD0677377-20130305-D00000.png
US-10188996-B2,Powder mixing apparatus and method of use ,Adamis Pharmaceuticals Corporation,"Stephen W. Stein, Michael W. Mueting, Herbert C. Chiou, James S. Stefely",2015-10-02,2015-10-02,2019-01-29,2019-01-29,https://patents.google.com/patent/US10188996B2/en,https://patentimages.storage.googleapis.com/d7/67/93/19ed3a3b30ade1/US10188996-20190129-D00000.png
US-D781569-S,Case ,Adamis Pharmaceuticals Corporation,"Bryan E. Rolfs, Marty Ma",2015-08-24,2015-08-24,2017-03-21,2017-03-21,https://patents.google.com/patent/USD781569S1/en,https://patentimages.storage.googleapis.com/60/c2/9c/17d91d796be717/USD0781569-20170321-D00000.png
