search URL:,https://patents.google.com/?assignee=ADURO+BIOTECH+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9724408-B2,Compositions and methods for activating stimulator of interferon gene-dependent signalling ,"Aduro Biotech, Inc., The Regents Of The University Of California","Thomas W. Dubensky, Jr., David B. Kanne, Meredith Lai Ling Leong, Edward Emile Lemmens, Laura H. Glickman, Russell E. Vance",2013-05-18,2014-05-18,2017-08-08,2017-08-08,https://patents.google.com/patent/US9724408B2/en,https://patentimages.storage.googleapis.com/3e/18/06/3df201498514e4/US09724408-20170808-D00001.png
EP-2931738-B1,Compositions comprising cyclic purine dinucleotides having defined stereochemistries and methods for their preparation and use ,"Aduro Biotech, Inc.","Jr. Thomas W. DUBENSKY, David B. Kanne, Meredith Lai Ling LEONG, Edward Emile LEMMENS, Laura Hix GLICKMAN",2012-12-13,2013-12-13,2019-02-06,2019-02-06,https://patents.google.com/patent/EP2931738B1/en,https://patentimages.storage.googleapis.com/52/6b/0e/a189fae1c01d20/imgf0001.png
US-8287883-B2,"Listeria attenuated for entry into non-phagocytic cells, vaccines comprising the Listeria, and methods of use thereof ","Aduro Biotech, Inc.","Thomas W. Dubensky, Jr., Dirk G. Brockstedt, David N. Cook",2003-02-06,2010-03-29,2012-10-16,2012-10-16,https://patents.google.com/patent/US8287883B2/en,https://patentimages.storage.googleapis.com/00/37/72/981d1dbceebb27/US08287883-20121016-D00001.png
US-9770467-B2,Compositions and methods for cancer immunotherapy ,"Aduro Biotech, Inc., The Johns Hopkins University","Thomas W. Dubensky, Jr., Meredith Lai Ling Leong, Drew M. Pardoll, Young Jun Kim",2012-06-08,2013-06-07,2017-09-26,2017-09-26,https://patents.google.com/patent/US9770467B2/en,https://patentimages.storage.googleapis.com/53/19/cc/a903784406e7f4/US09770467-20170926-D00001.png
US-9764013-B2,Engineered Listeria and methods of use thereof ,"Aduro Biotech, Inc.","Thomas W. Dubensky, Jr., Justin Skoble, Peter M. Lauer, David N. Cook",2006-03-01,2013-11-12,2017-09-19,2017-09-19,https://patents.google.com/patent/US9764013B2/en,https://patentimages.storage.googleapis.com/03/75/0d/466f436987d047/US09764013-20170919-D00001.png
US-9775891-B2,Methods and compositions for inducing an immune response to EGFRvIII ,"Aduro Biotech, Inc., Providence Health & Services—Oregon","Peter M. Lauer, Keith Bahjat",2010-11-17,2015-11-25,2017-10-03,2017-10-03,https://patents.google.com/patent/US9775891B2/en,https://patentimages.storage.googleapis.com/ad/17/1e/684834c673e640/US09775891-20171003-D00001.png
US-2016287623-A1,Use of sting agonist as cancer treatment ,"The University Of Chicago, Aduro Biotech, Inc.","Thomas F. Gajewski, Seng-ryong Woo, Leticia Corrales, Thomas W. Dubensky, Jr., David Kanne, Meredith Lai Ling Leong, Laura Hix Glickman, Edward Emile Lemmens",2013-11-19,2014-11-19,2016-10-06,,https://patents.google.com/patent/US20160287623A1/en,https://patentimages.storage.googleapis.com/aa/72/3b/8146da849b74ad/US20160287623A1-20161006-D00001.png
AU-2004314347-B2,"Recombinant nucleic acid molecules encoding fusion proteins comprising antigens and bacterial secretory signal polypeptides, expression cassettes, and bacteria, and methods of use thereof ","Aduro Biotech, Inc.","David N. Cook, Thomas W. Dubensky Jr., William S. Luckett Jr., Daniel A. Portnoy",2003-12-24,2004-12-23,2011-05-19,2011-05-19,https://patents.google.com/patent/AU2004314347B2/en,
US-10189873-B2,Compositions and methods for inhibiting “stimulator of interferon gene”-dependent signalling ,"Aduro Biotech, Inc.","Thomas W. Dubensky, Jr., David B. Kanne",2013-05-18,2017-01-20,2019-01-29,2019-01-29,https://patents.google.com/patent/US10189873B2/en,https://patentimages.storage.googleapis.com/66/83/fa/d233e56c677d73/US10189873-20190129-D00001.png
EP-2996472-B1,"Compositions and methods for inhibiting ""stimulator of interferon gene"" dependent signalling ","Aduro Biotech, Inc.","Thomas W. Dubensky, Jr., David B. Kanne",2013-05-18,2014-05-18,2019-03-27,2019-03-27,https://patents.google.com/patent/EP2996472B1/en,https://patentimages.storage.googleapis.com/bf/fe/89/cf2c585157611d/imgf0001.png
EP-2860253-B1,Engineered listeria and methods of use thereof ,"Aduro Biotech, Inc.","Thomas W. Dubensky Jr., Justin Skoble, Peter M. Lauer, David N. Cook",2006-03-01,2007-03-01,2018-08-01,2018-08-01,https://patents.google.com/patent/EP2860253B1/en,https://patentimages.storage.googleapis.com/99/e6/78/a734528430dd78/imgf0001.png
US-2016175415-A1,Methods and compositions using listeria for enhancing immunogenicity by prime boost ,"Aduro Biotech, Inc.","Thomas W. Dubensky, Jr., Dirk G. Brockstedt, Meredith Lai Ling Leong, Keith S. Bahjat",2006-07-17,2015-11-25,2016-06-23,,https://patents.google.com/patent/US20160175415A1/en,https://patentimages.storage.googleapis.com/bc/b8/53/3cd84cb987b010/US20160175415A1-20160623-D00001.png
US-2018064745-A1,"Compositions and methods for activating ""stimulator of interferon gene"" - dependent signalling ","Aduro Biotech, Inc.","George Edwin Katibah, David Kanne, Leonard Sung, Kelsey Gauthier, Laura Hix Glickman, Justin Leong, Sarah M. McWhirter, Thomas W. Dubensky, Jr.",2015-03-10,2016-03-09,2018-03-08,,https://patents.google.com/patent/US20180064745A1/en,https://patentimages.storage.googleapis.com/97/a9/c8/c49fc2edbf148c/US20180064745A1-20180308-D00000.png
KR-20180066241-A,&Quot; Interferon gene stimulants &quot; - compositions and methods for activating dependent signaling ,"아두로 바이오테크, 인코포레이티드, 노파르티스 아게","조지 에드윈 카티바흐, 데이비드 칸느, 레오나드 성, 켈시 가우티어, 라우라 힉스 그릭만, 저스틴 레옹, 사라 엠. 맥휘터, 토마스 더블유. 주니어 두벤스키, 제프리 매캐너, 스테판 엠. 캔함, 추디 오비오마 은두바쿠",2015-10-28,2016-10-28,2018-06-18,,https://patents.google.com/patent/KR20180066241A/en,https://patentimages.storage.googleapis.com/d1/9f/8f/9a7c68712d08d0/pct00207.png
AU-2013370210-B2,Signal peptide fusion partners facilitating listerial expression of antigenic sequences and methods of preparation and use thereof ,"Aduro Biotech, Inc.","Dirk Brockstedt, Thomas W. Dubensky Jr., Marcella Fasso, William G. Hanson, Peter M. Lauer, Meredith Lai Ling Leong, Justin Skoble",2012-12-27,2013-12-27,2018-06-14,2018-06-14,https://patents.google.com/patent/AU2013370210B2/en,
EP-2576791-B1,Methods and compositions using listeria for adjuvant treatment of cancer ,Aduro Biotech,"Thomas W. Dubensky, Dirk G. Brockstedt, Meredith Leong, Keith S. Bahjat",2010-05-23,2011-05-23,2016-10-19,2016-10-19,https://patents.google.com/patent/EP2576791B1/en,https://patentimages.storage.googleapis.com/2d/72/e3/a2c9daeee1125a/imgf0001.png
US-9511129-B2,Facultatively attenuated bacterial species and methods of preparation and use thereof ,"Aduro Biotech, Inc.","William G. Hanson, Justin Skoble, Peter M. Lauer",2012-11-06,2013-11-06,2016-12-06,2016-12-06,https://patents.google.com/patent/US9511129B2/en,https://patentimages.storage.googleapis.com/da/63/1a/8e189344cb7317/US09511129-20161206-D00001.png
US-2018369268-A1,"Methods for identifying inhibitors of ""stimulator of interferon gene""- dependent interferon production ","Aduro Biotech, Inc.","George Edwin Katibah, David Kanne, Leonard Sung, Justin Leong, Sarah M. McWhirter, Thomas W. Dubensky, Jr.",2015-12-16,2016-12-16,2018-12-27,,https://patents.google.com/patent/US20180369268A1/en,https://patentimages.storage.googleapis.com/f4/81/60/c91194b38246c7/US20180369268A1-20181227-D00000.png
