search URL:,https://patents.google.com/?assignee=ADVAXIS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-10189885-B2,Non-hemolytic LLO fusion proteins and methods of utilizing same ,The Trustees Of The University Of Pennsylvania,"Yvonne Paterson, Paulo Maciag",2008-06-23,2015-07-01,2019-01-29,2019-01-29,https://patents.google.com/patent/US10189885B2/en,https://patentimages.storage.googleapis.com/7e/bc/0c/4b9f4fd482bffd/US10189885-20190129-D00001.png
US-2011223187-A1,Live listeria-based vaccines for central nervous system therapy ,"Vafa Shahabi, Matthew Seavey, Yvonne Paterson","Vafa Shahabi, Matthew Seavey, Yvonne Paterson",2010-02-15,2011-02-15,2011-09-15,,https://patents.google.com/patent/US20110223187A1/en,https://patentimages.storage.googleapis.com/7b/9b/60/0d047a0a2bb582/US20110223187A1-20110915-D00001.png
US-2015335721-A1,Compositions and methods comprising klk3 or folh1 antigen ,"The Trustees Of The University Of Pennsylvania, Advaxis, Inc.","Yvonne Paterson, John Rothman, Vafa Shahabi",2000-03-27,2014-12-23,2015-11-26,,https://patents.google.com/patent/US20150335721A1/en,https://patentimages.storage.googleapis.com/7e/d2/f5/be6b944af04068/US20150335721A1-20151126-D00001.png
US-9644212-B2,Dual delivery system for heterologous antigens ,"Advaxis, Inc.","Paulo Maciag, Anu Wallecha, Vafa Shahabi",2008-05-19,2014-03-11,2017-05-09,2017-05-09,https://patents.google.com/patent/US9644212B2/en,https://patentimages.storage.googleapis.com/8b/ef/73/0a78f2c71a69ba/US09644212-20170509-D00001.png
US-9463227-B2,Listeria-based adjuvants ,"Advaxis, Inc., The Trustees Of The University Of Pennsylvania, University Of Georgia Research Foundation, Inc.","John Rothman, Anu Wallecha, Reshma Singh, Donald A. Harn, JR., Yvonne Paterson",2011-03-11,2012-03-12,2016-10-11,2016-10-11,https://patents.google.com/patent/US9463227B2/en,https://patentimages.storage.googleapis.com/c8/70/1f/464afd82a35787/US09463227-20161011-D00001.png
EP-2134363-A2,Compositions and methods for treatment of cervical cancer ,"The Trustees of the University of Pennsylvania, Advaxis","Yvonne Paterson, John Rothman",2007-03-08,2008-03-07,2009-12-23,,https://patents.google.com/patent/EP2134363A2/en,
US-9084747-B2,Compositions and methods for prevention of escape mutation in the treatment of HER2/NEU over-expressing tumors ,"Advaxis, Inc., The Trustees Of The University Of Pennsylvania","Vafa Shahabi, Anu Wallecha, Paulo C. Maciag, Yvonne Paterson, Matthew Seavey",2009-11-11,2010-11-12,2015-07-21,2015-07-21,https://patents.google.com/patent/US9084747B2/en,https://patentimages.storage.googleapis.com/17/3e/f9/2d1e4e48ed5597/US09084747-20150721-D00001.png
US-2012135033-A1,Multiple delivery system for heterologous antigens ,Anu Wallecha,Anu Wallecha,2008-05-19,2011-11-07,2012-05-31,,https://patents.google.com/patent/US20120135033A1/en,https://patentimages.storage.googleapis.com/00/75/5a/8531bc2561b6cf/US20120135033A1-20120531-D00001.png
US-10064898-B2,Listeria-based adjuvants ,"Advaxis, Inc., University Of Georgia Research Foundation, Inc., The Trustees Of The University Of Pennsylvania","John Rothman, Anu Wallecha, Reshma Singh, Donald A. Harn, JR., Yvonne Paterson",2011-03-11,2016-07-27,2018-09-04,2018-09-04,https://patents.google.com/patent/US10064898B2/en,https://patentimages.storage.googleapis.com/52/3e/67/24c47bbc33e8d6/US10064898-20180904-D00001.png
US-10058599-B2,Suppressor cell function inhibition following Listeria vaccine treatment ,"Advaxis, Inc.","Reshma Singh, Anu Wallecha",2012-03-12,2013-03-12,2018-08-28,2018-08-28,https://patents.google.com/patent/US10058599B2/en,https://patentimages.storage.googleapis.com/6c/43/a6/a7a83cb23264bf/US10058599-20180828-D00001.png
US-9907849-B2,Combination of a PD-1 antagonist and a listeria-based vaccine for treating prostate cancer ,"Advaxis, Inc., Merck Sharp & Dohme Corp.","Robert Petit, David J. Mauro, Rodolfo F. PERINI",2014-07-18,2015-07-17,2018-03-06,2018-03-06,https://patents.google.com/patent/US9907849B2/en,https://patentimages.storage.googleapis.com/93/26/d9/dab031281d2969/US09907849-20180306-D00001.png
