search URL:,https://patents.google.com/?assignee=AEGERION+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2010226886-A1,Combinations of MTP Inhibitors with Cholesterol Absorption Inhibitors or Interferon for Treating Hepatitis C ,Sasiela Willliam J,Willliam J. Sasiela,2007-04-03,2009-10-02,2010-09-09,,https://patents.google.com/patent/US20100226886A1/en,
EP-2621519-B1,Leptin-abd fusion polypeptides with enhanced duration of action ,"Aegerion Pharmaceuticals, Inc.","Soumitra S. Ghosh, Mary Erickson, David C. Litzinger, Zijian Guo, Jonathan David Roth",2010-09-28,2011-09-28,2017-06-28,2017-06-28,https://patents.google.com/patent/EP2621519B1/en,https://patentimages.storage.googleapis.com/00/cb/de/0fa2aa64c4bc20/imgf0001.png
US-2013102635-A1,Methods for Treating Disorders Associated with Hyperlipidemia in a Mammal ,Gerald L. Wisler,Gerald L. Wisler,2005-10-18,2012-04-11,2013-04-25,,https://patents.google.com/patent/US20130102635A1/en,
US-2014256621-A1,Engineered poypeptides having enhanced duration of action and reduced immunogenicity ,"Astrazeneca Pharmaceuticals Lp, Amylin Pharmaceuticals, Llc","Mary Erickson, David C. LITZINGER, Soumitra S. Ghosh, Zijian Guo, Caroline Ekbland, Jonathan David Roth",2011-07-08,2012-07-03,2014-09-11,,https://patents.google.com/patent/US20140256621A1/en,https://patentimages.storage.googleapis.com/c8/3d/7d/2b0f3788493a04/US20140256621A1-20140911-D00001.png
US-2008161279-A1,Methods of Treating Obesity ,Wisler Gerald L,Gerald L. Wisler,2006-12-21,2007-12-21,2008-07-03,,https://patents.google.com/patent/US20080161279A1/en,
US-2012035204-A1,Methods for Treating Obesity and Disorders Associated with Hyperlipidemia in a Mammal ,Sasiela William J,William J. Sasiela,2009-01-14,2011-07-13,2012-02-09,,https://patents.google.com/patent/US20120035204A1/en,https://patentimages.storage.googleapis.com/50/ed/1b/96b3173fec78e3/US20120035204A1-20120209-D00001.png
US-10213419-B2,Compound impurities and methods of detecting same ,"Aegerion Pharmaceuticals, Inc.",Ann Gelormini,2015-04-30,2016-05-02,2019-02-26,2019-02-26,https://patents.google.com/patent/US10213419B2/en,
US-2018074073-A1,Methods of Detecting Anti-Leptin Neutralizing Antibodies ,"Aegerion Pharmaceuticals, Inc.",Jeffrey Sailstad,2016-09-12,2017-09-12,2018-03-15,,https://patents.google.com/patent/US20180074073A1/en,https://patentimages.storage.googleapis.com/46/3c/a9/9618044baee986/US20180074073A1-20180315-D00001.png
WO-2019032469-A1,Treatment of overweight and obesity associated with leptin deficiency ,"Aegerion Pharmaceuticals, Inc.","Alison LONG, Gregory FINE",2017-08-07,2018-08-06,2019-02-14,,https://patents.google.com/patent/WO2019032469A1/en,
WO-2010083279-A3,Methods for treating disorders associated with hyperlipidemia in a mammal ,"Aegerion Pharmaceuticals, Inc.",William J. Sasiela,2009-01-14,2010-01-14,2010-11-18,,https://patents.google.com/patent/WO2010083279A3/en,
