search URL:,https://patents.google.com/?assignee=AERIE+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-10112920-B2,Beta- and gamma-amino-isoquinoline amide compounds and substituted benzamide compounds ,"Aerie Pharmaceuticals, Inc.","Mitchell A. deLong, Jill Marie Sturdivant, Susan M. Royalty",2008-07-25,2017-12-15,2018-10-30,2018-10-30,https://patents.google.com/patent/US10112920B2/en,
US-2007254920-A1,Prodrug derivatives of acids using alcohols with homotopic hydroxy groups and methods for their preparation and use ,"Aerie Pharmaceuticals, Inc.","Mitchell deLong, Jill McFadden, Susan Royalty, Eric Toone, Jeffrey Yingling",2006-04-26,2006-04-26,2007-11-01,,https://patents.google.com/patent/US20070254920A1/en,
US-2010158980-A1,Drug delivery devices for delivery of therapeutic agents ,"Casey Kopczynski, Cheng-Wen Lin, Chris Sutay","Casey Kopczynski, Cheng-Wen Lin, Chris Sutay",2008-12-18,2008-12-18,2010-06-24,,https://patents.google.com/patent/US20100158980A1/en,https://patentimages.storage.googleapis.com/f2/35/e6/ab2e7aa899ff31/US20100158980A1-20100624-D00001.png
CA-2664335-C,Rho kinase inhibitors ,"Boehringer Ingelheim International Gmbh, Todd Bosanac, John David Ginn, Eugene Richard Hickey, Thomas Martin Kirrane, Weimin Liu, Anthony S. Prokopowicz, Cheng-Kon Shih, Roger John Snow, Michael Robert Turner, Frank Wu, Erick Richard Young, Sabine K. Schlyer, Aerie Pharmaceuticals, Inc.","Todd Bosanac, John David Ginn, Eugene Richard Hickey, Thomas Martin Kirrane, Weimin Liu, Anthony S. Prokopowicz, Cheng-Kon Shih, Roger John Snow, Michael Robert Turner, Frank Wu, Erick Richard Young, Sabine K. Schlyer",2006-09-20,2007-09-13,2014-12-02,2014-12-02,https://patents.google.com/patent/CA2664335C/en,
AU-2017248440-B2,Dual mechanism inhibitors for the treatment of disease ,"Aerie Pharmaceuticals, Inc","Mitchell A. Delong, Susan M. Royalty, Jill Marie Sturdivant",2009-05-01,2017-10-17,2019-05-02,2019-05-02,https://patents.google.com/patent/AU2017248440B2/en,
US-8765166-B2,Drug delivery devices for delivery of ocular therapeutic agents ,"Novaer Holdings, Inc.","Casey Kopczynski, Cheng-Wen Lin, Chris Sutay",2010-05-17,2013-07-22,2014-07-01,2014-07-01,https://patents.google.com/patent/US8765166B2/en,https://patentimages.storage.googleapis.com/50/75/10/e32e64f9783b59/US08765166-20140701-D00000.png
US-7671205-B2,6-aminoisoquinoline compounds ,"Aerie Pharmaceuticals, Inc.","Mitchell A. deLong, Jill Marie Sturdivant, Geoffrey Richard Heintzelman, Susan M. Royalty",2005-07-11,2007-01-10,2010-03-02,2010-03-02,https://patents.google.com/patent/US7671205B2/en,
US-8722739-B2,Amino acid salts of prostaglandins ,"Novaer Holdings, Inc.","Mitchell A. deLong, Jill Marie Sturdivant",2008-10-29,2008-10-29,2014-05-13,2014-05-13,https://patents.google.com/patent/US8722739B2/en,
US-8357699-B2,6-aminoisoquinoline compounds ,"Aerie Pharmaceuticals, Inc.","Mitchell A. deLong, Susan M. Royalty, Jill Marie Sturdivant, Geoffrey Richard Heintzelman",2007-01-10,2011-01-31,2013-01-22,2013-01-22,https://patents.google.com/patent/US8357699B2/en,
AU-2014228790-B2,Combination therapy ,"Aerie Pharmaceuticals, Inc.","Mitchell A. Delong, Casey Kopczynski, Cheng-Wen Lin, Jill Marie Sturdivant",2013-03-15,2014-03-14,2018-06-07,2018-06-07,https://patents.google.com/patent/AU2014228790B2/en,
