search URL:,https://patents.google.com/?assignee=AFFYMAX+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-0711303-B2,Biotinylation of proteins ,"Affymax, Inc.",Peter J. Schatz,1993-07-30,1994-07-28,2009-06-10,2009-06-10,https://patents.google.com/patent/EP0711303B2/en,
US-7084245-B2,Peptides that bind to the erythropoietin receptor ,"Affymax, Inc.","Christopher P. Holmes, Qun Yin, Guy Lalonde, Peter J. Schatz, David Tumelty, Balu Palani, Genet Zemede",2003-05-12,2004-05-12,2006-08-01,2006-08-01,https://patents.google.com/patent/US7084245B2/en,
US-5708153-A,Method of synthesizing diverse collections of tagged compounds ,Affymax Technologies N.V.,"William J. Dower, Ronald W. Barrett, Mark A. Gallop",1991-09-18,1995-06-07,1998-01-13,1998-01-13,https://patents.google.com/patent/US5708153A/en,https://patentimages.storage.googleapis.com/23/ff/68/587e66401f7ff0/US5708153-drawings-page-3.png
US-5733731-A,Peptide library and screening method ,Affymax Technologies N.V.,"Peter J. Schatz, Millard G. Cull, Jeff F. Miller, Willem Peter Christiaan Stemmer, Christian M. Gates",1991-10-16,1995-10-26,1998-03-31,1998-03-31,https://patents.google.com/patent/US5733731A/en,https://patentimages.storage.googleapis.com/38/94/d0/b812b0e0d52bff/US5733731-drawings-page-4.png
US-5665975-A,Optical detectior including an optical alignment block and method ,Affymax Technologies N.V.,Haim Kedar,1993-11-02,1995-06-06,1997-09-09,1997-09-09,https://patents.google.com/patent/US5665975A/en,https://patentimages.storage.googleapis.com/29/6e/69/6f494c713c8e3d/US5665975-drawings-page-3.png
US-5654276-A,Peptides and compounds that bind to the IL-5 receptor ,Affymax Technologies N.V.,"Ronald W. Barrett, Bruce P. England, Peter J. Schatz, Derek Sloan, Min-Jia Chen",1995-06-07,1995-06-07,1997-08-05,1997-08-05,https://patents.google.com/patent/US5654276A/en,https://patentimages.storage.googleapis.com/7b/ba/cd/399298a627e205/US5654276-drawings-page-2.png
US-5773569-A,Compounds and peptides that bind to the erythropoietin receptor ,Affymax Technologies N.V.,"Nicholas C. Wrighton, William J. Dower, Ray S. Chang, Arun K. Kashyap, Linda K. Jolliffe, Dana Johnson, Linda Mulcahy",1993-11-19,1995-06-07,1998-06-30,1998-06-30,https://patents.google.com/patent/US5773569A/en,https://patentimages.storage.googleapis.com/5b/19/47/b0577de4fdb6a8/US5773569-drawings-page-2.png
US-5338665-A,Peptide library and screening method ,Affymax Technologies N.V.,"Peter J. Schatz, Willem P. C. Stemmer",1991-10-16,1992-10-15,1994-08-16,1994-08-16,https://patents.google.com/patent/US5338665A/en,https://patentimages.storage.googleapis.com/85/86/25/398b227c74e8dc/US5338665-drawings-page-3.png
US-7528104-B2,Peptides that bind to the erythropoietin receptor ,"Affymax, Inc.","Christopher P. Holmes, Qun Yin, Guy Lalonde, Peter J. Schatz, David Tumelty, Balu Palani, Genet Zemede",2003-05-12,2004-05-12,2009-05-05,2009-05-05,https://patents.google.com/patent/US7528104B2/en,
US-5830851-A,Methods of administering peptides that bind to the erythropoietin receptor ,Affymax Technologies N.V.,"Nicholas C. Wrighton, William J. Dower, Ray S. Chang, Arun K. Kashyap",1993-11-19,1995-06-07,1998-11-03,1998-11-03,https://patents.google.com/patent/US5830851A/en,https://patentimages.storage.googleapis.com/30/c0/1d/8761cbdc0e2c76/US5830851-drawings-page-2.png
US-5922545-A,In vitro peptide and antibody display libraries ,Affymax Technologies N.V.,"Larry C. Mattheakis, William J. Dower",1993-10-29,1997-07-29,1999-07-13,1999-07-13,https://patents.google.com/patent/US5922545A/en,https://patentimages.storage.googleapis.com/4e/c4/69/4dc4282854a6fa/US5922545-drawings-page-2.png
US-5639603-A,Synthesizing and screening molecular diversity ,Affymax Technologies N.V.,"William J. Dower, Ronald W. Barrett, Mark A. Gallop, Michael C. Needels",1991-09-18,1993-11-02,1997-06-17,1997-06-17,https://patents.google.com/patent/US5639603A/en,https://patentimages.storage.googleapis.com/ae/6d/fc/e6f503f421d7dc/US5639603-drawings-page-3.png
US-5739386-A,Photolabile compounds and methods for their use ,Affymax Technologies N.V.,Christopher P. Holmes,1994-06-23,1995-06-23,1998-04-14,1998-04-14,https://patents.google.com/patent/US5739386A/en,https://patentimages.storage.googleapis.com/46/aa/6a/fac85e439f7d9e/US5739386-drawings-page-2.png
US-5432018-A,Peptide library and screening systems ,Affymax Technologies N.V.,"William J. Dower, Steven E. Cwirla, Ronald W. Barrett",1990-06-20,1991-06-20,1995-07-11,1995-07-11,https://patents.google.com/patent/US5432018A/en,https://patentimages.storage.googleapis.com/c4/69/a6/7dd424428cbe77/US5432018-drawings-page-3.png
US-5958703-A,Use of modified tethers in screening compound libraries ,Glaxo Group Limited,"William J. Dower, Gregory L. Heinkel, Larry Mattheakis, Peter J. Schatz",1996-12-03,1996-12-03,1999-09-28,1999-09-28,https://patents.google.com/patent/US5958703A/en,https://patentimages.storage.googleapis.com/3b/d9/af/32d83d053589fd/US5958703-drawings-page-3.png
EP-1626983-B8,Novel poly (ethylene glycol) modified erythropoietin agonists and uses thereof ,"Affymax, Inc.","Christopher P. Holmes, David Tumelty, Qun Yin",2003-05-12,2004-05-12,2010-12-22,2010-12-22,https://patents.google.com/patent/EP1626983B8/en,
US-5679773-A,Reagants and methods for immobilized polymer synthesis and display ,Affymax Technologies N.V,Christopher P. Holmes,1995-01-17,1995-01-17,1997-10-21,1997-10-21,https://patents.google.com/patent/US5679773A/en,https://patentimages.storage.googleapis.com/4d/a4/fb/c28accb5578280/US5679773-drawings-page-2.png
