search URL:,https://patents.google.com/?assignee=AGIOS+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2013207289-B2,Therapeutically active compounds and their methods of use ,"Agios Pharmaceuticals, Inc.","Giovanni Cianchetta, Byron Delabarre, Tao Guo, Janeta Popovici-Muller, Francesco G. Salituro, Jeffrey O. Saunders, Jeremy M. Travins, Shunqi Yan, Li Zhang",2012-01-06,2013-01-05,2017-09-21,2017-09-21,https://patents.google.com/patent/AU2013207289B2/en,
EP-2448582-B1,Quinoline-8-sulfonamide derivatives having an anticancer activity ,"Agios Pharmaceuticals, Inc.","Jeffrey O. Saunders, Francesco G. Salituro, Shunqi Yan",2009-06-29,2010-06-29,2017-04-19,2017-04-19,https://patents.google.com/patent/EP2448582B1/en,https://patentimages.storage.googleapis.com/84/f2/5f/2e52a1bb0f6e74/imgf0001.png
AU-2010223919-B2,Methods and compositions for cell-proliferation-related disorders ,"Agios Pharmaceuticals, Inc.","Lenny Dang, Valeria Fantin, Stefan Gross, Hyun Gyung Jang, Shengfang Jin, Francesco G. Salituro, Jeffrey O. Saunders, Shinsan Su, Katharine Yen",2009-03-13,2010-03-12,2016-03-31,2016-03-31,https://patents.google.com/patent/AU2010223919B2/en,
EP-2721019-B1,Therapeutically active compositions and their methods of use ,"Agios Pharmaceuticals, Inc.","Sheldon Cao, Janeta Popovici-Muller, Francesco G. Salituro, Jeffrey O. Saunders, Jeremy Travins, Xuefei Tan, Shunqi Yan, Zhixiong Ye",2011-06-17,2012-06-18,2018-08-08,2018-08-08,https://patents.google.com/patent/EP2721019B1/en,
EP-2509600-B1,Therapeutically active compounds for use in the treatment of cancer characterized as having an idh mutation ,"Agios Pharmaceuticals, Inc.","Francesco G. Salituro, Jeffrey O. Saunders",2009-12-09,2010-12-09,2017-08-02,2017-08-02,https://patents.google.com/patent/EP2509600B1/en,https://patentimages.storage.googleapis.com/ec/c3/d3/a993bafb685c63/imgf0001.png
AU-2011278998-B2,Therapeutically active compositions and their method of use ,"Agios Pharmaceuticals, Inc.","Janeta Popovici-Muller, Francesco G. Salituro, Jeffrey O. Saunders, Jeremy M. Travins, Shunqi Yan",2010-07-16,2011-07-15,2016-06-09,2016-06-09,https://patents.google.com/patent/AU2011278998B2/en,
US-9474779-B2,Therapeutically active compositions and their methods of use ,"Agios Pharmaceuticals, Inc.","Rene M. Lemieux, Janeta Popovici-Muller, Jeremy Travins, Zhenwei Cai, DaWei Cui, Ding Zhou",2012-01-19,2013-01-18,2016-10-25,2016-10-25,https://patents.google.com/patent/US9474779B2/en,
US-9434979-B2,Methods and compositions for cell-proliferation-related disorders ,"Shin-San Michael Su, Lenny Dang, Stefan Gross, Shengfang Jin, Valeria Fantin","Shin-San Michael Su, Lenny Dang, Stefan Gross, Shengfang Jin, Valeria Fantin",2009-10-21,2012-04-20,2016-09-06,2016-09-06,https://patents.google.com/patent/US9434979B2/en,https://patentimages.storage.googleapis.com/1e/eb/b2/ff4a8ee98f8aae/US09434979-20160906-D00000.png
US-8501953-B2,PKM2 modulators for use in the treatment of cancer ,"Agios Pharmaceuticals, Inc","Francesco G. Salituro, Jeffrey O. Saunders",2009-05-04,2011-11-04,2013-08-06,2013-08-06,https://patents.google.com/patent/US8501953B2/en,
ES-2618637-T3,"Compounds, pharmaceutical compositions thereof and their use as inhibitors IDH1 mutants for treating cancers. ","Agios Pharmaceuticals, Inc.","Sheldon Cao, Janeta Popovici-Muller, Francesco G. Salituro, Jeffrey O. Saunders, Xuefei Tan, Jeremy Travins, Shunqi Yan, Zhixiong Ye",2011-06-17,2012-06-18,2017-06-21,2017-06-21,https://patents.google.com/patent/ES2618637T3/en,
