search URL:,https://patents.google.com/?assignee=AKEBIA+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2007265460-B2,Prolyl hydroxylase inhibitors and methods of use ,Akebia Therapeutics Inc.,"Angelique Sun Boyer, Artem G. Edokimov, Kenneth Donald Greis, Richard Masaru Kawamoto, Namal Chithranga Warshakoon, Shengde Wu",2006-06-26,2007-06-26,2011-03-03,2011-03-03,https://patents.google.com/patent/AU2007265460B2/en,
US-7790748-B2,N-alkyl-4-methyleneamino-3-hydroxy-2-pyridones ,"Warner Chilcott Company, Llc","Namal Chithranga Warshakoon, Rodney Dean Bush",2002-11-09,2007-06-18,2010-09-07,2010-09-07,https://patents.google.com/patent/US7790748B2/en,
US-8569348-B2,"Compounds, compositions, and methods for preventing metastasis of cancer cells ",Aerpio Therapeutics Inc.,"Robert Shalwitz, Kevin G. Peters",2009-07-06,2010-01-12,2013-10-29,2013-10-29,https://patents.google.com/patent/US8569348B2/en,https://patentimages.storage.googleapis.com/2b/46/f4/d4291ba783ca59/US08569348-20131029-D00001.png
US-7589212-B2,Human protein tyrosine phosphatase inhibitors and methods of use ,Procter & Gamble Company,"Jeffrey Lyle Gray, Kande K. D. Amarasinghe, Cynthia Monesa Clark, Ryan Matthew Nichols, Matthew B. Maier",2006-06-27,2007-06-26,2009-09-15,2009-09-15,https://patents.google.com/patent/US7589212B2/en,
US-2011212951-A1,Human protein tyrosine phosphatase inhibitors and methods of use ,"Jeffery Lyle Gray, Amarasinghe Kande K D, Cynthia Monesa Clark, Ryan Matthew Nichols, Maier Matthew B","Jeffery Lyle Gray, Kande K.D. Amarasinghe, Cynthia Monesa Clark, Ryan Matthew Nichols, Matthew B. Maier",2006-06-27,2010-08-04,2011-09-01,,https://patents.google.com/patent/US20110212951A1/en,
US-7622593-B2,Human protein tyrosine phosphatase inhibitors and methods of use ,The Procter & Gamble Company,"Jeffrey Lyle Gray, Kande K. D. Amarasinghe, Cynthia Monesa Clark, Ryan Matthew Nichols, Matthew B. Maier",2006-06-27,2007-06-26,2009-11-24,2009-11-24,https://patents.google.com/patent/US7622593B2/en,
CA-2748814-C,Methods for treating vascular leak syndrome ,"Akebia Therapeutics Inc., Robert Shalwitz, Kevin Gene Peters, Aerpio Therapeutics, Inc.","Robert Shalwitz, Kevin Gene Peters",2009-01-12,2010-01-12,2014-02-25,2014-02-25,https://patents.google.com/patent/CA2748814C/en,
US-7226755-B1,HPTPbeta as a target in treatment of angiogenesis mediated disorders ,The Procter & Gamble Company,"Kevin Gene Peters, Michael Glen Davis",2002-09-25,2003-08-04,2007-06-05,2007-06-05,https://patents.google.com/patent/US7226755B1/en,
US-7588924-B2,Crystal of hypoxia inducible factor 1 alpha prolyl hydroxylase ,Procter & Gamble Company,"Artem Gennady Evdokimov, Richard Masaru Kawamoto, Angelique Sun Boyer, Marlene Jan Mekel, Matthew Eugene Pokross, Richard Lee Walter, Jr.",2006-03-07,2007-03-05,2009-09-15,2009-09-15,https://patents.google.com/patent/US7588924B2/en,https://patentimages.storage.googleapis.com/dc/67/f4/f73067d3ee5e67/US07588924-20090915-D00001.png
US-7973142-B2,Antibodies that bind human protein tyrosine phosphatase beta (HPTPβ) ,Warner Chilcott Company,"Rocco Jamie Rotello, Kevin Gene Peters, Michael Glenn Davis",2006-04-07,2007-04-05,2011-07-05,2011-07-05,https://patents.google.com/patent/US7973142B2/en,https://patentimages.storage.googleapis.com/4b/14/e3/05991b9ec4777e/US07973142-20110705-D00001.png
EP-2717870-B1,Composition for stabilizing hypoxia inducible factor-2 alpha useful for treating cancer ,Akebia Therapeutics Inc.,"Robert Shalwitz, Joseph H. Gardner, John M. Janusz",2011-06-06,2012-06-05,2017-09-27,2017-09-27,https://patents.google.com/patent/EP2717870B1/en,https://patentimages.storage.googleapis.com/f1/2d/70/8fb33557bac81b/imgf0001.png
US-7769575-B2,Three dimensional coordinates of HPTPbeta ,"Warner Chilcott, LLC","Artem Gennady Evdokimov, Matthew Eugene Pokross",2002-09-25,2009-03-23,2010-08-03,2010-08-03,https://patents.google.com/patent/US7769575B2/en,https://patentimages.storage.googleapis.com/d7/9d/a6/30a51b044e3ca6/US07769575-20100803-D00001.png
US-2012129847-A1,"Compositions and methods for treating ocular edema, neovascularization and related diseases ","Kevin Gene Peters, Robert Shalwitz","Kevin Gene Peters, Robert Shalwitz",2010-10-07,2011-10-05,2012-05-24,,https://patents.google.com/patent/US20120129847A1/en,https://patentimages.storage.googleapis.com/0a/6d/70/e00150c4c40c4e/US20120129847A1-20120524-D00000.png
US-8999971-B2,Methods for increasing the stabilization of hypoxia inducible factor-1 alpha ,Aerpio Therapeutics Inc.,"Robert Shalwitz, Joseph H. Gardner",2009-11-06,2014-08-21,2015-04-07,2015-04-07,https://patents.google.com/patent/US8999971B2/en,https://patentimages.storage.googleapis.com/46/fd/84/a5191e9fb54ac0/US08999971-20150407-D00001.png
US-8999325-B2,Treatment of ocular disease ,"Aerpio Therapeutics, Inc","Kevin Peters, Robert Shalwitz",2011-10-13,2012-10-15,2015-04-07,2015-04-07,https://patents.google.com/patent/US8999325B2/en,https://patentimages.storage.googleapis.com/f5/bf/9b/884bcc6ef2d05f/US08999325-20150407-D00001.png
US-6946479-B2,N-sulfonyl-4-methyleneamino-3-hydroxy-2-pyridones ,The Procter & Gamble Company,"Namal Chithranga Warshakoon, Rodney Dean Bush",2002-11-09,2003-11-06,2005-09-20,2005-09-20,https://patents.google.com/patent/US6946479B2/en,
US-10246416-B2,"Process for preparing [(3-hydroxypyridine-2-carbonyl)amino] alkanoic acids, esters and amides ","Akebia Therapeutics, Inc.","Christopher M. Lanthier, Boris Gorin, Jan Oudenes, Craig Edward Dixon, Alan Quigbo Lu, James Denmore Copp, John Michael Janusz",2011-06-06,2017-08-31,2019-04-02,2019-04-02,https://patents.google.com/patent/US10246416B2/en,https://patentimages.storage.googleapis.com/03/cc/c7/4b06857da2a98e/US10246416-20190402-D00001.png
AU-2014348523-B2,"Solid forms of {[5-(3-chlorophenyl)-3-hydroxypyridine-2-carbonyl]amino}acetic acid, compositions, and uses thereof ","Akebia Therapeutics, Inc.","James Densmore Copp, Anne Luong, Ann W. Newman",2013-11-15,2014-11-14,2019-01-03,2019-01-03,https://patents.google.com/patent/AU2014348523B2/en,
US-2016143891-A1,Compositions and methods for treating anemia ,"Akebia Therapeutics, Inc.","Robert Shalwitz, Charlotte Hartman, Akshay Buch, Isaiah Shalwitz, John Janusz, Joseph Gardner",2013-06-13,2014-06-04,2016-05-26,,https://patents.google.com/patent/US20160143891A1/en,https://patentimages.storage.googleapis.com/ec/70/a2/cd5658582fc578/US20160143891A1-20160526-D00001.png
US-2016339005-A1,Compositions and methods for treating ocular diseases ,"Akebia Therapeutics, Inc.","Robert Shalwitz, William Daly",2014-01-23,2015-01-23,2016-11-24,,https://patents.google.com/patent/US20160339005A1/en,https://patentimages.storage.googleapis.com/84/fc/80/ad6d22e9ca481a/US20160339005A1-20161124-D00001.png
US-2018092892-A1,Compositions and Methods for Treating Anemia ,"Akebia Therapeutics, Inc.","Alexander Smith, Gurudatt Ajay Chandorkar, Ene Ikpong Ette, Bradley John Maroni, Charlotte Suzanne Hartman, Ramin Farzaneh-Far, Jula Kem Inrig",2015-04-01,2016-03-31,2018-04-05,,https://patents.google.com/patent/US20180092892A1/en,https://patentimages.storage.googleapis.com/51/f5/39/fa6e35cb083b90/US20180092892A1-20180405-D00000.png
US-10150734-B2,"Solid forms of 2-(5-(3-fluorophenyl)-3-hydroxypicolinamido)acetic acid, compositions, and uses thereof ","Akebia Therapeutics, Inc.","Roger Hanselmann, Anne Luong",2015-01-23,2016-01-22,2018-12-11,2018-12-11,https://patents.google.com/patent/US10150734B2/en,https://patentimages.storage.googleapis.com/d1/b7/b2/7deead507e564a/US10150734-20181211-D00001.png
CA-2979985-A1,Deuterium-enriched hypoxia-inducible factor prolyl hydroxylase enzyme inhibitors ,"Akebia Therapeutics, Inc., Roger Hanselmann",Roger Hanselmann,2015-03-20,2016-03-18,2016-09-29,,https://patents.google.com/patent/CA2979985A1/en,
AR-104157-A1,Compositions and methods for the treatment of anemia ,Akebia Therapeutics Inc,,2015-04-01,2016-03-31,2017-06-28,,https://patents.google.com/patent/AR104157A1/en,
AR-096598-A1,Compositions and methods for the treatment of anemia ,Akebia Therapeutics Inc,,2013-06-13,2014-06-12,2016-01-20,,https://patents.google.com/patent/AR096598A1/en,
AR-103506-A1,"solid forms of 2- (5- (3-fluorophenyl) -3-hidroxipicolinamido) acetic acid, their compositions and uses ",Akebia Therapeutics Inc,,2015-01-23,2016-01-22,2017-05-17,,https://patents.google.com/patent/AR103506A1/en,
WO-2019028150-A1,Compositions for use in methods of treatment of hemoglobin disorders ,"Akebia Therapeutics, Inc.","Ramin FARZANEH-FAR, Anna Zuk, Emil Morada DEGOMA",2017-08-01,2018-08-01,2019-02-07,,https://patents.google.com/patent/WO2019028150A1/en,
