search URL:,https://patents.google.com/?assignee=AKERS+BIOSCIENCES+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8871521-B2,Breath ketone detector ,"Akers Biosciences, Inc.","Raymond F. Akers, Jr.",2011-03-08,2012-03-08,2014-10-28,2014-10-28,https://patents.google.com/patent/US8871521B2/en,https://patentimages.storage.googleapis.com/0f/8b/c5/a39d99bcbc4980/US08871521-20141028-D00000.png
US-9383368-B2,Methods for detecting heparin/platelet factor 4 antibodies ,"Akers Biosciences, Inc.",Susan Andrelczyk,2004-10-04,2014-05-12,2016-07-05,2016-07-05,https://patents.google.com/patent/US9383368B2/en,https://patentimages.storage.googleapis.com/d4/7d/17/87128c73299b13/US09383368-20160705-D00001.png
EP-1793906-B1,Blood separator and method of separating a fluid fraction from whole blood ,"Akers Biosciences, Inc.","Donald Russell, David Milunic",2004-08-05,2005-08-05,2015-01-28,2015-01-28,https://patents.google.com/patent/EP1793906B1/en,https://patentimages.storage.googleapis.com/c8/5b/e2/1cd5b17ef4dc49/imgf0001.png
US-8808639-B2,Test strip card ,"Akers Biosciences, Inc.","Susan Andrelczyk, Leonard Schluter",2004-05-06,2013-03-20,2014-08-19,2014-08-19,https://patents.google.com/patent/US8808639B2/en,https://patentimages.storage.googleapis.com/2c/fa/ff/02b03de1d406ce/US08808639-20140819-D00000.png
US-D786872-S,Cartridge for scanning device ,"Akers Biosciences, Inc.","Raymond F. Akers, Jr., Richard E. McKee",2016-05-12,2016-05-12,2017-05-16,2017-05-16,https://patents.google.com/patent/USD786872S1/en,https://patentimages.storage.googleapis.com/8a/4b/91/552c861568b15c/USD0786872-20170516-D00000.png
US-D800121-S,Optical scanning device ,"Akers Biosciences, Inc.","Raymond F. Akers, Jr., Richard E. McKee, Michael Alan Feldman",2016-05-12,2016-05-12,2017-10-17,2017-10-17,https://patents.google.com/patent/USD800121S1/en,https://patentimages.storage.googleapis.com/90/98/86/f5a740bcdcbbb8/USD0800121-20171017-D00000.png
US-D691058-S,Four color comparison card ,"Akers Biosciences, Inc.","Raymond F. Akers, Jr.",2012-10-09,2012-10-09,2013-10-08,2013-10-08,https://patents.google.com/patent/USD691058S1/en,https://patentimages.storage.googleapis.com/d3/3d/dc/48fcfb7addece9/USD0691058-20131008-D00000.png
US-D691057-S,Comparison card ,"Akers Biosciences, Inc.","Raymond F. Akers, Jr.",2012-10-09,2012-10-09,2013-10-08,2013-10-08,https://patents.google.com/patent/USD691057S1/en,https://patentimages.storage.googleapis.com/36/57/6d/d8118440e21ecf/USD0691057-20131008-D00000.png
US-D691056-S,Two color comparison card ,"Akers Biosciences, Inc.","Raymond F. Akers, Jr.",2012-10-09,2012-10-09,2013-10-08,2013-10-08,https://patents.google.com/patent/USD691056S1/en,https://patentimages.storage.googleapis.com/84/7c/10/7a5a1b04d8680b/USD0691056-20131008-D00000.png
WO-2018004603-A1,"Method of using an optical scanning device and a cartridge to collect light reflected by a reagent in the cartridge that is exposed to human breath, and kit for same ","Akers Biosciences, Inc.","Richard E. Mckee, Michael Alan FELDMAN, Ronald LETIZIA",2016-06-30,2016-06-30,2018-01-04,,https://patents.google.com/patent/WO2018004603A1/en,
