search URL:,https://patents.google.com/?assignee=ALDER+BIOPHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-1678314-B1,Methods of synthesizing heteromultimeric polypeptides in yeast using a haploid mating strategy ,"Keck Graduate Institute, Alder Biopharmaceuticals, Inc.","James M. Cregg, John Latham, Mark Litton, Randall Schatzman, Ilya I. Tolstorukov",2003-10-22,2004-10-22,2012-09-05,2012-09-05,https://patents.google.com/patent/EP1678314B1/en,https://patentimages.storage.googleapis.com/a4/98/0a/8892b5d06795ac/imgf0001.png
US-7935340-B2,Antibodies to IL-6 and use thereof ,Alderbio Holdings Llc,"Leon Garcia-Martinez, Anne Elisabeth Carvalho Jensen, Katie Olson, Ben Dutzar, Ethan Ojala, Brian Kovacevich, John Latham, Jeffrey T. L. Smith",2007-05-21,2008-05-21,2011-05-03,2011-05-03,https://patents.google.com/patent/US7935340B2/en,https://patentimages.storage.googleapis.com/21/75/71/1a32e4037a9669/US07935340-20110503-D00001.png
AU-2010324739-B2,Antibodies to IL-6 and use thereof ,"Alder Biopharmaceuticals, Inc.","Ben Dutzar, Leon Garcia-Martinez, Anne Elisabeth Carvalho Jensen, Brian Kovacevich, John Latham, Mark Litton, Katie Olson, Randall Schatzman, Jeffrey T. L. Smith",2009-11-24,2010-11-24,2016-05-05,2016-05-05,https://patents.google.com/patent/AU2010324739B2/en,
AU-2007307324-B2,Culture method for obtaining a clonal population of antigen-specific B cells ,"Alder Biopharmaceuticals, Inc.","Leon Garcia, Anne Elisabeth Carvalho Jensen, John Latham, Ethan Ojala",2006-05-19,2007-05-21,2013-08-15,2013-08-15,https://patents.google.com/patent/AU2007307324B2/en,
US-8323649-B2,Antibodies to IL-6 and use thereof ,Alderbio Holdings Llc,"Leon Garcia-Martinez, Anne Elisabeth Carvalho Jensen, Katie Olson, Ben Dutzar, Ethan Ojala, Brian Kovacevich, John Latham, Jeffrey T. L. Smith",2008-11-25,2009-07-14,2012-12-04,2012-12-04,https://patents.google.com/patent/US8323649B2/en,https://patentimages.storage.googleapis.com/00/00/f0/68e93a969850ea/US08323649-20121204-D00001.png
AU-2016256810-B2,Antagonists of IL-6 to prevent or treat thrombosis ,"Alder Biopharmaceuticals, Inc.",Jeffrey T. L. Smith,2008-11-25,2016-11-11,2019-01-17,2019-01-17,https://patents.google.com/patent/AU2016256810B2/en,
US-2009104187-A1,Novel Rabbit Antibody Humanization Methods and Humanized Rabbit Antibodies ,"Alder Biopharmaceuticals, Inc.","Brian R. Kovacevich, John Latham",2007-05-21,2008-05-21,2009-04-23,,https://patents.google.com/patent/US20090104187A1/en,
US-9056905-B2,Antibodies to TNF-α and use thereof ,Alderbio Holdings Llc,"Katie Olson, Ben Dutzar, Anne Elisabeth Carvalho Jensen, Leon Garcia-Martinez, Ethan Ojala, John Latham",2007-05-21,2008-05-21,2015-06-16,2015-06-16,https://patents.google.com/patent/US9056905B2/en,https://patentimages.storage.googleapis.com/99/97/83/c5e1a822a67d2f/US09056905-20150616-D00001.png
US-8062864-B2,"Nucleic acids encoding antibodies to IL-6, and recombinant production of anti-IL-6 antibodies ",Alderbio Holdings Llc,"Leon Garcia-Martinez, Anne Elisabeth Carvalho Jensen, Katie Olson, Ben Dutzar, Ethan Ojala, Brian Kovacevich, John Latham, Jeffrey T. L. Smith",2007-05-21,2009-02-05,2011-11-22,2011-11-22,https://patents.google.com/patent/US8062864B2/en,https://patentimages.storage.googleapis.com/8b/82/81/2a4ab77496bc97/US08062864-20111122-D00001.png
US-2012121594-A1,Anti-il-6 antibodies for the treatment of arthritis ,"Alder Biopharmaceuticals, Inc.",Jeffrey T. L. Smith,2008-11-25,2011-11-23,2012-05-17,,https://patents.google.com/patent/US20120121594A1/en,https://patentimages.storage.googleapis.com/c8/15/f7/2ba5fd6605383a/US20120121594A1-20120517-D00001.png
US-2009238825-A1,Novel rabbit antibody humanization methods and humanized rabbit antibodies ,"Kovacevich Brian R, John Latham","Brian R. Kovacevich, John Latham",2007-05-21,2009-03-06,2009-09-24,,https://patents.google.com/patent/US20090238825A1/en,
US-8420089-B2,Antagonists of IL-6 to raise albumin and/or lower CRP ,Alderbio Holdings Llc,Jeffrey T. L. Smith,2008-11-25,2009-11-24,2013-04-16,2013-04-16,https://patents.google.com/patent/US8420089B2/en,https://patentimages.storage.googleapis.com/2b/65/87/5503736b525971/US08420089-20130416-D00001.png
US-9546213-B2,"Antagonists of IL-6 to prevent or treat cachexia, weakness, fatigue, and/or fever ",Alderbio Holdings Llc,"Jeffrey T. L. Smith, Randall C. Schatzman, Mark J. Litton, John Latham",2007-05-21,2011-03-14,2017-01-17,2017-01-17,https://patents.google.com/patent/US9546213B2/en,https://patentimages.storage.googleapis.com/bd/ef/3a/74907ff4007756/US09546213-20170117-D00000.png
US-2012128626-A1,Anti-il-6 antibodies for the treatment of anemia ,"Alder Biopharmaceuticals, Inc.",Jeffery T. L. Smith,2010-11-23,2011-11-23,2012-05-24,,https://patents.google.com/patent/US20120128626A1/en,https://patentimages.storage.googleapis.com/f9/7e/2a/bc342742602a39/US20120128626A1-20120524-D00001.png
US-8277804-B2,Antagonists of IL-6 to prevent or treat thrombosis ,Alderbio Holdings Llc,Jeffrey T. L. Smith,2008-05-21,2009-11-24,2012-10-02,2012-10-02,https://patents.google.com/patent/US8277804B2/en,https://patentimages.storage.googleapis.com/da/0a/a2/b712edefe0f4ef/US08277804-20121002-D00001.png
US-9452227-B2,Methods of treating or diagnosing conditions associated with elevated IL-6 using anti-IL-6 antibodies or fragments ,Alderbio Holdings Llc,"Leon Garcia-Martinez, Anne Elisabeth Carvalho Jensen, Katie Olson, Ben Dutzar, John Latham, Brian Kovacevich, Jeffrey T. L. Smith, Mark Litton, Randall Schatzman",2008-11-25,2009-11-24,2016-09-27,2016-09-27,https://patents.google.com/patent/US9452227B2/en,https://patentimages.storage.googleapis.com/0e/f5/0a/b6843e5deacaf4/US09452227-20160927-D00001.png
