search URL:,https://patents.google.com/?assignee=ALDEYRA+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2006249866-B2,Compositions and methods of treating retinal disease ,"Aldeyra Therapeutics, Inc.","John Clifford Chabala, John E. Dowling, Thomas A. Jordan",2005-05-26,2006-05-26,2011-10-13,2011-10-13,https://patents.google.com/patent/AU2006249866B2/en,
US-2015335632-A1,Toxic aldehyde related diseases and treatment ,"Aldeyra Therapeutics, Inc.","Todd BRADY, Scott Young, William A. Kinney, Kenneth J. Mandell",2013-01-23,2014-01-23,2015-11-26,,https://patents.google.com/patent/US20150335632A1/en,https://patentimages.storage.googleapis.com/88/3c/95/2df4141e00196a/US20150335632A1-20151126-D00001.png
US-10111862-B2,Traps in the treatment of macular degeneration ,"Aldeyra Therapeutics, Inc.","John Clifford Chabala, Thomas A. Jordan, Ke-Qing Ling, John G. Gleason, William A. Kinney",2013-01-25,2014-01-21,2018-10-30,2018-10-30,https://patents.google.com/patent/US10111862B2/en,https://patentimages.storage.googleapis.com/e0/db/ed/9c623a9571d2d0/US10111862-20181030-D00001.png
US-9814701-B2,Compositions and methods for the treatment of macular degeneration ,"Aldeyra Therapeutics, Inc.","Thomas A. Jordan, John Clifford Chabala, Gerald D. Cagle",2009-12-11,2010-12-09,2017-11-14,2017-11-14,https://patents.google.com/patent/US9814701B2/en,https://patentimages.storage.googleapis.com/13/bb/8c/d24754ae23c6ff/US09814701-20171114-D00001.png
US-9604997-B2,Peri-carbinols ,"Aldeyra Therapeutics, Inc.","Thomas A. Jordan, John Clifford Chabala, Ke-Qing Ling, William A. Kinney",2012-12-20,2013-12-19,2017-03-28,2017-03-28,https://patents.google.com/patent/US9604997B2/en,https://patentimages.storage.googleapis.com/1a/f7/63/3b343dbb3be99c/US09604997-20170328-D00001.png
US-2013190500-A1,Process to prepare 6-chloro-3-amino-2-(2-hydroxypropyl)-1-azanaphthalene ,"Neuron Systems, Inc.","Jack Fitzgerald Greiner, Thomas Elliott Jacks, Andrew Steven Thompson",2011-12-12,2012-12-10,2013-07-25,,https://patents.google.com/patent/US20130190500A1/en,
KR-20180073554-A,Deuterated compounds and uses thereof ,"알데이라 테라퓨틱스, 아이엔씨.","토드 브래디, 스캇 영, 윌리엄 에이. 키니, 수잔 맥도날드",2015-08-21,2016-08-22,2018-07-02,,https://patents.google.com/patent/KR20180073554A/en,https://patentimages.storage.googleapis.com/93/60/25/11f309c3078624/pct00156.png
KR-20180073553-A,Aldehyde conjugates and uses thereof ,"알데이라 테라퓨틱스, 아이엔씨.","토드 브래디, 스캇 영, 윌리엄 에이. 키니",2015-08-21,2016-08-22,2018-07-02,,https://patents.google.com/patent/KR20180073553A/en,https://patentimages.storage.googleapis.com/18/eb/d3/218b76a2aa8885/pct00119.png
US-2017266220-A1,Treatment of allergic eye conditions with cyclodextrins ,"Aldeyra Therapeutics, Inc.","Scott Young, Todd BRADY, Stephen Gitu Machatha, David Clark, Susan Macdonald",2016-02-28,2017-02-28,2017-09-21,,https://patents.google.com/patent/US20170266220A1/en,https://patentimages.storage.googleapis.com/50/44/73/74f790cc612513/US20170266220A1-20170921-D00001.png
US-2018050989-A1,Aldehyde trapping compounds and uses thereof ,"Aldeyra Therapeutics, Inc.","Stephen Gitu Machatha, Scott Young",2016-08-22,2017-08-22,2018-02-22,,https://patents.google.com/patent/US20180050989A1/en,https://patentimages.storage.googleapis.com/c7/c6/2b/75afc3d0245dcb/US20180050989A1-20180222-D00001.png
US-2019105322-A1,Treatment of inflammatory disorders ,"Aldeyra Therapeutics, Inc.","Susan Macdonald, Adna Halilovic",2017-10-10,2018-10-10,2019-04-11,,https://patents.google.com/patent/US20190105322A1/en,https://patentimages.storage.googleapis.com/b0/5b/91/05f8858afb9440/US20190105322A1-20190411-D00000.png
US-2018265474-A1,Polymorphic compounds and uses thereof ,"Aldeyra Therapeutics, Inc.","Amanda BUIST, Eden FUCCI, Stephen G. Machatha, Osama Suleiman, Kate WITTERING",2017-03-16,2018-03-16,2018-09-20,,https://patents.google.com/patent/US20180265474A1/en,https://patentimages.storage.googleapis.com/4a/36/b8/0769d850594334/US20180265474A1-20180920-D00001.png
CN-109152774-A,The combined therapy of ophthalmic inflammatory illness and disease ,奥尔德拉医疗公司,"托德·布雷迪, 斯科特·杨",2016-05-09,2017-05-09,2019-01-04,,https://patents.google.com/patent/CN109152774A/en,
CA-3032609-A1,Aldehyde trapping compounds and methods of use thereof ,"Aldeyra Therapeutics, Inc., William A. Kinney, Stephen Gitu MACHATHA, Scott Young","William A. Kinney, Stephen Gitu MACHATHA, Scott Young",2016-08-22,2017-08-22,2018-03-01,,https://patents.google.com/patent/CA3032609A1/en,
