search URL:,https://patents.google.com/?assignee=ALEXZA+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CA-2447166-C,Delivery of erectile dysfunction drugs through an inhalation route ,"Alexza Molecular Delivery Corporation, Joshua D. Rabinowitz, Alejandro C. Zaffaroni, Alexza Pharmaceuticals, Inc.","Joshua D. Rabinowitz, Alejandro C. Zaffaroni",2001-05-24,2002-05-22,2009-12-22,2009-12-22,https://patents.google.com/patent/CA2447166C/en,
AU-2002311926-B2,Method of forming an aerosol for inhalation delivery ,"Alexza Pharmaceuticals, Inc.","Ron L. Hale, Craig C. Hodges, Peter M. Lloyd, Jeffrey A. Mckinney, Daniel Mufson, Daniel J. Myers, Reynaldo J. Quintana, Joshua D. Rabinowitz, Daniel D. Rogers, Soonho Song, Martin J. Wensley",2001-06-05,2002-05-13,2007-12-06,2007-12-06,https://patents.google.com/patent/AU2002311926B2/en,
AU-2003294231-B9,Inhalation device for producing a drug aerosol ,"Alexza Pharmaceuticals, Inc.","Stephen Cross, Ron L. Hale, Craig C. Hodges, Peter M. Lloyd, Daniel J. Myers, Reynaldo J. Quintana, Joshua D. Rabinowitz, Curtis Tom, Martin J. Wensley",2002-11-27,2003-10-16,2009-10-22,2009-10-22,https://patents.google.com/patent/AU2003294231B9/en,
US-8003080-B2,Delivery of drug amines through an inhalation route ,"Alexza Pharmaceuticals, Inc.","Joshua D. Rabinowitz, Alejandro C. Zaffaroni",2002-05-13,2003-05-13,2011-08-23,2011-08-23,https://patents.google.com/patent/US8003080B2/en,https://patentimages.storage.googleapis.com/3f/29/f6/113c124faf6c91/US08003080-20110823-D00001.png
EP-1506031-B1,Method and apparatus for vaporizing a compound ,"Alexza Pharmaceuticals, Inc.","Ron L. Hale, Soonho Song, Reynaldo J. Quintana",2002-05-13,2003-05-13,2009-03-18,2009-03-18,https://patents.google.com/patent/EP1506031B1/en,https://patentimages.storage.googleapis.com/99/3c/9d/71a35b4963b278/imgf0001.png
EP-1625336-B9,"Use of a layer of solid fuel, method for producing such a layer and associated heating unit ","Alexza Pharmaceuticals, Inc.","Ron L. Hale, Reynaldo Quintana, Krishnamohan Sharma, Dennis W. Solas, Soonho Song, Pravin Soni",2003-05-21,2004-05-20,2012-03-21,2012-03-21,https://patents.google.com/patent/EP1625336B9/en,https://patentimages.storage.googleapis.com/77/cc/aa/1c0673c3ddfbd9/imgf0001.png
US-8333197-B2,Multiple dose condensation aerosol devices and methods of forming condensation aerosols ,"Alexza Pharmaceuticals, Inc.","Stephen D. Cross, Mathieu Herbette, Andrew J. G. Kelly, Daniel J. Myers, William W. Shen, Ryan D. Timmons, Curtis Tom, Justin M. Virgili, Martin J. Wensley",2004-06-03,2009-05-29,2012-12-18,2012-12-18,https://patents.google.com/patent/US8333197B2/en,https://patentimages.storage.googleapis.com/f7/be/e2/da397c1a81b827/US08333197-20121218-D00000.png
US-7090830-B2,Drug condensation aerosols and kits ,"Alexza Pharmaceuticals, Inc.","Ron L. Hale, Craig C. Hodges, Peter M. Lloyd, Amy T. Lu, Daniel J. Myers, Joshua D. Rabinowitz, Martin J. Wensley",2001-05-24,2003-11-20,2006-08-15,2006-08-15,https://patents.google.com/patent/US7090830B2/en,https://patentimages.storage.googleapis.com/cf/35/df/7e242cdf95efe2/US07090830-20060815-D00003.png
US-7581540-B2,Aerosol drug delivery device incorporating percussively activated heat packages ,"Alexza Pharmaceuticals, Inc.","Ron L. Hale, Mingzu Lei, Peter M. Lloyd, Patrik Munzar, Krishnamohan Sharma, Dennis W. Solas, Matthew D. Stracker",2004-08-12,2004-08-12,2009-09-01,2009-09-01,https://patents.google.com/patent/US7581540B2/en,https://patentimages.storage.googleapis.com/28/35/95/fa7e85845dbbf6/US07581540-20090901-D00000.png
EP-1656171-B1,Substrates for drug delivery device and methods of preparing ,"Alexza Pharmaceuticals, Inc.","Bryson Bennett, Ron L. Hale, Amy T. Lu, Daniel J. Myers, Joshua D. Rabinowitz, Krishnamohan Sharma, Martin J. Wensley",2003-08-04,2004-08-04,2010-06-09,2010-06-09,https://patents.google.com/patent/EP1656171B1/en,https://patentimages.storage.googleapis.com/a1/2e/1c/e9cc0ad3b39766/imgf0001.png
US-7550133-B2,Respiratory drug condensation aerosols and methods of making and using them ,"Alexza Pharmaceuticals, Inc.","Ron L. Hale, Peter M. Lloyd, Amy T. Lu, Joshua D. Rabinowitz, Martin J. Wensley",2002-11-26,2003-11-20,2009-06-23,2009-06-23,https://patents.google.com/patent/US7550133B2/en,
EP-1392258-B1,"Delivery of alprazolam, estazolam, midazolam or triazolam through an inhalation route ","Alexza Pharmaceuticals, Inc.","Joshua D. Rabinowitz, Alejandro C. Zaffaroni",2001-05-24,2002-05-22,2008-11-26,2008-11-26,https://patents.google.com/patent/EP1392258B1/en,https://patentimages.storage.googleapis.com/30/1d/f7/3ceece7acf3fc1/imgf0001.png
ES-2594867-T3,Heating unit for use in a drug delivery device ,"Alexza Pharmaceuticals, Inc.","Martin J. Wensley, Marc Glazer, James Bresson, Ryan Timmons, Daniel J. Myers",2007-03-09,2008-03-10,2016-12-23,2016-12-23,https://patents.google.com/patent/ES2594867T3/en,
US-7645442-B2,Rapid-heating drug delivery article and method of use ,"Alexza Pharmaceuticals, Inc.","Ron L. Hale, Peter M. Lloyd, Amy Lu, Daniel J. Myers, Reynaldo J. Quintana, Joshua D. Rabinowitz, Dennis W. Solas, Soonho Song, Curtis Tom, Martin J. Wensley",2001-05-24,2003-08-04,2010-01-12,2010-01-12,https://patents.google.com/patent/US7645442B2/en,https://patentimages.storage.googleapis.com/US7645442B2/US07645442-20100112-D00001.png
US-7018621-B2,Delivery of rizatriptan or zolmitriptan through an inhalation route ,"Alexza Pharmaceuticals, Inc.","Ron L. Hale, Joshua D. Rabinowitz, Dennis W. Solas, Alejandro C. Zaffaroni",2001-05-24,2004-03-03,2006-03-28,2006-03-28,https://patents.google.com/patent/US7018621B2/en,https://patentimages.storage.googleapis.com/US7018621B2/US07018621-20060328-D00001.png
US-7402777-B2,Stable initiator compositions and igniters ,"Alexza Pharmaceuticals, Inc.","Hale L. Ron, Mingzu Lei, Hilary N. Pettit, Dennis W. Solas, Soonho Song, Curtis Tom",2004-05-20,2004-05-20,2008-07-22,2008-07-22,https://patents.google.com/patent/US7402777B2/en,
US-7585493-B2,Thin-film drug delivery article and method of use ,"Alexza Pharmaceuticals, Inc.","Ron L. Hale, Amy Lu, Daniel J. Myers, Joshua D. Rabinowitz, Martin J. Wensley",2001-05-24,2003-08-04,2009-09-08,2009-09-08,https://patents.google.com/patent/US7585493B2/en,https://patentimages.storage.googleapis.com/US7585493B2/US07585493-20090908-D00001.png
US-2003032638-A1,Delivery of benzodiazepines through an inhalation route ,"Kim John J., Rabinowitz Joshua D., Zaffaroni Alejandro C.","John Kim, Joshua Rabinowitz, Alejandro Zaffaroni",2001-05-24,2002-05-21,2003-02-13,,https://patents.google.com/patent/US20030032638A1/en,https://patentimages.storage.googleapis.com/4a/9f/4a/60467cda2de7d9/US20030032638A1-20030213-D00001.png
US-2005126562-A1,Treatment of breakthrough pain by drug aerosol inhalation ,Alexza Molecular Delivery Corporation,"Joshua Rabinowitz, William Shen, Martin Wensley",2003-12-15,2004-11-23,2005-06-16,,https://patents.google.com/patent/US20050126562A1/en,https://patentimages.storage.googleapis.com/dc/5b/6f/27dd88a15c7102/US20050126562A1-20050616-D00000.png
US-2005131739-A1,Methods for monitoring severity of panic attacks and other rapidly evolving medical events in real time ,Alexza Molecular Delivery Corporation,"Joshua Rabinowitz, Roman Skowronski",2003-12-16,2004-11-23,2005-06-16,,https://patents.google.com/patent/US20050131739A1/en,https://patentimages.storage.googleapis.com/ef/1e/a5/1f43ca9ea30b51/US20050131739A1-20050616-D00000.png
EP-1567164-B1,Use of loxapine for the manufacture of a medicament for the treatment of pain ,"Alexza Pharmaceuticals, Inc.","Ron L. Hale, Patrik Munzar, Joshua D. Rabinowitz",2002-11-26,2003-11-20,2009-01-14,2009-01-14,https://patents.google.com/patent/EP1567164B1/en,https://patentimages.storage.googleapis.com/a9/05/2d/0714c65e2e1f87/imgf0001.png
US-8235037-B2,Drug condensation aerosols and kits ,"Alexza Pharmaceuticals, Inc.","Ron L. Hale, Craig C. Hodges, Peter M. Lloyd, Amy T. Lu, Daniel J. Myers, Joshua D. Rabinowitz, Martin J. Wensley, Jeffrey A. McKinney, Alejandro C. Zaffaroni",2001-05-24,2008-05-08,2012-08-07,2012-08-07,https://patents.google.com/patent/US8235037B2/en,https://patentimages.storage.googleapis.com/46/47/f1/a3e354221f6804/US08235037-20120807-D00001.png
