search URL:,https://patents.google.com/?assignee=ALNYLAM+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2004220556-B2,Therapeutic compositions ,"Alnylam Pharmaceuticals, Inc.","David Bumcrot, Muthiah Manoharan",2003-03-07,2004-03-08,2009-05-07,2009-05-07,https://patents.google.com/patent/AU2004220556B2/en,
EP-2008274-B1,Compositions and methods for inhibiting expression of eg5 gene ,Alnylam Pharmaceuticals Inc.,"David Bumcrot, Pamela Tan, Hans-Peter Vornlocher, Anke Geick",2006-03-31,2007-03-30,2015-05-27,2015-05-27,https://patents.google.com/patent/EP2008274B1/en,
AU-2005201044-B2,Method and medicament for inhibiting the expression of a defined gene ,"Alnylam Pharmaceuticals, Inc.","Roland Kreutzer, Stephan Limmer",1999-01-30,2005-03-09,2008-05-29,2008-05-29,https://patents.google.com/patent/AU2005201044B2/en,
CA-2522637-C,Modified irna agents ,"Alnylam Pharmaceuticals, Inc., Muthiah Manoharan",Muthiah Manoharan,2003-04-17,2004-04-16,2014-01-21,2014-01-21,https://patents.google.com/patent/CA2522637C/en,
CA-2743136-C,Novel lipids and compositions for the delivery of therapeutics ,"Muthiah Manoharan, Kallanthottathil G. Rajeev, Muthusamy Jayaraman, David Butler, Jayaprakash K. Narayanannair, Martin Maier, Laxman Eltepu, Alnylam Pharmaceuticals, Inc., Tekmira Pharmaceuticals Corporation, Arbutus Biopharma Corporation","Muthiah Manoharan, Kallanthottathil G. Rajeev, Muthusamy Jayaraman, David Butler, Jayaprakash K. Narayanannair, Martin Maier, Laxman Eltepu",2008-11-10,2009-11-10,2019-02-26,2019-02-26,https://patents.google.com/patent/CA2743136C/en,
AU-781598-B2,Methods and compositions for inhibiting the function of polynucleotide sequences ,"Alnylam Pharmaceuticals, Inc.","Catherine Pachuk, C. Satishchandran",1999-04-21,2000-04-19,2005-06-02,2005-06-02,https://patents.google.com/patent/AU781598B2/en,
CA-2764609-C,Improved cationic lipid of formula i ,"Alnylam Pharmaceuticals, Inc., Jianxin Chen, Steven Ansell, Akin Akinc, Joseph R. Dorkin, Xiaojun Qin, William Cantley, Muthiah Manoharan, Kallanthottathil G. Rajeev, Jayaprakash K. Narayanannair, Muthusamy Jayaraman, Tekmira Pharmaceuticals Corporation, Arbutus Biopharma Corporation","Jianxin Chen, Steven Ansell, Akin Akinc, Joseph R. Dorkin, Xiaojun Qin, William Cantley, Muthiah Manoharan, Kallanthottathil G. Rajeev, Jayaprakash K. Narayanannair, Muthusamy Jayaraman",2009-06-10,2010-06-10,2018-10-02,2018-10-02,https://patents.google.com/patent/CA2764609C/en,
AU-2005272816-B2,Chemically modified oligonucleotides ,"Alnylam Pharmaceuticals, Inc.","Venkitasamy Kesavan, Muthiah Manoharan, Kallanthottathil G. Rajeev",2004-08-10,2005-08-10,2011-08-11,2011-08-11,https://patents.google.com/patent/AU2005272816B2/en,
CA-2708153-C,Carbohydrate conjugates as delivery agents for oligonucleotides ,"Alnylam Pharmaceuticals, Inc., Muthiah Manoharan, Kallanthottathil G. Rajeev, Jayaprakash K. Narayanannair, Martin Maier","Muthiah Manoharan, Kallanthottathil G. Rajeev, Jayaprakash K. Narayanannair, Martin Maier",2007-12-04,2008-12-04,2017-09-26,2017-09-26,https://patents.google.com/patent/CA2708153C/en,
CA-2665225-C,Lipid containing formulations ,"Alnylam Pharmaceuticals, Inc., Muthiah Manoharan, Kallanthottahil G. Rajeev, Akin Akinc, Jayaprakash K. Narayanannair, Muthusamy Jayraman, Martin A. Maier, Tekmira Pharmaceuticals Corporation, Arbutus Biopharma Corporation","Muthiah Manoharan, Kallanthottahil G. Rajeev, Akin Akinc, Jayaprakash K. Narayanannair, Muthusamy Jayraman, Martin A. Maier",2006-10-03,2007-10-03,2015-06-30,2015-06-30,https://patents.google.com/patent/CA2665225C/en,
CA-2651839-C,Compositions and methods for inhibiting expression of the pcsk9 gene ,"Alnylam Pharmaceuticals, Inc., Pamela Tan, Birgit Bramlage, Maria Frank-Kamenetsky, Kevin Fitzgerald, Akin Akinc, Victor E. Kotelianski, Alnylam Europe Ag","Pamela Tan, Birgit Bramlage, Maria Frank-Kamenetsky, Kevin Fitzgerald, Akin Akinc, Victor E. Kotelianski",2006-05-11,2007-05-10,2016-02-09,2016-02-09,https://patents.google.com/patent/CA2651839C/en,
AU-2010245869-B2,Lipid compositions ,Arbutus Biopharma Corporation,"David Butler, Muthusamy Jayaraman, Michael E. Jung, Muthiah Manoharan, Kallanthottathil G. Rajeev",2009-05-05,2010-05-05,2016-10-20,2016-10-20,https://patents.google.com/patent/AU2010245869B2/en,
US-7829693-B2,Compositions and methods for inhibiting expression of a target gene ,"Alnylam Pharmaceuticals, Inc.","Roland Kreutzer, Stefan Limmer, Sylvia Limmer, Philipp Hadwiger",1999-11-24,2003-03-07,2010-11-09,2010-11-09,https://patents.google.com/patent/US7829693B2/en,https://patentimages.storage.googleapis.com/f3/56/2e/f4c252b739969c/US07829693-20101109-D00001.png
US-8541385-B2,Chemically modified oligonucleotides for use in modulation micro RNA and uses thereof ,"The Rockefeller University, Alnylam Pharmaceuticals, Inc.","Markus Stoffel, Muthiah Manoharan, Kallanthottathil G Rajeev",2005-08-10,2010-03-01,2013-09-24,2013-09-24,https://patents.google.com/patent/US8541385B2/en,https://patentimages.storage.googleapis.com/7f/a0/c2/0b1cf58622c8d4/US08541385-20130924-D00001.png
