search URL:,https://patents.google.com/?assignee=ALTUS+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2002256971-B2,Crystals of whole antibodies and fragments thereof and methods for making and using them ,Altus Pharmaceuticals Inc.,"Chandrika P. Govardhan, Alexey L. Margolin, Bhami Shenoy, Mark X. Yang",2000-12-28,2001-12-26,2008-04-03,2008-04-03,https://patents.google.com/patent/AU2002256971B2/en,
US-7351798-B2,"Stabilized protein crystals, formulations comprising them and methods of making them ",Altus Pharmaceuticals Inc.,"Alexey L Margolin, Nazar K Khalaf, Nancy L St Clair, Scott L Rakestraw, Bhami C Shenoy",1997-12-31,2003-03-05,2008-04-01,2008-04-01,https://patents.google.com/patent/US7351798B2/en,https://patentimages.storage.googleapis.com/US7351798B2/US07351798-20080401-D00001.png
EP-1809320-B1,Compositions containing lipase; protease and amylase for treating pancreatic insufficiency ,Altus Pharmaceuticals Inc.,"Alexey L. Margolin, Frederick T. Murray, Bhami C. Shenoy, Anthony Christopher Lee Stevens",2004-10-14,2005-10-14,2010-07-21,2010-07-21,https://patents.google.com/patent/EP1809320B1/en,https://patentimages.storage.googleapis.com/23/75/f5/549f4bb05c3fa6/imgf0001.png
US-6140475-A,Controlled dissolution crosslinked protein crystals ,Altus Biologics Inc.,"Alexey L. Margolin, Rose A. Persichetti, Nancy L. St. Clair, Nazer K. Khalaf",1997-04-11,1997-04-11,2000-10-31,2000-10-31,https://patents.google.com/patent/US6140475A/en,https://patentimages.storage.googleapis.com/63/e9/d2/2104b54816599c/US6140475-drawings-page-2.png
US-7998477-B2,Spherical protein particles and methods for making and using them ,Althea Technologies Inc.,"Kirill Yakovlevsky, Michael Shamashkin, Nazer Khalaf, Chandrika P. Govardhan, Chu W. Jung",2001-06-21,2003-12-19,2011-08-16,2011-08-16,https://patents.google.com/patent/US7998477B2/en,https://patentimages.storage.googleapis.com/d9/91/c5/56ee559bfac586/US07998477-20110816-D00001.png
US-5932212-A,Crosslinked protein crystal formulations and their use as catalysts in organic solvents ,"Altus Biologics, Inc.",Nazer K. Khalaf,1996-05-24,1996-05-24,1999-08-03,1999-08-03,https://patents.google.com/patent/US5932212A/en,
EP-1261368-B1,"Crosslinked, non-fungal lipase-containing composition and methods of use thereof ",Altus Pharmaceuticals Inc.,"Alex Margolin, Bhami Shenoy",2000-02-24,2001-02-23,2010-04-28,2010-04-28,https://patents.google.com/patent/EP1261368B1/en,https://patentimages.storage.googleapis.com/19/e3/af/fbbdac62e71461/imgf0001.png
AU-2003300126-B2,Complexes of protein crystals and ionic polymers ,Altus Pharmaceuticals Inc.,"Chandrika Govardhan, Nazer Khalaf",2002-12-31,2003-12-31,2010-04-01,2010-04-01,https://patents.google.com/patent/AU2003300126B2/en,
EP-2311436-A1,"Stabilized protein crystals, formulations containing them and methods of making them ",Altus Pharmaceuticals Inc.,"Alexey L. Margolin, Nazer K. Khalaf, Nancy L. St. Clair, Scott L. Rakestraw, Bhami C. Shenoy",1998-04-27,1999-04-27,2011-04-20,,https://patents.google.com/patent/EP2311436A1/en,https://patentimages.storage.googleapis.com/04/83/fb/e85788eaff6186/imgf0001.png
AU-2002256971-A1,Crystals of whole antibodies and fragments thereof and methods for making and using them ,Altus Pharmaceuticals Inc.,"Chandrika P. Govardhan, Alexey L. Margolin, Bhami Shenoy, Mark X. Yang",2000-12-28,2001-12-26,2003-03-20,,https://patents.google.com/patent/AU2002256971A1/en,
ES-2306477-T3,Crystals Carbohydrate crosslinked glycoprotein. ,Altus Pharmaceuticals Inc.,"Chandrika P. Govardham, Alexey L. Margolin, Sinikka S. Uotila, Kalevi J. Visuri",1997-09-05,1998-08-06,2008-11-01,2008-11-01,https://patents.google.com/patent/ES2306477T3/en,
AU-2003303646-B2,Human growth hormone crystals and methods for preparing them ,Altus Pharmaceuticals Inc.,"Chandrika Govardhan, Nazer Khalaf, Benjamin Paul Simeone",2002-12-31,2003-12-31,2010-03-04,2010-03-04,https://patents.google.com/patent/AU2003303646B2/en,
CA-2544156-C,Non-pancreatic proteases for controlling plasma cholecystokinin (cck) concentration and for treating pain ,"Altus Pharmaceuticals Inc., Alexey L. Margolin, Bhami C. Shenoy, Margaret Mcgrath, Cystic Fibrosis Foundation Therapeutics, Inc., Eli Lilly And Co.","Alexey L. Margolin, Bhami C. Shenoy, Margaret Mcgrath",2003-10-29,2004-10-29,2012-07-10,2012-07-10,https://patents.google.com/patent/CA2544156C/en,
US-2002111311-A1,Daptomycin and related analogs in crystalline form ,"Chandrika Govardhan, Nazer Khalaf","Chandrika Govardhan, Nazer Khalaf",2000-12-18,2001-12-18,2002-08-15,,https://patents.google.com/patent/US20020111311A1/en,https://patentimages.storage.googleapis.com/4d/9e/f6/c7d0abd6fb469e/US20020111311A1-20020815-D00000.png
ES-2412254-T3,Oxalate decarboxylase crystallized and methods of use ,Altus Pharmaceuticals Inc.,"Bhami C. Shenoy, Teresa G. Cachero, John Shin, Lekai Zhang, Aftab Rashid, Danica Grujic, Reena Patel, Margaret Ellen Mcgrath",2006-08-02,2007-08-02,2013-07-10,2013-07-10,https://patents.google.com/patent/ES2412254T3/en,
CA-2672284-C,Human growth hormone formulations ,"Altus Pharmaceuticals Inc., Wen-Li Chung, Lawrence Bush, Sergey Pechenov, Sujit K. Basu, Althea Technologies, Inc.","Wen-Li Chung, Lawrence Bush, Sergey Pechenov, Sujit K. Basu",2006-12-18,2007-12-13,2014-08-26,2014-08-26,https://patents.google.com/patent/CA2672284C/en,
US-7087728-B2,Carbohydrate crosslinked glycoprotein crystals ,Altus Pharmaceuticals Inc.,"Alexey L Margolin, Chandrika P Govardhan, Kalevi J Visuri, Sinikka S Uotila",1997-09-05,2002-12-23,2006-08-08,2006-08-08,https://patents.google.com/patent/US7087728B2/en,
EP-1801123-A2,Crystals of whole antibodies and fragments thereof and methods for making and using them ,Altus Pharmaceuticals Inc.,"Bhami Shenoy, Chandrika P. Govardhan, Mark X. Yang, Alexey L. Margolin",2000-12-28,2001-12-26,2007-06-27,,https://patents.google.com/patent/EP1801123A2/en,https://patentimages.storage.googleapis.com/3e/f3/71/51db063ec7c4fb/imgf0001.png
CA-2346702-C,Non-homogeneous systems for the resolution of enantiomeric mixtures ,"Altus Biologics Inc., Yiming Yao, Yi Fong Wang, Altus Pharmaceuticals Inc., Merrick R. Almond, Althea Technologies, Inc., Triangle Pharmaceuticals, Inc., Gilead Sciences, Inc.","Yiming Yao, Yi Fong Wang, Merrick R. Almond",1998-10-09,1999-10-08,2012-05-29,2012-05-29,https://patents.google.com/patent/CA2346702C/en,
AU-757991-B2,"Stabilized protein crystals, formulations containing them and methods of making them ","Altus Pharmaceuticals, Inc.","Nazer K. Khalaf, Alexey L. Margolin, Scott L. Rakestraw, Bhami C. Shenoy, Nancy L St. Clair",1998-04-27,1999-04-27,2003-03-13,2003-03-13,https://patents.google.com/patent/AU757991B2/en,
