search URL:,https://patents.google.com/?assignee=AMBIT+BIOSCIENCES+CORP
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7750160-B2,Isoxazolyl urea derivatives as kinase modulators ,Ambit Biosciences Corporation,"Zdravko V. Milanov, Hitesh K. Patel, Robert M. Grotzfeld, Shamal A. Mehta, Andiliy G. Lai, David J. Lockhart",2003-11-13,2004-11-15,2010-07-06,2010-07-06,https://patents.google.com/patent/US7750160B2/en,
ES-2610989-T3,"1- (3- (6,7-dimethoxyquinazolin-4-yloxy) phenyl) -3- (5- (1,1,1-trifluoro-2-methylpropane-2-ol) isoxazol-3-yl) urea as a modulator RAF kinases in the treatment of cancer diseases ",Ambit Biosciences Corporation,"Sunny Abraham, Shripad S. Bhagwat, Brian T. Campbell, Qi Chao, Raffaella Faraoni, Mark W. Holladay, Andiliy G. Lai, Martin W. Rowbottom, Eduardo Setti, Kelly G. Sprankle",2008-03-17,2009-03-17,2017-05-04,2017-05-04,https://patents.google.com/patent/ES2610989T3/en,
US-7323490-B2,Pyrrole compounds and uses thereof ,Ambit Biosciences Corporation,"David J. Lockhart, Hitesh K. Patel, Zdravko V. Milanov, Shamal Anil Mehta, Patrick Parvis Zarrinkar, William H. Biggs, III, Pietro Ciceri, Miles A. Fabian, Daniel K. Treiber",2003-05-16,2004-05-18,2008-01-29,2008-01-29,https://patents.google.com/patent/US7323490B2/en,
US-2005165029-A1,Pyrrolopyrimidine derivatives and analogs and their use in the treatment and prevention of diseases ,Ambit Biosciences Corporation,"Hitesh Patel, Shamal Mehta, Andiliy Lai, Zdravko Milanov, Robert Grotzfeld, David Lockhart",2004-01-13,2005-01-13,2005-07-28,,https://patents.google.com/patent/US20050165029A1/en,
US-8921546-B2,Imidazolothiazole compounds for the treatment of disease ,Ambit Biosciences Corporation,Qi Chao,2006-03-17,2013-09-20,2014-12-30,2014-12-30,https://patents.google.com/patent/US8921546B2/en,https://patentimages.storage.googleapis.com/e5/aa/55/49165885f628c3/US08921546-20141230-D00001.png
US-9308207-B2,JAK kinase modulating compounds and methods of use thereof ,Ambit Biosciences Corp.,"Sunny Abraham, Qi Chao, Michael J. Hadd, Mark W. Holladay, Gang Liu, Eduardo Setti",2009-02-27,2014-12-02,2016-04-12,2016-04-12,https://patents.google.com/patent/US9308207B2/en,https://patentimages.storage.googleapis.com/1e/0b/c0/c490bd9d855a35/US09308207-20160412-D00001.png
US-2006234931-A1,Treatment of diseases with kinase inhibitors ,"Biggs William H Iii, Todd Carter, Fabian Miles A, Lockhart David J, Zarrinkar Patrick P, Treiber Daniel K, Phillip Edeen","William Biggs, Todd Carter, Miles Fabian, David Lockhart, Patrick Zarrinkar, Daniel Treiber, Phillip Edeen",2003-07-17,2004-07-19,2006-10-19,,https://patents.google.com/patent/US20060234931A1/en,https://patentimages.storage.googleapis.com/dd/56/9e/150e1db3c5100c/US20060234931A1-20061019-D00001.png
US-2009053701-A1,Detectable nucleic acid tag ,Ambit Biosciences Corp.,"Pietro Ciceri, Jeremy Hunt, Jean-Michel A. Lelias, Mike Morrison, Daniel Treiber, Lisa Wodicka",2006-06-30,2007-06-29,2009-02-26,,https://patents.google.com/patent/US20090053701A1/en,https://patentimages.storage.googleapis.com/e0/e6/e6/c1221f80ff1975/US20090053701A1-20090226-D00006.png
US-2005153371-A1,Conjugated small molecules ,Ambit Biosciences Corporation,"Robert Grotzfeld, Zdravko Milanov, Hitesh Patel, Andiliy Lai, Shamal Mehta, David Lockhart",2004-01-07,2005-01-07,2005-07-14,,https://patents.google.com/patent/US20050153371A1/en,https://patentimages.storage.googleapis.com/68/3d/3d/8db8fc362a19e2/US20050153371A1-20050714-D00001.png
EP-1543160-B1,Uncoupling of dna propagation and expression of protein for phage display ,Ambit Biosciences Corporation,"Pietro Ciceri, David J. Lockhart, Daniel Kelly Treiber, Patrick Parvis Zarrinkar",2002-08-07,2003-08-01,2010-10-06,2010-10-06,https://patents.google.com/patent/EP1543160B1/en,https://patentimages.storage.googleapis.com/62/55/eb/598f574995b2de/imgf0001.png
