search URL:,https://patents.google.com/?assignee=AMICUS+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7514453-B2,Method for enhancing mutant protein activity ,Amicus Therapeutics Inc.,"Jian-Qiang Fan, Satoshi Ishii",1998-06-01,2005-10-31,2009-04-07,2009-04-07,https://patents.google.com/patent/US7514453B2/en,
AU-2006247065-B2,A method for the treatment of Pompe disease using 1-deoxynojirimycin derivatives ,"Amicus Therapeutics, Inc.","Robert Boyd, Gary Lee, Benjamin Mugrage, Kamlesh Sheth, Xiaoxiang Zhu",2005-05-17,2006-05-17,2012-03-22,2012-03-22,https://patents.google.com/patent/AU2006247065B2/en,
CA-2611011-C,Treatment of cns disorders associated with mutations in genes encoding lysosomal enzymes ,"Amicus Therapeutics, Inc., Brandon Wustman",Brandon Wustman,2005-06-08,2006-06-08,2014-01-28,2014-01-28,https://patents.google.com/patent/CA2611011C/en,
US-9056101-B2,Dosing regimens for the treatment of lysosomal storage diseases using pharmacological chaperones ,"Amicus Therapeutics, Inc.","David J. Lockhart, Brandon Wustman",2007-04-26,2008-04-28,2015-06-16,2015-06-16,https://patents.google.com/patent/US9056101B2/en,https://patentimages.storage.googleapis.com/24/5f/28/9dff9fe2a6729b/US09056101-20150616-D00001.png
EP-2040548-B1,Method for the treatment of neurological disorders by enhancing the activity of beta -glucocerebrosidase ,"Amicus Therapeutics, Inc.",Brandon Wustman,2006-06-23,2007-06-25,2012-05-02,2012-05-02,https://patents.google.com/patent/EP2040548B1/en,https://patentimages.storage.googleapis.com/61/fb/42/e7a928db00eb55/imgf0001.png
US-2010113517-A1,Method for the treatment of fabry disease using pharmacological chaperones ,"Amicus Therapeutics, Inc.",David Palling,2007-03-30,2008-03-28,2010-05-06,,https://patents.google.com/patent/US20100113517A1/en,https://patentimages.storage.googleapis.com/fd/0e/f1/69019987d231ac/US20100113517A1-20100506-D00001.png
US-7741340-B2,Hydroxy piperidine derivatives to treat gaucher disease ,"Amicus Therapeutics, Inc.","Jian-Qiang Fan, Xiaoxiang Zhu, Kamlesh Sheth",2003-11-12,2004-11-12,2010-06-22,2010-06-22,https://patents.google.com/patent/US7741340B2/en,
US-10035766-B2,Compositions for preventing and/or treating lysosomal storage disorders ,"Amicus Therapeutics, Inc.","Robert Boyd, Gary Lee, Philip Rybczynski",2009-10-19,2013-11-19,2018-07-31,2018-07-31,https://patents.google.com/patent/US10035766B2/en,
US-9987263-B2,Methods for treatment of Fabry disease ,"Amicus Therapeutics, Inc.","David J. Lockhart, Jeff Castelli",2006-05-16,2016-10-31,2018-06-05,2018-06-05,https://patents.google.com/patent/US9987263B2/en,https://patentimages.storage.googleapis.com/04/94/57/aed39ce5f62fad/US09987263-20180605-D00001.png
US-2009176830-A1,Tartrate salt of isofagomine and methods of use ,"Amicus Therapeutics, Inc.","Benjamin Mugrage, Kamlesh A. Sheth, David Palling, Philip Rybczynski",2006-05-24,2009-02-23,2009-07-09,,https://patents.google.com/patent/US20090176830A1/en,
US-9303249-B2,High concentration α-glucosidase compositions for the treatment of Pompe disease ,"Amicus Therapeutics, Inc.","Kenneth Valenzano, John Crowley, Richie Khanna, John Flanagan",2012-03-07,2013-12-13,2016-04-05,2016-04-05,https://patents.google.com/patent/US9303249B2/en,https://patentimages.storage.googleapis.com/91/8f/76/961cd87f19affd/US09303249-20160405-D00001.png
CA-2930810-C,Pharmacological chaperones for treating obesity ,"Amicus Therapeutics, Inc., Universite De Montreal, Jian-Qiang Fan, Ken Vanlenzano, Gary Lee, Michel Bouvier, Patricia Rene","Jian-Qiang Fan, Ken Vanlenzano, Gary Lee, Michel Bouvier, Patricia Rene",2005-06-03,2006-06-05,2018-03-06,2018-03-06,https://patents.google.com/patent/CA2930810C/en,
DK-2252313-T3,METHOD TO PREDICT response to Pharmacological chaperone TREATMENT OF DISEASES ,Amicus Therapeutics Inc,"Elfrida Benjamin, Hung V Do, Xiaoyang Wu, John Flanagan, Brandon Wustman",2008-02-12,2009-02-12,2015-07-13,2015-07-13,https://patents.google.com/patent/DK2252313T3/en,
US-2015086530-A1,Dosing regimens for the treatment of pompe disease ,"Amicus Therapeutics, Inc.","Douglas Stuart Greene, Kenneth Joseph Valenzano",2012-05-03,2013-05-02,2015-03-26,,https://patents.google.com/patent/US20150086530A1/en,https://patentimages.storage.googleapis.com/af/f6/4c/72cee5e7a7e5c1/US20150086530A1-20150326-D00001.png
EP-2416655-B1,Methods for preventing and/or treating degenerative disorders of the central nervous system ,"Amicus Therapeutics, Inc.","Robert Boyd, Gary Lee",2009-04-09,2010-04-09,2014-06-25,2014-06-25,https://patents.google.com/patent/EP2416655B1/en,https://patentimages.storage.googleapis.com/30/79/5d/de385cb690c0c3/imgf0001.png
CA-2758271-C,Methods for preventing and/or treating lysosomal storage disorders ,"Robert Boyd, Gary Lee, Amicus Therapeutics, Inc.","Robert Boyd, Gary Lee",2009-04-09,2010-04-09,2018-06-05,2018-06-05,https://patents.google.com/patent/CA2758271C/en,
US-2010119502-A1,"Therapy regimens, dosing regimens and stable medicaments for the treatment of pompe disease ","Amicus Therapeutics, Inc.","Hung V. Do, Ken Valenzano, David J. Lockhart",2008-11-11,2009-11-11,2010-05-13,,https://patents.google.com/patent/US20100119502A1/en,https://patentimages.storage.googleapis.com/72/f4/b5/fd5e3a6aaf43eb/US20100119502A1-20100513-D00001.png
US-9931353-B2,Method for treating cerebral amyloid angiopathy using pharmacological chaperones to increase the activity of gangliosidases ,"Amicus Therapeutics, Inc.","Brandon Alan Wustman, Kenneth Valenzano, Robert Boyd",2009-10-19,2015-05-05,2018-04-03,2018-04-03,https://patents.google.com/patent/US9931353B2/en,https://patentimages.storage.googleapis.com/97/2c/11/5560e7837622c1/US09931353-20180403-D00001.png
AU-2016203817-B2,Novel compositions for preventing and/or treating degenerative disorders of the central nervous system ,"Amicus Therapeutics, Inc.","Robert Boyd, Gary Lee, Philip Rybczynski",2009-10-19,2016-06-08,2017-09-07,2017-09-07,https://patents.google.com/patent/AU2016203817B2/en,
US-9481700-B2,Method for preparing isofagomine and its derivatives ,"Amicus Therapeutics, Inc.","Philip J. Rybczynski, Kamlesh Sheth",2007-05-22,2013-06-12,2016-11-01,2016-11-01,https://patents.google.com/patent/US9481700B2/en,
US-10208299-B2,Highly potent acid alpha-glucosidase with enhanced carbohydrates ,"Amicus Therapeutics, Inc.","Russell Gotschall, Hung V. Do",2014-09-30,2015-09-30,2019-02-19,2019-02-19,https://patents.google.com/patent/US10208299B2/en,https://patentimages.storage.googleapis.com/64/03/64/ba31df4bc00e38/US10208299-20190219-D00001.png
US-2011189710-A1,TREATMENT OF POMPE DISEASE WITH SPECIFIC PHARMACOLOGICAL CHAPERONES AND MONITORING TREATMENT USING SURROGATE MARkERS ,"Amicus Therapeutics, Inc.","Brandon Wustman, Hung V. Do",2008-03-12,2009-03-12,2011-08-04,,https://patents.google.com/patent/US20110189710A1/en,https://patentimages.storage.googleapis.com/6d/5f/a3/3f18170ac24bc0/US20110189710A1-20110804-D00001.png
US-8399525-B2,Treatment of gaucher disease with specific pharmacological chaperones and monitoring treatment using surrogate markers ,"Amicus Therapeutics, Inc.",David J. Lockhart,2007-04-13,2008-04-11,2013-03-19,2013-03-19,https://patents.google.com/patent/US8399525B2/en,https://patentimages.storage.googleapis.com/88/00/ec/0a7ae3a891df86/US08399525-20130319-D00001.png
US-9694056-B2,α-galactosidase A and 1-deoxygalactonojirimycin co-formulation ,"Amicus Therapeutics, Inc.","Richie Khanna, Kenneth Joseph Valenzano, Susan Elizabeth Fowles",2012-07-17,2013-07-16,2017-07-04,2017-07-04,https://patents.google.com/patent/US9694056B2/en,https://patentimages.storage.googleapis.com/47/3d/ac/501555728e0096/US09694056-20170704-D00001.png
AU-2012229330-B2,Dosing regimens for the treatment of Fabry disease ,"Amicus Therapeutics, Inc.","Douglas Stuart Greene, Kenneth Joseph Valenzano",2011-03-11,2012-03-08,2016-04-21,2016-04-21,https://patents.google.com/patent/AU2012229330B2/en,
EP-2714752-B1,Methods for coupling targeting peptides onto recombinant lysosomal enzymes for improved treatments of lysosomal storage diseases ,"Amicus Therapeutics, Inc.",Hung Do,2011-05-27,2012-05-25,2017-11-22,2017-11-22,https://patents.google.com/patent/EP2714752B1/en,https://patentimages.storage.googleapis.com/36/a1/3d/2bb8cad7284a81/imgf0001.png
US-9464050-B2,Compounds for preventing and/or treating lysosomal storage disorders and/or degenerative disorders of the central nervous system ,"Amicus Therapeutics, Inc.","Robert Boyd, Philip J. Rybczynski, Kamlesh Sheth",2012-03-27,2013-03-07,2016-10-11,2016-10-11,https://patents.google.com/patent/US9464050B2/en,https://patentimages.storage.googleapis.com/65/6b/ed/31d6de72875b7c/US09464050-20161011-D00000.png
US-2010197018-A1,Use of substrates as pharmacological chaperones ,"Amicus Therapeutics, Inc.",Benjamin Mugrage,2007-04-13,2008-04-11,2010-08-05,,https://patents.google.com/patent/US20100197018A1/en,https://patentimages.storage.googleapis.com/fc/51/df/1236a72b631ec9/US20100197018A1-20100805-D00000.png
US-2011136151-A1,Assays for diagnosing and evaluating treatment options for pompe disease ,"Amicus Therapeutics, Inc.","Brandon Wustman, Hung V. Do",2008-03-12,2009-03-12,2011-06-09,,https://patents.google.com/patent/US20110136151A1/en,https://patentimages.storage.googleapis.com/41/bd/38/53d1db2bf1dc52/US20110136151A1-20110609-D00000.png
AU-2015230773-B2,Assays for diagnosing and evaluating treatment options for fabry disease ,Amicus Therapeutics Inc.,"Jeff Castelli, David Lockhart",2006-05-16,2015-09-24,2017-09-28,2017-09-28,https://patents.google.com/patent/AU2015230773B2/en,
US-9999618-B2,Dosing regimens for the treatment of lysosomal storage diseases using pharmacological chaperones ,"Amicus Therapeutics, Inc.","Jeff Castelli, David J. Lockhart",2007-04-26,2016-07-19,2018-06-19,2018-06-19,https://patents.google.com/patent/US9999618B2/en,https://patentimages.storage.googleapis.com/18/f5/ee/9764be1b4d0d23/US09999618-20180619-D00001.png
