search URL:,https://patents.google.com/?assignee=AMPHASTAR+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CA-2398919-C,Pre-filled disposable pipettes ,"Amphastar Pharmaceuticals, Incorporated, Jack Yongfeng Zhang, Mary Ziping Luo, Frank Zhishi Xia","Jack Yongfeng Zhang, Mary Ziping Luo, Frank Zhishi Xia",2000-11-21,2001-10-18,2007-03-13,2007-03-13,https://patents.google.com/patent/CA2398919C/en,
US-6357626-B1,Pre-filled oral liquid disposable plastic container ,"Jack Yongfeng Zhang, Anthony D. Marrs, Mary Ziping Luo","Jack Yongfeng Zhang, Anthony D. Marrs, Mary Ziping Luo",2001-03-05,2001-03-05,2002-03-19,2002-03-19,https://patents.google.com/patent/US6357626B1/en,https://patentimages.storage.googleapis.com/5c/01/73/66ba38114fefa5/US06357626-20020319-D00000.png
US-6793076-B1,Glass bottle protective enclosure ,"Amphastar Pharmaceuticals, Inc.","Mary Ziping Luo, Jack Yongfeng Zhang, Frank Z. Xia, Rong Zhou, Denny R. S. Ko",2002-03-05,2002-03-05,2004-09-21,2004-09-21,https://patents.google.com/patent/US6793076B1/en,https://patentimages.storage.googleapis.com/a5/02/3e/050b01276acd5c/US06793076-20040921-D00000.png
US-6399087-B1,Propofol formulation with enhanced microbial inhibition ,"Amphastar Pharmaceuticals, Inc.","Jack Yongfeng Zhang, Jie Fei Ding, Mary Zi-ping Luo",2000-12-20,2000-12-20,2002-06-04,2002-06-04,https://patents.google.com/patent/US6399087B1/en,https://patentimages.storage.googleapis.com/6e/11/77/526f2205a9ba13/US06399087-20020604-D00001.png
US-6457612-B1,Sealable and manipulable pre-filled disposable pipette ,Amphastar Pharmaceuticals Inc.,"Jack Yongfeng Zhang, Mary Zi-ping Luo, Frank Zhishi Xia",2001-10-12,2001-10-12,2002-10-01,2002-10-01,https://patents.google.com/patent/US6457612B1/en,https://patentimages.storage.googleapis.com/1d/a8/d2/28054d205b4ce3/US06457612-20021001-D00000.png
CA-2398921-C,Process of bulk filling ,"Amphastar Pharmaceuticals, Incorporated, Jack Yongfeng Zhang, Mary Ziping Luo, Frank Zhishi Xia","Jack Yongfeng Zhang, Mary Ziping Luo, Frank Zhishi Xia",2000-11-21,2001-10-18,2007-01-30,2007-01-30,https://patents.google.com/patent/CA2398921C/en,
US-7219816-B1,"Easily sealed and opened pre-filled, disposable pipette ","Amphastar Pharmaceuticals, Inc.","Frank Zhishi Xia, Jack Yongfeng Zhang, Mary Zi-ping Luo",2003-10-20,2003-10-20,2007-05-22,2007-05-22,https://patents.google.com/patent/US7219816B1/en,https://patentimages.storage.googleapis.com/US7219816B1/US07219816-20070522-D00000.png
CN-202516542-U,PH and temperature automatic control system for reaction kettle ,美药星（南京）制药有限公司,陆勇,2012-03-06,2012-03-06,2012-11-07,2012-11-07,https://patents.google.com/patent/CN202516542U/en,
ES-2524690-T3,sustained release pharmaceutical composition of long term containing an aqueous suspension of bisphosphonate ,Amphastar Pharmaceuticals Incorporation,"Jack Yongfeng Zhang, Mary Ziping Luo, Dingyuan Fei, Kevin Xie, Jie Fei Ding",2006-12-21,2007-12-13,2014-12-11,2014-12-11,https://patents.google.com/patent/ES2524690T3/en,
AU-2002211780-A1,Process of bulk filling ,"Amphastar Pharmaceuticals Incorporated, Mary Ziping Luo, Frank Zhishi Xia, Jack Yongfeng Zhang","Mary Ziping Luo, Frank Zhishi Xia, Jack Yongfeng Zhang",2000-11-21,2001-10-18,2002-08-08,,https://patents.google.com/patent/AU2002211780A1/en,
US-2007154546-A1,Sustained release pharmaceutical compositions ,"Zhang Jack Y, Luo Mary Z, Richard Li, Ding Jie F","Jack Zhang, Mary Luo, Richard Li, Jie Ding",2005-12-30,2005-12-30,2007-07-05,,https://patents.google.com/patent/US20070154546A1/en,https://patentimages.storage.googleapis.com/d5/98/ea/95077e2d336e6a/US20070154546A1-20070705-D00001.png
CN-201885525-U,Hot air shower type medicine drying box ,美药星（南京）制药有限公司,陈军,2010-11-18,2010-11-18,2011-06-29,2011-06-29,https://patents.google.com/patent/CN201885525U/en,
CN-201885517-U,Boiling dryer for medicine preparation ,美药星（南京）制药有限公司,"李德华, 邵贤刚",2010-11-26,2010-11-26,2011-06-29,2011-06-29,https://patents.google.com/patent/CN201885517U/en,
US-6827479-B1,Uniform small particle homogenizer and homogenizing process ,Amphastar Pharmaceuticals Inc.,"Frank Zhishi Xia, Mary Ziping Luo, Jack Yongfeng Zhang",2001-10-11,2002-09-30,2004-12-07,2004-12-07,https://patents.google.com/patent/US6827479B1/en,https://patentimages.storage.googleapis.com/b3/96/76/4bc018ae3b4496/US06827479-20041207-D00000.png
CN-201916148-U,Vacuum pump with control protection system ,美药星（南京）制药有限公司,张强,2010-11-18,2010-11-18,2011-08-03,2011-08-03,https://patents.google.com/patent/CN201916148U/en,
