search URL:,https://patents.google.com/?assignee=ANADYS+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2002365412-B2,"3-Beta-D-ribofuranosylthiazolo[4,5-d]pyrimidine nucleosides and uses thereof ","Anadys Pharmaceuticals, Inc.","Devron R. Averett, Joseph R. Lennox, Erik J. Rueden, Stephen E. Webber",2001-11-27,2002-11-27,2008-10-09,2008-10-09,https://patents.google.com/patent/AU2002365412B2/en,
CA-2537450-C,Administration of tlr7 ligands and prodrugs thereof for treatment of infection by hepatitis c virus ,"Anadys Pharmaceuticals, Inc., Devron R. Averett",Devron R. Averett,2003-09-05,2004-09-01,2012-04-17,2012-04-17,https://patents.google.com/patent/CA2537450C/en,
US-5585277-A,Screening method for identifying ligands for target proteins ,"Scriptgen Pharmaceuticals, Inc.","James U. Bowie, Andrew A. Pakula",1993-06-21,1995-03-21,1996-12-17,1996-12-17,https://patents.google.com/patent/US5585277A/en,
US-5679582-A,Screening method for identifying ligands for target proteins ,"Scriptgen Pharmaceuticals, Inc.","James U. Bowie, Andrew Pakula",1993-06-21,1994-06-21,1997-10-21,1997-10-21,https://patents.google.com/patent/US5679582A/en,https://patentimages.storage.googleapis.com/9f/0f/34/a7009a1406208e/US5679582-drawings-page-2.png
US-7745415-B2,"3-β-D-ribofuranosylthiazolo[4,5-d]pyrimidine nucleosides and uses thereof ","Anadys Pharmaceuticals, Inc.","Devron R. Averett, Stephen E. Webber, Joseph R. Lennox, Erik J. Rueden",2001-11-27,2008-01-17,2010-06-29,2010-06-29,https://patents.google.com/patent/US7745415B2/en,https://patentimages.storage.googleapis.com/a9/2c/05/ee058df8229f54/US07745415-20100629-D00001.png
US-7223759-B2,"Antibacterial 3,5-diaminopiperidine-substituted aromatic and heteroaromatic compounds ","Anadys Pharmaceuticals, Inc.","Yuefen Zhou, Dionisios Vourloumis, Vlad E. Gregor, Geoffrey C. Winters, Thomas Hermann, Benjamin Ayida, Zhongxiang Sun, Douglas Murphy, Klaus B. Simonsen",2003-09-15,2004-09-15,2007-05-29,2007-05-29,https://patents.google.com/patent/US7223759B2/en,
US-6509320-B1,"Purine L-nucleosides, analogs and uses thereof ","Icn Pharmaceuticals, Inc.","Guangyi Wang, Robert Tam, Devron Averett",1996-10-16,2000-06-15,2003-01-21,2003-01-21,https://patents.google.com/patent/US6509320B1/en,https://patentimages.storage.googleapis.com/40/f2/f8/7c9678c1f6d1bf/US06509320-20030121-D00001.png
US-6503721-B2,Screen for compounds with affinity for nucleic acids ,"Anadys Pharmaceuticals, Inc.","Jaime E. Arenas, James W. Lillie, Andrew Pakula",1995-09-08,2001-09-24,2003-01-07,2003-01-07,https://patents.google.com/patent/US6503721B2/en,https://patentimages.storage.googleapis.com/18/85/df/8fb9a998bebbfb/US06503721-20030107-D00001.png
US-6331392-B1,Screen employing fluorescence anisotropy to identify compounds with affinity for nucleic acids ,"Anadys Pharmaceutical, Inc.","Lance G. Laing, Jaime E. Arenas, Sharon T. Cload, James W. Lillie, Andrew A. Pakula",1997-03-05,1998-03-05,2001-12-18,2001-12-18,https://patents.google.com/patent/US6331392B1/en,https://patentimages.storage.googleapis.com/2b/48/6d/4850cbab6b8dac/US6331392-drawings-page-4.png
US-4880784-A,"Antiviral methods utilizing ribofuranosylthiazolo[4,5-d]pyrimdine derivatives ",Brigham Young University,"Roland K. Robins, Howard B. Cottam",1987-12-21,1987-12-21,1989-11-14,1989-11-14,https://patents.google.com/patent/US4880784A/en,
US-2003059811-A1,Methods of screening for ligands of target molecules ,"Hakim Djaballah, Scott Rongey, Rupal Patel, Wang Mei Mei, Joseph Coyle, Bin Li, Stephen Worland","Hakim Djaballah, Scott Rongey, Rupal Patel, Mei Wang, Joseph Coyle, Bin Li, Stephen Worland",2001-06-14,2002-06-13,2003-03-27,,https://patents.google.com/patent/US20030059811A1/en,https://patentimages.storage.googleapis.com/ef/b7/d9/2be184e87342c6/US20030059811A1-20030327-D00000.png
US-2013225485-A1,"Compositions and Methods for the Control, Prevention and Treatment of Obesity and Eating Disorders ","Amylin Pharmaceuticals, Llc","Christian Weyer, Kevin Laugero, Christine M. Mack, David G. Parkes",2005-03-31,2012-09-28,2013-08-29,,https://patents.google.com/patent/US20130225485A1/en,https://patentimages.storage.googleapis.com/60/aa/83/d3b1ae86877cbf/US20130225485A1-20130829-D00001.png
US-7425552-B2,Pyridazinone compounds ,"Anadys Pharmaceuticals, Inc.","Yuefen Zhou, Liansheng Li, Stephen E. Webber",2004-12-17,2005-12-16,2008-09-16,2008-09-16,https://patents.google.com/patent/US7425552B2/en,
US-5041426-A,"Immune system enhancing 3-β-d-ribofuranosylthiazolo[4,5-d]pyridimine nucleosides and nucleotides ",Brigham Young University,"Roland K. Robins, Howard B. Cottam",1987-12-21,1988-08-25,1991-08-20,1991-08-20,https://patents.google.com/patent/US5041426A/en,
ES-2435799-T3,"A method of inhibiting Hepatitis C virus by additional antiviral combination of a 5,6-dihydro-1H-pyridin-2-one and one or more compounds ","Anadys Pharmaceuticals, Inc.","Peter S. Dragovich, Peggy A. Thompson, Frank Ruebsam",2008-10-09,2009-10-09,2013-12-23,2013-12-23,https://patents.google.com/patent/ES2435799T3/en,
EP-2561872-A1,"3, 5-disubstituted and 3,5,7-trisubstituted-3H-oxazolo [4,5-d]pyrimidin-2-one compounds and prodrugs thereof ","Anadys Pharmaceuticals, Inc.","Stephen E. Webber, Gregory J. Haley, Joseph R. Lennox, Alan Xin Xiang, Erik J. Rueden",2004-12-17,2005-12-16,2013-02-27,,https://patents.google.com/patent/EP2561872A1/en,https://patentimages.storage.googleapis.com/aa/b2/ee/70fccc28a787e1/imgf0001.png
US-2005075375-A1,Heterocyclic compounds for treating hepatitis C virus ,"Anadys Pharmaceuticals, Inc.","Dionisios Vourloumis, Masayuki Takahashi, Geoffrey Winters, Jinglan Zhou, Russell Duchene",2003-05-14,2004-05-14,2005-04-07,,https://patents.google.com/patent/US20050075375A1/en,
CA-2184195-C,Screening method for identifying ligands for target proteins ,"Andrew Pakula, James Bowie, Scriptgen Pharmaceuticals, Inc., Anadys Pharmaceuticals, Inc.","Andrew Pakula, James Bowie",1995-10-25,1996-08-26,2002-04-16,2002-04-16,https://patents.google.com/patent/CA2184195C/en,
CA-2318362-A1,Triazine antiviral compounds ,"Sharon T. Cload, Jaime E. Arenas, Elizabeth S. Fleming, Yi Bin Xiang, Scriptgen Pharmaceuticals, Inc., Anadys Pharmaceuticals, Inc.","Sharon T. Cload, Jaime E. Arenas, Elizabeth S. Fleming, Yi Bin Xiang",1998-01-13,1999-01-13,1999-07-22,,https://patents.google.com/patent/CA2318362A1/en,
US-6455690-B1,"L-8-oxo-7-propyl-7,8-dihydro-(9H)-guanosine ","Robert Tam, Devron Averett, Guangyi Wang, Kanda Ramasamy","Robert Tam, Devron Averett, Guangyi Wang, Kanda Ramasamy",1996-10-16,2000-06-15,2002-09-24,2002-09-24,https://patents.google.com/patent/US6455690B1/en,
CA-2236339-A1,A fluorescence-based screening method for identifying ligands ,"Robert T. Sauer, Scriptgen Pharmaceuticals, Inc., Andrew Pakula, Anadys Pharmaceuticals, Inc.","Robert T. Sauer, Andrew Pakula",1995-12-07,1996-12-06,1997-06-12,,https://patents.google.com/patent/CA2236339A1/en,
US-6335339-B1,Triazine antiviral compounds ,"Scriptgen Pharmaceuticals, Inc.","Jaime E. Arenas, Sharon T. Cload, Elizabeth S. Fleming, Yi Bin Xiang",1998-01-13,1999-01-13,2002-01-01,2002-01-01,https://patents.google.com/patent/US6335339B1/en,https://patentimages.storage.googleapis.com/a6/56/a7/7f5eeffed10bd2/US6335339-drawings-page-3.png
US-7842838-B2,"Pyrro[1,2-b]pyridazinone intermediates ","Anadys Pharmaceuticals, Inc.","Stephen E. Webber, Frank Ruebsam, Martin Tran, Peter Dragovich, Liansheng Li, Douglas Eric Murphy, David Kucera, Zhongxiang Sun, Chinh Viet Tran",2006-06-22,2009-08-21,2010-11-30,2010-11-30,https://patents.google.com/patent/US7842838B2/en,
US-6140361-A,Use of 2-deoxystreptamine as a molecular scaffold for the preparation of functionally and spatially diverse molecules and pharmaceutical compositions thereof ,"Scriptgen Pharmaceuticals, Inc.","Gary R. Gustafson, David G. Powers, Mark A. Wuonola",1995-09-08,1999-03-22,2000-10-31,2000-10-31,https://patents.google.com/patent/US6140361A/en,https://patentimages.storage.googleapis.com/98/a3/27/9f0a12cbacbd19/US6140361-drawings-page-2.png
US-8765741-B2,"5,6-dihydro-1H-pyridin-2-one compounds ","Anadys Pharmaceuticals, Inc.",Peter Dragovich,2007-04-03,2013-09-30,2014-07-01,2014-07-01,https://patents.google.com/patent/US8765741B2/en,https://patentimages.storage.googleapis.com/01/69/e7/d228aded781589/US08765741-20140701-D00001.png
CA-2566541-C,"3-.beta.-d-ribofuranosylthiazolo[4,5-d]pyrimidine nucleosides and uses thereof ","Anadys Pharmaceuticals, Inc., Devron R. Averett, Stephen E. Webber, Joseph R. Lennox, Erik J. Rueden, David Louis Clark, Alan X. Xiang","Devron R. Averett, Stephen E. Webber, Joseph R. Lennox, Erik J. Rueden, David Louis Clark, Alan X. Xiang",2004-06-07,2004-06-07,2012-10-09,2012-10-09,https://patents.google.com/patent/CA2566541C/en,
US-6184228-B1,Anti-sickling agents: selection methods and effective compounds ,"Anadys Pharmaceuticals, Inc.","Alan F. Corin, Andrew A. Pakula, Julianne Bryan",1999-05-25,1999-05-25,2001-02-06,2001-02-06,https://patents.google.com/patent/US6184228B1/en,https://patentimages.storage.googleapis.com/d0/e3/46/8cf28751e5ac98/US6184228-drawings-page-2.png
US-6051373-A,Methods for screening for inhibitors of the transcription-enhancing activity of the X protein of hepatitis B virus ,"Scriptgen Pharmaceuticals, Inc., University Of Massachusetts Medical Center","Michael R. Green, Giovanni Perini, James Lillie",1994-12-07,1994-12-07,2000-04-18,2000-04-18,https://patents.google.com/patent/US6051373A/en,https://patentimages.storage.googleapis.com/18/4f/71/b3edc3dd0c0038/US6051373-drawings-page-2.png
US-6930095-B2,Hepatitis C virus constructs characterized by high efficiency replication ,"Anadys Pharmaceuticals, Inc.",Vadim Bichko,2000-11-07,2001-11-07,2005-08-16,2005-08-16,https://patents.google.com/patent/US6930095B2/en,https://patentimages.storage.googleapis.com/36/f3/fc/b497bd965dec03/US06930095-20050816-D00001.png
US-9161946-B2,Dosing methods for treating disease ,"Anadys Pharmaceuticals, Inc.","James Appleman, Joyce Tan, Simon Fletcher",2007-08-20,2013-12-10,2015-10-20,2015-10-20,https://patents.google.com/patent/US9161946B2/en,https://patentimages.storage.googleapis.com/48/04/19/45ab743a7cb835/US09161946-20151020-D00001.png
US-7582626-B2,"5,6-dihydro-1H-pyridin-2-one compounds ","Anadys Pharmaceuticals, Inc.","Chinh V. Tran, Frank Ruebsam, Yuefen Zhou, Peter Dragovich, Alan X. Xiang",2006-12-12,2007-12-12,2009-09-01,2009-09-01,https://patents.google.com/patent/US7582626B2/en,
US-5668165-A,Small molecule inhibition of RNA/ligand binding ,"Scriptgen Pharmaceuticals, Inc.","Mark A. Wuonola, Zhe Li",1995-06-07,1995-06-07,1997-09-16,1997-09-16,https://patents.google.com/patent/US5668165A/en,https://patentimages.storage.googleapis.com/37/74/25/39b70c2beac8dc/US5668165-drawings-page-2.png
