search URL:,https://patents.google.com/?assignee=APPLIED+GENETIC+TECHNOLOGIES+CORP
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
JP-2019030297-A,Single strand polyvalent binding protein ,"アプティーボ リサーチ アンド デベロップメント エルエルシー, アプティーボ  リサーチ  アンド  デベロップメント  エルエルシー","トンプソン，ピーター，アームストロング, レッドベター，ジェフリー，エー．, ハイデン−レッドベター，マーサ，スーザン, グロスメア，ローラ，スー, ベイダー，ロバート, ブラッディー，ウィリアム, ティスティアコヴァ，リウドミラ, フォレッティー，マキシミリアン，ティー．, カラブロ，ヴァレリー, シューラー，アルウィン",2006-06-12,2018-08-29,2019-02-28,,https://patents.google.com/patent/JP2019030297A/en,https://patentimages.storage.googleapis.com/22/3f/88/3709186b605fa8/2019030297-31.png
JP-2019014757-A,Cd86 antagonist multi-target binding proteins ,"アプティーボ リサーチ アンド デベロップメント エルエルシー, Applied Genetic Technologies Corp, アプティーボ  リサーチ  アンド  デベロップメント  エルエルシー","アームストロング トンプソン ピーター, Armstrong Thompson Peter, アームストロング  トンプソン ピーター, ロバート バーム ピーター, Robert Baum Peter, ロバート  バーム ピーター, タン フィリップ, Tan Philip, タン フィリップ, ダブリュー． ブランケンシップ ジョン, w blankenship John, ダブリュー．  ブランケンシップ ジョン, クマール ナタラヤン サティーシュ, Kumar Natarajan Sateesh, クマール  ナタラヤン サティーシュ",2008-10-02,2018-11-01,2019-01-31,,https://patents.google.com/patent/JP2019014757A/en,
US-6967018-B2,Adiponectin gene therapy ,Applied Genetic Technologies Corporation,"Sergei Zolotukhin, Michael D. Tennant",2002-01-11,2003-01-13,2005-11-22,2005-11-22,https://patents.google.com/patent/US6967018B2/en,https://patentimages.storage.googleapis.com/US6967018B2/US06967018-20051122-D00001.png
JP-2018138039-A,Cd3 binding polypeptides ,"アプティーボ リサーチ アンド デベロップメント エルエルシー, Applied Genetic Technologies Corp, アプティーボ  リサーチ  アンド  デベロップメント  エルエルシー","ホアト タン，フィリップ, Philip Huat Tan, ホアト タン，フィリップ, クマー ナタラヤン，サティーシュ, Kumar Natarajan Sateesh, クマー ナタラヤン，サティーシュ, ジェー． マクマハン，キャサリン, J Mcmahan Catherine, ジェー． マクマハン，キャサリン",2012-04-20,2018-04-18,2018-09-06,,https://patents.google.com/patent/JP2018138039A/en,https://patentimages.storage.googleapis.com/36/c8/d6/36136a016f5068/2018138039-14.png
US-9783826-B2,Recombinant virus production using mammalian cells in suspension ,Applied Genetic Technologies Corporation,"David R. Knop, Darby Thomas, Gabor Veres",2008-01-29,2012-11-21,2017-10-10,2017-10-10,https://patents.google.com/patent/US9783826B2/en,https://patentimages.storage.googleapis.com/0a/c2/ed/b1ad6762f99bfb/US09783826-20171010-D00001.png
AU-2012204266-C1,"Promoters, expression cassettes, vectors, kits, and methods for the treatment of achromatopsia and other diseases ",Applied Genetic Technologies Corporation,"Jeffrey D. Chulay, Guo-Jie Ye",2011-01-07,2012-01-06,2017-12-21,2017-12-21,https://patents.google.com/patent/AU2012204266C1/en,
JP-2017127305-A,Prostate-specific membrane antigen binding protein and related composition and method ,"アプティーボ リサーチ アンド デベロップメント エルエルシー, Applied Genetic Technologies Corp, アプティーボ  リサーチ  アンド  デベロップメント  エルエルシー","ダブリュー． ブランケンシップ，ジョン, w blankenship John, ダブリュー． ブランケンシップ，ジョン, トッド シューエル，エレイン, Todd Sewell Elaine, トッド シューエル，エレイン, タン，フィリップ, Philip Tan",2011-04-22,2017-02-10,2017-07-27,,https://patents.google.com/patent/JP2017127305A/en,https://patentimages.storage.googleapis.com/52/00/7c/03dcb876acaf24/2017127305-42.png
CA-2408847-C,Cng3b: a novel cyclic nucleotide-gated cation channel ,"Icagen, Inc., Christopher Dixon Creech, Timothy James Jegla, Applied Genetic Technologies Corporation","Christopher Dixon Creech, Timothy James Jegla",2000-05-15,2001-05-15,2012-10-09,2012-10-09,https://patents.google.com/patent/CA2408847C/en,
AU-2003272672-B2,High titer recombinant AAV production ,Applied Genetic Technologies Corporation,Kyu-Kye Hwang,2002-09-23,2003-09-23,2006-04-06,2006-04-06,https://patents.google.com/patent/AU2003272672B2/en,
EP-3132051-B1,Codon optimized nucleic acid encoding a retinitis pigmentosa gtpase regulator (rpgr) ,Applied Genetic Technologies Corporation,"Guo-Jie Ye, Jilin LIU",2014-04-15,2015-04-15,2019-03-20,2019-03-20,https://patents.google.com/patent/EP3132051B1/en,https://patentimages.storage.googleapis.com/61/ce/e9/df04b8ff89232d/imgf0001.png
