search URL:,https://patents.google.com/?assignee=ARATANA+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8337842-B2,Monoclonal antibodies ,"Vet Therapeutics, Inc.",Geneviève Hansen,2008-09-04,2009-09-04,2012-12-25,2012-12-25,https://patents.google.com/patent/US8337842B2/en,
US-8569460-B2,Antibody constant domain regions and uses thereof ,"Vet Therapeutics, Inc.",Geneviève Hansen,2009-03-25,2010-03-04,2013-10-29,2013-10-29,https://patents.google.com/patent/US8569460B2/en,
US-8652470-B2,Monoclonal antibodies directed to CD52 ,"Vet Therapeutics, Inc.",Genevieve Hansen,2010-03-04,2011-03-03,2014-02-18,2014-02-18,https://patents.google.com/patent/US8652470B2/en,
US-9616120-B2,Monoclonal antibodies directed to CD20 ,"Vet Therapeutics, Inc.",Genevieve Hansen,2010-03-04,2011-03-15,2017-04-11,2017-04-11,https://patents.google.com/patent/US9616120B2/en,
AU-2013323349-B2,Compositions and methods of use of an inappetance-controlling compound ,"Aratana Therapeutics, Inc.","Gopinath DEVARAJ, Ernst Heinen, Linda RHODES, Bill ZOLLERS",2012-09-27,2013-09-27,2016-09-15,2016-09-15,https://patents.google.com/patent/AU2013323349B2/en,
US-9107943-B2,Eye drop composition ,Aratana Therapeutics Nv,"Nesya Goris, Johan Neyts, Erwin Blomsma, Stefaan Wera, Ainola Billiet, Joeri Auwerx, Veerle Debeurme, Maryline Roe, Pascal Puig",2012-01-20,2012-01-20,2015-08-18,2015-08-18,https://patents.google.com/patent/US9107943B2/en,
US-9265756-B2,Crystalline forms of grapiprant ,"Aratana Therapeutics, Inc.","Tamara Newbold, Melissa Smith, Christopher K. Seekamp, Robert Wenslow, Xia Lu",2014-03-06,2015-03-05,2016-02-23,2016-02-23,https://patents.google.com/patent/US9265756B2/en,https://patentimages.storage.googleapis.com/b7/3b/c4/9a714047ba1d0e/US09265756-20160223-D00001.png
EP-3020712-B1,Method for preparing cyclopropane derivatives ,Aratana Therapeutics NV,"Eleonora KISS, Erwin Blomsma, Serge DE BRUIJN, Remy E. J. N. Litjens",2011-11-10,2011-11-10,2018-07-04,2018-07-04,https://patents.google.com/patent/EP3020712B1/en,
US-9700591-B2,Compositions and methods for chronic use of a weight-gaining compound ,"Aratana Therapeutics, Inc.","Linda RHODES, Marie-Paul Lachaud, Bill ZOLLERS, Ernst Heinen",2015-01-28,2016-01-27,2017-07-11,2017-07-11,https://patents.google.com/patent/US9700591B2/en,https://patentimages.storage.googleapis.com/91/11/03/687c4dd154935f/US09700591-20170711-D00001.png
AU-2015227059-B2,Compositions of grapiprant and methods for using the same ,"Aratana Therapeutics, Inc.","Gopinath DEVARAJ, Tamara NEWBOLD, Lesley Rausch-Derra, Akemi Shiraishi",2014-03-06,2015-03-05,2018-11-15,2018-11-15,https://patents.google.com/patent/AU2015227059B2/en,
NZ-733226-A,Crystalline forms of grapiprant ,Aratana Therapeutics Inc,"Melissa Smith, Chris Seekamp, Robert Wenslow, Xia Lu, Tamara Newbold",2014-03-06,2015-03-05,2018-03-23,,https://patents.google.com/patent/NZ733226A/en,
AR-099681-A1,Grapiprant compositions and methods for their use ,Aratana Therapeutics Inc,,2014-03-06,2015-03-05,2016-08-10,,https://patents.google.com/patent/AR099681A1/en,
AR-099682-A1,crystalline forms of grapiprant ,Aratana Therapeutics Inc,,2014-03-06,2015-03-05,2016-08-10,,https://patents.google.com/patent/AR099682A1/en,
