search URL:,https://patents.google.com/?assignee=ARDELYX+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-2591354-B1,Compounds and methods for inhibiting phosphate transport ,"Ardelyx, Inc.","Jason G. Lewis, Jeffrey W. Jacobs, Nicholas Reich, Michael R. Leadbetter, Noah Bell, Han-Ting Chang, Tao Chen, Marc Navre, Dominique Charmot, Christopher Carreras, Eric Labonte, Xunxiang Du, Johan Oslob",2010-07-07,2011-07-07,2016-09-07,2016-09-07,https://patents.google.com/patent/EP2591354B1/en,
US-9301951-B2,Compounds and methods for inhibiting phosphate transport ,"Ardelyx, Inc.","Jason G. Lewis, Jeffrey W. Jacobs, Nicholas Reich, Michael R. Leadbetter, Noah Bell, Han-Ting Chang, Tao Chen, Marc Navre, Dominique Charmot, Christopher Carreras, Eric Labonte",2010-07-07,2014-11-07,2016-04-05,2016-04-05,https://patents.google.com/patent/US9301951B2/en,
EP-2590655-B1,Compounds and methods for inhibiting phosphate transport ,"Ardelyx, Inc.","Jason G. Lewis, Jeffrey W. Jacobs, Nicholas Reich, Michael R. Leadbetter, Noah Bell, Han-Ting Chang, Tao Chen, Marc Navre, Dominique Charmot, Christopher Carreras, Eric Labonte",2010-07-07,2011-07-07,2015-06-24,2015-06-24,https://patents.google.com/patent/EP2590655B1/en,
US-2014107074-A1,Compounds and methods for inhibiting nhe-mediated antiport in the treatment of disorders associated with fluid retention or salt overload and gastrointestinal tract disorders ,"Ardelyx, Inc.","Noah Bell, Christopher Carreras, Dominique Charmot, Jeffrey W. Jacobs, Michael Robert Leadbetter, Marc Navre",2008-12-31,2013-03-14,2014-04-17,,https://patents.google.com/patent/US20140107074A1/en,https://patentimages.storage.googleapis.com/61/3c/cf/4e9cc69353c768/US20140107074A1-20140417-D00001.png
US-8809339-B2,Compounds and methods for inhibiting phosphate transport ,"Ardelyx, Inc.","Jason G. Lewis, Jeffrey W. Jacobs, Nicholas Reich, Michael R. Leadbetter, Noah Bell, Han-Ting Chang, Tao Chen, Marc Navre, Dominique Charmot, Christopher Carreras, Eric Labonte",2010-07-07,2013-01-04,2014-08-19,2014-08-19,https://patents.google.com/patent/US8809339B2/en,
US-9278102-B2,Compounds and methods for inhibiting phosphate transport ,"Ardelyx, Inc.","Jason G. Lewis, Jeffrey W. Jacobs, Nicholas Reich, Michael R. Leadbetter, Noah Bell, Han-Ting Chang, Tao Chen, Marc Navre, Dominique Charmot, Christopher Carreras, Eric Labonte",2010-07-07,2014-07-21,2016-03-08,2016-03-08,https://patents.google.com/patent/US9278102B2/en,
AU-2013304812-B2,Compounds and methods for inhibiting NHE-mediated antiport in the treatment of disorders associated with fluid retention or salt overload and gastrointestinal tract disorders ,"Ardelyx, Inc.","Noah Bell, Christopher Carreras, Jeffrey Jacobs, Michael Leadbetter, Jason Lewis",2012-08-21,2013-08-20,2016-06-09,2016-06-09,https://patents.google.com/patent/AU2013304812B2/en,
AU-2013304813-B2,Compounds and methods for inhibiting NHE-mediated antiport in the treatment of disorders associated with fluid retention or salt overload and gastrointestinal tract disorders ,"Ardelyx, Inc.","Noah Bell, Christopher Carreras, Dominique Charmot, Tao Chen, Jeffrey Jacobs, Michael Leadbetter, Jason Lewis",2012-08-21,2013-08-20,2016-08-04,2016-08-04,https://patents.google.com/patent/AU2013304813B2/en,
US-2015148311-A1,Non-systemic tgr5 agonists ,"Ardelyx, Inc.","Jason G. Lewis, Nicholas Reich, Tao Chen, Jeffrey W. Jacobs, Dominique Charmot, Marc Navre, Patricia Finn, Christopher Carreras, Andrew Spencer",2011-12-21,2014-06-20,2015-05-28,,https://patents.google.com/patent/US20150148311A1/en,https://patentimages.storage.googleapis.com/c9/88/b1/4da7ed592d9816/US20150148311A1-20150528-D00001.png
AU-2014250956-B2,NHE3-binding compounds and methods for inhibiting phosphate transport ,"Ardelyx, Inc.","Christopher Carreras, Dominique Charmot, Jeffrey W. Jacobs, Eric Labonte, Jason G. Lewis",2013-04-12,2014-04-10,2019-04-04,2019-04-04,https://patents.google.com/patent/AU2014250956B2/en,
US-9655921-B2,Compositions and methods for treating hyperkalemia ,"Ardelyx, Inc.","Dominique Charmot, James P. Davidson, Fangling Lin, Jeffrey W. Jacobs, Natalia Blinova, Eric Labonte, Ingrid Langsetmo, Robert C. Blanks",2014-12-23,2015-12-22,2017-05-23,2017-05-23,https://patents.google.com/patent/US9655921B2/en,https://patentimages.storage.googleapis.com/5c/85/51/ef9db6f7cf3c46/US09655921-20170523-D00001.png
EP-3030252-B1,Compounds and methods for inhibiting phosphate transport ,"Ardelyx, Inc.","Dominique Charmot, Jason G. Lewis, Jeffrey W. Jacobs, Ingrid LANGSETMO, Christopher Carreras",2013-08-09,2014-08-08,2018-11-07,2018-11-07,https://patents.google.com/patent/EP3030252B1/en,https://patentimages.storage.googleapis.com/6e/53/d1/3d74cf4a66db80/imgf0001.png
US-9545425-B2,Pharmaceutical compositions for treating hyperkalemia ,"Ardelyx, Inc.","Dominique Charmot, James P. Davidson, Fangling Lin, Jeffrey W. Jacobs, Natalia Blinova, Eric Labonte, Ingrid Langsetmo, Robert C. Blanks",2014-12-23,2016-02-24,2017-01-17,2017-01-17,https://patents.google.com/patent/US9545425B2/en,https://patentimages.storage.googleapis.com/8d/b8/63/e5897dbb3b4e11/US09545425-20170117-D00001.png
WO-2018039386-A1,Hormone receptor modulators for treating metabolic conditions and disorders ,"Ardelyx, Inc.","Jianhua Chao, Rakesh Jain, Lily HU, Jason Gustaf Lewis, Helene Baribault, Jeremy Caldwell",2016-08-23,2017-08-23,2018-03-01,,https://patents.google.com/patent/WO2018039386A1/en,
US-2017174718-A1,Substituted 4-phenyl pyridine compounds as non-systemic tgr5 agonists ,"Ardelyx, Inc.","Jason Gustaf Lewis, Michael Robert Leadbetter, Jeremy Caldwell, Dean Dragoli, Noah Bell, Jeffrey W. Jacobs, Patricia Finn, Rakesh Jain, Tao Chen, Matthew Siegel",2015-12-18,2016-12-19,2017-06-22,,https://patents.google.com/patent/US20170174718A1/en,https://patentimages.storage.googleapis.com/50/b4/a0/a35eab730f74ee/US20170174718A1-20170622-D00001.png
US-2017368004-A1,Compounds and methods for inhibiting nhe-mediated antiport in the treatment of disorders associated with fluid retention or salt overload and gastrointestinal tract disorders ,"Ardelyx, Inc","Noah Bell, Christopher Carreras, Michael Robert Leadbetter, Jason Gustaf Lewis, Jeffrey W. Jacobs, Irina DOTSENKO, Dean Dragoli, Ying He, Andrew King, Matthew Siegel",2012-08-21,2017-01-09,2017-12-28,,https://patents.google.com/patent/US20170368004A1/en,https://patentimages.storage.googleapis.com/52/5d/99/3f65705a244771/US20170368004A1-20171228-D00000.png
US-2017340623-A1,Compounds and methods for inhibiting nhe-mediated antiport in the treatment of disorders associated with fluid retention or salt overload and gastrointestinal tract disorders ,"Ardelyx, Inc.","Dominique Charmot, Marc Navre, Christopher Carreras, Noah Bell, Michael Robert Leadbetter, Jeffrey W. Jacobs, Irina DOTSENKO, Dean Dragoli, Ying He, Andrew King, Jason Lewis, Matthew Siegel",2008-12-31,2017-01-09,2017-11-30,,https://patents.google.com/patent/US20170340623A1/en,https://patentimages.storage.googleapis.com/1c/d1/1b/9d177bac6c23a7/US20170340623A1-20171130-D00001.png
WO-2018039384-A1,Isoxazolyl-carbonyloxy azabicyclo[3.2.1]octanyl compounds as fxr activators ,"Ardelyx, Inc.","Jianhua Chao, Rakesh Jain, Lily HU, Jason Gustaf Lewis, Helene Baribault, Jeremy Caldwell",2016-08-23,2017-08-23,2018-03-01,,https://patents.google.com/patent/WO2018039384A1/en,
WO-2018204918-A1,Treatment of hepatic disorders ,"Ardelyx, Inc.","Patricia FINN, Andrew King, Jason Lewis",2017-05-05,2018-05-07,2018-11-08,,https://patents.google.com/patent/WO2018204918A1/en,
AR-107141-A1,Compounds substituted 4-phenylpyridine-as TGR5 agonists nonsystemic ,Ardelyx Inc,"Siegel Matthew, Chen Tao, Jain Rekesh, Finn Patricia, W Jacobs Jeffrey, Bell Noah, Dragoli Dean, Caldwell Jeremy, Robert Leadbetter Michael, g lewis Jason",2015-12-18,2016-12-19,2018-03-28,,https://patents.google.com/patent/AR107141A1/en,
WO-2019060051-A1,Glycyrrhetinic acid derivatives for treating hyperkalemia ,"Ardelyx, Inc.","Gary Luehr, Dean Dragoli, Michael Leadbetter, Tao Chen, Jason Lewis",2017-08-04,2018-08-06,2019-03-28,,https://patents.google.com/patent/WO2019060051A1/en,
WO-2018129552-A1,Compounds useful for treating gastrointestinal tract disorders ,"Ardelyx, Inc.","Dean Dragoli, Irina DOTSENKO, Jason Lewis",2017-01-09,2018-01-09,2018-07-12,,https://patents.google.com/patent/WO2018129552A1/en,
WO-2018129556-A1,Compounds and methods for inhibiting nhe-mediated antiport in the treatment of disorders associated with fluid retention or salt overload and gastrointestinal tract disorders ,"Ardelyx, Inc.","Dominique Charmot, Marc Navre, Christopher Carreras, Noah Bell, Michael R. Leadbetter, Jeffrey W. Jacobs, Irina DOTSENKO, Dean Dragoli, Ying He, Andrew King, Jason Lewis, Matthew SIEGEL",2017-01-09,2018-01-09,2018-07-12,,https://patents.google.com/patent/WO2018129556A1/en,
AR-095852-A1,NHE3 binding compounds and methods for inhibiting phosphate transport ,Ardelyx Inc,"W Jacobs Jeffrey, Charmot Dominique, Labonte Eric, g lewis Jason, Carreras Christopher",2013-04-12,2014-04-11,2015-11-18,,https://patents.google.com/patent/AR095852A1/en,
WO-2019055808-A1,Hormone receptor modulators for treating metabolic mutagenic and fibrotic conditions and disorders ,"Ardelyx, Inc.",Jianhua Chao,2017-09-14,2018-09-14,2019-03-21,,https://patents.google.com/patent/WO2019055808A1/en,
WO-2018129557-A1,Inhibitors of nhe-mediated antiport ,"Ardelyx, Inc.","Irina DOTSENKO, Dean Dragoli, Jason Lewis",2017-01-09,2018-01-09,2018-07-12,,https://patents.google.com/patent/WO2018129557A1/en,
