search URL:,https://patents.google.com/?assignee=ARGOS+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7923247-B2,Method for in vitro proliferation of dendritic cell precursors and their use to produce immunogens ,"Argos Therapeutics, Inc., The Rockefeller University","Ralph M. Steinman, Kayo Inaba, Gerold Schuler",1992-04-01,2008-07-17,2011-04-12,2011-04-12,https://patents.google.com/patent/US7923247B2/en,https://patentimages.storage.googleapis.com/f2/e8/6f/e6d34f2fc16b24/US07923247-20110412-D00001.png
US-6274378-B1,Methods and compositions for obtaining mature dendritic cells ,The Rockefeller University,"Ralph M. Steinman, Nina Bhardwaj, Gerold Schuler",1997-10-27,1998-10-27,2001-08-14,2001-08-14,https://patents.google.com/patent/US6274378B1/en,https://patentimages.storage.googleapis.com/77/24/93/e62f40ed7f3022/US6274378-drawings-page-7.png
US-9409178-B2,Processing containers ,"Argos Therapeutics, Inc.","Simon Jonathon Spence, Richard Alexander Grant, Timothy Doyle Peele, William Samuel Hunter, Ashraf F. Abdelmoteleb, David Thomas Kneen, Robert Alister Neil, Simon Harris",2006-01-18,2015-04-21,2016-08-09,2016-08-09,https://patents.google.com/patent/US9409178B2/en,https://patentimages.storage.googleapis.com/65/84/78/297fcee0b61317/US09409178-20160809-D00000.png
CN-1509327-B,CD4+CD25+regulatory T cells from human blood ,阿戈斯治疗公司,"D·迪克曼, 杰罗尔德·许勒",2001-03-12,2002-03-12,2010-10-20,2010-10-20,https://patents.google.com/patent/CN1509327B/en,
EP-1311658-B1,"Method for producing ready to use, antigen loaded or unloaded, cryoconserved mature dendritic cells ","Argos Therapeutics, Inc.","Gerold Schuler, Beatrice Schuler-Thurner",2000-08-24,2001-08-24,2008-10-15,2008-10-15,https://patents.google.com/patent/EP1311658B1/en,https://patentimages.storage.googleapis.com/7d/2f/93/bf6d1a2f6af957/imgf0001.png
US-7659119-B2,Method and compositions for obtaining mature dendritic cells ,"Argos Therapeutics, Inc., The Rockefeller University","Ralph M. Steinman, Nina Bhardwaj, Gerold Schuler",1996-02-12,1996-02-12,2010-02-09,2010-02-09,https://patents.google.com/patent/US7659119B2/en,https://patentimages.storage.googleapis.com/a7/24/f8/f894741505cc34/US7659119-drawings-page-6.png
US-2008145931-A1,Mature Dendritic Cell Compositions and Methods of Culturing Same ,"Argos Therapeutics, Inc., Kirin Beer Kabushiki Kaisha","Donald Healey, Irina Tcherepanova, Atsushi Hinohara, Melissa Adams",2004-10-07,2005-10-07,2008-06-19,,https://patents.google.com/patent/US20080145931A1/en,
AU-2002257648-A1,CD4+CD25+ regulatory T cells from human blood ,"Argos Therapeutics, Inc.","Detlef Dieckmann, Gerold Schuler",2001-03-12,2002-03-12,2003-03-20,,https://patents.google.com/patent/AU2002257648A1/en,
US-2009226404-A1,Methods for Generating Antigen-Specific Effector T Cells ,"Argos Therapeutics, Inc.","Gerold Schuler, Jan Dörrie, Niels Schaft",2005-12-09,2006-12-11,2009-09-10,,https://patents.google.com/patent/US20090226404A1/en,https://patentimages.storage.googleapis.com/US20090226404A1/US20090226404A1-20090910-D00001.png
US-RE46152-E,Dendritic cell compositions and methods ,"Argos Therapeutics, Inc.","Rebecca POGUE, Tamara Monesmith, Irina Tcherepanova, Lois Dinterman",2005-04-08,2006-04-07,2016-09-20,2016-09-20,https://patents.google.com/patent/USRE46152E1/en,https://patentimages.storage.googleapis.com/81/0d/9c/50c10c6d270433/USRE046152-20160920-D00001.png
