search URL:,https://patents.google.com/?assignee=ARYX+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CA-2164633-C,Benzoylbenzofurane derivatives for treatment of cardiac arrhythmia ,"Pascal Druzgala, Advanced Therapies, Inc., Aryx Therapeutics",Pascal Druzgala,1993-06-16,1994-06-16,2006-11-28,2006-11-28,https://patents.google.com/patent/CA2164633C/en,
EP-1704146-B1,Stereoisomeric compounds and methods for the treatment of gastrointestinal and central nervous system disorders ,Aryx Therapeutics,"Cyrus Becker, Pascal Druzgala, Ian Irwin, Monica Palme, Courtney Rubens",2004-01-07,2005-01-07,2010-04-14,2010-04-14,https://patents.google.com/patent/EP1704146B1/en,https://patentimages.storage.googleapis.com/cd/9d/9e/88d5294791efad/imgf0001.png
CA-2410939-C,Materials and methods for the treatment of gastroesophageal reflux disease ,"Aryx Therapeutics, Pascal Druzgala, Peter G. Milner, Jurg Pfister, Cyrus Becker","Pascal Druzgala, Peter G. Milner, Jurg Pfister, Cyrus Becker",2000-06-07,2001-06-07,2010-02-16,2010-02-16,https://patents.google.com/patent/CA2410939C/en,
EP-1465629-B1,5-ht3 receptor antagonists and methods of use ,Aryx Therapeutics,"Xiaming Zhang, Jurg R. Pfister, Cyrus Becker, Pascal Druzgala",2002-01-18,2003-01-21,2007-03-14,2007-03-14,https://patents.google.com/patent/EP1465629B1/en,https://patentimages.storage.googleapis.com/28/9b/cf/d7563ccdc2fde7/imgf0001.png
AU-2001275326-A1,Treatment of gastroesophageal reflux disease using piperidine derivatives ,Aryx Therapeutics,"Cyrus Becker, Pascal Druzgala, Peter G. Milner, Jurg Pfister",2000-06-07,2001-06-07,2002-03-07,,https://patents.google.com/patent/AU2001275326A1/en,
EP-1383756-B1,Coumarin derivatives to be used as anticoagulants ,ARYx Therapeutics,"Pascal Druzgala, Xiaoming Zhang, Jurg R. Pfister",2001-04-24,2002-04-24,2008-03-05,2008-03-05,https://patents.google.com/patent/EP1383756B1/en,
US-2002183343-A1,Ultrashort-acting opioids for transdermal application ,Pascal Druzgala,Pascal Druzgala,2001-04-03,2002-04-03,2002-12-05,,https://patents.google.com/patent/US20020183343A1/en,https://patentimages.storage.googleapis.com/c2/bf/73/d511021f16998e/US20020183343A1-20021205-D00000.png
US-2003130314-A1,Analgesic delivery systems and methods of use ,Pascal Druzgala,Pascal Druzgala,2001-12-17,2002-12-17,2003-07-10,,https://patents.google.com/patent/US20030130314A1/en,
US-7666902-B2,Haloalkyl ester derivatives of coumarin for the treatment of coagulation disorders ,"Aryx Therapeutics, Inc.","Pascal Druzgala, Cyrus Becker",2004-04-08,2007-07-16,2010-02-23,2010-02-23,https://patents.google.com/patent/US7666902B2/en,
AU-2005233614-B2,Materials and methods for treating coagulation disorders ,"Armetheon, Inc.","Cyrus Becker, Pascal Druzgala",2004-04-08,2005-04-08,2011-11-24,2011-11-24,https://patents.google.com/patent/AU2005233614B2/en,
