search URL:,https://patents.google.com/?assignee=ATYR+PHARMA+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9127268-B2,Aminoacyl tRNA synthetases for modulating inflammation ,"Atyr Pharma, Inc.","Jeffry Dean Watkins, Alain Philippe Vasserot, Leslie Ann Greene, Ryan Andrew Adams, Kristi Helen Piehl, Fei Hong, Kyle P. Chiang, Wei Zhang, Alina He",2009-12-11,2010-12-10,2015-09-08,2015-09-08,https://patents.google.com/patent/US9127268B2/en,https://patentimages.storage.googleapis.com/af/86/27/59604d1cfdb790/US09127268-20150908-D00001.png
ES-2638779-T3,Compositions and methods comprising splicing variants histidyl-tarn synthetase having biological activities noncanonical ,"Pangu Biopharma Limited, Atyr Pharma, Inc.","Jie Zhou, Ching Fun Lau, Zhiwen Xu, Wing Sze Lo, Kristi Helen Piehl, Leslie Ann Greene",2009-03-16,2010-03-16,2017-10-24,2017-10-24,https://patents.google.com/patent/ES2638779T3/en,
US-9157076-B2,Compositions and methods comprising glycyl-tRNA synthetases having non-canonical biological activities ,"Atyr Pharma, Inc.","Leslie Ann Greene, Ryan Andrew Adams, Fei Hong, Ji Zhao, Eva Rebecka Stephanie Armour, Kristi Helen Piehl",2008-06-26,2014-04-25,2015-10-13,2015-10-13,https://patents.google.com/patent/US9157076B2/en,https://patentimages.storage.googleapis.com/63/ab/27/f4d4beb1aa4e86/US09157076-20151013-D00001.png
EP-2403864-B1,Polypeptide structural motifs associated with cell signaling activity ,"Atyr Pharma, Inc.",Leslie Ann  Greene,2009-02-27,2010-02-26,2015-08-12,2015-08-12,https://patents.google.com/patent/EP2403864B1/en,https://patentimages.storage.googleapis.com/e9/c8/ab/faf6ad2087ee8f/imgf0001.png
EP-2814514-B1,Histidyl-trna synthetases for treating autoimmune and inflammatory diseases ,"Atyr Pharma, Inc., Pangu Biopharma Limited","Kyle P. Chiang, Elisabeth Gardiner, Ching Fun Lau, Wing-Sze Lo, Jeffrey Greve, Melissa ASHLOCK, John D. Mendlein",2012-02-16,2013-02-15,2017-09-13,2017-09-13,https://patents.google.com/patent/EP2814514B1/en,https://patentimages.storage.googleapis.com/bd/30/f1/48722e3beaac88/imgf0001.png
US-9499810-B2,Thrombopoietic activity of tyrosyl-tRNA synthetase polypeptides ,"Atyr Pharma, Inc.","Rajesh Belani, Jeffry Dean Watkins, Wei Zhang, Alain Phillippe Vasserot",2008-06-11,2014-02-13,2016-11-22,2016-11-22,https://patents.google.com/patent/US9499810B2/en,https://patentimages.storage.googleapis.com/7f/01/61/99bcdbccbc2861/US09499810-20161122-D00001.png
EP-2414513-B1,Compositions and methods comprising aspartyl-trna synthetases having non-canonical biological activities ,"Atyr Pharma, Inc.","Ryan A. Adams, Fei Hong, Ji Zhao, Kristi Piehl, Eva R. Armour, Kenny D'arigo, Leslie A. Greene, Eve Merriman",2009-03-31,2010-03-31,2015-10-28,2015-10-28,https://patents.google.com/patent/EP2414513B1/en,https://patentimages.storage.googleapis.com/25/3b/09/da528db8821191/imgf0001.png
US-8962560-B2,"Innovative discovery of therapeutic, diagnostic, and antibody compositions related to protein fragments of Lysyl-tRNA synthetases ","Atyr Pharma Inc., Pangu Biopharma Limited","Leslie Ann Greene, Kyle P. Chiang, Fei Hong, Alain Philippe Vasserot, Jeffry D. Watkins, Cheryl L. Quinn, Wing-Sze Lo, John D. Mendlein",2010-06-01,2011-06-01,2015-02-24,2015-02-24,https://patents.google.com/patent/US8962560B2/en,https://patentimages.storage.googleapis.com/d7/41/d0/f242e9e38c0959/US08962560-20150224-D00001.png
US-8828395-B2,Antibodies that bind tyrosyl-tRNA synthetases ,"Atyr Pharma, Inc.","Jeffry Dean Watkins, Alain P. Vasserot, Rajesh Belani, Leslie Ann Greene, Ryan Andrew Adams",2009-12-11,2011-06-16,2014-09-09,2014-09-09,https://patents.google.com/patent/US8828395B2/en,https://patentimages.storage.googleapis.com/95/b9/a5/1fb957391d40cd/US08828395-20140909-D00001.png
AU-2011311956-B2,"Innovative discovery of therapeutic, diagnostic, and antibody compositions related protein fragments of tryptophanyl tRNA synthetases ","Pangu Biopharma Limited, Atyr Pharma, Inc.","Kyle P. Chiang, Leslie Ann Greene, Fei Hong, Wing-Sze Lo, John D. Mendlein, Cheryl L. Quinn, Alain P. Vasserot, Jeffry D. Watkins",2010-10-06,2011-10-06,2017-02-02,2017-02-02,https://patents.google.com/patent/AU2011311956B2/en,
