search URL:,https://patents.google.com/?assignee=AUSPEX+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7598273-B2,"Inhibitors of the gastric H+, K+-ATPase with enhanced therapeutic properties ","Auspex Pharmaceuticals, Inc","Thomas G. Gant, Sepehr Sarshar",2005-10-06,2006-10-04,2009-10-06,2009-10-06,https://patents.google.com/patent/US7598273B2/en,
US-9498481-B2,Cyclopropyl modulators of P2Y12 receptor ,"Auspex Pharmaceuticals, Inc.","Tadimeti Rao, Chengzhi Zhang",2009-07-27,2015-12-21,2016-11-22,2016-11-22,https://patents.google.com/patent/US9498481B2/en,
US-8969576-B2,Substituted N-aryl pyridinones ,"Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Sepehr Sarshar",2007-06-20,2014-08-08,2015-03-03,2015-03-03,https://patents.google.com/patent/US8969576B2/en,
EP-2421867-B1,Piperidine inhibitors of janus kinase 3 ,"Auspex Pharmaceuticals, Llc","Tadimeti S. Rao, Chengzhi Zhang",2009-04-20,2010-04-20,2015-09-02,2015-09-02,https://patents.google.com/patent/EP2421867B1/en,
US-2009131485-A1,Deuterated pirfenidone ,"Concert Pharmaceuticals, Inc.","Julie F. Liu, Yong Dong",2007-09-10,2008-09-10,2009-05-21,,https://patents.google.com/patent/US20090131485A1/en,https://patentimages.storage.googleapis.com/d5/16/9a/a01916e668da8b/US20090131485A1-20090521-D00001.png
US-8252933-B2,"2-oxo-1,2-dihydro-quinoline modulators of immune function ","Teva Pharmaceuticals Industries, Ltd.","Thomas G. Gant, Manouchehr M. Shahbaz",2008-09-03,2009-09-02,2012-08-28,2012-08-28,https://patents.google.com/patent/US8252933B2/en,
US-7638651-B2,Substituted cyclohexanones ,Auspex Pharmaceuticals,"Thomas G. Gant, Sepehr Sarshar",2007-04-26,2008-04-25,2009-12-29,2009-12-29,https://patents.google.com/patent/US7638651B2/en,
ES-2425623-T3,benzoquinolínicos inhibitors vesicular monoamine transporter 2 ,"Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Manoucherhr Shahbaz",2008-09-18,2009-09-18,2013-10-16,2013-10-16,https://patents.google.com/patent/ES2425623T3/en,
US-7872013-B2,Preparation and utility of opioid analgesics ,"Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Sepehr Sarshar",2006-08-16,2007-08-16,2011-01-18,2011-01-18,https://patents.google.com/patent/US7872013B2/en,
US-2008234229-A1,"Novel Therapeutic Agents for the Treatment of Cancer, Metabolic Diseases and Skin Disorders ","Auspex Pharmaceuticals, Inc.",Sepehr Sarshar,2005-08-18,2006-08-17,2008-09-25,,https://patents.google.com/patent/US20080234229A1/en,
AU-2017200352-B2,Benzoquinolone inhibitors of VMAT2 ,"Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Manouchehr Shahbaz, Chengzhi Zhang",2010-06-01,2017-01-19,2018-08-02,2018-08-02,https://patents.google.com/patent/AU2017200352B2/en,
US-2019133935-A1,Novel pharmaceutical formulations ,"Auspex Pharmaceuticals, Inc.","Andreas Sommer, Chengzhi Zhang, John Carter, John Arthur, Margaret Bradbury",2014-02-07,2018-11-01,2019-05-09,,https://patents.google.com/patent/US20190133935A1/en,https://patentimages.storage.googleapis.com/b2/64/45/95d96a0fed60d3/US20190133935A1-20190509-D00001.png
US-7531695-B2,"Therapeutic agents for the treatment of cancer, metabolic diseases and skin disorders ","Auspex Pharmaceutical, Inc","Borcherng Hong, Sepehr Sarshar, Bruno Tse",2003-06-23,2004-06-03,2009-05-12,2009-05-12,https://patents.google.com/patent/US7531695B2/en,
US-2008280886-A1,Substituted ureas ,"Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Sepehr Sarshar",2007-05-08,2008-05-08,2008-11-13,,https://patents.google.com/patent/US20080280886A1/en,
US-2008280991-A1,Substituted naphthalenes ,"Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Sepehr Sarshar",2007-05-08,2008-05-07,2008-11-13,,https://patents.google.com/patent/US20080280991A1/en,
US-2011206782-A1,Piperidine modulators of dopamine receptor ,"Auspex Pharmaceuticals, Inc.",Chengzhi Zhang,2010-02-24,2011-02-15,2011-08-25,,https://patents.google.com/patent/US20110206782A1/en,
US-2007281894-A1,Preparation and utility of substituted erythromycin analogs ,"Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Sepehr Sarshar",2006-06-05,2007-05-31,2007-12-06,,https://patents.google.com/patent/US20070281894A1/en,
US-2015004231-A1,Formulations and pharmacokinetics of deuterated benzoquinoline inhibitors of vesicular monoamine transporter 2 ,"Auspex Pharmaceuticals, Inc.","Andreas Sommer, Chengzhi Zhang, John Carter, John Arthur, Margaret Bradbury, Thomas Gant, Manouchehr Shahbaz",2012-09-18,2014-09-08,2015-01-01,,https://patents.google.com/patent/US20150004231A1/en,https://patentimages.storage.googleapis.com/cc/3d/62/ea73f8a983cd71/US20150004231A1-20150101-D00001.png
US-2010234388-A1,Substituted pde5 inhibitors ,"Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Sepehr Sarshar",2006-06-08,2007-06-08,2010-09-16,,https://patents.google.com/patent/US20100234388A1/en,
CA-2736370-C,Pyrazole carboxamide inhibitors of factor xa ,"Auspex Pharmaceuticals, Inc., Thomas G. Gant, Manoucherhr Shahbaz","Thomas G. Gant, Manoucherhr Shahbaz",2008-09-15,2009-09-14,2016-12-13,2016-12-13,https://patents.google.com/patent/CA2736370C/en,
US-2008242687-A1,Substituted pyrimidines ,"Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Sepehr Sarshar",2007-04-02,2008-04-01,2008-10-02,,https://patents.google.com/patent/US20080242687A1/en,
US-2010167988-A1,Ethoxyphenylmethyl inhibitors of sglt2 ,"Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Manouchehr M. Shahbaz",2008-10-22,2009-10-22,2010-07-01,,https://patents.google.com/patent/US20100167988A1/en,
US-2010069356-A1,"Dibenzothiazepine modulators of dopamine, alpha adrenergic, and serotonin receptors ","Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Sepehr Sarshar",2008-09-17,2009-05-15,2010-03-18,,https://patents.google.com/patent/US20100069356A1/en,
US-7691904-B2,"pH sensitive prodrugs of 2,6-diisopropylphenol ","Auspex Pharmaceuticals, Inc","Subramanian Marappan, Cris Davenport, Sepehr Sarshar",2003-10-24,2007-07-24,2010-04-06,2010-04-06,https://patents.google.com/patent/US7691904B2/en,
US-2010075916-A1,Substituted quinazoline inhibitors of growth factor receptor tyrosine kinases ,"Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Sepehr Sarshar, Manouchehr M. Shahbaz",2008-09-05,2009-09-04,2010-03-25,,https://patents.google.com/patent/US20100075916A1/en,
US-7863308-B2,Substituted thiophenes ,"Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Sepehr Sarshar",2007-04-10,2008-04-10,2011-01-04,2011-01-04,https://patents.google.com/patent/US7863308B2/en,
US-8586760-B2,Aminothiazole modulators of beta-3-adrenoreceptor ,"Auspex Pharmaceuticals, Inc.","Tadimeti Rao, Chengzhi Zhang",2009-06-15,2010-06-09,2013-11-19,2013-11-19,https://patents.google.com/patent/US8586760B2/en,
DK-1954669-T3,SUBSTITUTED phenethylamines a serotonergic AND / OR NOREPINEPHRINERG ACTIVITY ,Auspex Pharmaceuticals Inc,"Thomas G Gant, Sepehr Sarshar",2005-12-01,2006-11-30,2015-10-12,2015-10-12,https://patents.google.com/patent/DK1954669T3/en,
EP-2081893-B1,Substituted indoles ,"Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Sepehr Sarshar",2006-10-19,2007-10-19,2011-03-23,2011-03-23,https://patents.google.com/patent/EP2081893B1/en,
US-2009028873-A1,Substituted cyclohexanols ,"Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Sepehr Sarshar",2007-07-27,2008-07-25,2009-01-29,,https://patents.google.com/patent/US20090028873A1/en,
EP-2514740-B1,Deuterated o-desmethylvenlafaxines with serotoninergic and/or norepinephrinergic activity ,"Auspex Pharmaceuticals, Inc.","Thomas G Gant, Sarshar Sepher, Soon Hyung Woo",2007-03-15,2008-03-13,2018-12-19,2018-12-19,https://patents.google.com/patent/EP2514740B1/en,https://patentimages.storage.googleapis.com/e7/91/0b/3ed02f2d6b676f/imgf0001.png
US-2010291151-A1,"1-methylpyrazole modulators of substance p, calcitonin gene-related peptide, adrenergic receptor, and/or 5-ht receptor ","Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Sepehr Sarshar",2009-04-21,2010-04-21,2010-11-18,,https://patents.google.com/patent/US20100291151A1/en,
US-2008132555-A1,Preparation and utility of substituted phenyltetrazoles ,"Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Sepehr Sarshar",2006-11-28,2007-11-28,2008-06-05,,https://patents.google.com/patent/US20080132555A1/en,
US-8778998-B2,Biphenyl-3-carboxylic acid modulators of beta-3-adrenoreceptor ,"Auspex Pharmaceuticals, Inc.",Chengzhi Zhang,2009-04-10,2010-04-09,2014-07-15,2014-07-15,https://patents.google.com/patent/US8778998B2/en,
US-2009022706-A1,Substituted cyclohexenes ,"Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Sepehr Sarshar, Chengzhi Zhang",2007-07-20,2008-07-18,2009-01-22,,https://patents.google.com/patent/US20090022706A1/en,
US-2008221069-A1,"Novel Therapeutic Agents for the Treatment of Cancer, Metabolic Diseases and Skin Disorders ","Auspex Pharmaceuticals, Inc.",Sepehr Sarshar,2005-09-02,2006-08-31,2008-09-11,,https://patents.google.com/patent/US20080221069A1/en,
EP-2155697-B1,Substituted piperazines ,"Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Sepehr Sarshar",2007-06-13,2008-06-12,2012-11-28,2012-11-28,https://patents.google.com/patent/EP2155697B1/en,
US-8575348-B2,Quinolone inhibitors of lipoprotein-associated phospholipase A2 ,"Auspex Pharmaceuticals, Inc","Tadimeti Rao, Chengzhi Zhang",2009-07-28,2010-07-28,2013-11-05,2013-11-05,https://patents.google.com/patent/US8575348B2/en,
US-2009191183-A1,Substituted indoles ,"Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Sepehr Sarshar",2007-07-30,2008-07-29,2009-07-30,,https://patents.google.com/patent/US20090191183A1/en,
US-2010167989-A1,Isopropoxyphenylmethyl inhibitors of sglt2 ,"Auspex Pharmaceuticals, Inc.",Thomas G. Gant,2008-10-23,2009-10-23,2010-07-01,,https://patents.google.com/patent/US20100167989A1/en,
US-2008146573-A1,Preparation and utility of substituted oxzolidinones ,"Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Sepehr Sarshar",2006-12-04,2007-12-03,2008-06-19,,https://patents.google.com/patent/US20080146573A1/en,
US-2011206661-A1,Trimethoxyphenyl inhibitors of tyrosine kinase ,"Auspex Pharmaceuticals, Inc.","Chengzhi Zhang, Andreas Sommer",2010-02-24,2011-02-18,2011-08-25,,https://patents.google.com/patent/US20110206661A1/en,
AU-2012225611-B2,Substituted N-Aryl pyridinones ,"Auspex Pharmaceuticals, Inc.","Andreas Sommers, Chengzhi Zhang",2011-03-08,2012-03-06,2016-09-15,2016-09-15,https://patents.google.com/patent/AU2012225611B2/en,
US-8101633-B2,Preparation and utility of substituted imidazopyridine compounds with hypnotic effects ,"Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Sepehr Sarshar",2006-06-05,2009-09-01,2012-01-24,2012-01-24,https://patents.google.com/patent/US8101633B2/en,
US-7745665-B2,Substituted phenethylamines ,"Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Sepehr Sarshar",2007-06-04,2008-06-03,2010-06-29,2010-06-29,https://patents.google.com/patent/US7745665B2/en,
US-7468462-B2,"Therapeutic agents for the treatment of cancer, metabolic diseases and skin disorders ",Auspex Pharmaceuticals,Sepehr Sarshar,2004-05-03,2006-11-01,2008-12-23,2008-12-23,https://patents.google.com/patent/US7468462B2/en,
US-2008039473-A1,Preparation and utility of substituted quinazoline compounds with alpha-adrenergic blocking effects ,"Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Sepehr Sarshar",2006-08-08,2007-08-08,2008-02-14,,https://patents.google.com/patent/US20080039473A1/en,
US-2010143295-A1,Quinazoline inhibitors of egfr tyrosine kinase ,"Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Sepehr Sarshar",2008-12-05,2009-12-04,2010-06-10,,https://patents.google.com/patent/US20100143295A1/en,
US-2011257260-A1,"3,4-methylenedioxyphenyl inhibitors of gaba aminotransferase and/or gaba reuptake transporter inhibitor ","Auspex Pharmaceuticals, Inc.","Tadimeti Rao, Chengzhi Zhang",2009-07-21,2010-07-20,2011-10-20,,https://patents.google.com/patent/US20110257260A1/en,
US-2008255200-A1,Substituted benzimidazoles ,"Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Sepehr Sarshar",2007-04-11,2008-04-10,2008-10-16,,https://patents.google.com/patent/US20080255200A1/en,
US-7767860-B2,Substituted amino alcohols ,"Auspex Pharmaceuticals, Inc","Thomas G. Gant, Sepehr Sarshar",2007-09-06,2008-09-03,2010-08-03,2010-08-03,https://patents.google.com/patent/US7767860B2/en,
US-2010069399-A1,"Arylpiperazine modulators of d2 receptors, 5-ht1a receptors, and/or 5-ht2a receptors ","Auspex Pharmaceutical, Inc.","Thomas G. Gant, Sepehr Sarshar, Chengzhi Zhang",2008-09-15,2009-02-27,2010-03-18,,https://patents.google.com/patent/US20100069399A1/en,
US-7572816-B2,"Therapeutic agents for the treatment of cancer, metabolic diseases and skin disorders ","Auspex Pharmaceuticals, Inc.","Bruno Tse, Sepehr Sarshar",2003-08-01,2004-07-21,2009-08-11,2009-08-11,https://patents.google.com/patent/US7572816B2/en,
US-2011123555-A1,Preparation and utility of ccr5 inhibitors ,"Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Sepehr Sarshar",2006-12-19,2010-09-17,2011-05-26,,https://patents.google.com/patent/US20110123555A1/en,
US-2007276042-A1,Preparation and utility of substituted carboxylic acid compounds ,"Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Sepehr Sarshar, Soon Hyung Woo",2006-05-26,2007-05-22,2007-11-29,,https://patents.google.com/patent/US20070276042A1/en,
US-2010172916-A1,Substituted hydroxyphenylamine compounds ,"Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Craig Hodulik, Soon Woo",2008-11-10,2009-11-09,2010-07-08,,https://patents.google.com/patent/US20100172916A1/en,
US-2011070192-A1,Method of preparation of novel nucleoside analogs and uses ,"Bruno Tse, Borcherng Hong, Wei-Hung Chen, Yea-Fen Jiang, Shuo-Cang Zhang, Subramanian Marappan, Sepehr Sarshar","Bruno Tse, Borcherng Hong, Wei-Hung Chen, Yea-Fen Jiang, Shuo-Cang Zhang, Subramanian Marappan, Sepehr Sarshar",2003-11-14,2004-11-08,2011-03-24,,https://patents.google.com/patent/US20110070192A1/en,
US-9585884-B2,Pyrimidinone inhibitors of lipoprotein-associated phospholipase A2 ,"Auspex Pharmaceuticals, Inc.","Tadimeti Rao, Chengzhi Zhang",2009-07-28,2013-12-16,2017-03-07,2017-03-07,https://patents.google.com/patent/US9585884B2/en,
US-2011053968-A1,Aminopyrimidine inhibitors of tyrosine kinase ,"Auspex Pharmaceuticals, Inc.",Chengzhi Zhang,2009-06-09,2010-06-03,2011-03-03,,https://patents.google.com/patent/US20110053968A1/en,
US-2007112031-A1,Substituted phenylpiperidines with serotoninergic activity and enhanced therapeutic properties ,"Gant Thomas G, Sepehr Sarshar","Thomas Gant, Sepehr Sarshar",2005-11-14,2006-11-13,2007-05-17,,https://patents.google.com/patent/US20070112031A1/en,
US-2011206780-A1,"Morphinan modulators of nmda receptors, sigma1 receptors, sigma2 receptors, and/or a3b4 nicotinic receptors ","Auspex Pharmaceuticals, Inc.","Thomas G. Gant, Sepehr Sarshar, Chengzhi Zhang",2010-01-06,2011-01-05,2011-08-25,,https://patents.google.com/patent/US20110206780A1/en,
