search URL:,https://patents.google.com/?assignee=AUXILIUM+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-6074341-A,Vessel occlusive apparatus and method ,"Timm Medical Technologies, Inc.","David W. Anderson, Gerald W. Timm",1998-06-09,1998-06-09,2000-06-13,2000-06-13,https://patents.google.com/patent/US6074341A/en,https://patentimages.storage.googleapis.com/78/5f/d6/f1b892dd4148e8/US6074341-drawings-page-3.png
US-8465759-B2,Process for the preparation of a hot-melt extruded laminate ,"Auxilium Us Holdings, Llc","Michael M. Crowley, Justin M. Keen, John J. Koleng, Feng Zhang",2006-03-24,2007-03-22,2013-06-18,2013-06-18,https://patents.google.com/patent/US8465759B2/en,https://patentimages.storage.googleapis.com/f4/11/07/5b78af146c13e9/US08465759-20130618-D00000.png
CA-2647809-C,Stabilized compositions containing alkaline labile drugs ,"Auxilium Pharmaceuticals, Inc., Michael M. Crowley, Justin M. Keen, John J. Koleng, Feng Zhang, Auxilium International Holdings, Inc.","Michael M. Crowley, Justin M. Keen, John J. Koleng, Feng Zhang",2006-03-24,2007-03-22,2016-08-16,2016-08-16,https://patents.google.com/patent/CA2647809C/en,
US-5421808-A,Battery-operated male organ conditioning appliance ,"Osbon Medical Systems, Ltd.","James B. Osbon, Andrew Sealfon, John M. Mitchell",1993-07-30,1993-07-30,1995-06-06,1995-06-06,https://patents.google.com/patent/US5421808A/en,https://patentimages.storage.googleapis.com/11/c7/6d/b39ed3cebd17db/US5421808-drawings-page-3.png
CA-2637262-C,Compositions and methods for treating collagen-mediated diseases ,"Auxilium International Holdings, Inc., Gregory L. Sabatino, Benjamin J. Del Tito, Jr., Phillip J. Bassett, Hazel A. Tharia, Antony G. Hitchcock, Auxilium Pharmaceuticals, Inc., Biospecifics Technologies Corp., Thomas L. Wegman, Bo Yu","Gregory L. Sabatino, Benjamin J. Del Tito, Jr., Phillip J. Bassett, Hazel A. Tharia, Antony G. Hitchcock, Thomas L. Wegman, Bo Yu",2006-01-30,2007-01-30,2014-08-19,2014-08-19,https://patents.google.com/patent/CA2637262C/en,
LV-13303-B,Pharmaceutical composition ,Auxilium Pharmaceuticals Inc,Robert Gyurik,2002-04-19,2004-10-27,2006-08-20,,https://patents.google.com/patent/LV13303B/en,
US-5624378-A,Pumpless vacuum generation for augmenting male potency ,"Osbon Medical Systems, Inc.",Albert S. Baldecchi,1994-08-31,1994-08-31,1997-04-29,1997-04-29,https://patents.google.com/patent/US5624378A/en,https://patentimages.storage.googleapis.com/a5/0c/fe/3b55a7716353f2/US5624378-drawings-page-3.png
US-6248059-B1,Powered external vacuum appliance for the treatment of impotence ,"Timm Medical Technologies, Inc.","Steven C. Gamper, David S. Rowley, Stephen J. Flynn, Devin L. Moore, John A. McMillan, John M. Mitchell, Maureen Carroll",1996-05-03,1996-05-03,2001-06-19,2001-06-19,https://patents.google.com/patent/US6248059B1/en,https://patentimages.storage.googleapis.com/af/cb/81/0cfed5d42a3971/US6248059-drawings-page-3.png
US-6705987-B2,Penile seal and constriction ring ,"Endocare, Inc.","David W. Anderson, Allen R. Pedersen, Karl F. Biewald, Gerald W. Timm",2002-04-17,2002-04-17,2004-03-16,2004-03-16,https://patents.google.com/patent/US6705987B2/en,https://patentimages.storage.googleapis.com/3c/c2/16/e99edf856e804a/US06705987-20040316-D00000.png
US-9757435-B2,Clostridium histolyticum enzymes and methods for the use thereof ,Endo Global Ventures,Wayne K. Herber,2012-01-12,2014-07-11,2017-09-12,2017-09-12,https://patents.google.com/patent/US9757435B2/en,https://patentimages.storage.googleapis.com/da/7d/69/e11b5829e30350/US09757435-20170912-D00001.png
US-5643290-A,Penile cincture band loading apparatus and method ,"Osbon Medical Systems, Ltd.","Jeffrey W. Clark, Stephen J. Flynn, Steven C. Gamper, Devin L. Moore, David S. Rowley",1995-05-17,1995-06-07,1997-07-01,1997-07-01,https://patents.google.com/patent/US5643290A/en,https://patentimages.storage.googleapis.com/59/88/ea/1c7ed72676c239/US5643290-drawings-page-2.png
US-2008233614-A1,Production of recombinant collagenases colg and colh in escherichia coli ,"Cranenburgh Rocky M, Sabatino Gregory L, Del Tito Benjamin J","Rocky M. Cranenburgh, Gregory L. Sabatino, Benjamin J. Del Tito",2007-02-13,2008-02-11,2008-09-25,,https://patents.google.com/patent/US20080233614A1/en,https://patentimages.storage.googleapis.com/US20080233614A1/US20080233614A1-20080925-D00000.png
US-2014335072-A1,Method of Treating or Reducing EFP ,"Auxilium Pharmaceuticals, Inc.",Susan G. Emeigh Hart,2011-10-21,2014-04-17,2014-11-13,,https://patents.google.com/patent/US20140335072A1/en,https://patentimages.storage.googleapis.com/5c/0f/d2/a922a0bab69ca5/US20140335072A1-20141113-D00001.png
WO-2007112287-A2,Hme transdermal compositions containing testosterone ,"Auxilium Pharmaceuticals, Inc.","Michael M. Crowley, Justin M. Keen, John J. Koleng, Randall Mack, Terri Sebree, Theodore M. Smith, Feng Zhang",2006-03-24,2007-03-22,2007-10-04,,https://patents.google.com/patent/WO2007112287A2/en,
US-D421652-S,Powered external vacuum appliance for the treatment of impotence ,"Osbon Medical Systems, Ltd.","Steven C. Gamper, David S. Rowley, Stephen J. Flynn, Devin L. Moore, John A. McMillan, John M. Mitchell, Maureen Carroll",,1998-05-27,2000-03-14,2000-03-14,https://patents.google.com/patent/USD421652S/en,https://patentimages.storage.googleapis.com/pages/USD421652-2.png
WO-2007100590-A2,Methods for treating cellulite ,"Auxilium Pharmaceuticals, Inc.",Marie A. Badalamente,2006-02-22,2007-02-20,2007-09-07,,https://patents.google.com/patent/WO2007100590A2/en,
