search URL:,https://patents.google.com/?assignee=AVALON+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-2152258-B1,"Derivatives of fluorene, anthracene, xanthene, dibenzosuberone and acridine and uses thereof ",Avalon Pharmaceuticals,"Wieslaw M. Cholody, Yi Zang, Karina Zuck, Jeffrey W.H. Watthey, Zoe Ohler, Jeffrey Strovel, Gene Ohler, Sheela Chellappan, Janak Padia",2007-05-10,2008-05-09,2016-05-04,2016-05-04,https://patents.google.com/patent/EP2152258B1/en,
US-2005287147-A1,Cancer-linked gene as target for chemotherapy ,"Reinhard Ebner, Stephen Horrigan","Reinhard Ebner, Stephen Horrigan",2002-05-15,2003-05-15,2005-12-29,,https://patents.google.com/patent/US20050287147A1/en,
US-2005220798-A1,Cancer-linked gene as target for chemotherapy ,"Reinhard Ebner, Martin Shea","Reinhard Ebner, Martin Shea",2002-06-04,2003-06-04,2005-10-06,,https://patents.google.com/patent/US20050220798A1/en,
US-2006228705-A1,Cancer-linked gene as target for chemotherapy ,"Reinhard Ebner, Rick Jennifer A","Reinhard Ebner, Jennifer Rick",2002-06-07,2003-06-05,2006-10-12,,https://patents.google.com/patent/US20060228705A1/en,
EP-1358349-A2,Cancer gene determination and therapeutic screening using signature gene sets ,Avalon Pharmaceuticals,"Meena Augustus, Kenneth C. Carter, Reinhard Ebner, Greg Endress, Steve Horrigan, Daniel R. Soppet, Zoe Weaver, Paul E. Young",2000-06-05,2001-05-30,2003-11-05,,https://patents.google.com/patent/EP1358349A2/en,
WO-03105758-A2,Cancer-linked gene as target for chemotherapy ,"Avalon Pharmaceuticals, Inc.","Jeffrey William Strovel, Reinhard Ebner",2002-06-12,2003-06-11,2003-12-24,,https://patents.google.com/patent/WO2003105758A2/en,
EP-1576111-A3,Cancer-linked gene as target for chemotherapy ,"Avalon Pharmaceuticals, Inc.","Jennifer A. Rick, Reinhard Ebner",2002-06-07,2003-06-05,2005-09-01,,https://patents.google.com/patent/EP1576111A3/en,
US-2005032794-A1,Diamine derivatives of quinone and uses thereof ,"Padia Janak K., O'brien Sean, Jiemin Lu, Stanislaw Pikul","Janak Padia, Sean O'Brien, Jiemin Lu, Stanislaw Pikul",2003-08-05,2004-01-15,2005-02-10,,https://patents.google.com/patent/US20050032794A1/en,
US-2007059697-A1,Determining cancer-linked genes and therapeutic targets using molecular cytogenetic methods ,"Avalon Pharmaceuticals, Inc","Jeffrey Strovel, Colyn Cain, Stephen Horrigan, Meena Augustus",2003-04-15,2004-04-15,2007-03-15,,https://patents.google.com/patent/US20070059697A1/en,
US-7094791-B2,"Derivatives of 3-hydroxy-pyrrole-2,4-dicarboxylic acid and uses thereof ","Avalon Pharmaceuticals, Inc.","Wieslaw M. Cholody, Valentina Petukhova, Sean O'Brien, Norman Ohler, Stanislaw Pikul",2003-07-31,2003-07-31,2006-08-22,2006-08-22,https://patents.google.com/patent/US7094791B2/en,
US-2008305493-A1,Determining Cancer-Linked Genes and Therapeutic Targets Using Molecular Cytogenetic Methods ,Avalon Pharmaceuticals,"Jeffrey W. Strovel, Colyn B. Cain, Stephen K. Horrigan, Meena Augustus",2004-03-08,2005-03-08,2008-12-11,,https://patents.google.com/patent/US20080305493A1/en,
US-2010249111-A1,Multi-ring compounds and uses thereof ,Avalon Pharmaceuticals,"Norman E. Ohler, Jeffrey W. Watthey, Jeffrey Strovel, Sheela K. Chellappan",2007-04-26,2008-04-25,2010-09-30,,https://patents.google.com/patent/US20100249111A1/en,
EP-2170311-A1,Compounds and methods for treating or preventing autoimmune diseases ,"Avalon Pharmaceuticals, Medimmune, Inc.","Stephen K. Horrigan, Qin Zong, Daniel Soppet, Juana Castaneda, Bo Chen, Ricardo Cibotti, Laurent P. Audoly, Anthony Coyle, Peter Kiener",2007-05-16,2008-05-16,2010-04-07,,https://patents.google.com/patent/EP2170311A1/en,
US-2002115057-A1,Process for identifying anti-cancer therapeutic agents using cancer gene sets ,Paul Young,Paul Young,2000-09-18,2001-09-18,2002-08-22,,https://patents.google.com/patent/US20020115057A1/en,
CA-2425643-A1,Cancer-linked genes as targets for chemotherapy ,"Avalon Pharmaceuticals, Paul E. Young, Stephen Horrigan, Zoe Weaver, Gregory A. Endress","Paul E. Young, Stephen Horrigan, Zoe Weaver, Gregory A. Endress",2000-10-11,2001-10-11,2002-04-18,,https://patents.google.com/patent/CA2425643A1/en,
US-2009036429-A1,Hydroxypiperidine Derivatives and Uses Thereof ,"Ohler Norman E, Watthey Jeffrey W, Qin Zong, Paul Young, Strand Kathryn J","Norman E. Ohler, Jeffrey W. Watthey, Qin Zong, Paul Young, Kathryn J. Strand",2006-02-17,2007-02-16,2009-02-05,,https://patents.google.com/patent/US20090036429A1/en,
US-2006134622-A1,Amplified cancer target genes useful in diagnosis and thereapeutic screening ,"Meena Augustus, Stephen Horrigan, Colyn Cain, Strovel Jeffrey W","Meena Augustus, Stephen Horrigan, Colyn Cain, Jeffrey Strovel",2002-12-20,2003-12-19,2006-06-22,,https://patents.google.com/patent/US20060134622A1/en,https://patentimages.storage.googleapis.com/ef/24/31/31074ef175e4b6/US20060134622A1-20060622-D00001.png
US-2002102531-A1,Cancer gene determination and therapeutic screening using signature gene sets ,Steve Horrigan,Steve Horrigan,2000-09-28,2001-09-27,2002-08-01,,https://patents.google.com/patent/US20020102531A1/en,
US-2002102532-A1,Cancer gene determination and therapeutic screening using signature gene sets ,Meena Augustus,Meena Augustus,2000-10-03,2001-10-03,2002-08-01,,https://patents.google.com/patent/US20020102532A1/en,
