search URL:,https://patents.google.com/?assignee=AVEO+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9228021-B2,Anti-ErbB3 antibodies ,"Aveo Pharmaceuticals, Inc.","Sylvie Vincent, William M. Winston, Jr., Fang Wang, Solly Weiler, Kristan Meetze, Lyne Breault, Steve Bottega, Ting Chen, Michael DePrima, Christina Fleet, Steven Tyler, Jin-Kyeung Woo, Jeno Gyuris",2010-04-09,2013-06-17,2016-01-05,2016-01-05,https://patents.google.com/patent/US9228021B2/en,https://patentimages.storage.googleapis.com/41/16/43/b2977c4da81f0a/US09228021-20160105-D00001.png
AU-2007254853-B2,Hepatocyte growth factor (HGF) binding proteins ,"Aveo Pharmaceuticals, Inc.","Lyne Breault, Bijan Etemad-Gilbertson, Jeno Gyuris, May Han, Christine Knuehl, Jie Lin, William M. Winston Jr., S. Kirk Wright",2006-06-02,2007-06-01,2011-11-17,2011-11-17,https://patents.google.com/patent/AU2007254853B2/en,
US-8580930-B2,Hepatocyte growth factor (HGF) binding proteins ,"Aveo Pharmaceuticals, Inc.","William M. Winston, Jr., S. Kirk Wright, May Han, Lyne Breault, Jie Lin, Bijan Etemad-Gilbertson, Christine Knuehl, Jeno Gyuris, Arnold Horwitz",2006-06-02,2012-08-20,2013-11-12,2013-11-12,https://patents.google.com/patent/US8580930B2/en,https://patentimages.storage.googleapis.com/71/57/e8/1a89737053da3c/US08580930-20131112-D00001.png
US-8187601-B2,Fibroblast growth factor receptor 3 (FGFR3) binding proteins ,"Aveo Pharmaceuticals, Inc.","Zhigang Weng, William M. Winston, Jr., Lyne Breault, Kristan Meetze, Solly Weiler, Jeno Gyuris",2008-07-01,2009-06-30,2012-05-29,2012-05-29,https://patents.google.com/patent/US8187601B2/en,https://patentimages.storage.googleapis.com/18/0a/35/8643d1519df12c/US08187601-20120529-D00001.png
AU-2013364133-B2,Anti-GDF15 antibodies ,"Aveo Pharmaceuticals, Inc.","Sandra ABBOTT, Ailin Bai, Ting Chen, Maria Isabel Chiu, Jeno Gyuris, Lorena Lerner, Qing Liu, Laura POLING, Nianjun Tao, Solly Weiler, Zhigang Weng, William M. Winston",2012-12-21,2013-12-20,2018-10-11,2018-10-11,https://patents.google.com/patent/AU2013364133B2/en,
AU-2011245636-A1,Anti-ErbB3 antibodies ,"Aveo Pharmaceuticals, Inc.","Steve Botega, Lyne Breault, Ting Chen, Michael Deprima, Christina Fleet, Jeno Gyuris, Kristan Meetze, Steven Tyler, Sylvie Vincent, Fang Wang, Solly Weiler, William M. Winston Jr., Jin-Kyeung Woo",2010-04-09,2011-04-08,2012-11-22,,https://patents.google.com/patent/AU2011245636A1/en,
US-2011305687-A1,Anti-fgfr2 antibodies ,"Zhigang Weng, Winston Jr William M, Ailin Bai, Kristan Meetze, Solly Weiler, Ting Chen, Jeno Gyuris","Zhigang Weng, William M. Winston, Jr., Ailin Bai, Kristan Meetze, Solly Weiler, Ting Chen, Jeno Gyuris",2010-05-11,2011-05-11,2011-12-15,,https://patents.google.com/patent/US20110305687A1/en,https://patentimages.storage.googleapis.com/e7/cc/71/02984a22d3288d/US20110305687A1-20111215-D00001.png
US-9345788-B2,Reconstituted human breast tumor model ,"Aveo Pharmaceuticals, Inc.","Min Wu, Charlotte Kuperwasser, Murray Robinson",2004-12-07,2005-06-28,2016-05-24,2016-05-24,https://patents.google.com/patent/US9345788B2/en,https://patentimages.storage.googleapis.com/8a/13/ab/3b27c95e1e666b/US09345788-20160524-D00001.png
US-9896730-B2,"Use of EMT gene signatures in cancer drug discovery, diagnostics, and treatment ","OSI Pharmaceuticals, LLC, Aveo Pharmaceuticals, Inc.","Julie Kan, Stuart Thomson, Gretchen M. Argast, Matthew E. O'Connor, Murray Robinson, Bin Feng, Joerg Heyer, Maria I. Chiu, Richard Nicoletti",2011-04-25,2012-04-25,2018-02-20,2018-02-20,https://patents.google.com/patent/US9896730B2/en,https://patentimages.storage.googleapis.com/b5/5b/25/c1c8d36fe42aff/US09896730-20180220-D00001.png
US-8603478-B2,Anti-RON antibodies ,"Aveo Pharmaceuticals, Inc.","Kerry Whalen, Steve Bottega, Andrea Boudrow, Lyne Breault, Ting Chen, James Gifford, May Han, Jinwei Jiang, Lorena Lerner, Qing Liu, Kristan Meetze, Sylvie Vincent, Solly Weiler, William M. Winston, Jr., Jeno Gyuris",2010-07-06,2011-07-06,2013-12-10,2013-12-10,https://patents.google.com/patent/US8603478B2/en,https://patentimages.storage.googleapis.com/03/6f/e2/decfd9b25c1769/US08603478-20131210-D00001.png
US-2013165343-A1,Identification of multigene biomarkers ,"Aveo Pharmaceuticals, Inc.","Murray Robinson, Bin Feng, Richard Nicoletti, Joshua P. Frederick, Lejla Pilipovic",2011-12-22,2013-02-25,2013-06-27,,https://patents.google.com/patent/US20130165343A1/en,https://patentimages.storage.googleapis.com/08/9d/dd/80ed5b7ba68ee0/US20130165343A1-20130627-D00001.png
WO-2008133873-A2,Fgf-binding fusion proteins ,"Aveo Pharmaceuticals, Inc.","William M. Winston, Lynn Breault, Zhigang Weng",2007-04-25,2008-04-21,2008-11-06,,https://patents.google.com/patent/WO2008133873A2/en,
AU-2004268639-B2,Chimeric cancer models ,"Aveo Pharmaceuticals, Inc.","Steven C. Clark, Ronald A. Depinho, Joerg Heyer, Tyler Jacks, Ronan C. O'hagan, William Rideout III, Murray O. Robinson, Yinghui Zhou",2003-08-28,2004-08-27,2008-10-23,2008-10-23,https://patents.google.com/patent/AU2004268639B2/en,
AU-2006232125-C1,Directed complementation ,"Aveo Pharmaceuticals, Inc.","Ti Cai, Maria Isabel Chiu, Karuppiah Kannan, Lorena Lerner, Jie Lin, Ronan O'hagan, Murray Robinson, Yinghui Zhou",2005-04-05,2006-04-05,2011-04-14,2011-04-14,https://patents.google.com/patent/AU2006232125C1/en,
AU-2012318541-B2,Predicting tumor response to anti-ERBB3 antibodies ,"Aveo Pharmaceuticals, Inc.","Steve Bottega, Bin Feng, Jeno Gyuris, Donna Mcintosh, Kristan Meetze, Richard NICOLETTI, Steven Tyler, Sylvie Vincent",2011-10-06,2012-10-05,2018-04-12,2018-04-12,https://patents.google.com/patent/AU2012318541B2/en,
US-7736861-B1,Tivozanib response prediction ,"Aveo Pharmaceuticals, Inc.","Jie Lin, Bin Feng, Murray Robinson, Feng Jiang, Xiaojian Sun",2009-10-19,2009-12-22,2010-06-15,2010-06-15,https://patents.google.com/patent/US7736861B1/en,https://patentimages.storage.googleapis.com/56/03/25/e4fffd5f2c14a3/US07736861-20100615-D00001.png
US-7615353-B1,Tivozanib response prediction ,"Aveo Pharmaceuticals, Inc.","Jie Lin, Murray Robinson, Bin Feng, Wenping Kathryn Sun",2009-07-06,2009-07-06,2009-11-10,2009-11-10,https://patents.google.com/patent/US7615353B1/en,
