search URL:,https://patents.google.com/?assignee=AXOGEN+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-5804213-A,Biologically active aqueous gel wound dressing ,Lectec Corporation,David Rolf,1991-10-09,1992-07-15,1998-09-08,1998-09-08,https://patents.google.com/patent/US5804213A/en,https://patentimages.storage.googleapis.com/dc/3e/2f/f335a5c08ccf11/US5804213-drawings-page-3.png
US-6495158-B1,Acne patch ,Lec Tec Corporation,"Teri Buseman, David Rolf, Daniel M. McWhorter",2001-01-19,2001-01-19,2002-12-17,2002-12-17,https://patents.google.com/patent/US6495158B1/en,https://patentimages.storage.googleapis.com/af/8e/b5/3e21ee7141c6bb/US06495158-20021217-D00000.png
US-6455065-B1,Therapeutic method for treating acne or isolated pimples and adhesive patch therefor ,Lectec Corporation,Alan C. Hymes,1999-05-18,1999-05-18,2002-09-24,2002-09-24,https://patents.google.com/patent/US6455065B1/en,https://patentimages.storage.googleapis.com/74/c7/64/4c1ba8df488f73/US6455065-drawings-page-2.png
US-6090403-A,Inhalation therapy decongestant with foraminous carrier ,Lectec Corporation,"Leslie L. Block, David J. W. Goon, David Rolf",1998-08-17,1998-08-17,2000-07-18,2000-07-18,https://patents.google.com/patent/US6090403A/en,https://patentimages.storage.googleapis.com/60/b4/10/dd3cc1925de107/US6090403-drawings-page-2.png
US-6348212-B2,Treating traumatic burns or blisters of the skin ,Lectec Corporation,"Alan C. Hymes, Jane Nichols",1999-05-18,1999-05-18,2002-02-19,2002-02-19,https://patents.google.com/patent/US6348212B2/en,https://patentimages.storage.googleapis.com/82/c8/17/a46246db9f474f/US6348212-drawings-page-2.png
US-6469227-B1,Antipruritic patch ,Lectec Corporation,"Dede Cooke, David Rolf",1999-12-10,2000-05-12,2002-10-22,2002-10-22,https://patents.google.com/patent/US6469227B1/en,https://patentimages.storage.googleapis.com/db/73/22/d12fb1275a708e/US06469227-20021022-D00000.png
US-7851447-B2,Methods for nerve repair ,"University Of Florida Research Foundation, Inc.",David F. Muir,2001-08-13,2002-08-13,2010-12-14,2010-12-14,https://patents.google.com/patent/US7851447B2/en,https://patentimages.storage.googleapis.com/6f/fa/54/acf7a15454e01d/US07851447-20101214-D00001.png
US-6830758-B2,Psoriasis patch ,Lectec Corporation,"Jane Nichols, Teri Buseman, David Rolf, David Brandwein, Daniel M. McWhorter",2001-04-02,2001-04-02,2004-12-14,2004-12-14,https://patents.google.com/patent/US6830758B2/en,https://patentimages.storage.googleapis.com/16/12/6f/1fb8b4dc252346/US06830758-20041214-D00000.png
US-6698836-B1,"Mechanism to obtain the complete reclining of a seat, particularly for an aircraft seat ",Aviointeriors S.P.A.,Alberto Veneruso,2002-08-26,2002-08-26,2004-03-02,2004-03-02,https://patents.google.com/patent/US6698836B1/en,https://patentimages.storage.googleapis.com/13/83/46/43e545e24818be/US06698836-20040302-D00000.png
US-6696575-B2,"Biodegradable, electrically conducting polymer for tissue engineering applications ","Board Of Regents, The University Of Texas System","Christine E. Schmidt, Tyrell J. Rivers",2001-03-27,2002-03-27,2004-02-24,2004-02-24,https://patents.google.com/patent/US6696575B2/en,https://patentimages.storage.googleapis.com/63/56/01/713f93b138c453/US06696575-20040224-D00000.png
US-7288265-B1,Treating viral infection at smallpox vaccination site ,Lectec Corporation,David Rolf,2000-10-16,2003-01-08,2007-10-30,2007-10-30,https://patents.google.com/patent/US7288265B1/en,https://patentimages.storage.googleapis.com/US7288265B1/US07288265-20071030-D00000.png
US-8758794-B2,Cell-free tissue replacement for tissue engineering ,"Board Of Regents, The University Of Texas System","Christine Schmidt, Terry Hudson",2002-09-27,2008-06-09,2014-06-24,2014-06-24,https://patents.google.com/patent/US8758794B2/en,https://patentimages.storage.googleapis.com/5f/4c/9c/f027139b586d4e/US08758794-20140624-D00001.png
US-2007026056-A1,Antiviral patch ,Lectec Corporation,David Rolf,2000-10-16,2006-09-26,2007-02-01,,https://patents.google.com/patent/US20070026056A1/en,https://patentimages.storage.googleapis.com/18/2b/a8/c671f5d8b9e094/US20070026056A1-20070201-D00001.png
US-6620436-B1,Mixing and dispensing package for a wound dressing ,Lectec Corporation,David Rolf,1991-10-09,1994-11-28,2003-09-16,2003-09-16,https://patents.google.com/patent/US6620436B1/en,https://patentimages.storage.googleapis.com/29/c5/66/a13f566f533c22/US6620436-drawings-page-2.png
US-7772185-B2,Method for promoting axonal outgrowth in damaged nerves ,Emory University,"Arthur W. English, Robert McKeon, Erica Werner",2004-01-30,2005-01-31,2010-08-10,2010-08-10,https://patents.google.com/patent/US7772185B2/en,https://patentimages.storage.googleapis.com/de/20/d4/552aaa0bf922bd/US07772185-20100810-D00001.png
US-D777917-S,Two-point discriminator sensory measurement device ,"Axogen, Inc.","Shashank Sanjay Kabra, Rachel Pamela Newmark, Jill F. Schiaparelli, Lajoo N. Motwani, John F. Rix, Michael C. Smith",2015-06-30,2015-06-30,2017-01-31,2017-01-31,https://patents.google.com/patent/USD777917S1/en,https://patentimages.storage.googleapis.com/87/d5/9d/a976b89bfba37e/USD0777917-20170131-D00000.png
US-2011293681-A1,Hand sanitizing patch having an integrally bonded antimicrobial ,Lectec Corporation,"Judd Berlin, Daniel Sigg",2010-02-26,2011-02-25,2011-12-01,,https://patents.google.com/patent/US20110293681A1/en,https://patentimages.storage.googleapis.com/27/43/7b/97735b5cc3ad16/US20110293681A1-20111201-D00000.png
US-2011105976-A1,Hand sanitizing patch ,Judd Berlin,Judd Berlin,2008-03-07,2009-03-05,2011-05-05,,https://patents.google.com/patent/US20110105976A1/en,https://patentimages.storage.googleapis.com/8f/cf/67/8796853bcb357c/US20110105976A1-20110505-D00000.png
US-8545485-B2,Nerve elevator and method of use ,"Axogen, Inc.",Orlando Merced-O'Neill,2008-04-21,2009-04-21,2013-10-01,2013-10-01,https://patents.google.com/patent/US8545485B2/en,https://patentimages.storage.googleapis.com/b6/9b/04/00721be6858595/US08545485-20131001-D00000.png
US-9629997-B2,Materials and methods for protecting against neuromas ,Axogen Corporation,"Curt Deister, Crystal Simon",2012-09-25,2013-09-25,2017-04-25,2017-04-25,https://patents.google.com/patent/US9629997B2/en,https://patentimages.storage.googleapis.com/4f/6f/bc/f0e6c17ac0352d/US09629997-20170425-D00000.png
US-9996729-B2,Quantitative structural assay of a nerve graft ,Axogen Corporation,Curt Deister,2015-05-28,2017-05-11,2018-06-12,2018-06-12,https://patents.google.com/patent/US9996729B2/en,https://patentimages.storage.googleapis.com/a3/e3/19/ea9d7edb5c880d/US09996729-20180612-D00000.png
US-9572911-B2,Method for decellularization of tissue grafts ,"University Of Florida Research Foundation, Incorporated",David F. Muir,2013-03-15,2014-03-17,2017-02-21,2017-02-21,https://patents.google.com/patent/US9572911B2/en,https://patentimages.storage.googleapis.com/51/cb/bc/c6c8a120ae3d96/US09572911-20170221-D00000.png
US-10311281-B2,Quantitative structural assay of a nerve graft ,Axogen Corporation,Curt Deister,,2018-04-12,2019-06-04,2019-06-04,https://patents.google.com/patent/US10311281B2/en,https://patentimages.storage.googleapis.com/b6/51/d8/a9e8a9ddce5280/US10311281-20190604-D00000.png
US-2016349231-A1,Organotypic DRG-Peripheral Nerve Culture System ,"Axogen, Inc.",Curt Deister,2015-05-28,2015-05-28,2016-12-01,,https://patents.google.com/patent/US20160349231A1/en,https://patentimages.storage.googleapis.com/e9/df/39/0c33aa79be4240/US20160349231A1-20161201-D00001.png
EP-3162304-A1,Implant devices with a pre-set pulley system ,"AxoGen, Inc.",Curt DEISTER,2015-10-29,2016-10-31,2017-05-03,,https://patents.google.com/patent/EP3162304A1/en,https://patentimages.storage.googleapis.com/0c/1c/6d/474ba35d5803b8/imgf0001.png
US-2016349155-A1,Nerve culture system ,"Axogen, Inc.","Curt Deister, Kasra TAJDARAN",2015-05-28,2016-05-25,2016-12-01,,https://patents.google.com/patent/US20160349155A1/en,https://patentimages.storage.googleapis.com/9b/c1/fb/763c295d14b558/US20160349155A1-20161201-D00001.png
