search URL:,https://patents.google.com/?assignee=BIND+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CA-2702305-C,Cancer cell targeting using nanoparticles ,"Bind Biosciences, Inc., Stephen E. Zale, Mir Mukkaram Ali, Bind Therapeutics, Inc., Pfizer Inc.","Stephen E. Zale, Mir Mukkaram Ali",2007-03-30,2008-03-31,2015-07-21,2015-07-21,https://patents.google.com/patent/CA2702305C/en,
AU-2009268923-B2,Drug loaded polymeric nanoparticles and methods of making and using same ,Pfizer Inc.,"Mir Mukkaram Ali, Jeff Hrkach, Greg Troiano, James Wright, Stephen E. Zale",2008-06-16,2009-06-16,2015-09-17,2015-09-17,https://patents.google.com/patent/AU2009268923B2/en,
US-8734846-B2,Methods for the preparation of targeting agent functionalized diblock copolymers for use in fabrication of therapeutic targeted nanoparticles ,"Bind Biosciences, Inc.","Mir M. Ali, Jeff Hrkach, Stephen E. Zale, Luis ALVAREZ DE CIENFUEGOS",2008-06-16,2012-11-02,2014-05-27,2014-05-27,https://patents.google.com/patent/US8734846B2/en,https://patentimages.storage.googleapis.com/20/f2/ab/a087e48327928a/US08734846-20140527-D00001.png
US-9579284-B2,Therapeutic polymeric nanoparticles with mTOR inhibitors and methods of making and using same ,Pfizer Inc.,"Stephen E. Zale, Greg Troiano, Mir Mukkaram Ali, Jeff Hrkach, James Wright",2008-06-16,2013-11-27,2017-02-28,2017-02-28,https://patents.google.com/patent/US9579284B2/en,https://patentimages.storage.googleapis.com/16/0a/41/d3548a98abc56f/US09579284-20170228-D00001.png
US-8603535-B2,Stable formulations for lyophilizing therapeutic particles ,"Bind Therapeutics, Inc.","Greg Troiano, Young-Ho Song, Stephen E. Zale, James Wright, Christina Van Geen Hoven",2009-12-11,2013-06-04,2013-12-10,2013-12-10,https://patents.google.com/patent/US8603535B2/en,https://patentimages.storage.googleapis.com/a4/a8/67/37d502b87192ba/US08603535-20131210-D00001.png
US-9308179-B2,Long circulating nanoparticles for sustained release of therapeutic agents ,"Bind Therapeutics, Inc.","Stephen E. Zale, Greg Troiano, Mir M. Ali, Jeff Hrkach, James Wright",2008-12-15,2012-07-24,2016-04-12,2016-04-12,https://patents.google.com/patent/US9308179B2/en,https://patentimages.storage.googleapis.com/8f/1f/ef/0a18fdf404e47c/US09308179-20160412-D00001.png
US-8846077-B2,High throughput fabrication of nanoparticles ,"Bind Biosciences, Inc.",David M. DeWitt,2008-09-10,2012-12-17,2014-09-30,2014-09-30,https://patents.google.com/patent/US8846077B2/en,https://patentimages.storage.googleapis.com/9a/c7/43/adb4c9b0d13231/US08846077-20140930-D00001.png
US-8518963-B2,Therapeutic polymeric nanoparticle compositions with high glass transition temperature or high molecular weight copolymers ,"Bind Therapeutics, Inc.","Mir Mukkaram Ali, Abhimanyu Sabnis, David DeWitt, Greg Troiano, James Wright, Maria Figueiredo, Michael Figa, Christina Van Geen Hoven, Young-Ho Song, Jason Auer, Tarikh Christopher Campbell",2009-12-15,2012-02-13,2013-08-27,2013-08-27,https://patents.google.com/patent/US8518963B2/en,https://patentimages.storage.googleapis.com/8c/84/0a/cd32c400a7c9b7/US08518963-20130827-D00001.png
US-9351933-B2,Therapeutic polymeric nanoparticles comprising vinca alkaloids and methods of making and using same ,"Bind Therapeutics, Inc.","Stephen E. Zale, Greg Troiano, Mir Mukkaram Ali, Jeff Hrkach, James Wright",2008-06-16,2012-10-25,2016-05-31,2016-05-31,https://patents.google.com/patent/US9351933B2/en,https://patentimages.storage.googleapis.com/6b/cd/2b/89ec0b844a6dcf/US09351933-20160531-D00001.png
US-8563041-B2,Therapeutic particles suitable for parenteral administration and methods of making and using same ,"Bind Therapeutics, Inc.","Amy Grayson, Stephen E. Zale, David DeWitt",2008-12-12,2009-12-11,2013-10-22,2013-10-22,https://patents.google.com/patent/US8563041B2/en,https://patentimages.storage.googleapis.com/15/d4/aa/1c093317863a1b/US08563041-20131022-D00001.png
