search URL:,https://patents.google.com/?assignee=BIODEL+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CA-2286644-C,Drug delivery via therapeutic hydrogels ,"Uroteq Inc., Frank Dicosmo, The Governing Council Of The University Of Toronto, Valerio Ditizio, Biodel Systems, Inc., Covalon Technologies Inc.","Frank Dicosmo, Valerio Ditizio",1997-04-15,1998-04-15,2008-10-07,2008-10-07,https://patents.google.com/patent/CA2286644C/en,
EP-1740154-B1,Insulin compositions with improved absorption ,"Biodel, Inc.","Roderike Pohl, Solomon S. Steiner",2004-03-12,2005-03-11,2009-06-17,2009-06-17,https://patents.google.com/patent/EP1740154B1/en,https://patentimages.storage.googleapis.com/ad/5f/75/a7955c6fb68614/imgf0001.png
AU-2007238114-B2,Rapid acting and long acting insulin combination formulations ,"Biodel, Inc.","Roderike Pohl, Solomon S. Steiner",2006-04-12,2007-04-11,2010-10-14,2010-10-14,https://patents.google.com/patent/AU2007238114B2/en,
AU-2005209199-B2,Sublingual drug delivery device ,Biodel Inc.,"Craig Brown, Roderike Pohl, Trent Poole, Erik Steiner, Solomon S. Steiner",2004-01-16,2005-01-18,2008-09-11,2008-09-11,https://patents.google.com/patent/AU2005209199B2/en,
US-8933023-B2,Rapid acting injectable insulin compositions ,Biodel Inc.,"Roderike Pohl, Solomon S. Steiner",2004-03-12,2014-01-15,2015-01-13,2015-01-13,https://patents.google.com/patent/US8933023B2/en,https://patentimages.storage.googleapis.com/3f/eb/a2/8fbac3273a7c2c/US08933023-20150113-D00001.png
US-2007086952-A1,Rapid Acting and Prolonged Acting Inhalable Insulin Preparations ,"Biodel, Inc.","Solomon Steiner, Roderike Pohl",2005-09-29,2006-09-29,2007-04-19,,https://patents.google.com/patent/US20070086952A1/en,https://patentimages.storage.googleapis.com/7e/75/fb/09db382e915395/US20070086952A1-20070419-D00001.png
US-2008248999-A1,Amylin formulations ,Biodel Inc.,Solomon S. Steiner,2007-04-04,2008-04-03,2008-10-09,,https://patents.google.com/patent/US20080248999A1/en,
US-2009137455-A1,Rapid acting and long acting insulin combination formulations ,Biodel Inc.,"Solomon S. Steiner, Roderike Pohl",2005-09-29,2008-11-26,2009-05-28,,https://patents.google.com/patent/US20090137455A1/en,https://patentimages.storage.googleapis.com/US20090137455A1/US20090137455A1-20090528-D00001.png
AU-2009204309-B2,Insulin formulations for insulin release as a function of tissue glucose levels ,"Biodel, Inc.","Nandini Kashyap, Roderike Pohl, Solomon S. Steiner",2008-01-04,2009-01-05,2012-11-22,2012-11-22,https://patents.google.com/patent/AU2009204309B2/en,
US-7713929-B2,Rapid acting and long acting insulin combination formulations ,Biodel Inc.,"Solomon S. Steiner, Roderike Pohl",2006-04-12,2007-04-02,2010-05-11,2010-05-11,https://patents.google.com/patent/US7713929B2/en,https://patentimages.storage.googleapis.com/US7713929B2/US07713929-20100511-D00001.png
US-2010069292-A1,Insulin with a basal release profile ,"Biodel, Inc.","Roderike Pohl, Nandini Kashyap, Robert Hauser, Koray Ozhan, Solomon S. Steiner",2008-09-02,2009-09-02,2010-03-18,,https://patents.google.com/patent/US20100069292A1/en,https://patentimages.storage.googleapis.com/US20100069292A1/US20100069292A1-20100318-D00001.png
US-2008096800-A1,Rapid mucosal gel or film insulin compositions ,"Biodel, Inc.","Roderike Pohl, Solomon Steiner",2004-03-12,2007-10-24,2008-04-24,,https://patents.google.com/patent/US20080096800A1/en,https://patentimages.storage.googleapis.com/0f/f0/e3/5bb2911e084f91/US20080096800A1-20080424-D00001.png
AU-2010221397-B2,Insulin formulations for rapid uptake ,Eli Lilly And Company,"Robert Hauser, Ming Li, Roderike Pohl, Solomon S. Steiner",2009-03-03,2010-03-03,2013-07-04,2013-07-04,https://patents.google.com/patent/AU2010221397B2/en,
US-2007191757-A1,Method and Device for Sublingual Drug Delivery Using Iontophoresis ,Biodel Inc.,"Solomon Steiner, Robert Feldstein, Roderike Pohl, David Rhodes, Erik Steiner",2006-02-16,2007-02-15,2007-08-16,,https://patents.google.com/patent/US20070191757A1/en,https://patentimages.storage.googleapis.com/c9/e0/a4/435d8b3e217ad9/US20070191757A1-20070816-D00000.png
US-2011097386-A1,Stabilized glucagon solutions ,"Biodel, Inc.","Solomon S. Steiner, Robert Hauser, Ming Li, Robert Feldstein, Roderike Pohl",2009-10-22,2010-03-01,2011-04-28,,https://patents.google.com/patent/US20110097386A1/en,https://patentimages.storage.googleapis.com/54/32/88/1849eb544b0b63/US20110097386A1-20110428-D00001.png
US-9610329-B2,Stabilized glucagon solutions ,"Albireo Pharma, Inc.","Solomon S. Steiner, Robert Hauser, Ming Li, Robert Feldstein, Roderike Pohl",2009-10-22,2010-09-27,2017-04-04,2017-04-04,https://patents.google.com/patent/US9610329B2/en,https://patentimages.storage.googleapis.com/4c/9a/7f/98e0a8c58ad814/US09610329-20170404-D00001.png
US-2007244467-A1,Self-Filling Two Chamber Injectable Device ,"Biodel, Inc., State Of Incorporation Delaware","Solomon Steiner, Erik Steiner",2005-09-28,2006-09-28,2007-10-18,,https://patents.google.com/patent/US20070244467A1/en,https://patentimages.storage.googleapis.com/69/c0/34/589b6943dd209b/US20070244467A1-20071018-D00000.png
US-8637458-B2,Insulin with a stable basal release profile ,Biodel Inc.,"Roderike Pohl, Nandini Kashyap, Robert Hauser, Koray Ozhan, Solomon S. Steiner",2010-05-12,2010-05-12,2014-01-28,2014-01-28,https://patents.google.com/patent/US8637458B2/en,https://patentimages.storage.googleapis.com/01/4e/d2/84ff0a35c74571/US08637458-20140128-D00001.png
CN-101454019-A,Rapid acting and long acting insulin combination formulations ,百达尔公司,"所罗门·S·斯坦纳, 罗德里克·波尔",2006-04-12,2007-04-11,2009-06-10,,https://patents.google.com/patent/CN101454019A/en,
EP-2490708-B1,Stabilized glucagon solutions ,Biodel Inc.,"Solomon S. Steiner, Robert Hauser, Ming Li, Robert Feldstein, Roderike Pohl",2009-10-22,2010-09-27,2013-03-27,2013-03-27,https://patents.google.com/patent/EP2490708B1/en,https://patentimages.storage.googleapis.com/5f/17/4c/65de88a55edff0/imgf0001.png
US-2008085298-A1,Rapid Mucosal Gel or Film Insulin Compositions ,"Biodel, Inc.","Roderike Pohl, Solomon Steiner",2004-03-12,2007-10-09,2008-04-10,,https://patents.google.com/patent/US20080085298A1/en,https://patentimages.storage.googleapis.com/bb/4b/ea/46905bca3ff1f5/US20080085298A1-20080410-D00001.png
US-2012178675-A1,Compositions And Methods For Modulating The Pharmacokinetics and Pharmacodynamics of Insulin ,Biodel Inc.,"Roderike Pohl, Solomon Steiner, Robert Hauser, Richard Seibert, Ming Li",2010-07-07,2011-07-05,2012-07-12,,https://patents.google.com/patent/US20120178675A1/en,https://patentimages.storage.googleapis.com/f4/be/7c/370d741cb8d236/US20120178675A1-20120712-D00001.png
US-2015273022-A1,Stabilized ultra-rapid-acting insulin formulations ,Biodel Inc.,"Bryan R. Wilson, Pragati Ravula, Ming Li, Roderike Pohl, Robert Hauser",2014-02-10,2015-02-10,2015-10-01,,https://patents.google.com/patent/US20150273022A1/en,https://patentimages.storage.googleapis.com/1a/3c/5e/d06b21861d24f5/US20150273022A1-20151001-D00001.png
EP-1626653-B1,Pad for cleaning and hydrating skin ,"Biodel, Inc.",Solomon S. Steiner,2003-04-22,2004-04-22,2007-09-19,2007-09-19,https://patents.google.com/patent/EP1626653B1/en,https://patentimages.storage.googleapis.com/ec/34/f4/bf80fdc0dd5743/imgf0001.png
US-9381247-B2,"Magnesium compositions for modulating the pharmacokinetics and pharmacodynamics of insulin and insulin analogs, and injection site pain ",Biodel Inc.,"Roderike Pohl, Robert Hauser, Ming Li, Bryan R. Wilson",2012-04-16,2013-03-14,2016-07-05,2016-07-05,https://patents.google.com/patent/US9381247B2/en,https://patentimages.storage.googleapis.com/ad/c9/30/ad8d815e04f297/US09381247-20160705-D00001.png
US-2014336610-A1,Methods and devices for point of use mixing of pharmaceutical formulations ,"Biodel, Inc.","Gerard Michel, Robert Feldstein, Bryan Wilson, Jake Ganem",2013-04-09,2014-04-09,2014-11-13,,https://patents.google.com/patent/US20140336610A1/en,https://patentimages.storage.googleapis.com/b2/03/de/6a24b1e22bb8d6/US20140336610A1-20141113-D00000.png
US-9399065-B2,Magnesium compositions for modulating the pharmacokinetics and injection site pain of insulin ,Biodel Inc.,"Roderike Pohl, Robert Hauser, Errol De Souza, Ming Li, Bryan R. Wilson",2012-04-16,2014-05-12,2016-07-26,2016-07-26,https://patents.google.com/patent/US9399065B2/en,https://patentimages.storage.googleapis.com/8c/41/a4/2a2a3b3b823cd1/US09399065-20160726-D00001.png
US-2017128542-A1,Non-aqueous glucagon formulations ,"Albireo Pharma, Inc.","Ming Li, Roderike Pohl, Robert Feldstein, Robert Hauser, Errol De Souza",2015-11-09,2016-11-09,2017-05-11,,https://patents.google.com/patent/US20170128542A1/en,https://patentimages.storage.googleapis.com/5e/4b/01/f7b93b9a8cb896/US20170128542A1-20170511-D00001.png
US-2012087985-A1,Small peptide sequences for stabilizing biomolecules ,Biodel Inc.,Solomon S. Steiner,2010-10-07,2011-10-05,2012-04-12,,https://patents.google.com/patent/US20120087985A1/en,
WO-2011156476-A2,Insulin with a basal release profile ,Biodel Inc.,"Roderike Pohl, Nandini Kashyap, Robert Hauser, Koray Ozhan, Solomon S. Steiner",2010-06-08,2011-06-08,2011-12-15,,https://patents.google.com/patent/WO2011156476A2/en,
