search URL:,https://patents.google.com/?assignee=BLUEBIRD+BIO+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-1581056-B1,Therapeutic retroviral vectors for gene therapy ,"Genetix Pharmaceuticals Inc., Massachusetts Institute Of Technology","Philippe Leboulch, Robert Pawliuk, Karen Westerman",2002-12-13,2003-12-11,2010-07-21,2010-07-21,https://patents.google.com/patent/EP1581056B1/en,https://patentimages.storage.googleapis.com/db/2c/52/4d47b36ed6e0e5/imgf0001.png
CA-2328404-C,Novel lentiviral packaging cells ,"Genetix Pharmaceuticals, Inc., Philippe Leboulch, Karen Westerman","Philippe Leboulch, Karen Westerman",1998-05-13,1999-05-13,2007-07-24,2007-07-24,https://patents.google.com/patent/CA2328404C/en,
US-2017226216-A1,Bcma chimeric antigen receptors ,"Bluebird Bio, Inc.","Richard Morgan, Kevin Friedman",2014-07-24,2015-07-23,2017-08-10,,https://patents.google.com/patent/US20170226216A1/en,https://patentimages.storage.googleapis.com/22/9c/49/c0e7862f210948/US20170226216A1-20170810-D00001.png
US-2007190030-A1,Method of treating arthritis using lentiviral vectors in gene therapy ,"Genetix Pharmaceuticals, Inc.","Robert Pawliuk, Philippe LeBoulch",2001-04-17,2006-08-30,2007-08-16,,https://patents.google.com/patent/US20070190030A1/en,https://patentimages.storage.googleapis.com/b4/30/37/a7b687d351a807/US20070190030A1-20070816-D00001.png
AU-2015269197-B2,Improved T cell compositions ,"Bluebird Bio, Inc.",Kevin FRIEDMAN,2014-06-06,2015-06-05,2018-10-04,2018-10-04,https://patents.google.com/patent/AU2015269197B2/en,
AU-2015249376-C1,Improved methods for manufacturing adoptive cell therapies ,"Bluebird Bio, Inc.","Kevin FRIEDMAN, Dawn MAIER, Richard Morgan",2014-04-25,2015-04-24,2018-06-14,2018-06-14,https://patents.google.com/patent/AU2015249376C1/en,
AU-2014296626-B2,Multipartite signaling proteins and uses thereof ,"Bluebird Bio, Inc.","Alexander ASTRAKHAN, Michael CERTO, Jordan JARJOUR",2013-07-29,2014-07-23,2019-03-07,2019-03-07,https://patents.google.com/patent/AU2014296626B2/en,
US-2009136521-A1,Method for Selectively Depleting Hypoxic Cells ,"Genetix Pharmaceuticals , Inc., Dana-Farber Cancer Institute , Inc.","Kalindi Parmar, Peter Mauch, Julian Down",2005-10-03,2006-09-29,2009-05-28,,https://patents.google.com/patent/US20090136521A1/en,https://patentimages.storage.googleapis.com/US20090136521A1/US20090136521A1-20090528-D00000.png
US-2003139333-A1,Methods and compositions for promoting angiogenesis ,"Genetix Pharmaceuticals, Inc.","Robert Pawliuk, Phillipe LeBoulch, Renhai Cao, Yihai Cao",2002-01-18,2002-07-19,2003-07-24,,https://patents.google.com/patent/US20030139333A1/en,https://patentimages.storage.googleapis.com/05/1b/5b/ba6fbd2a509e70/US20030139333A1-20030724-D00001.png
US-2018085444-A1,Bcma chimeric antigen receptors ,"Bluebird Bio, Inc.","Richard Morgan, Kevin Friedman",2014-12-12,2015-12-07,2018-03-29,,https://patents.google.com/patent/US20180085444A1/en,https://patentimages.storage.googleapis.com/f5/06/ab/b82e82a2fca1b0/US20180085444A1-20180329-D00001.png
US-2002034501-A1,Methods and compositions for promoting angiogenesis using monocytes ,"Robert Pawliuk, Leboulch Philippe","Robert Pawliuk, Philippe LeBoulch",2000-05-18,2001-05-18,2002-03-21,,https://patents.google.com/patent/US20020034501A1/en,
US-2005158712-A1,Methods for purifying viral particles for gene therapy ,"Genetix Pharmaceuticals, Inc.","Philippe LeBoulch, Sergei Aleshkov",2002-06-21,2004-12-17,2005-07-21,,https://patents.google.com/patent/US20050158712A1/en,
US-2003039636-A1,Novel self-inactivating (SIN) lentiviral vectors ,"Genetix Pharmaceuticals, Inc.","Philippe LeBoulch, Karen Westerman",2001-05-01,2002-05-01,2003-02-27,,https://patents.google.com/patent/US20030039636A1/en,https://patentimages.storage.googleapis.com/a8/dc/cf/02a32a7fe90d96/US20030039636A1-20030227-D00001.png
US-2015329640-A1,Chimeric antigen receptors and immune cells targeting b cell malignancies ,"Bluebird Bio, Inc.",Mitchell Howard Finer,2012-12-20,2013-12-13,2015-11-19,,https://patents.google.com/patent/US20150329640A1/en,https://patentimages.storage.googleapis.com/76/a4/1c/ae52c67975917e/US20150329640A1-20151119-D00001.png
US-2017051308-A1,Mnd promoter chimeric antigen receptors ,"Bluebird Bio, Inc.","Richard Morgan, Kevin Friedman, Byoung Ryu",2014-04-25,2015-04-24,2017-02-23,,https://patents.google.com/patent/US20170051308A1/en,https://patentimages.storage.googleapis.com/ad/f2/83/28dbac7f306f48/US20170051308A1-20170223-D00001.png
AU-2012315699-B2,Compounds for improved viral transduction ,"Bluebird Bio, Inc.","Abraham Isaac BASSAN, Garrett Collins HEFFNER",2011-09-30,2012-09-28,2017-08-17,2017-08-17,https://patents.google.com/patent/AU2012315699B2/en,
AU-1598599-A,Anti-angiogenic gene therapy vectors and their use in treating angiogenesis-related diseases ,"Genetix Pharmaceuticals, Inc., Massachusetts Institute Of Technology","Thomas Bachelot, Philippe Leboulch, Robert James Pawliuk",1997-11-20,1998-11-20,1999-06-15,,https://patents.google.com/patent/AU1598599A/en,
US-8858928-B2,Gene therapy vectors for adrenoleukodystrophy and adrenomyeloneuropathy ,"Bluebird Bio, Inc.","Maria Joann Denaro, Mitchell Howard Finer, Gabor Veres, Julian Down",2011-06-10,2012-06-08,2014-10-14,2014-10-14,https://patents.google.com/patent/US8858928B2/en,https://patentimages.storage.googleapis.com/c5/42/22/0fea597c9f6bdf/US08858928-20141014-D00001.png
AU-2002247007-B2,Use of compositions containing PDGF-BB for promoting angiogenesis ,"Genetix Pharmaceuticals, Inc.","Renhai Cao, Yihai Cao, Philippe Leboulch, Robert Pawliuk",2001-01-26,2002-01-18,2006-12-07,2006-12-07,https://patents.google.com/patent/AU2002247007B2/en,
AU-2012267512-A1,Gene therapy vectors for adrenoleukodystrophy and adrenomyeloneuropathy ,"Bluebird Bio, Inc.","Maria Joann Denaro, Mitchell Howard Finer, Gabor Veres",2011-06-10,2012-06-08,2014-01-23,,https://patents.google.com/patent/AU2012267512A1/en,
US-2002013261-A1,Methods and compositions for promoting angiogenesis using polyethylene glycol (PEG) polymers ,"Robert Pawliuk, Leboulch Philippe","Robert Pawliuk, Philippe LeBoulch",2000-05-18,2001-05-18,2002-01-31,,https://patents.google.com/patent/US20020013261A1/en,https://patentimages.storage.googleapis.com/1c/19/df/29f9bd3f484a13/US20020013261A1-20020131-D00001.png
US-2018147271-A1,Anti-ror1 chimeric antigen receptors ,"Bluebird Bio, Inc., Five Prime Therapeutics, Inc., Eureka Therapeutics, Inc.","Richard Morgan, Robert Sikorski, Brian Wong, Emma Masteller, Luis Borges, Cheng Liu, Yiyang Xu",2015-05-18,2016-05-17,2018-05-31,,https://patents.google.com/patent/US20180147271A1/en,https://patentimages.storage.googleapis.com/19/ce/dd/7bc6cd67b03787/US20180147271A1-20180531-D00000.png
US-2007072816-A1,Methods for inhibiting angiogenesis ,"Genetix Pharmaceuticals, Inc.","Yihai Cao, Renhai Cao, Robert Pawliuk, Philippe LeBoulch",2002-01-17,2006-04-11,2007-03-29,,https://patents.google.com/patent/US20070072816A1/en,https://patentimages.storage.googleapis.com/e8/7a/33/c7a2b2ec73a4cd/US20070072816A1-20070329-D00001.png
US-2015216903-A1,Compounds for improved viral transduction ,"Bluebird Bio, Inc.","Garrett Collins Heffner, Abraham Issac Bassan",2012-08-10,2013-08-09,2015-08-06,,https://patents.google.com/patent/US20150216903A1/en,https://patentimages.storage.googleapis.com/e7/2f/4f/454994f3427e13/US20150216903A1-20150806-D00001.png
US-2018094280-A1,Vector formulations ,"Bluebird Bio, Inc.","Robert H. KUTNER, Wesley GORMAN, Francis J. PIERCIEY, Jr.",2015-03-20,2016-03-18,2018-04-05,,https://patents.google.com/patent/US20180094280A1/en,https://patentimages.storage.googleapis.com/02/4a/5e/259ecc0ddd73cf/US20180094280A1-20180405-D00000.png
AU-2011377617-B2,Improved gene therapy methods ,"Bluebird Bio, Inc.","Yves Beuzard, Philippe Leboulch, Olivier NEGRE, Emmanuel Payen",2011-09-23,2011-09-23,2018-03-08,2018-03-08,https://patents.google.com/patent/AU2011377617B2/en,
US-2014199279-A1,Methods for enhancing the delivery of gene-transduced cells ,"Bluebird Bio, Inc.","Julian David Down, Philippe Louis Leboulch",2011-01-03,2011-12-27,2014-07-17,,https://patents.google.com/patent/US20140199279A1/en,https://patentimages.storage.googleapis.com/c4/d2/f9/63f4b81822c716/US20140199279A1-20140717-D00001.png
WO-2012170431-A2,Improved geneswitch systems ,"Bluebird Bio, Inc.",Robert H. KUTNER,2011-06-06,2012-06-05,2012-12-13,,https://patents.google.com/patent/WO2012170431A2/en,
US-2017049819-A1,Kappa/lambda chimeric antigen receptors ,"Bluebird Bio, Inc.","Kevin Friedman, Byoung Ryu",2014-04-25,2015-04-24,2017-02-23,,https://patents.google.com/patent/US20170049819A1/en,https://patentimages.storage.googleapis.com/cf/e8/83/0a60230cfc7558/US20170049819A1-20170223-D00001.png
KR-20180122405-A,Genome-editing immune effector cells ,"블루버드 바이오, 인코포레이티드.","조던 자르주르, 알렉산더 아스트라칸",2016-03-11,2017-03-10,2018-11-12,,https://patents.google.com/patent/KR20180122405A/en,https://patentimages.storage.googleapis.com/b1/10/84/3768881416be5d/pct00004.png
US-2019078059-A1,Vcn enhancer compositions and methods of using the same ,"Bluebird Bio, Inc.","Melissa Bonner, Olivier NEGRE, Christopher TIPPER",2016-02-12,2017-02-10,2019-03-14,,https://patents.google.com/patent/US20190078059A1/en,https://patentimages.storage.googleapis.com/6b/08/01/6348451bc5db54/US20190078059A1-20190314-D00000.png
KR-20180110112-A,VCN enhancer composition and method of use thereof ,"블루버드 바이오, 인코포레이티드.","멜리사 보그너, 올리비에 네그레",2016-02-12,2017-02-10,2018-10-08,,https://patents.google.com/patent/KR20180110112A/en,https://patentimages.storage.googleapis.com/0c/87/9d/f4049632d7b747/pct00002.png
