search URL:,https://patents.google.com/?assignee=BLUEPRINT+MEDICINES+CORP
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9126951-B2,Inhibitors of the fibroblast growth factor receptor ,Blueprint Medicines Corporation,"Neil Bifulco, JR., Natasja Brooijmans, Brian L. Hodous, Joseph L. Kim, Chandrasekhar V. Miduturu",2012-07-11,2014-06-27,2015-09-08,2015-09-08,https://patents.google.com/patent/US9126951B2/en,https://patentimages.storage.googleapis.com/11/a2/34/a774a843ad3c71/US09126951-20150908-D00001.png
US-9695165-B2,Inhibitors of the fibroblast growth factor receptor ,Blueprint Medicines Corporation,"Neil Bifulco, JR., Lucian V. DiPietro, Chandrasekhar V. Miduturu",2014-01-15,2015-01-14,2017-07-04,2017-07-04,https://patents.google.com/patent/US9695165B2/en,
US-9434700-B2,Inhibitors of the fibroblast growth factor receptor ,"Neil Bifulco, JR., Lucian V. DiPietro, Brian L. Hodous, Chandrasekhar V. Miduturu","Neil Bifulco, JR., Lucian V. DiPietro, Brian L. Hodous, Chandrasekhar V. Miduturu",2013-10-25,2014-10-23,2016-09-06,2016-09-06,https://patents.google.com/patent/US9434700B2/en,https://patentimages.storage.googleapis.com/04/06/b8/3f60e18a287c5d/US09434700-20160906-D00001.png
US-9499522-B2,Compositions useful for treating disorders related to kit ,Blueprint Medicines Corporation,"Lucian V. DiPietro, Brian L. Hodous, Joseph L. Kim, Chandrasekhar V. Miduturu, Steven Mark Wenglowsky, Douglas Wilson, Yulian Zhang",2013-03-15,2014-03-14,2016-11-22,2016-11-22,https://patents.google.com/patent/US9499522B2/en,
EP-3057969-B1,Compositions useful for treating disorders related to kit ,Blueprint Medicines Corporation,"Yulian Zhang, Brian L. Hodous, Joseph L. Kim, Kevin J. Wilson, Douglas Wilson",2013-10-17,2014-10-15,2018-06-13,2018-06-13,https://patents.google.com/patent/EP3057969B1/en,https://patentimages.storage.googleapis.com/5c/ba/04/299feffe408a35/imgf0001.png
US-9334263-B2,Compositions useful for treating disorders related to kit ,Blueprint Medicines Corporation,"Brian L. Hodous, Joseph L. Kim, Chandrasekhar V. Miduturu, Douglas Wilson, Yulian Zhang",2013-10-17,2014-10-17,2016-05-10,2016-05-10,https://patents.google.com/patent/US9334263B2/en,https://patentimages.storage.googleapis.com/86/0d/c9/71b46ecbf3fc64/US09334263-20160510-D00001.png
US-9688680-B2,Compositions useful for treating disorders related to kit ,Blueprint Medicines Corporation,Brian L. Hodous,2014-08-04,2015-08-04,2017-06-27,2017-06-27,https://patents.google.com/patent/US9688680B2/en,
US-2014187559-A1,Inhibitors of the fibroblast growth factor receptor ,Blueprint Medicines Corporation,Chandrasekhar V. Miduturu,2012-12-28,2013-12-26,2014-07-03,,https://patents.google.com/patent/US20140187559A1/en,https://patentimages.storage.googleapis.com/40/e7/da/0618ec020723bc/US20140187559A1-20140703-D00001.png
US-2016272725-A1,Ntrk2 fusions ,Blueprint Medicines Corporation,"Nicolas Stransky, Ethan G. CERAMI, Christoph Lengauer",2013-07-30,2014-07-30,2016-09-22,,https://patents.google.com/patent/US20160272725A1/en,https://patentimages.storage.googleapis.com/6b/72/ef/a026b5e47d11f3/US20160272725A1-20160922-D00001.png
US-10030005-B2,Inhibitors of RET ,Blueprint Medicines Corporation,"Jason D. Brubaker, Joseph L. Kim, Kevin J. Wilson, Douglas Wilson, Lucian V. DiPietro",2015-11-02,2016-11-01,2018-07-24,2018-07-24,https://patents.google.com/patent/US10030005B2/en,
