search URL:,https://patents.google.com/?assignee=CALITHERA+BIOSCIENCES+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2012340866-B2,Heterocyclic inhibitors of glutaminase ,Calithera Biosciences Inc.,"Lijing Chen, Bindu Goyal, Guy Laidig, Jim Li, Eric Brian Sjogren, Timothy Friend Stanton",2011-11-21,2012-11-19,2017-03-16,2017-03-16,https://patents.google.com/patent/AU2012340866B2/en,
US-2015004134-A1,Treatment of cancer with heterocyclic inhibitors of glutaminase ,"Calithera Biosciences, Inc.","Mark K. Bennett, Matthew I. Gross, Susan D. Bromley, Jim Li, Lijing Chen, Bindu Goyal, Guy Laidig, Timothy Friend Stanton, Eric Brian Sjogren",2012-12-03,2013-12-03,2015-01-01,,https://patents.google.com/patent/US20150004134A1/en,https://patentimages.storage.googleapis.com/7d/82/aa/4b019568623972/US20150004134A1-20150101-D00001.png
AU-2013344560-B2,Heterocyclic glutaminase inhibitors ,"Calithera Biosciences, Inc.","Lijing Chen, Bindu Goyal, Guy Laidig, Jim Li, Eric Brian Sjogren, Timothy Friend Stanton",2012-11-16,2013-11-15,2017-09-14,2017-09-14,https://patents.google.com/patent/AU2013344560B2/en,
US-8865718-B2,Heterocyclic inhibitors of glutaminase ,Calithera Biosciences Inc.,"Jim Li, Lijing Chen, Bindu Goyal, Guy Laidig, Timothy Friend Stanton, Eric Brian Sjogren",2011-11-21,2013-10-10,2014-10-21,2014-10-21,https://patents.google.com/patent/US8865718B2/en,https://patentimages.storage.googleapis.com/b0/06/f9/f7c6a55d99f12c/US08865718-20141021-D00001.png
AU-2013344560-A1,Heterocyclic glutaminase inhibitors ,"Calithera Biosciences, Inc.","Lijing Chen, Bindu Goyal, Guy Laidig, Jim Li, Eric Brian Sjogren, Timothy Friend Stanton",2012-11-16,2013-11-15,2015-06-25,,https://patents.google.com/patent/AU2013344560A1/en,
US-2015258082-A1,Combination therapy with glutaminase inhibitors ,"Francesco Parlati, Mirna L. Rodriguez, Matthew I. Gross, Terri L. Davis, Jim Li, Lijing Chen, Bindu Goyal, Guy Laidig, Timothy F. Stanton, Eric B. Sjogren","Francesco Parlati, Mirna L. Rodriguez, Matthew I. Gross, Terri L. Davis, Jim Li, Lijing Chen, Bindu Goyal, Guy Laidig, Timothy F. Stanton, Eric B. Sjogren",2014-03-14,2015-03-13,2015-09-17,,https://patents.google.com/patent/US20150258082A1/en,https://patentimages.storage.googleapis.com/14/0d/71/004a3a9df85b5b/US20150258082A1-20150917-D00001.png
US-9687485-B2,Combination therapy with glutaminase inhibitors ,"Calithera Biosciences, Inc.","Susanne M. Steggerda, Andrew L. MacKinnon, Mirna L. Rodriguez, Dong Zhang, Francesco Parlati",2014-06-13,2015-06-12,2017-06-27,2017-06-27,https://patents.google.com/patent/US9687485B2/en,https://patentimages.storage.googleapis.com/31/5f/85/a408b94b857f10/US09687485-20170627-D00001.png
US-2017226101-A1,Crystal forms of glutaminase inhibitors ,"Calithera Biosciences , Inc.","Timothy F. Stanton, James J. Springer, Jacqueline N. WILLIAMS",2014-08-07,2015-08-07,2017-08-10,,https://patents.google.com/patent/US20170226101A1/en,https://patentimages.storage.googleapis.com/3c/97/fd/5d082cf9e4e018/US20170226101A1-20170810-D00001.png
WO-2016014890-A1,Treatment of multiple myeloma with heterocyclic inhibitors of glutaminase ,"Calithera Biosciences, Inc.","Andrew L. MACKINNON, Mirna L. RODRIGUEZ",2014-07-24,2015-07-24,2016-01-28,,https://patents.google.com/patent/WO2016014890A1/en,
US-2016287564-A1,Methods of administering glutaminase inhibitors ,"Calithera Biosciences, Inc.","Matthew I. Gross, Mark K. Bennett, Christopher Molineaux",2015-03-30,2016-03-30,2016-10-06,,https://patents.google.com/patent/US20160287564A1/en,https://patentimages.storage.googleapis.com/69/1d/57/40e86527748dda/US20160287564A1-20161006-D00001.png
US-10143699-B2,Compositions and methods for inhibiting arginase activity ,"Calithera Biosciences, Inc.","Matthew I. Gross, Susanne M. Steggerda, Weiqun Li",2015-06-23,2016-06-23,2018-12-04,2018-12-04,https://patents.google.com/patent/US10143699B2/en,https://patentimages.storage.googleapis.com/26/de/7e/438b16cd02162a/US10143699-20181204-D00001.png
US-2016287585-A1,Treatment of Lung Cancer with Inhibitors of Glutaminase ,"Calithera Biosciences, Inc.","Francesco Parlati, Melissa G. Works, Mirna L. M. Rodriguez, Dong Zhang",2015-04-06,2016-04-06,2016-10-06,,https://patents.google.com/patent/US20160287585A1/en,https://patentimages.storage.googleapis.com/27/d9/2d/5422643713ac64/US20160287585A1-20161006-D00001.png
WO-2015061432-A1,Treatment of viral infections with inhibitors of glutaminase ,"Calithera Biosciences, Inc.","Susan D. BROMLEY, Mark K. Bennett, Matthew I. Gross, Jim Li, Lijing Chen, Bindu Goyal, Guy Laidig, Timothy Friend STANTON, Eric B. Sjogren",2013-10-25,2014-10-22,2015-04-30,,https://patents.google.com/patent/WO2015061432A1/en,
US-10065974-B2,Compositions and methods for inhibiting arginase activity ,"Calithera Biosciences, Inc.","Eric B. Sjogren, Jim Li, Michael Van Zandt, Darren Whitehouse",2015-10-30,2016-10-28,2018-09-04,2018-09-04,https://patents.google.com/patent/US10065974B2/en,https://patentimages.storage.googleapis.com/b6/22/1e/d9cb7f93915d24/US10065974-20180904-D00001.png
US-10195197-B2,Combination therapy with glutaminase inhibitors ,"Calithera Biosciences, Inc.","Mark K. Bennett, Matthew I. Gross, Susan D. Bromley, Keith Orford",2016-08-25,2017-08-24,2019-02-05,2019-02-05,https://patents.google.com/patent/US10195197B2/en,https://patentimages.storage.googleapis.com/d2/9d/ef/ccccc05f7584b2/US10195197-20190205-D00000.png
US-10278968-B2,Combination therapy with glutaminase inhibitors ,"Calithera Biosciences, Inc.","Francesco Parlati, Keith Orford, Sam H. Whiting",2016-08-25,2017-08-25,2019-05-07,2019-05-07,https://patents.google.com/patent/US10278968B2/en,https://patentimages.storage.googleapis.com/05/ef/a6/772766e21b3903/US10278968-20190507-D00001.png
WO-2018039442-A1,Treatment of cancer with inhibitors of glutaminase ,"Calithera Biosciences, Inc.","Yu Liang, Susan D. BROMLEY, Keith ORFORD",2016-08-25,2017-08-24,2018-03-01,,https://patents.google.com/patent/WO2018039442A1/en,
US-10258619-B2,Combination therapy with glutaminase inhibitors and immuno-oncology agents ,"Calithera Biosciences, Inc.","Susan M. Molineaux, Matthew I. Gross, Susan D. Bromley, Francesco Parlati, Mark K. Bennett",2015-10-05,2016-10-04,2019-04-16,2019-04-16,https://patents.google.com/patent/US10258619B2/en,https://patentimages.storage.googleapis.com/1c/0a/e8/ee2e7241a6c463/US10258619-20190416-D00001.png
US-10287303-B2,Compositions and methods for inhibiting arginase activity ,"Calithera Biosciences, Inc.","Eric B. Sjogren, Jim Li, Lijing Chen, Roland J. Billedeau, Timothy F. Stanton, Michael Van Zandt, Darren Whitehouse, Gunnar E. Jagdmann, Jr., Lene Raunkjaer PETERSEN",2016-12-22,2017-12-22,2019-05-14,2019-05-14,https://patents.google.com/patent/US10287303B2/en,https://patentimages.storage.googleapis.com/df/09/c7/085952cba1b95f/US10287303-20190514-D00001.png
US-2018161349-A1,Arginase inhibitor combination therapies ,"Calithera Biosciences, Inc.","Amani Makkouk, Matthew I. Gross, Francesco Parlati",2016-11-08,2017-11-08,2018-06-14,,https://patents.google.com/patent/US20180161349A1/en,https://patentimages.storage.googleapis.com/a2/3f/ac/1432e44f2cc5e2/US20180161349A1-20180614-D00001.png
US-2018362459-A1,"Method of preparing (3r,4s)-3-acetamido-4-allyl-n-(tert-butyl)pyrrolidine-3-carboxamide ","Calithera Biosciences, Inc.","Michael C. Van Zandt, Jennifer L. SAVOY",2017-05-12,2018-05-11,2018-12-20,,https://patents.google.com/patent/US20180362459A1/en,https://patentimages.storage.googleapis.com/b7/e3/44/b1e68a8e82e5ed/US20180362459A1-20181220-D00001.png
AR-110449-A1,Derivatives as inhibitors of arginase oxaborocinopirrol and their use in treating various cancers ,Calithera Biosciences Inc,,2016-12-22,2017-12-22,2019-03-27,,https://patents.google.com/patent/AR110449A1/en,
WO-2018165516-A1,Combination therapy with glutaminase inhibitors ,"Calithera Biosciences, Inc.","Susan D. BROMLEY, Francesco Parlati, Matthew I. Gross, Keith ORFORD",2017-03-10,2018-03-09,2018-09-13,,https://patents.google.com/patent/WO2018165516A1/en,
US-2018072742-A1,Ectonucleotidase inhibitors and methods of use thereof ,"Lijing Chen, Jim Li, Eric B. Sjogren, Roland J. Billedeau","Lijing Chen, Jim Li, Eric B. Sjogren, Roland J. Billedeau",2016-09-09,2017-09-08,2018-03-15,,https://patents.google.com/patent/US20180072742A1/en,
WO-2019089952-A1,Conjoint therapy with glutaminase inhibitors ,"Calithera Biosciences, Inc.",Keith ORFORD,2017-11-03,2018-11-01,2019-05-09,,https://patents.google.com/patent/WO2019089952A1/en,
WO-2018119284-A1,Ectonucleotidase inhibitors and methods of use thereof ,"Calithera Biosciences, Inc.","Roland Joseph Billedeau, Jim Li, Lijing Chen",2016-12-22,2017-12-21,2018-06-28,,https://patents.google.com/patent/WO2018119284A1/en,
