search URL:,https://patents.google.com/?assignee=CARA+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7517874-B2,"Substituted imidazo[1,5-a][1,4]diazepines and imidazo[1,5-a]pyrazines as cannabinoid receptor agonists for the treatment of pain ","Cara Therapeutics, Inc.","R. Paul Beckett, Richard Foster, Christelle Henault, Janet L. Ralbovsky, Carla M. Gauss, Gary G. Gustafson, Zhiyong Luo, Ann-Marie Campbell, Tatiana E. Shelekhin",2007-06-21,2008-06-20,2009-04-14,2009-04-14,https://patents.google.com/patent/US7517874B2/en,
US-8217007-B1,Synthetic peptide amides ,"Cara Therapeutics, Inc.","Claudio D. Schteingart, Frédérique Menzaghi, Guangcheng Jiang, Roberta Vezza Alexander, Javier Sueiras-Diaz, Robert H. Spencer, Derek T. Chalmers, Robert Zhiyong Luo",2006-11-10,2010-05-25,2012-07-10,2012-07-10,https://patents.google.com/patent/US8217007B1/en,https://patentimages.storage.googleapis.com/39/9f/46/8a8a5a0ce39d4e/US08217007-20120710-D00001.png
US-10017536-B2,Synthetic peptide amides and dimers thereof ,"Cara Therapeutics, Inc.","Claudio D. Schteingart, Frédérique Menzaghi, Guangcheng Jiang, Roberta Vezza Alexander, Javier Sueiras-Diaz, Robert H. Spencer, Derek T. Chalmers, Zhiyong Luo",2006-11-10,2016-05-04,2018-07-10,2018-07-10,https://patents.google.com/patent/US10017536B2/en,https://patentimages.storage.googleapis.com/76/cf/e6/05974a4255be4b/US10017536-20180710-D00001.png
EP-1042359-B1,Kappa receptor opioid peptides ,"Cara Therapeutics, Inc.","Javier Sueiras Diaz, Jean Louis Junien, Pierre J. M. Riviere, Claudio D. Schteingart, Jerzy A. Trojnar, Todd W. Vanderah",1997-12-23,1998-12-22,2005-08-10,2005-08-10,https://patents.google.com/patent/EP1042359B1/en,
US-8486894-B2,Synthetic peptide amides and dimeric forms thereof ,"Cara Therapeutics, Inc.","Claudio D. Schteingart, Frédérique Menzaghi, Guangcheng Jiang, Roberta Vezza Alexander, Javier Sueiras-Diaz, Robert H. Spencer, Derek T. Chalmers, Zhiyong Luo",2006-11-10,2010-05-05,2013-07-16,2013-07-16,https://patents.google.com/patent/US8486894B2/en,https://patentimages.storage.googleapis.com/e8/f8/18/8d18d923e3af63/US08486894-20130716-D00001.png
US-8236766-B2,Uses of synthetic peptide amides ,"Cara Therapeutics, Inc.","Claudio D. Schteingart, Frederique Menzaghi, Guangcheng Jiang, Roberta Vezza Alexander, Javier Sueiras-Diaz, Robert H. Spencer, Derek T. Chalmers, Zhiyong Luo",2006-11-10,2009-06-08,2012-08-07,2012-08-07,https://patents.google.com/patent/US8236766B2/en,https://patentimages.storage.googleapis.com/d8/a6/c4/6f97bbc8bf839a/US08236766-20120807-D00001.png
US-7504538-B2,Amide or thioamide derivatives and their use in the treatment of pain ,"Cara Therapeutics, Inc.","Chia-Ping Chang, Jacek Stalewski, Piere J-M. Riviere, Kazimierz A. Wisniewski, Claudio D. Schteingart",2003-10-16,2004-10-14,2009-03-17,2009-03-17,https://patents.google.com/patent/US7504538B2/en,
EP-2391627-B1,Bicyclic pyrazolo-heterocycles ,"Cara Therapeutics, Inc.",Robert Zhiyong Luo,2009-01-28,2010-01-14,2013-12-25,2013-12-25,https://patents.google.com/patent/EP2391627B1/en,https://patentimages.storage.googleapis.com/6f/af/63/7bcac0c50d87cd/imgf0001.png
US-7960377-B2,Substituted pyridoxazines ,"Cara Therapeutics, Inc.","Jason S. Newcom, Stephen J. O'Connor, Gary R. Gustafson",2008-03-28,2009-03-24,2011-06-14,2011-06-14,https://patents.google.com/patent/US7960377B2/en,
US-7960376-B2,Benzo-fused heterocycles ,"Cara Therapeutics, Inc.","Jason S. Newcom, Carla M. Gauss, Gary R. Gustafson",2007-09-14,2008-09-10,2011-06-14,2011-06-14,https://patents.google.com/patent/US7960376B2/en,
US-8669079-B2,Methods for genetic analysis of textiles made of Gossypium barbadense and Gossypium hirsutum cotton ,"Cara Therapeutics, Inc.","Ming-Hwa Liang, Stephane Shu Kin So",2008-11-12,2008-11-12,2014-03-11,2014-03-11,https://patents.google.com/patent/US8669079B2/en,https://patentimages.storage.googleapis.com/fb/cf/e0/4102e15aee6714/US08669079-20140311-D00000.png
US-9321810-B2,Uses of kappa opioid synthetic peptide amides ,"Cara Therapeutics, Inc.","Claudio D. Schteingart, Frédérique Menzaghi, Guangcheng Jiang, Roberta Vezza Alexander, Javier Sueiras-Diaz, Robert H. Spencer, Derek T. Chalmers, Robert Zhiyong Luo",2006-11-10,2014-12-02,2016-04-26,2016-04-26,https://patents.google.com/patent/US9321810B2/en,https://patentimages.storage.googleapis.com/d5/72/12/157a3c6b9a4f80/US09321810-20160426-D00001.png
US-8217000-B2,Method for elevating prolactin in mammals ,"Cara Therapeutics, Inc.","Frederique Menzaghi, Michael E. Lewis, Derek T. Chalmers",2006-05-26,2007-05-22,2012-07-10,2012-07-10,https://patents.google.com/patent/US8217000B2/en,https://patentimages.storage.googleapis.com/b2/db/02/4b3a3f3343af30/US08217000-20120710-D00000.png
