search URL:,https://patents.google.com/?assignee=CARDIOVASCULAR+BIOTHERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8983570-B2,Therapeutic angiogenesis for treatment of the spine ,"Cardiovascular Biotherapeutics, Inc.","Thomas J. Stegmann, Kenneth A. Thomas, John W. Jacobs, Tugan Muftuler, Shadfar Bahri, Hon Yu, Vance Gardner",2007-03-27,2008-03-24,2015-03-17,2015-03-17,https://patents.google.com/patent/US8983570B2/en,https://patentimages.storage.googleapis.com/2e/5d/03/ab9b8e41fc82da/US08983570-20150317-D00000.png
EP-1309604-B1,Phage-dependent superproduction of biologically active protein and peptides ,Phage Biotechnology Corporation,"Vitaliy A. Kordyum, Svitlana I. Chernykh, Iryna Yu Slavchenko, Oleksandr F. Vozianov",2000-08-15,2001-08-15,2007-03-28,2007-03-28,https://patents.google.com/patent/EP1309604B1/en,https://patentimages.storage.googleapis.com/eb/48/13/22dd83d1424d36/imgf0001.png
US-6642026-B2,Method of producing biologically active human acidic fibroblast growth factor and its use in promoting angiogenesis ,Phage Biotechnology Corporation,"Thomas J. Stegmann, Vitaliy A. Kordyum, Iryna Yu. Slavchenko, Svitlana I. Chernykh, Oleksandr F. Vozianov",2000-08-15,2001-08-15,2003-11-04,2003-11-04,https://patents.google.com/patent/US6642026B2/en,https://patentimages.storage.googleapis.com/67/7b/57/8834271763cf32/US06642026-20031104-D00001.png
AU-2001288256-A1,A method of producing biologically active human acidic fibroblast growth factor and its use in promoting angiogenesis ,New Technologies Holdings Pte Ltd,"Svitlana I. Chernykh, Vitaliy A. Kordyum, Iryna Yu Slavchenko, Thomas J. Stegmann, Oleksandr F. Vozianov",2000-08-15,2001-08-15,2002-05-23,,https://patents.google.com/patent/AU2001288256A1/en,
US-6268178-B1,Phage-dependent super-production of biologically active protein and peptides ,Phage Biotechnology Corp.,"Vitaliy A. Kordyum, Svetlana I. Chernykh, Irina Y. Slavchenko, Oleksandr F. Vozianov",1999-05-25,1999-05-25,2001-07-31,2001-07-31,https://patents.google.com/patent/US6268178B1/en,
US-2013230454-A1,Therapeutic Angiogenesis for Treatment of the Spine and Other Tissues ,"Cardiovascular Biotherapeutics, Inc.","Vance Gardner, Hon Yu, Kenneth A. Thomas, Thomas J. Stegmann, John W. Jacobs, Tugan Muftuler, Shadfar Bahri, Edwin Anderson",2007-03-27,2013-03-15,2013-09-05,,https://patents.google.com/patent/US20130230454A1/en,https://patentimages.storage.googleapis.com/39/a9/0e/fc1b2730d4522a/US20130230454A1-20130905-D00000.png
US-7252818-B2,Method of producing biologically active human acidic fibroblast growth factor and its use in promoting angiogenesis ,"Cardiovascular Biotherapeutics, Inc.",Thomas J. Stegmann,1998-07-24,2003-08-27,2007-08-07,2007-08-07,https://patents.google.com/patent/US7252818B2/en,https://patentimages.storage.googleapis.com/bd/65/15/f40ea24fe0e813/US07252818-20070807-D00004.png
US-9968292-B2,Therapeutic angiogenesis for treating erectile conditions ,"Cardiovascular Biotherapeutics, Inc.","Vance Gardner, John Jacobs, Laurence R Meyerson, Mickael FLAA",2015-02-16,2017-08-11,2018-05-15,2018-05-15,https://patents.google.com/patent/US9968292B2/en,https://patentimages.storage.googleapis.com/4a/fa/4e/e7856a7a44e647/US09968292-20180515-D00001.png
US-2017296625-A1,Therapeutic angiogenesis for wound healing ,"Cardiovascular Biotherapeutics, Inc.","Vance Gardner, Kenneth Thomas, John Jacobs, Mickael FLAA",2015-01-06,2017-07-05,2017-10-19,,https://patents.google.com/patent/US20170296625A1/en,https://patentimages.storage.googleapis.com/37/ff/af/0102ad55c397c6/US20170296625A1-20171019-D00001.png
US-2017296055-A1,Angiogenic treatment of ischemic heart disease ,"Cardiovascular Biotherapeutics, Inc.","Vance Gardner, Kenneth Thomas, John Jacobs, Thomas STEGMANN, Mickael FLAA",2015-01-06,2017-07-05,2017-10-19,,https://patents.google.com/patent/US20170296055A1/en,https://patentimages.storage.googleapis.com/3e/c2/24/b540168aaacd5e/US20170296055A1-20171019-D00000.png
CA-2906654-A1,"Angiogenic compositions for wounds, articular joints and graft materials ","Cardiovascular Biotherapeutics, Inc., Vance Gardner, Kenneth Thomas, Hon Yu, Edwin ANDERSON","Vance Gardner, Kenneth Thomas, Hon Yu, Edwin ANDERSON",2013-03-15,2014-03-14,2014-09-18,,https://patents.google.com/patent/CA2906654A1/en,
