search URL:,https://patents.google.com/?assignee=CATALENT+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-0293406-B1,Solvent system for an ionizable pharmaceutical agent ,R.P. Scherer Corporation,"Man Sum Yu, Foo Song Hom, Sibaprasanna Chakraburti, Chong-Heng Huang, Mahendra Patel",1986-10-17,1987-10-15,1991-09-04,1991-09-04,https://patents.google.com/patent/EP0293406B1/en,
CA-2166891-C,Method for making freeze dried drug dosage forms ,"Sang K. Wong, Patrick Kearney, R.P. Scherer Corporation","Sang K. Wong, Patrick Kearney",1993-07-09,1994-07-08,2001-07-03,2001-07-03,https://patents.google.com/patent/CA2166891C/en,
US-3202151-A,Multidose jet injector ,Scherer Corp R P,Alfred W Kath,1963-04-08,1963-04-08,1965-08-24,1965-08-24,https://patents.google.com/patent/US3202151A/en,https://patentimages.storage.googleapis.com/6a/1c/85/5be1ce1d2d519f/US3202151-drawings-page-1.png
US-3330276-A,Hypodermic jet injector ,Scherer Corp R P,John R Gordon,1963-10-07,1963-10-07,1967-07-11,1967-07-11,https://patents.google.com/patent/US3330276A/en,https://patentimages.storage.googleapis.com/0d/d1/43/86cd8557ca23bb/US3330276-drawings-page-1.png
US-3540444-A,Plastic ampoule for use with hypodermic injector ,Scherer Corp R P,Stephen T Moreland,1968-01-15,1968-01-15,1970-11-17,1970-11-17,https://patents.google.com/patent/US3540444A/en,https://patentimages.storage.googleapis.com/34/2f/33/fc387209f540ae/US3540444-drawings-page-2.png
US-6212791-B1,Method of applying indicia to a fast-dissolving dosage form ,R.P. Scherer Corporation,"Andrew R. Thompson, Richard J. Yarwood, Patrick Kearney",1993-10-01,2000-03-31,2001-04-10,2001-04-10,https://patents.google.com/patent/US6212791B1/en,https://patentimages.storage.googleapis.com/de/86/7e/15c153c9f072f8/US06212791-20010410-D00000.png
US-6340473-B1,Film forming compositions comprising modified starches and iota-carrageenan and methods for manufacturing soft capsules using same ,"R.P. Scherer Technologies, Inc.","Keith Edward Tanner, Peter Robert Draper, John J. Getz, Stephen W. Burnett, Elizabeth Youngblood",1999-07-07,2000-06-30,2002-01-22,2002-01-22,https://patents.google.com/patent/US6340473B1/en,
US-6096338-A,Delivery systems for hydrophobic drugs ,R. P. Scherer Corporation,"Jonathan E. Lacy, Jonathan K. Embleton, Elizabeth A. Perry",1994-03-16,1997-06-27,2000-08-01,2000-08-01,https://patents.google.com/patent/US6096338A/en,https://patentimages.storage.googleapis.com/91/93/5f/ab01decfa34350/US6096338-drawings-page-2.png
US-5188825-A,Freeze-dried dosage forms and methods for preparing the same ,"Iles Martin C, Atherton Angela D, Copping Neil M","Martin C. Iles, Angela D. Atherton, Neil M. Copping",1989-12-28,1989-12-28,1993-02-23,1993-02-23,https://patents.google.com/patent/US5188825A/en,
US-6316027-B1,Fast-dissolving dosage forms for dopamine agonists ,"R. P. Scherer Technologies, Inc.","Edward Stewart Johnson, Anthony Clarke, Richard D. Green",1995-08-18,2000-09-21,2001-11-13,2001-11-13,https://patents.google.com/patent/US6316027B1/en,
US-5756036-A,Method for the manufacture of pharmaceutical cellulose capsules ,"Gs Technologies, Inc.","Ralph R. Grosswald, Jeffory B. Anderson, Clair S. Andrew",1991-05-31,1995-06-05,1998-05-26,1998-05-26,https://patents.google.com/patent/US5756036A/en,https://patentimages.storage.googleapis.com/63/30/13/c8df4746cc3200/US5756036-drawings-page-2.png
EP-0225189-B1,Targeted enteral delivery system ,R.P. Scherer Corporation,"John Desmond Davies, Elka Touitou, Arnold Rubinstein",1985-11-29,1986-11-28,1992-10-07,1992-10-07,https://patents.google.com/patent/EP0225189B1/en,https://patentimages.storage.googleapis.com/cc/67/28/c81f4cb61d9865/imgf0001.png
US-6007264-A,Integral package applicator ,"Felix Investments, Llc",Kurtis James Koptis,1998-12-02,1998-12-02,1999-12-28,1999-12-28,https://patents.google.com/patent/US6007264A/en,https://patentimages.storage.googleapis.com/91/f8/e9/a4a81d62e6da4b/US6007264-drawings-page-2.png
US-5046618-A,Child-resistant blister pack ,R. P. Scherer Corporation,Anthony J. G. Wood,1990-11-19,1990-11-19,1991-09-10,1991-09-10,https://patents.google.com/patent/US5046618A/en,https://patentimages.storage.googleapis.com/16/e2/71/e1124c53318f56/US5046618-drawings-page-2.png
US-4642903-A,Freeze-dried foam dosage form ,R. P. Scherer Corporation,J. Desmond Davies,1985-03-26,1985-03-26,1987-02-17,1987-02-17,https://patents.google.com/patent/US4642903A/en,
US-2928390-A,Multi-dose hypodermic injector ,Scherer Corp R P,"Venditty Anthony, Lee R Hammer",1957-07-15,1957-07-15,1960-03-15,1960-03-15,https://patents.google.com/patent/US2928390A/en,https://patentimages.storage.googleapis.com/b8/91/05/0e44751e4f92f4/US2928390-drawings-page-1.png
US-6425888-B1,Ocular treatment device ,R. P. Scherer Corporation,"Jonathan K. Embleton, Stephen P. Jones, Richard J. Malcolmson, Luigi G. Martini, Peter J. Houzego, Sarah A. Rocca, Howard N. Stevens",1994-08-30,1995-08-30,2002-07-30,2002-07-30,https://patents.google.com/patent/US6425888B1/en,https://patentimages.storage.googleapis.com/d9/3a/46/4ddf9e8f403137/US6425888-drawings-page-2.png
