search URL:,https://patents.google.com/?assignee=CELLULAR+DYNAMICS+INTERNATIONAL+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9328332-B2,Methods for the production of IPS cells using non-viral approach ,"Cellular Dynamics International, Inc.",Amanda Mack,2008-06-04,2013-08-07,2016-05-03,2016-05-03,https://patents.google.com/patent/US9328332B2/en,https://patentimages.storage.googleapis.com/9a/b3/a9/6c13660c19f79f/US09328332-20160503-D00001.png
EP-2401364-B1,Differentiation of pluripotent cells ,"Cellular Dynamics International, Inc.","Deepika Rajesh, Rachel Lewis",2009-02-27,2010-03-01,2015-04-22,2015-04-22,https://patents.google.com/patent/EP2401364B1/en,https://patentimages.storage.googleapis.com/6e/30/c8/e1ef6a12ef91c6/imgf0001.png
AU-2008272949-B2,Automated method and apparatus for embryonic stem cell culture ,"FUJIFILM Cellular Dynamics, Inc.","Nathaniel Beardsley, Veit Bergendahl, Christine Daigh, Megan Fitzgerald",2007-06-29,2008-06-30,2014-05-15,2014-05-15,https://patents.google.com/patent/AU2008272949B2/en,
US-9295697-B2,Episomal reprogramming with chemicals ,"Cellular Dynamics International, Inc.",Junying Yu,2009-11-04,2010-11-04,2016-03-29,2016-03-29,https://patents.google.com/patent/US9295697B2/en,https://patentimages.storage.googleapis.com/8a/81/58/f21f6bf793dea0/US09295697-20160329-D00001.png
EP-2548950-B1,Reprogramming T cells and hematopoietic cells ,"Cellular Dynamics International, Inc.","Matthew Brown, Elizabeth Rondon Dominguez, Randy Learish, Emile Nuwaysir, Deepika Rajesh, Amanda Mack",2009-06-05,2010-06-04,2017-10-25,2017-10-25,https://patents.google.com/patent/EP2548950B1/en,https://patentimages.storage.googleapis.com/58/10/37/123b367e0bae24/imgf0001.png
US-8557580-B2,Methods and compositions for the differentiation of stem cells ,"Cellular Dynamics International, Inc.","Christine Daigh, Peter Fuhrken, Giorgia Salvagiotto",2009-02-20,2010-02-22,2013-10-15,2013-10-15,https://patents.google.com/patent/US8557580B2/en,
EP-2490701-B1,Cardiomyocyte production ,"Cellular Dynamics International, Inc.","Casey Stankewicz, Matt Riley, Nathaniel Beardsley, Wen Bo Wang, Steven Kattman",2009-10-19,2010-10-19,2017-08-02,2017-08-02,https://patents.google.com/patent/EP2490701B1/en,https://patentimages.storage.googleapis.com/c1/7c/9e/0270baf14cd271/imgf0001.png
DK-2582794-T3,Generation of induced pluripotent stem cells from small volumes of peripheral blood ,Cellular Dynamics Int Inc,Amanda Mack,2010-06-15,2011-06-14,2018-05-22,2018-05-22,https://patents.google.com/patent/DK2582794T3/en,
CA-2796251-C,Hepatocyte production by forward programming ,"Cellular Dynamics International, Inc., Junying Yu, Fongching Kevin Chau, Jinlan Jiang, Yong Jiang, Maksym A. Vodyanyk, FUJIFILM Cellular Dynamics, Inc.","Junying Yu, Fongching Kevin Chau, Jinlan Jiang, Yong Jiang, Maksym A. Vodyanyk",2010-04-13,2011-04-13,2019-05-14,2019-05-14,https://patents.google.com/patent/CA2796251C/en,
US-8785192-B2,Endothelial cell production by programming ,"Cellular Dynamics International, Inc.","Junying Yu, Maksym A. Vodyanyk",2010-07-07,2011-07-07,2014-07-22,2014-07-22,https://patents.google.com/patent/US8785192B2/en,https://patentimages.storage.googleapis.com/98/aa/f7/6a617c3c98c120/US08785192-20140722-D00001.png
US-2014037600-A1,Hematopoietic precursor cell production by programming ,"Cellular Dynamics International, Inc.","Junying Yu, Maksym A. Vodyanyk",2011-02-08,2012-02-07,2014-02-06,,https://patents.google.com/patent/US20140037600A1/en,https://patentimages.storage.googleapis.com/d7/a9/50/46def09e2e0baa/US20140037600A1-20140206-D00001.png
