search URL:,https://patents.google.com/?assignee=CEMPRA+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2008316830-B2,Process for the preparation of macrolide antibacterial agents ,"Cempra Pharmaceuticals, Inc.","Keshav Deo, Manish Kanchanbhai Patel, David E. Pereira",2007-10-25,2008-10-23,2016-03-17,2016-03-17,https://patents.google.com/patent/AU2008316830B2/en,
AU-2011255464-C1,Processes for preparing macrolides and ketolides and intermediates therefor ,"Cempra Pharmaceuticals, Inc.",David E. Pereira,2010-05-20,2011-05-20,2017-02-23,2017-02-23,https://patents.google.com/patent/AU2011255464C1/en,
US-8975386-B2,"Crystalline forms of a macrolide, and uses therefor ","Cempra Pharmaceuticals, Inc.",David E. Pereira,2010-03-22,2011-03-22,2015-03-10,2015-03-10,https://patents.google.com/patent/US8975386B2/en,https://patentimages.storage.googleapis.com/76/da/ac/df3e06298b89dd/US08975386-20150310-D00001.png
US-9751908-B2,Convergent processes for preparing macrolide antibacterial agents ,"Cempra Pharmaceuticals, Inc.",David Eugene Pereira,2013-03-15,2014-03-15,2017-09-05,2017-09-05,https://patents.google.com/patent/US9751908B2/en,
EP-2362727-B1,Methods for treating resistant diseases using triazole containing macrolides ,"Cempra Pharmaceuticals, Inc.","David E. Pereira, Prabhavathi B. Fernandes",2008-10-24,2009-10-24,2018-04-11,2018-04-11,https://patents.google.com/patent/EP2362727B1/en,https://patentimages.storage.googleapis.com/4b/25/4c/ec7527ab0116bf/imgf0001.png
US-2013164351-A1,Methods of treating bacterial infections through pulmonary delivery of fusidic acid ,Cempra Pharmaceuticals Inc.,Prabhavathi Fernandes,2010-08-30,2011-08-15,2013-06-27,,https://patents.google.com/patent/US20130164351A1/en,https://patentimages.storage.googleapis.com/0a/d2/15/329a035bc626a7/US20130164351A1-20130627-D00001.png
EP-2544537-B1,Parenteral formulations of macrolide antibiotics ,"Cempra Pharmaceuticals, Inc.","David E. Pereira, Prabhavathi Fernandes",2010-03-10,2011-03-10,2017-05-10,2017-05-10,https://patents.google.com/patent/EP2544537B1/en,
US-9815863-B2,Hydrogen bond forming fluoro ketolides for treating diseases ,"Cempra Pharmaceuticals, Inc.",David E. Pereira,2010-09-10,2011-09-09,2017-11-14,2017-11-14,https://patents.google.com/patent/US9815863B2/en,
AU-2013239696-B2,Parenteral formulations for administering macrolide antibiotics ,"Cempra Pharmaceuticals, Inc.","Prabhavathi Fernandes, David E. Pereira, Sara WU",2012-03-27,2013-03-27,2017-12-14,2017-12-14,https://patents.google.com/patent/AU2013239696B2/en,
EP-2968801-B1,Methods for treating respiratory diseases and formulations therefor ,"Cempra Pharmaceuticals, Inc.",Prabhavathi Fernandes,2013-03-14,2014-03-14,2018-09-26,2018-09-26,https://patents.google.com/patent/EP2968801B1/en,https://patentimages.storage.googleapis.com/0b/fe/1e/55ceb5e5db85cc/imgf0001.png
CA-2767614-C,Fusidic acid dosing regimens for treatment of bacterial infections ,"Cempra Pharmaceuticals Inc., Ronald Jones, Arrevus, Inc.",Ronald Jones,2009-07-13,2009-07-13,2019-01-15,2019-01-15,https://patents.google.com/patent/CA2767614C/en,
AU-2010292010-B2,"Methods for treating malaria, tuberculosis and MAC diseases ","Cempra Pharmaceuticals, Inc.",Prabhavathi Fernandes,2009-09-10,2010-09-10,2016-01-07,2016-01-07,https://patents.google.com/patent/AU2010292010B2/en,
US-2019060457-A1,Compositions comprising fusidic acid and packages therefor ,"Cem-102 Pharmaceuticals, Inc.",David Eugene Pereira,2011-05-23,2018-03-16,2019-02-28,,https://patents.google.com/patent/US20190060457A1/en,https://patentimages.storage.googleapis.com/06/0b/e4/7fe444d2e5bc33/US20190060457A1-20190228-D00001.png
US-8247394-B2,Methods of treating urethritis and related infections using fusidic acid ,Cempra Pharmaceuticals Inc.,Prabhavathi Fernandes,2010-06-02,2010-06-02,2012-08-21,2012-08-21,https://patents.google.com/patent/US8247394B2/en,
US-10145857-B2,Tube tray vision system ,Siemens Healthcare Diagnostics Inc.,"Benjamin Pollack, Ryan German",2013-03-14,2014-03-14,2018-12-04,2018-12-04,https://patents.google.com/patent/US10145857B2/en,https://patentimages.storage.googleapis.com/1f/63/a0/322b183c83ca34/US10145857-20181204-D00000.png
US-8450300-B2,Fusidic acid dosing regimens for treatment of bacterial infections ,Cempra Pharmaceuticals Inc.,Ronald Norman JONES,2009-07-13,2009-07-13,2013-05-28,2013-05-28,https://patents.google.com/patent/US8450300B2/en,https://patentimages.storage.googleapis.com/0a/9c/fe/ddc58c5799491a/US08450300-20130528-D00001.png
US-2017165286-A1,Compositions and methods for treating diabetes and liver diseases ,"Cempra Pharmaceuticals, Inc.",Prabhavathi Fernandes,2014-02-14,2015-02-11,2017-06-15,,https://patents.google.com/patent/US20170165286A1/en,https://patentimages.storage.googleapis.com/94/f8/28/403156f821cf25/US20170165286A1-20170615-D00001.png
US-2017224664-A1,Powder oral suspension formulations of antibacterial agents ,"Cempra Pharmaceuticals, Inc.","David Eugene Pereira, Shingai Majuru, Prabhavathi Fernandes",2014-08-05,2015-08-05,2017-08-10,,https://patents.google.com/patent/US20170224664A1/en,https://patentimages.storage.googleapis.com/9a/33/b4/582080ca036316/US20170224664A1-20170810-D00001.png
EP-3265100-A1,Processes for preparing fluoroketolides ,Cempra Pharmaceuticals Inc.,"David Eugene Pereira, Stephen E. Schneider, Keshav Deo",2015-03-06,2016-03-05,2018-01-10,,https://patents.google.com/patent/EP3265100A1/en,
US-9937194-B1,Compounds and methods for treating inflammatory diseases ,"Cempra Pharmaceuticals, Inc.","Prabhavathi Fernandes, David E. Pereira",2009-06-12,2012-08-28,2018-04-10,2018-04-10,https://patents.google.com/patent/US9937194B1/en,
US-2018016226-A1,4-azidobutylamines and processes for preparing ,"Cempra Pharmaceuticals, Inc.","Stephen E. Schneider, David Eugene Pereira",2015-02-06,2016-02-05,2018-01-18,,https://patents.google.com/patent/US20180016226A1/en,https://patentimages.storage.googleapis.com/ca/88/70/d9808b29ab9417/US20180016226A1-20180118-D00001.png
US-2017119793-A1,Compositions and methods for treating bone and joint infections ,"Cem-102 Pharmaceuticals, Inc.",Prabhavathi Fernandes,2014-06-12,2015-06-12,2017-05-04,,https://patents.google.com/patent/US20170119793A1/en,https://patentimages.storage.googleapis.com/d6/2c/b1/bd3974e3667b24/US20170119793A1-20170504-D00001.png
WO-2018045294-A1,Processes for preparing fluoroketolides ,"Cempra Pharmaceuticals, Inc.","David Eugene Pereira, Daniel Edward Patterson",2016-09-02,2017-09-01,2018-03-08,,https://patents.google.com/patent/WO2018045294A1/en,
WO-2018152424-A1,Triazole-containing macrolides and ophthalmic uses therefor ,"Cempra Pharmaceuticals, Inc.","Prabhavathi Fernandes, David Eugene Pereira, Sara WU",2017-02-17,2018-02-16,2018-08-23,,https://patents.google.com/patent/WO2018152424A1/en,
IL-241670-A,Convergent processes for preparing macrolide antibacterial agents ,Cempra Pharmaceuticals Inc,,2014-03-15,2015-09-16,2018-07-31,,https://patents.google.com/patent/IL241670A/en,
WO-2018165266-A1,Compositions and methods for treating dry eye diseases ,"Cempra Pharmaceuticals, Inc.",Prabhavathi Fernandes,2017-03-07,2018-03-07,2018-09-13,,https://patents.google.com/patent/WO2018165266A1/en,
HK-1221229-A1,"Crystalline forms of a macrolide, and uses therefor ",Cempra Pharmaceuticals Inc,David Pereira,2010-03-22,2016-08-05,2017-05-26,,https://patents.google.com/patent/HK1221229A1/en,
