search URL:,https://patents.google.com/?assignee=CERULEAN+PHARMA+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2003278764-B2,Cyclodextrin-based polymers for therapeutic delivery ,Cerulean Pharma Inc.,"Jianjun Cheng, Mark E. Davis, Kay T. Khin",2002-09-06,2003-09-04,2010-02-04,2010-02-04,https://patents.google.com/patent/AU2003278764B2/en,
US-8357377-B2,"Cyclodextrin-based materials, compositions and uses related thereto ","Suzie Hwang Pun, Bellocq Nathalie C, Davis Mark E","Suzie Hwang Pun, Nathalie C. Bellocq, Mark E. Davis",2002-10-09,2003-10-08,2013-01-22,2013-01-22,https://patents.google.com/patent/US8357377B2/en,https://patentimages.storage.googleapis.com/4f/ff/5d/453e05d8b10655/US08357377-20130122-D00001.png
CN-102378626-B,"Polymer-agent conjugates, particles, compositions, and related methods of use ",天蓝制药公司,"S·伊莱亚索夫, T·C·克劳福德, G·甘格尔, L·A·赖特尔, P-S·额",2009-03-30,2010-03-26,2014-05-14,2014-05-14,https://patents.google.com/patent/CN102378626B/en,
US-8207290-B2,Methods and systems for generating nanoparticles ,Cerulean Pharma Inc.,"John Podobinski, J. Michael Ramstack, David S. Dickey",2010-03-26,2011-02-08,2012-06-26,2012-06-26,https://patents.google.com/patent/US8207290B2/en,https://patentimages.storage.googleapis.com/7a/a7/7d/16bbc768555b7d/US08207290-20120626-D00001.png
US-2010247669-A1,"Polymer-agent conjugates, particles, compositions, and related methods of use ",Cerulean Pharma Inc.,"Scott Eliasof, Thomas C. Crawford, Geeti Gangal, Lawrence Alan Reiter, Pei-Sze Ng",2009-03-30,2010-03-29,2010-09-30,,https://patents.google.com/patent/US20100247669A1/en,https://patentimages.storage.googleapis.com/03/33/56/8f47899b4b4d2a/US20100247669A1-20100930-D00001.png
US-8497365-B2,Cyclodextrin-based polymers for therapeutics delivery ,"Mark E. Davis, Jungyeon Hwang, Tianyi Ke, Ching-Jou Lim, Thomas Schluep","Mark E. Davis, Jungyeon Hwang, Tianyi Ke, Ching-Jou Lim, Thomas Schluep",2007-01-24,2011-08-04,2013-07-30,2013-07-30,https://patents.google.com/patent/US8497365B2/en,https://patentimages.storage.googleapis.com/80/6f/26/50b1754cee3c5e/US08497365-20130730-D00001.png
US-2014296322-A1,"Conjugates, particles, compositions, and related methods of use ",Cerulean Pharma Inc.,"Scott Eliasof, Oliver S. Fetzer, Patrick Lim Soo, Pei-Sze Ng, Sonke Svenson, Jungyeon Hwang, Donald Bergstrom",2010-08-20,2014-04-18,2014-10-02,,https://patents.google.com/patent/US20140296322A1/en,https://patentimages.storage.googleapis.com/52/ba/2f/af32ca1bc9d2f0/US20140296322A1-20141002-D00001.png
US-2006210527-A1,Cyclodextrin-based polymers for therapeutics delivery ,"Insert Therapeutics, Inc.",Mark Davis,2005-02-16,2006-02-15,2006-09-21,,https://patents.google.com/patent/US20060210527A1/en,https://patentimages.storage.googleapis.com/88/97/f3/8aad589b07d5be/US20060210527A1-20060921-D00001.png
AU-2010295646-B2,Treatment of cancer ,"Bluelink Pharmaceuticals, Inc.","Mark Davis, James C. OLIVER, John Ryan, Thomas Schluep, Yun Yen",2009-09-15,2010-09-15,2016-02-11,2016-02-11,https://patents.google.com/patent/AU2010295646B2/en,
US-2010285144-A1,"Polymer-epothilone conjugates, particles, compositions, and related methods of use ","Scott Eliasof, Crawford Thomas C, Geeti Gangal, Lawrence Alan Reiter, Pei-Sze Ng","Scott Eliasof, Thomas C. Crawford, Geeti Gangal, Lawrence Alan Reiter, Pei-Sze Ng",2009-03-30,2010-03-29,2010-11-11,,https://patents.google.com/patent/US20100285144A1/en,https://patentimages.storage.googleapis.com/05/bc/ff/bdbccf60533af9/US20100285144A1-20101111-D00001.png
US-2014037573-A1,"Conjugates, particles, compositions, and related methods ",Cerulean Pharma Inc.,"Scott Eliasof, Oliver S. Fetzer, Jungyeon Hwang, Patrick Lim Soo, Pei-Sze Ng, Sonke Svenson, Donald Bergstrom",2012-02-22,2013-02-21,2014-02-06,,https://patents.google.com/patent/US20140037573A1/en,https://patentimages.storage.googleapis.com/93/63/42/fbaf25d9c75c9e/US20140037573A1-20140206-D00001.png
US-2011237686-A1,Formulations and methods of use ,Cerulean Pharma Inc,"Pei-Sze Ng, Jerry Zhang",2010-03-26,2011-03-25,2011-09-29,,https://patents.google.com/patent/US20110237686A1/en,https://patentimages.storage.googleapis.com/22/e3/1e/6b452ac18caff5/US20110237686A1-20110929-D00000.png
US-2011237540-A1,Cyclodextrin-based polymers for therapeutic delivery ,"Crawford Thomas C, Fetzer Oliver S, Lawrence Alan Reiter, Marc Wolfgang","Thomas C. Crawford, Oliver S. Fetzer, Lawrence Alan Reiter, Marc Wolfgang",2009-11-23,2010-11-23,2011-09-29,,https://patents.google.com/patent/US20110237540A1/en,https://patentimages.storage.googleapis.com/1a/e4/62/6680bd78d53363/US20110237540A1-20110929-D00000.png
US-2015005230-A1,Cyclodextrin-based polymers for therapeutic delivery ,Cerulean Pharma Inc.,Scott Eliasof,2012-01-31,2014-01-30,2015-01-01,,https://patents.google.com/patent/US20150005230A1/en,https://patentimages.storage.googleapis.com/aa/b7/2c/15485e064164dc/US20150005230A1-20150101-D00001.png
US-2014135254-A1,"Therapeutic peptide-polymer conjugates, particles, compositions, and related methods ",Cerulean Pharma Inc.,"Oliver S. Fetzer, Jungyeon Hwang, Patrick Lim Soo, Pei-Sze Ng, Sonke Svenson",2010-08-20,2013-03-28,2014-05-15,,https://patents.google.com/patent/US20140135254A1/en,https://patentimages.storage.googleapis.com/f1/3c/fb/e3f5ca6e5c086f/US20140135254A1-20140515-D00001.png
TW-I528976-B,Cyclodextrin-based polymers for therapeutics delivery ,Cerulean Pharma Inc,"Mark E Davis, Jungyeon Hwang, Thomas Schluep, Tianyi Ke, Ching-Jou Lim",2006-12-13,2007-12-13,2016-04-11,2016-04-11,https://patents.google.com/patent/TWI528976B/en,
CA-2799202-C,Compositions and methods for treatment of autoimmune and other diseases ,"Cerulean Pharma Inc., Scott D. Eliasof",Scott D. Eliasof,2010-05-18,2011-05-18,2016-07-05,2016-07-05,https://patents.google.com/patent/CA2799202C/en,
