search URL:,https://patents.google.com/?assignee=CHEMOCENTRYX+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-6559160-B1,Compounds and methods for modulating cxcr3 function ,"Chemocentryx, Inc.","Thomas J. Schall, Daniel J. Dairaghi, Brian E. McMaster",1999-08-27,2000-08-25,2003-05-06,2003-05-06,https://patents.google.com/patent/US6559160B1/en,
US-7262204-B2,Modulation of CCR4 function ,"Amgen Inc., Chemocentryx, Inc.","Tassie Collins, Daniel J. Dairaghi, Hossen Mahmud, Brian E. McMaster, Julio C. Medina, Thomas J. Schall, Feng Xu, Xuemei Wang",2000-10-11,2003-09-02,2007-08-28,2007-08-28,https://patents.google.com/patent/US7262204B2/en,
US-8093247-B2,Heteroaryl sulfonamides and CCR2 ,"Chemocentryx, Inc.","Solomon Ungashe, Zheng Wei, Arindrajit Basak, Trevor T. Charvat, Wei Chen, Jeff Jin, Jimmie Moore, Yibin Zeng, Sreenivas Punna, Daniel Dairaghi, Derek Hansen, Andrew M. K. Pennell, John J. Wright",2005-01-14,2009-10-20,2012-01-10,2012-01-10,https://patents.google.com/patent/US8093247B2/en,https://patentimages.storage.googleapis.com/50/ac/8e/35bd939d0516c8/US08093247-20120110-D00001.png
US-7157464-B2,Substituted piperazines ,"Chemocentryx, Inc.","Andrew M. K. Pennell, James B. Aggen, J.J. Kim Wright, Subrabrata Sen, Brian E. McMaster, Daniel Joseph Dairaghi",2002-06-12,2003-06-11,2007-01-02,2007-01-02,https://patents.google.com/patent/US7157464B2/en,https://patentimages.storage.googleapis.com/4c/50/4c/339c17462f5874/US07157464-20070102-D00002.png
CA-2612552-C,Azaindazole compounds and methods of use ,"Chemocentryx, Inc., Penglie Zhang, Andrew M. K. Pennell, John J. Kim Wright, Wei Chen, Manmohan R. Leleti, Yandong Li, Lianfa Li, Yuan Xu","Penglie Zhang, Andrew M. K. Pennell, John J. Kim Wright, Wei Chen, Manmohan R. Leleti, Yandong Li, Lianfa Li, Yuan Xu",2005-06-22,2006-06-22,2015-03-24,2015-03-24,https://patents.google.com/patent/CA2612552C/en,
AU-2003303942-B9,Bis-aryl sulfonamides ,"Chemocentryx, Inc.","Andrew Pennell, Brett Premack, Thomas J. Schall, Solomon Ungashe, Zheng Wei, J. J. Wright",2002-11-18,2003-11-18,2008-06-19,2008-06-19,https://patents.google.com/patent/AU2003303942B9/en,
AU-2006315514-B2,Substituted quinolones and methods of use ,"Chemocentryx, Inc.","Cheng Hu, Antoni Krasinski, Anita Melikian, Aaron Novack, John Jessen Wright",2005-11-10,2006-11-13,2012-03-01,2012-03-01,https://patents.google.com/patent/AU2006315514B2/en,
AU-2004296879-B2,Substituted piperazines ,"Chemocentryx, Inc.","James B. Aggen, Wei Chen, Daniel Joseph Dairaghi, Brian E. Mcmaster, Andrew M. K. Pennell, Subhabrata Sen, J. J. Kim Wright, Penglie Zhang",2003-12-09,2004-12-08,2011-11-17,2011-11-17,https://patents.google.com/patent/AU2004296879B2/en,
CA-2558211-C,Bicyclic and bridged nitrogen heterocycles ,"Chemocentryx, Inc., Andrew M. K. Pennell, James B. Aggen, J. J. Kim Wright, Subhabrata Sen, Wei Chen, Daniel Joseph Dairaghi, Penglie Zhang","Andrew M. K. Pennell, James B. Aggen, J. J. Kim Wright, Subhabrata Sen, Wei Chen, Daniel Joseph Dairaghi, Penglie Zhang",2004-03-03,2005-03-02,2013-09-03,2013-09-03,https://patents.google.com/patent/CA2558211C/en,
US-7932252-B2,Aryl sulfonamides ,"Chemocentryx, Inc.","Solomon Ungashe, John Jessen Wright, Andrew Pennell",2004-05-12,2005-05-12,2011-04-26,2011-04-26,https://patents.google.com/patent/US7932252B2/en,
US-7842693-B2,Substituted piperazines ,"Chemocentryx, Inc.","Andrew M. K. Pennell, James B. Aggen, J. J. Kim Wright, Subhabrata Sen, Brian E. McMaster, Daniel Joseph Dairaghi, Valeri V. Martichonok",2002-06-12,2003-12-09,2010-11-30,2010-11-30,https://patents.google.com/patent/US7842693B2/en,
CA-2691031-C,N-(2-(hetaryl)aryl)arylsulfonamides and n-(2-(hetaryl)hetaryl)arylsulfonamides ,"Chemocentryx, Inc., Trevor T. Charvat, Cheng Hu, Anita Melikian, Aaron Novack, Andrew M.K. Pennell, Jay Powers, Sreenivas Punna, Edward J. Sullivan, William D. Thomas, Solomon Ungashe, Penglie Zhang","Trevor T. Charvat, Cheng Hu, Anita Melikian, Aaron Novack, Andrew M.K. Pennell, Jay Powers, Sreenivas Punna, Edward J. Sullivan, William D. Thomas, Solomon Ungashe, Penglie Zhang",2007-06-22,2008-06-18,2014-12-09,2014-12-09,https://patents.google.com/patent/CA2691031C/en,
EP-1838674-B1,Heteroaryl sulfonamides and ccr2 ,"ChemoCentryx, Inc.","Solomon Ungashe, John Jessen Wright, Yibin Zeng, Arindrajit Badak, Trevor T. Charvat, Daniel Dairaghi, Derek Hansen, Jeff Jin, Jimmie Moore, Andrew M.K. Pennell, Sreenivas Punna, Zheng Wei",2005-01-14,2006-01-13,2011-03-30,2011-03-30,https://patents.google.com/patent/EP1838674B1/en,https://patentimages.storage.googleapis.com/ca/bc/20/a71a64331e631d/imgf0001.png
US-7807704-B2,"Bicyclic, nitrogen-containing compounds modulating CXCR4 and/or CCXCKR2 ","Chemocentryx, Inc.","William D. Thomas, Manmohan Reddy Leleti, Andrew M. K. Pennell",2006-03-30,2007-03-30,2010-10-05,2010-10-05,https://patents.google.com/patent/US7807704B2/en,https://patentimages.storage.googleapis.com/58/db/da/b09893dab5f258/US07807704-20101005-D00001.png
US-7435831-B2,Bicyclic and bridged nitrogen heterocycles ,"Chemocentryx, Inc.","Wei Chen, Penglie Zhang, James B. Aggen, Daniel Joseph Dairaghi, Andrew M. K. Pennell, Subhabrata Sen, J. J. Kim Wright",2004-03-03,2005-09-01,2008-10-14,2008-10-14,https://patents.google.com/patent/US7435831B2/en,
