search URL:,https://patents.google.com/?assignee=CHIASMA+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8241670-B2,Compositions capable of facilitating penetration across a biological barrier ,Chiasma Inc.,Shmuel A. Ben-Sasson,2004-04-15,2005-04-14,2012-08-14,2012-08-14,https://patents.google.com/patent/US8241670B2/en,https://patentimages.storage.googleapis.com/65/40/d6/04dae301df0d4e/US08241670-20120814-D00001.png
US-7115707-B2,Amino acid sequences capable of facilitating penetration across a biological barrier ,"Chiasma, Inc.","Shmuel A. Ben-Sasson, Einat Cohen",2002-02-07,2003-09-17,2006-10-03,2006-10-03,https://patents.google.com/patent/US7115707B2/en,
US-8535695-B2,Pharmaceutical compositions and related methods of delivery ,Chiasma Inc.,"Paul Salama, Roni Mamluk, Karen Marom, Irina Weinstein, Moshe Tzabari",2008-09-17,2011-09-15,2013-09-17,2013-09-17,https://patents.google.com/patent/US8535695B2/en,https://patentimages.storage.googleapis.com/d5/26/45/505de8e4d09ba6/US08535695-20130917-D00001.png
US-2005058702-A1,Compositions capable of facilitating penetration across a biological barrier ,"Ben-Sasson Shmuel A., Einat Cohen","Shmuel Ben-Sasson, Einat Cohen",2003-09-17,2003-09-17,2005-03-17,,https://patents.google.com/patent/US20050058702A1/en,
US-2007172517-A1,Compositions capable of facilitation penetration across a biological barrier ,"Ben-Sasson Shmuel A, Einat Galamidi-Cohen","Shmuel Ben-Sasson, Einat Galamidi-Cohen",2003-09-17,2004-09-17,2007-07-26,,https://patents.google.com/patent/US20070172517A1/en,https://patentimages.storage.googleapis.com/fa/d6/26/db5df0ba409a18/US20070172517A1-20070726-D00001.png
US-2017106089-A1,Compositions capable of facilitating penetration across a biological barrier ,Chiasma Inc.,Shmuel A. Ben-Sasson,2006-10-20,2016-05-20,2017-04-20,,https://patents.google.com/patent/US20170106089A1/en,https://patentimages.storage.googleapis.com/87/21/ed/933b537bed5163/US20170106089A1-20170420-D00001.png
US-2005136103-A1,Compositions capable of facilitating penetration across a biological barrier ,"Ben-Sasson Shmuel A., Einat Cohen","Shmuel Ben-Sasson, Einat Cohen",2003-09-17,2004-09-16,2005-06-23,,https://patents.google.com/patent/US20050136103A1/en,https://patentimages.storage.googleapis.com/0a/98/62/bdf8937c8168bc/US20050136103A1-20050623-D00001.png
US-2012288531-A1,"pharmaceutical compositions for delivery of ferric iron compounds, and methods of use thereof ","Shmuel Tuvia, Dana Gelbaum, Paul Salama, Irina Karmeli, Dori Pelled","Shmuel Tuvia, Dana Gelbaum, Paul Salama, Irina Karmeli, Dori Pelled",2011-01-14,2012-01-12,2012-11-15,,https://patents.google.com/patent/US20120288531A1/en,https://patentimages.storage.googleapis.com/01/fa/6b/54c9d708b07824/US20120288531A1-20121115-D00001.png
US-D770303-S,Overlay for medication card ,Chiasma Inc.,Dana Gelbaum,2015-02-03,2015-02-03,2016-11-01,2016-11-01,https://patents.google.com/patent/USD770303S1/en,https://patentimages.storage.googleapis.com/fa/7e/a0/29b06539dfe105/USD0770303-20161101-D00000.png
US-2011311621-A1,Pharmaceutical compositions and methods of delvery ,"Paul Salama, Irina Karmeli, Shmuel Tuvia, Karen Marom, Oshrat Harush-Frenkel, Dana Gelbaum, Roni Mamluk, Fredric David Price, Steven Ronald Peikin","Paul Salama, Irina Karmeli, Shmuel Tuvia, Karen Marom, Oshrat Harush-Frenkel, Dana Gelbaum, Roni Mamluk, Fredric David Price, Steven Ronald Peikin",2010-03-16,2011-03-16,2011-12-22,,https://patents.google.com/patent/US20110311621A1/en,https://patentimages.storage.googleapis.com/69/cf/96/e6b7fa141febf7/US20110311621A1-20111222-D00001.png
US-9642773-B2,Overlay for medication card ,Chiasma Inc.,Dana Gelbaum,2015-02-03,2015-02-03,2017-05-09,2017-05-09,https://patents.google.com/patent/US9642773B2/en,https://patentimages.storage.googleapis.com/0c/f4/5d/ae10fa23391458/US09642773-20170509-D00000.png
US-10238709-B2,Method of treating diseases ,"Chiasma, Inc.","Roni Mamluk, Sam L. Teichman",2015-02-03,2016-02-03,2019-03-26,2019-03-26,https://patents.google.com/patent/US10238709B2/en,https://patentimages.storage.googleapis.com/33/f7/34/42e306011e48fa/US10238709-20190326-D00000.png
AU-2015201581-B2,Pharmaceutical Compositions and Related Methods of Delivery ,"Chiasma, Inc.","Roni Mamluk, Karen Marom, Paul Salama, Moshe Tzabari, Irina Weinstein",2008-09-17,2015-03-27,2017-03-09,2017-03-09,https://patents.google.com/patent/AU2015201581B2/en,
AU-2015360485-A1,Oral octreotide administered in combination with other therapeutic agents ,"Chiasma Inc., Dana Gelbaum, Roni Mamluk","Dana Gelbaum, Asi Haviv, Roni Mamluk",2014-12-10,2015-12-10,2017-06-29,,https://patents.google.com/patent/AU2015360485A1/en,
AU-2017345720-A1,Terlipressin compositions and their methods of use ,"Chiasma, Inc.",Gary Patou,2016-10-21,2017-10-20,2019-04-11,,https://patents.google.com/patent/AU2017345720A1/en,
AU-2017210227-A1,Oral octreotide for the treatment of disease ,Chiasma Inc.,"Dana Gelbaum, Asi Haviv, Roni Mamluk, Gary Patou",2016-01-21,2017-01-20,2018-09-06,,https://patents.google.com/patent/AU2017210227A1/en,
