search URL:,https://patents.google.com/?assignee=CHIMERIX+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-620901-B2,"Lipid derivatives of antiviral nucleosides, liposomal incorporation and method of use ","Chimerix, Inc.","Karl Y. Hostetler, Raj Kumar, Louise M. Stuhmiller",1988-07-07,1989-06-30,1992-02-27,1992-02-27,https://patents.google.com/patent/AU620901B2/en,
CA-2149753-C,Lipid derivatives of phosphonoacids for liposomal incorporation and method of use ,"Karl Y. Hostetler, Raj Kumar, Vical, Inc., Vestar, Inc., Nexstar Pharmaceuticals, Inc., Hostetler Family Trust Utd38192, Chimerix, Inc.","Karl Y. Hostetler, Raj Kumar",1989-11-22,1992-12-17,2005-11-08,2005-11-08,https://patents.google.com/patent/CA2149753C/en,
US-5554728-A,Lipid conjugates of therapeutic peptides and protease inhibitors ,"Nexstar Pharmaceuticals, Inc.","Channa Basava, Karl Y. Hostetler",1991-07-23,1991-07-23,1996-09-10,1996-09-10,https://patents.google.com/patent/US5554728A/en,
US-5463092-A,Lipid derivatives of phosphonacids for liposomal incorporation and method of use ,"Vestar, Inc.","Karl Y. Hostetler, Raj Kumar",1989-11-22,1992-12-18,1995-10-31,1995-10-31,https://patents.google.com/patent/US5463092A/en,https://patentimages.storage.googleapis.com/bb/c1/70/0f6ec2a12a896d/US5463092-drawings-page-3.png
US-5411947-A,Method of converting a drug to an orally available form by covalently bonding a lipid to the drug ,"Vestar, Inc.","Karl Y. Hostetler, Raj Kumar",1989-06-28,1992-12-16,1995-05-02,1995-05-02,https://patents.google.com/patent/US5411947A/en,https://patentimages.storage.googleapis.com/44/03/50/96b3e4042f54ee/US5411947-drawings-page-2.png
US-5696277-A,Antiviral prodrugs ,Karl Y. Hostetler,"Karl Y. Hostetler, Ganesh D. Kini",1994-11-15,1994-11-15,1997-12-09,1997-12-09,https://patents.google.com/patent/US5696277A/en,
US-6448392-B1,Lipid derivatives of antiviral nucleosides: liposomal incorporation and method of use ,"Chimerix, Inc.","Karl Y. Hostetler, Raj Kumar, Louise M. Stuhmiller",1985-03-06,1995-04-03,2002-09-10,2002-09-10,https://patents.google.com/patent/US6448392B1/en,https://patentimages.storage.googleapis.com/89/b9/da/92818d4104a424/US6448392-drawings-page-4.png
US-7749983-B2,"Metabolically stable alkoxyalkyl esters of antiviral or antiproliferative phosphonates, nucleoside phosphonates and nucleoside phosphates ","Chimerix, Inc., The Regents Of The University Of California","Karl Y. Hostetler, James R. Beadle, Jacqueline Ruiz, Merrick R. Almond, George R. Painter, Timothy A. Riley, Paula Francom",2006-05-03,2007-04-18,2010-07-06,2010-07-06,https://patents.google.com/patent/US7749983B2/en,https://patentimages.storage.googleapis.com/6c/6d/f6/603dd658030fa5/US07749983-20100706-D00001.png
US-2010297079-A1,"Compounds, compositions and methods for treating viral infection ","Chimerix, Inc.","Merrick Almond, Ernest R. Lanier, David L. Musso, Roy Ware",2009-05-20,2010-05-20,2010-11-25,,https://patents.google.com/patent/US20100297079A1/en,
US-8642577-B2,"Compounds, compositions and methods for the treatment of poxvirus infections ","Chimerix, Inc.","Merrick R. Almond, George R. Painter",2005-04-08,2006-04-10,2014-02-04,2014-02-04,https://patents.google.com/patent/US8642577B2/en,https://patentimages.storage.googleapis.com/2e/03/d7/1d48449a92b24d/US08642577-20140204-D00000.png
AU-668873-B2,Antiviral liponucleosides: treatment of hepatitis B ,"Chimerix, Inc.",Karl Y. Hostetler,1991-07-12,1992-06-03,1996-05-23,1996-05-23,https://patents.google.com/patent/AU668873B2/en,
US-6252060-B1,Antiviral liponucleosides: treatment of hepatitis B ,"Nexstar Pharmaceuticals, Inc.",Karl Y. Hostetler,1988-07-07,1994-04-04,2001-06-26,2001-06-26,https://patents.google.com/patent/US6252060B1/en,https://patentimages.storage.googleapis.com/64/31/07/a07a741116c44c/US6252060-drawings-page-4.png
US-2007003608-A1,"Compounds, compositions and methods for the treatment of viral infections and other medical disorders ","Almond Merrick R, Painter George R","Merrick Almond, George Painter",2005-04-08,2006-04-10,2007-01-04,,https://patents.google.com/patent/US20070003608A1/en,https://patentimages.storage.googleapis.com/f5/b9/98/f209b7e73fec23/US20070003608A1-20070104-D00001.png
EP-2155257-B1,Methods of reducing nephrotoxicity in subjects administered with nucleoside ,"Chimerix, Inc.",George R. Painter,2007-04-27,2008-04-25,2016-10-05,2016-10-05,https://patents.google.com/patent/EP2155257B1/en,https://patentimages.storage.googleapis.com/e4/5e/bd/07bd4942e80137/imgf0001.png
AU-2014348302-A1,"Optical system and assay chip for probing, detecting and analyzing molecules ",Quantum-Si Incorporated,"Anthony BELLOFIORE, Benjamin CIPRIANY, Adam E. Cohen, Michael Ferrigno, Paul E. Glenn, Brett J. Gyarfas, Jack Jewell, Ali KABIRI, Jeremy Lackey, Jonathan M. Rothberg, Gerard Schmid, Jason W. Sickler, Lawrence West",2013-11-17,2014-11-17,2016-06-16,,https://patents.google.com/patent/AU2014348302A1/en,
US-6599887-B2,Methods of treating viral infections using antiviral liponucleotides ,"Chimerix, Inc.","Karl Y. Hostetler, Raj Kumar, Louise M. Stuhmiller",1988-07-07,2001-05-01,2003-07-29,2003-07-29,https://patents.google.com/patent/US6599887B2/en,https://patentimages.storage.googleapis.com/8e/a5/ca/d7d867bdf9e1c5/US06599887-20030729-D00001.png
