search URL:,https://patents.google.com/?assignee=CIDARA+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-10016479-B2,Dosing regimens for echinocandin class compounds ,"Cidara Therapeutics, Inc.","Balasingam Radhakrishnan, Kenneth Duke James, JR., Anuradha Vaidya, Karen Polowy",2012-03-19,2016-12-07,2018-07-10,2018-07-10,https://patents.google.com/patent/US10016479B2/en,https://patentimages.storage.googleapis.com/70/cb/02/d91c499cedc82f/US10016479-20180710-D00001.png
EP-3192803-A1,Antifungal agents and uses thereof ,"Cidara Therapeutics, Inc.","Kenneth Duke JAMES, Jr, Christopher Patrick Laudeman, Navdeep Balkrishna Malkar, Balasingham Radhakrishnan",2011-03-03,2012-03-02,2017-07-19,,https://patents.google.com/patent/EP3192803A1/en,https://patentimages.storage.googleapis.com/00/9d/2b/35620ff1a29094/imgf0001.png
US-2016213742-A1,Compositions and methods for the treatment of fungal infections ,"Cidara Therapeutics, Inc.","Kevin Michael FORREST, James Kevin JUDICE, H. Shaw Warren, James Michael BALKOVEC, Thomas Patrick BRADY",2013-09-04,2014-09-04,2016-07-28,,https://patents.google.com/patent/US20160213742A1/en,https://patentimages.storage.googleapis.com/b4/33/67/d8c3fc06eb717f/US20160213742A1-20160728-D00001.png
US-2018256673-A1,Methods for treating fungal infections ,"Cidara Therapeutics, Inc.","James Michael BALKOVEC, Kenneth BARTIZAL, Jeffrey Brian LOCKE, Voon Ong, Taylor SANDISON, Dirk Thye, David S. Perlin, Kenneth Duke James, JR.",2015-09-16,2016-09-16,2018-09-13,,https://patents.google.com/patent/US20180256673A1/en,https://patentimages.storage.googleapis.com/37/50/2c/30bf44e6b8c006/US20180256673A1-20180913-D00001.png
US-2019000917-A1,Methods for preventing and treating pneumocystis infections ,"Cidara Therapeutics, Inc.","Kenneth BARTIZAL, Paul Daruwala, Voon Ong, Maureen RODEN, Taylor SANDISON, Dirk Thye",2016-01-08,2017-01-06,2019-01-03,,https://patents.google.com/patent/US20190000917A1/en,https://patentimages.storage.googleapis.com/55/e4/3c/5883d2df4b1762/US20190000917A1-20190103-D00000.png
US-2019160141-A1,Dosing regimens for echinocandin class compounds ,"Cidara Therapeutics, Inc.","Balasingam Radhakrishnan, Kenneth Duke James, JR., Anuradha Vaidya, Karen Polowy",,2018-06-25,2019-05-30,,https://patents.google.com/patent/US20190160141A1/en,https://patentimages.storage.googleapis.com/d9/70/89/3b6a9f0e0ea558/US20190160141A1-20190530-D00001.png
WO-2018006063-A1,Compositions and methods for the treatment of bacterial infections ,"Cidara Therapeutics, Inc.","James M. Balkovec, Daniel C. BENSEN, Timothy Blizzard, Allen Borchardt, Thomas P. Brady, Zhi-yong CHEN, Quyen-Quyen Thuy Do, Wanlong Jiang, Thanh Lam, Jeffrey B. LOCKE, Alain Noncovich, Leslie W. TARI",2016-07-01,2017-06-30,2018-01-04,,https://patents.google.com/patent/WO2018006063A1/en,
WO-2015164289-A1,Compositions and methods for the treatment of fungal infections ,"Cidara Therapeutics, Inc.","James Kevin JUDICE, Kevin Forrest, H. Shaw Warren, James Michael BALKOVEC, Zhi-yong CHEN",2014-04-21,2015-04-20,2015-10-29,,https://patents.google.com/patent/WO2015164289A1/en,
WO-2018128826-A8,Compositions and methods for the treatment of bacterial infections ,"Cidara Therapeutics, Inc.","Suzanne AKERS-RODRIGUEZ, James Michael BALKOVEC, Daniel C. BENSEN, Timothy Blizzard, Allen Borchardt, Thomas Patrick BRADY, Zhi-yong CHEN, Quyen-Quyen Thuy Do, Joanne M. FORTIER, Wanlong Jiang, Thanh Lam, Leslie W. TARI, Alain Noncovich",2017-01-06,2017-12-20,2018-10-11,,https://patents.google.com/patent/WO2018128826A8/en,
WO-2018085200-A1,Single dose methods for preventing and treating fungal infections ,"Cidara Therapeutics, Inc.","Kenneth BARTIZAL, Paul Daruwala, Jeffrey B. LOCKE, Voon ONG, Taylor SANDISON",2016-11-01,2017-10-30,2018-05-11,,https://patents.google.com/patent/WO2018085200A1/en,
