search URL:,https://patents.google.com/?assignee=CLEVELAND+BIOLABS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7638485-B2,Modulating apoptosis ,"Cleveland Biolabs, Inc., Cleveland Clinic Foundation",Andrei V. Gudkov,2003-12-02,2006-06-02,2009-12-29,2009-12-29,https://patents.google.com/patent/US7638485B2/en,https://patentimages.storage.googleapis.com/4d/a8/11/452688c788d11e/US07638485-20091229-D00004.png
US-9006183-B2,Methods of protecting against apoptosis using lipopeptides ,"Cleveland Clinic Foundation, Cleveland Biolabs, Inc.","Alexander Shakhov, Andrei Gudkov",2005-06-13,2013-07-15,2015-04-14,2015-04-14,https://patents.google.com/patent/US9006183B2/en,https://patentimages.storage.googleapis.com/11/84/fd/dc0542a07b5278/US09006183-20150414-D00000.png
US-9566265-B2,Carbazole compounds and therapeutic uses of the compounds ,"Incuron, Llc","John Tucker, Sergey Sviridov, Leonid Brodsky, Catherine Burkhart, Andrei Purmal, Katerina Gurova, Andrei Gudkov",2008-10-06,2015-06-04,2017-02-14,2017-02-14,https://patents.google.com/patent/US9566265B2/en,https://patentimages.storage.googleapis.com/44/ca/f9/546f78a9f4babf/US09566265-20170214-D00001.png
US-8835447-B2,Method for treating androgen receptor positive cancers ,"Health Research Inc., Panacela Labs, Inc.","Katerina Gurova, Natalya Narizhneva",2009-10-23,2010-10-25,2014-09-16,2014-09-16,https://patents.google.com/patent/US8835447B2/en,https://patentimages.storage.googleapis.com/b0/8a/df/2ded5ce8b1bfa0/US08835447-20140916-D00001.png
EP-2115124-B1,Methods for increasing and mobilizing hematopoietic stem cells ,"Cleveland Biolabs, Inc.","Alexander Shakhov, Evguenia Strom",2007-01-09,2008-01-09,2016-03-16,2016-03-16,https://patents.google.com/patent/EP2115124B1/en,https://patentimages.storage.googleapis.com/e9/e6/d0/706fc2b8a96d4a/imgf0001.png
US-2012208871-A1,Use of toll-like receptor and agonist for treating cancer ,Gudkov Andrei V,Andrei V. Gudkov,2009-10-06,2010-10-06,2012-08-16,,https://patents.google.com/patent/US20120208871A1/en,https://patentimages.storage.googleapis.com/4f/c1/25/ded0fa2fd27918/US20120208871A1-20120816-D00001.png
US-9376473-B2,Use of Toll-Like Receptor agonist for treating cancer ,"Cleveland Biolabs, Inc.","Anatoli Gleiberman, Lyudmila Burdelya, Andrei Gudkov",2011-01-10,2012-01-10,2016-06-28,2016-06-28,https://patents.google.com/patent/US9376473B2/en,https://patentimages.storage.googleapis.com/65/18/32/d9b3b8485a4135/US09376473-20160628-D00001.png
US-8580321-B2,Method for reducing the effects of chemotherapy using flagellin related polypeptides ,The Cleveland Clinic Foundation,"Andrei V. Gudkov, Vadim Krivokrysenko, Lyudmila Burdelya",2003-12-02,2009-02-11,2013-11-12,2013-11-12,https://patents.google.com/patent/US8580321B2/en,https://patentimages.storage.googleapis.com/41/7d/dc/8fcc07d9d40dd8/US08580321-20131112-D00001.png
US-8486697-B2,Inducing cell death by inhibiting adaptive heat shock response ,"Incuron, Llc, Health Research, Inc.","Andrei Gudkov, Nickolay Neznanov, Katerina Gurova",2008-05-20,2009-05-20,2013-07-16,2013-07-16,https://patents.google.com/patent/US8486697B2/en,https://patentimages.storage.googleapis.com/99/32/17/8393971009b861/US08486697-20130716-D00000.png
US-8618059-B2,Methods for treating reperfusion injuries using flagellin ,"Cleveland Biolabs, Inc., Cleveland Clinic Foundation","Andrei Gudkov, Robert Fairchild",2008-08-01,2012-06-22,2013-12-31,2013-12-31,https://patents.google.com/patent/US8618059B2/en,https://patentimages.storage.googleapis.com/22/9d/3c/9ff6143c8f6109/US08618059-20131231-D00001.png
US-2009099191-A1,Inhibition of nf-kb ,Gudkov Andrei V,Andrei V. Gudkov,2006-02-02,2007-02-02,2009-04-16,,https://patents.google.com/patent/US20090099191A1/en,
US-8242057-B2,Methods for identifying modulators of apoptosis ,"Cleveland Biolabs, Inc.",Andrei V. Gudkov,2006-06-26,2007-06-26,2012-08-14,2012-08-14,https://patents.google.com/patent/US8242057B2/en,https://patentimages.storage.googleapis.com/83/55/7f/48a335b5f5ee97/US08242057-20120814-D00001.png
US-2010286229-A1,Modulation of Androgen Receptor for Treatment of Prostate Cancer ,"Katerina Gurova, Andrei Gudkov","Katerina Gurova, Andrei Gudkov",2005-09-30,2006-09-29,2010-11-11,,https://patents.google.com/patent/US20100286229A1/en,https://patentimages.storage.googleapis.com/1f/ec/41/deda92e875351a/US20100286229A1-20101111-D00001.png
US-2015328284-A1,Compositions and methods comprising toll like receptor (tlr) stimulating agents for prophylaxis and therapy for damage to dermal epithelium ,"Cleveland Biolabs, Inc","Andrei Gudkov, Lyudmila Burdelya",2012-04-02,2013-04-02,2015-11-19,,https://patents.google.com/patent/US20150328284A1/en,https://patentimages.storage.googleapis.com/8a/6f/11/564a6f68ee23f6/US20150328284A1-20151119-D00000.png
US-10183056-B2,Methods and compositions for the treatment of radiation-related disorders ,"Cleveland Biolabs, Inc.","Vadim Krivokrysenko, Elena Feinstein",2014-10-16,2015-10-16,2019-01-22,2019-01-22,https://patents.google.com/patent/US10183056B2/en,https://patentimages.storage.googleapis.com/50/58/db/8e67184d0180e4/US10183056-20190122-D00001.png
US-10202426-B2,Flagellin compositions and uses ,"Genome Protection, Inc.",Vadim Mett,2014-07-30,2015-07-29,2019-02-12,2019-02-12,https://patents.google.com/patent/US10202426B2/en,https://patentimages.storage.googleapis.com/66/1d/d9/86c9af01f152c2/US10202426-20190212-D00001.png
US-2017189379-A1,Combination therapies with curaxins ,"Incuron, Llc",Catherine Burkhart,2014-04-06,2015-04-06,2017-07-06,,https://patents.google.com/patent/US20170189379A1/en,https://patentimages.storage.googleapis.com/ae/d9/ac/0219530227819e/US20170189379A1-20170706-D00001.png
AU-2008204836-B2,Methods for increasing and mobilizing hematopoietic stem cells ,"Cleveland Biolabs, Inc.","Alexander Shakhov, Evguenia Strom",2007-01-09,2008-01-09,2013-12-12,2013-12-12,https://patents.google.com/patent/AU2008204836B2/en,
WO-2016073733-A1,Methods of treating cancer using lipopeptides ,"Cleveland Biolabs, Inc.","Alexander Shakhov, Elena Feinstein",2014-11-06,2015-11-05,2016-05-12,,https://patents.google.com/patent/WO2016073733A1/en,
MY-153572-A,Methods or protecting against apoptosis using lipopeptides ,"Cleveland Biolabs Inc, Cleveland Clinic Foundation","Alexander N Shakhov, Andrei Gudkov",2007-12-27,2007-12-27,2015-02-27,,https://patents.google.com/patent/MY153572A/en,
WO-2015127227-A1,Uses of flagellin for improved chemotherapy ,"Cleveland Biolabs, Inc.","Andrei Gudkov, Lyudmila G. BURDELYA",2014-02-21,2015-02-20,2015-08-27,,https://patents.google.com/patent/WO2015127227A1/en,
WO-2016014899-A1,Flagellin derivatives and uses ,"Cleveland Biolabs, Inc.",Vadim Krivokrysenko,2014-07-25,2015-07-24,2016-01-28,,https://patents.google.com/patent/WO2016014899A1/en,
AR-087114-A1,"Using the toll-like receptor agonist for the treatment of cancer, treatment method ",Cleveland Biolabs Inc,,2012-01-10,2012-07-10,2014-02-12,,https://patents.google.com/patent/AR087114A1/en,
