search URL:,https://patents.google.com/?assignee=CLOVIS+ONCOLOGY+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-10004741-B2,Solid forms of an epidermal growth factor receptor kinase inhibitor ,Celgene Car Llc,Mei Lai,2012-03-15,2017-01-09,2018-06-26,2018-06-26,https://patents.google.com/patent/US10004741B2/en,https://patentimages.storage.googleapis.com/96/5c/5e/cc66f04c34a80c/US10004741-20180626-D00001.png
US-10005738-B2,Salts of an epidermal growth factor receptor kinase inhibitor ,Celgene Car Llc,"Mei Lai, Steven Richard Witowski, Richland Wayne Tester, Kwangho Lee",2012-03-15,2017-01-09,2018-06-26,2018-06-26,https://patents.google.com/patent/US10005738B2/en,https://patentimages.storage.googleapis.com/7b/c8/25/15f9117de17285/US10005738-20180626-D00001.png
US-10130636-B2,High dosage strength tablets of rucaparib ,"Clovis Oncology, Inc.",Jeffrey Etter,2014-08-22,2018-03-14,2018-11-20,2018-11-20,https://patents.google.com/patent/US10130636B2/en,https://patentimages.storage.googleapis.com/9d/8e/30/652355116a8414/US10130636-20181120-D00001.png
US-2013115628-A1,Method for selection of chemotherapeutic agents for adenocarcinoma cancer ,"Ventana Medical Systems, Inc., Clovis Oncology, Inc.","Jeffrey Dean Isaacson, Mical Raponi, James Ranger-Moore, Eric L. Powell",2011-08-02,2012-08-02,2013-05-09,,https://patents.google.com/patent/US20130115628A1/en,https://patentimages.storage.googleapis.com/fb/4a/73/ab5594b529bed8/US20130115628A1-20130509-D00001.png
US-2016074399-A1,Salts of an Epidermal Growth Factor Receptor Kinase Inhibitor ,"Clovis Oncology, Inc.","Mei Lai, Andrew Roger ALLEN",2013-05-06,2014-05-05,2016-03-17,,https://patents.google.com/patent/US20160074399A1/en,https://patentimages.storage.googleapis.com/71/4e/81/cbc4e49e1c38a2/US20160074399A1-20160317-D00001.png
US-2018163271-A1,Use of PARP Inhibitors to Treat Breast or Ovarian Cancer Patients Showing a Loss of Heterozygosity ,"Clovis Oncology, Inc.",Kevin Lin,2014-01-16,2015-01-14,2018-06-14,,https://patents.google.com/patent/US20180163271A1/en,https://patentimages.storage.googleapis.com/ce/d1/89/16502fdf49b03f/US20180163271A1-20180614-D00000.png
US-745191-A,Self-closing bottle-stopper. ,Frederick W Johnson,Frederick W Johnson,1903-03-14,1903-03-14,1903-11-24,1903-11-24,https://patents.google.com/patent/US745191A/en,https://patentimages.storage.googleapis.com/e8/ed/d3/47fd626dbbc8da/US745191-drawings-page-1.png
WO-2016029002-A2,Growth factor receptor inhibitors ,"Clovis Oncology, Inc.","Mei Lai, Andrew D. SIMMMONS, Sarah JAW-TSAI, Thomas Christian HARDING",2014-08-22,2015-08-20,2016-02-25,,https://patents.google.com/patent/WO2016029002A2/en,
WO-2016164217-A1,Therapeutic combinations for treating cancer ,"Clovis Oncology, Inc.","Andrew D. Simmons, Thomas Christian HARDING",2015-04-09,2016-03-30,2016-10-13,,https://patents.google.com/patent/WO2016164217A1/en,
WO-2015112705-A2,Therapeutic combinations for treating cancer ,"Clovis Oncology, Inc.","Andrew D. SIMMMONS, Thomas Christian HARDING",2014-01-24,2015-01-22,2015-07-30,,https://patents.google.com/patent/WO2015112705A2/en,
