search URL:,https://patents.google.com/?assignee=COHERUS+BIOSCIENCES+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9770507-B2,Stable aqueous formulations of adalimumab ,"Coherus Biosciences, Inc.","Mark Manning, Robert W. Payne",2012-09-07,2016-06-27,2017-09-26,2017-09-26,https://patents.google.com/patent/US9770507B2/en,https://patentimages.storage.googleapis.com/5d/86/e3/e2fc7019625687/US09770507-20170926-D00001.png
US-10213508-B2,Etanercept formulations stabilized with xylitol ,"Coherus Biosciences, Inc.","Mark Manning, Brian Murphy",2011-10-18,2017-09-26,2019-02-26,2019-02-26,https://patents.google.com/patent/US10213508B2/en,
AU-2013315750-B2,Correctly folded etanercept in high purity and excellent yield ,"Coherus Biosciences, Inc.","Tsutomu Arakawa, Douglas Farrar",2012-09-11,2013-09-10,2018-07-12,2018-07-12,https://patents.google.com/patent/AU2013315750B2/en,
AU-2013290289-B2,Etanercept formulations exhibiting marked reduction in sub-visible particles ,"Coherus Biosciences, Inc.","Douglas Farrar, Alan Herman, Mark Manning, Brian Murphy",2012-07-09,2013-07-09,2018-03-29,2018-03-29,https://patents.google.com/patent/AU2013290289B2/en,
US-2013101583-A1,Etanercept Formulations Stabilized with Sodium Chloride ,"Coherus Biosciences, Inc.","Mark Manning, Brian Murphy",2011-10-18,2012-10-18,2013-04-25,,https://patents.google.com/patent/US20130101583A1/en,
AU-2014241259-B2,Protein production method ,"Coherus Biosciences, Inc.","James Russel Grove, Ela PUCHACZ",2013-03-26,2014-03-26,2018-12-06,2018-12-06,https://patents.google.com/patent/AU2014241259B2/en,
US-10047141-B2,Method of manufacturing a protein by perfusion in media with a low amino acid concentration ,"Coherus Biosciences, Inc.","Ela Puchacz, James Russell Grove",2014-01-30,2015-01-29,2018-08-14,2018-08-14,https://patents.google.com/patent/US10047141B2/en,https://patentimages.storage.googleapis.com/7c/6a/c6/33f48c051f523a/US10047141-20180814-D00001.png
US-2018043020-A1,Method of reducing immunogenicity of drug products ,"Coherus Biosciences, Inc.","John Ogez, Jun Liu, Wenchang Ji, Patrick Daniel Begley, Isaias Prado, Mark Manning",2016-04-20,2017-10-25,2018-02-15,,https://patents.google.com/patent/US20180043020A1/en,https://patentimages.storage.googleapis.com/bc/d3/a9/9f6a23ac2828ee/US20180043020A1-20180215-D00001.png
US-2017304445-A1,Method of filling a container with no headspace ,"Coherus Biosciences, Inc.","John Ogez, Jun Liu, Wenchang Ji, Patrick Daniel Begley, Isaias Prado, Mark Manning",2016-04-20,2017-04-20,2017-10-26,,https://patents.google.com/patent/US20170304445A1/en,https://patentimages.storage.googleapis.com/cb/70/9d/9d01cc592219d4/US20170304445A1-20171026-D00001.png
WO-2017015198-A1,Stable aqeous formulations of natalizumab ,"Coherus Biosciences, Inc.","Mark Manning, Robert Walter PAYNE",2015-07-17,2016-07-18,2017-01-26,,https://patents.google.com/patent/WO2017015198A1/en,
US-2016263098-A1,Methods for the treatment of nonalcoholic fatty liver disease and/or lipodystrophy ,"Intekrin Therapeutics, Inc.",Christos Mantzoros,2015-03-09,2016-03-07,2016-09-15,,https://patents.google.com/patent/US20160263098A1/en,
AR-091707-A1,Stabilized formulations of etanercept ,Coherus Biosciences Inc,"Manning Mark, Farrar Douglas, Herman Alan, Murphy Brian",2012-07-09,2013-07-08,2015-02-25,,https://patents.google.com/patent/AR091707A1/en,
WO-2018136635-A1,Pparϒ agonist for the treatment of huntington's disease ,"Coherus Biosciences, Inc.","Barbara FINCK, Lawrence Steinman",2017-01-18,2018-01-18,2018-07-26,,https://patents.google.com/patent/WO2018136635A1/en,
WO-2018187350-A1,PPARγ AGONIST FOR TREATMENT OF PROGRESSIVE SUPRANUCLEAR PALSY ,Coherus Biosciences Inc.,"Barbara FINCK, David E. Weinstein, Sarita K. Jain",2017-04-03,2018-04-03,2018-10-11,,https://patents.google.com/patent/WO2018187350A1/en,
