search URL:,https://patents.google.com/?assignee=COLLEGIUM+PHARMACEUTICAL+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CA-2503201-C,Modified release compositions of milnacipran ,"Collegium Pharmaceutical, Inc., Jane Hirsh, Roman V. Rariy, Shubha Chungi, Michael Heffernan, Cypress Bioscience, Inc., Srinivas G. Rao","Jane Hirsh, Roman V. Rariy, Shubha Chungi, Michael Heffernan, Srinivas G. Rao",2002-10-25,2003-10-23,2010-08-03,2010-08-03,https://patents.google.com/patent/CA2503201C/en,
AU-2003247876-B2,Abuse-deterrent pharmaceutical compositions of opiods and other drugs ,"Collegium Pharmaceutical, Inc","Stephen L. Buchwald, Alison B. Fleming, Jane Hirsh, Alexander M. Klibanov, Whe Yong Lo, Roman V. Rariy, Timothy M. Swager",2002-07-05,2003-07-07,2006-10-05,2006-10-05,https://patents.google.com/patent/AU2003247876B2/en,
US-7387792-B2,Pharmaceutical composition for compressed annular tablet with molded triturate tablet for both intraoral and oral administration ,"Collegium Pharmaceutical, Inc.","Jane C. Hirsh, Kamal K. Midha, Mark Hirsh, Whe-Yong Lo",2001-11-30,2005-01-24,2008-06-17,2008-06-17,https://patents.google.com/patent/US7387792B2/en,https://patentimages.storage.googleapis.com/US7387792B2/US07387792-20080617-D00001.png
US-9278066-B2,Topical pharmaceutical foam composition ,"Precision Dermatology, Inc.","Mark W. Trumbore, Ronald M. Gurge, Jane C. Hirsh",2005-10-24,2014-01-21,2016-03-08,2016-03-08,https://patents.google.com/patent/US9278066B2/en,
US-6645524-B2,Oral pharmaceutical dosage forms for pulsatile delivery of an antiarrhythmic agent ,Pierce Management Llc,"Kamal K. Midha, Mark Hirsh, Whe-Yong Lo",2000-08-14,2001-08-14,2003-11-11,2003-11-11,https://patents.google.com/patent/US6645524B2/en,
US-7585520-B2,Compositions containing both sedative and non-sedative antihistamines and sleep aids ,"Collegium Pharmaceutical, Inc.","Mark Hirsh, Jane Hirsh, Whe-Yong Lo",2001-12-05,2004-09-17,2009-09-08,2009-09-08,https://patents.google.com/patent/US7585520B2/en,
CA-2550811-C,"Temperature-stable formulations, and methods of development thereof ","Jane Hirsh, Donald Tibbetts, Collegium Pharmaceutical, Inc., Lupin Holdings B.V., Lupin Atlantis Holdings S.A.","Jane Hirsh, Donald Tibbetts",2003-12-24,2004-12-16,2012-05-01,2012-05-01,https://patents.google.com/patent/CA2550811C/en,
US-9763883-B2,Abuse-deterrent drug formulations ,"Collegium Pharmaceutical, Inc.","Jane Hirsh, Alison Fleming, Roman Rariy, Alexander Klibanov",2004-06-12,2014-01-03,2017-09-19,2017-09-19,https://patents.google.com/patent/US9763883B2/en,https://patentimages.storage.googleapis.com/98/00/f7/598f57d4677784/US09763883-20170919-D00001.png
AU-2003284342-B2,"Stereoisomers of p-hydroxy-milnacipran, and methods of use thereof ","Collegium Pharmaceutical, Inc.","Stephen L. Buchwald, Michael Heffernan, Roman V. Rariy, Timothy M. Swager",2002-10-25,2003-10-22,2009-03-05,2009-03-05,https://patents.google.com/patent/AU2003284342B2/en,
US-2003035839-A1,Pharmaceutical composition for both intraoral and oral administration ,"Peirce Management, Llc","Jane Hirsh, Kamal Midha, Mark Hirsh, Whe-Yong Lo",2001-05-15,2001-05-15,2003-02-20,,https://patents.google.com/patent/US20030035839A1/en,https://patentimages.storage.googleapis.com/00/36/c4/83efe9827fa3d3/US20030035839A1-20030220-D00001.png
US-2005255048-A1,Sprayable formulations for the treatment of acute inflammatory skin conditions ,"Collegium Pharmaceutical, Inc.","Mark Hirsh, Jane Hirsh, Ira Skolnik, Mark Trumbore",2004-05-15,2005-05-13,2005-11-17,,https://patents.google.com/patent/US20050255048A1/en,
US-2004045546-A1,Pharmaceutical delivery system for oral inhalation through nebulization consisting of inert substrate impregnated with substance (S) to be solubilized or suspended prior to use ,"Peirce Management, Llc","Jane Hirsh, Whe-Yong Lo",2002-09-05,2002-09-05,2004-03-11,,https://patents.google.com/patent/US20040045546A1/en,https://patentimages.storage.googleapis.com/b3/0c/70/7e2c2fa5e34b1f/US20040045546A1-20040311-D00000.png
US-2005181050-A1,Dosage forms using drug-loaded ion exchange resins ,"Collegium Pharmaceutical, Inc.","Jane Hirsh, Alison Fleming, Roman Rariy",2004-01-28,2005-01-28,2005-08-18,,https://patents.google.com/patent/US20050181050A1/en,
US-2004143213-A1,Inertial drug delivery system ,"Collegium Pharmaceutical, Inc.","Ian Hunter, Jane Hirsh, Alison Fleming",2002-11-12,2003-11-12,2004-07-22,,https://patents.google.com/patent/US20040143213A1/en,https://patentimages.storage.googleapis.com/3f/60/1f/3c18f603b0a7d6/US20040143213A1-20040722-D00000.png
US-2004058946-A1,Abuse-resistant prodrugs of oxycodone and other pharmaceuticals ,"Buchwald Stephen L., Swager Timothy M., Rariy Roman V.","Stephen Buchwald, Timothy Swager, Roman Rariy",2002-07-05,2003-07-03,2004-03-25,,https://patents.google.com/patent/US20040058946A1/en,https://patentimages.storage.googleapis.com/bf/9f/ee/e2418cbd3a684a/US20040058946A1-20040325-D00001.png
CA-2528818-C,Topical aerosol foams ,"Collegium Pharmaceutical, Inc., Jane Hirsh, John C. Ii Willis, Mark Hirsh, Precision Dermatology, Inc.","Jane Hirsh, John C. Ii Willis, Mark Hirsh",2003-10-03,2004-10-04,2010-08-10,2010-08-10,https://patents.google.com/patent/CA2528818C/en,
US-2013337061-A1,Pharmaceutical compositions for sleep apnea ,"Collegium Pharmaceutical, Inc.","Roman V. Rariy, Michael Heffernan",2004-12-20,2013-08-19,2013-12-19,,https://patents.google.com/patent/US20130337061A1/en,https://patentimages.storage.googleapis.com/b6/03/a0/8b557892b739de/US20130337061A1-20131219-D00001.png
US-2007036843-A1,Non-ionic non-aqueous vehicles for topical and oral administration of carrier-complexed active agents ,"Collegium Pharmaceutical, Inc.","Jane Hirsh, Roman Rariy, Mark Trumbore, Alison Fleming, Mark Hirsh",2005-01-28,2006-01-27,2007-02-15,,https://patents.google.com/patent/US20070036843A1/en,https://patentimages.storage.googleapis.com/24/91/a9/f324d9a4634406/US20070036843A1-20070215-D00001.png
US-8557291-B2,Abuse-deterrent pharmaceutical compositions of opioids and other drugs ,"Collegium Pharmaceutical, Inc.","Roman V. Rariy, Alison B. Fleming, Jane Hirsh, Alexander M. Klibanov",2002-07-05,2009-05-27,2013-10-15,2013-10-15,https://patents.google.com/patent/US8557291B2/en,
US-8652443-B2,Foamable microemulsion compositions for topical administration ,"Precision Dermatology, Inc.","Ravi K. Varanasi, Roman V. Rariy",2008-02-14,2009-02-13,2014-02-18,2014-02-18,https://patents.google.com/patent/US8652443B2/en,https://patentimages.storage.googleapis.com/3f/75/ab/cca027bd4e603a/US08652443-20140218-D00001.png
AU-2004207578-B2,Multiparticulate compositions of milnacipran for oral administration ,"Collegium Pharmaceutical, Inc.","Alison B. Fleming, Jane Hirsh, Roman V. Rariy",2003-01-28,2004-01-28,2007-06-28,2007-06-28,https://patents.google.com/patent/AU2004207578B2/en,
US-8840928-B2,Tamper-resistant pharmaceutical compositions of opioids and other drugs ,"Collegium Pharmaceutical, Inc.","Roman V. Rariy, Alison B. Fleming, Jane C. Hirsh, Said Saim, Ravi K. Varanasi",2002-07-05,2010-12-10,2014-09-23,2014-09-23,https://patents.google.com/patent/US8840928B2/en,https://patentimages.storage.googleapis.com/ad/42/e6/55977a99e5e6f0/US08840928-20140923-D00000.png
US-2011212035-A1,Emollient foams for treatment of dermatoses ,"Collegium Pharmaceutical, Inc.","Ronald M. Gurge, Mark W. Trumbore, Wendy Schilling, Lisa Chin",2010-02-26,2010-02-26,2011-09-01,,https://patents.google.com/patent/US20110212035A1/en,https://patentimages.storage.googleapis.com/91/44/c8/6e5016679e989e/US20110212035A1-20110901-D00001.png
US-2011052506-A1,Stable Aerosol Topical Foams Comprising a Hypochlorite Salt ,"Collegium Pharmaceutical, Inc.","Douglas Abel, Ronald M. Gurge, Mark W. Trumbore",2009-08-31,2010-08-31,2011-03-03,,https://patents.google.com/patent/US20110052506A1/en,
US-6312716-B1,Patch and method for transdermal delivery of bupropion base ,Peierce Management Llc,"Kamal K. Midha, Hans E. Junginger, Mark Hirsh",1999-05-10,2000-05-02,2001-11-06,2001-11-06,https://patents.google.com/patent/US6312716B1/en,https://patentimages.storage.googleapis.com/2f/43/c6/c1f18612b628b6/US06312716-20011106-D00000.png
US-2007036731-A1,Topical Delivery with a Carrier Fluid ,"Collegium Pharmaceutical, Inc.","Jane Hirsh, Ronald Gurge, Mark Hirsh, Mark Trumbore",2005-08-13,2006-08-11,2007-02-15,,https://patents.google.com/patent/US20070036731A1/en,
US-2014140937-A1,Foamable Benzoyl Peroxide Compositions for Topical Administration ,"Precision Dermatology, Inc.","Ronald M. Gurge, Mark W. Trumbore",2009-02-12,2014-01-27,2014-05-22,,https://patents.google.com/patent/US20140140937A1/en,https://patentimages.storage.googleapis.com/e1/f7/f0/af1141d9be0921/US20140140937A1-20140522-D00001.png
US-2007116757-A1,Methylene Blue Derivatives ,"Collegium Pharmaceutical, Inc.","Roman Rariy, Jane Hirsh",2005-11-08,2006-11-08,2007-05-24,,https://patents.google.com/patent/US20070116757A1/en,https://patentimages.storage.googleapis.com/e9/4c/45/49cf8a44747d2d/US20070116757A1-20070524-D00001.png
US-2008014169-A1,Compositions for Topical Enzymatic Debridement ,"Collegium Pharmaceutical, Inc.","Mark Trumbore, Roman Rariy, Mark Hirsh, Jane Hirsh, Julie Saunders",2004-06-16,2007-08-22,2008-01-17,,https://patents.google.com/patent/US20080014169A1/en,https://patentimages.storage.googleapis.com/fa/c2/e7/b8d0badbc424a8/US20080014169A1-20080117-D00000.png
AU-2003301762-B2,Pulsatile release compositions of milnacipran ,"Collegium Pharmaceutical, Inc.","Michael Heffernan, Jane Hirsh, Roman V. Rariy",2002-10-25,2003-10-22,2006-02-09,2006-02-09,https://patents.google.com/patent/AU2003301762B2/en,
US-8021687-B2,Modified release compositions of milnacipran ,"Collegium Pharmaceutical, Inc.","Jane C. Hirsh, Roman V. Rariy, Shubha Chungi, Srinivas G. Rao, Michael T. HEFFERNAN",2002-10-25,2010-04-07,2011-09-20,2011-09-20,https://patents.google.com/patent/US8021687B2/en,https://patentimages.storage.googleapis.com/9c/8b/89/01a243a2b85830/US08021687-20110920-D00000.png
US-7309799-B2,Methods for the synthesis of milnacipran and congeners thereof ,"Collegium Pharmaceutical, Inc.","Stephen L. Buchwald, Timothy M. Swager, Roman V. Rariy",2004-06-01,2005-04-01,2007-12-18,2007-12-18,https://patents.google.com/patent/US7309799B2/en,https://patentimages.storage.googleapis.com/57/1a/67/25390849d91937/US07309799-20071218-D00004.png
US-6582737-B2,Pharmaceutical composition containing two active ingredients for smoking cessation ,"Peirce Management, Llc","Mark Hirsh, Kamal K. Midha, Hans E. Junginger",2001-09-25,2001-09-25,2003-06-24,2003-06-24,https://patents.google.com/patent/US6582737B2/en,https://patentimages.storage.googleapis.com/d7/ae/c9/d8894eccd01a30/US06582737-20030624-D00001.png
US-2005123484-A1,Non-flammable topical anesthetic liquid aerosols ,"Collegium Pharmaceutical, Inc.","Jane Hirsh, Donald Tibbetts, Mark Hirsh",2003-10-02,2004-10-01,2005-06-09,,https://patents.google.com/patent/US20050123484A1/en,
US-2006024366-A1,Modified release compositions of milnacipran ,"Collegium Pharmaceutical, Inc.","Jane Hirsh, Roman Rariy, Shubha Chungi, Srinivas Rao, Michael Heffernan",2002-10-25,2005-07-29,2006-02-02,,https://patents.google.com/patent/US20060024366A1/en,https://patentimages.storage.googleapis.com/20/a4/a3/4b811d0a7c6bd1/US20060024366A1-20060202-D00001.png
US-6280763-B1,Apparatus and method for transdermal delivery of bupropion ,"Pierce Management, Llc","Kamal K. Midha, Hans E. Junginer, Mark Hirsh",1999-05-10,1999-05-10,2001-08-28,2001-08-28,https://patents.google.com/patent/US6280763B1/en,https://patentimages.storage.googleapis.com/21/b8/bf/894c6eeeb3318b/US6280763-drawings-page-3.png
US-2006188449-A1,Topical aerosol foams ,"Jane Hirsh, Willis John C Ii, Mark Hirsh","Jane Hirsh, John Willis, Mark Hirsh",2003-10-03,2004-10-04,2006-08-24,,https://patents.google.com/patent/US20060188449A1/en,
US-2006003004-A1,Pulsatile release compositions of milnacipran ,"Collegium Pharmaceutical, Inc.","Jane Hirsh, Roman Rariy, Michael Heffernan",2002-10-25,2005-07-29,2006-01-05,,https://patents.google.com/patent/US20060003004A1/en,https://patentimages.storage.googleapis.com/08/57/52/2a4844136d88c7/US20060003004A1-20060105-D00001.png
US-2007232695-A1,Gelled Periodontal Anesthetic Preparation ,"Collegium Pharmaceutical, Inc.","Mark Hirsh, Jane Hirsh, Mark Trumbore",2004-01-28,2006-09-22,2007-10-04,,https://patents.google.com/patent/US20070232695A1/en,
US-9737530-B1,Process of making stable abuse-deterrent oral formulations ,"Collegium Pharmaceutical, Inc.","Said Saim, Alison B. Fleming, Ravi K. Varanasi",2016-06-23,2016-09-02,2017-08-22,2017-08-22,https://patents.google.com/patent/US9737530B1/en,https://patentimages.storage.googleapis.com/7c/31/47/966d6cafecc431/US09737530-20170822-D00000.png
US-2008207593-A1,Antihistamine Combination ,"Collegium Pharmaceutical, Inc.","Michael Heffernan, Jane C. Hirsh, Roman V. Rariy",2007-02-28,2007-08-20,2008-08-28,,https://patents.google.com/patent/US20080207593A1/en,https://patentimages.storage.googleapis.com/US20080207593A1/US20080207593A1-20080828-D00001.png
US-10004729-B2,Tamper-resistant pharmaceutical compositions of opioids and other drugs ,"Collegium Pharmaceutical, Inc.","Roman V. Rariy, Alison Fleming, Jane C. Hirsh, Said Saim, Ravi K. Varanasi",2002-07-05,2017-05-26,2018-06-26,2018-06-26,https://patents.google.com/patent/US10004729B2/en,https://patentimages.storage.googleapis.com/e9/0a/40/c29017ff0da8f7/US10004729-20180626-D00000.png
US-2008044462-A1,Stabilized transdermal bupropion preparations ,"Collegium Pharmaceutical, Inc. Delaware","Mark W. Trumbore, Roman V. Rariy, Jane C. Hirsh, Mark Hirsh",2006-04-06,2007-04-06,2008-02-21,,https://patents.google.com/patent/US20080044462A1/en,
