search URL:,https://patents.google.com/?assignee=COLUCID+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2004285893-B2,Carbamoyl esters that inhibit cholinesterase and release pharmacologically active agents ,"Colucid Pharmaceuticals, Inc.","Shoucheng Du, Jeroen C. Verheijen",2003-10-21,2004-10-19,2011-12-15,2011-12-15,https://patents.google.com/patent/AU2004285893B2/en,
US-8101782-B2,Compounds that inhibit cholinesterase ,"Colucid Pharmaceuticals, Inc.","Nadia M. J. Rupniak, James F. White, Kazumi Shiosaki, J. David Leander, ShouCheng Du, Daniel J. Coughlin",2007-02-02,2008-02-04,2012-01-24,2012-01-24,https://patents.google.com/patent/US8101782B2/en,https://patentimages.storage.googleapis.com/cf/e5/be/e4a426b3421927/US08101782-20120124-D00001.png
US-8697876-B2,Compositions and methods of synthesis of pyridinolypiperidine 5-HT1F agonists ,"Colucid Pharmaceuticals, Inc.","Jean-Francois Carniaux, Jonathan Cummins",2010-04-02,2011-03-31,2014-04-15,2014-04-15,https://patents.google.com/patent/US8697876B2/en,https://patentimages.storage.googleapis.com/77/d2/d7/5efe5eaeba0fa1/US08697876-20140415-D00001.png
AU-2010232497-B2,"Composition of 2,4,6-trifluoro-N-[6-(1-methyl-piperidin-4-carbonyl)-pyridin-2-yl]-benzamide ","Colucid Pharmaceuticals, Inc.","Alison Pilgrim, Nadia M. J. Rupniak, James F. White",2009-04-02,2010-04-02,2016-05-19,2016-05-19,https://patents.google.com/patent/AU2010232497B2/en,
US-2009048229-A1,Methods for promoting wakefulness ,"Rupniak Nadia M J, White James F","Nadia M.J. Rupniak, James F. White",2007-07-18,2008-07-18,2009-02-19,,https://patents.google.com/patent/US20090048229A1/en,
CN-101631770-A,Compounds that inhibit cholinesterase ,科露西德医药品公司,"纳迪亚·M·J·鲁普尼克, J·F·怀特, 潮崎和美, J·D·利安德, 杜寿成, D·J·考格林",2007-02-02,2008-02-04,2010-01-20,,https://patents.google.com/patent/CN101631770A/en,
US-2010256229-A1,Compositions of cholinesterase inhibitors ,"Colucid Pharmaceuticals, Inc.","ShouCheng Du, Marc W. Andersen, Daniel Coughlin, Alexander Kolchinski",2009-04-02,2010-04-02,2010-10-07,,https://patents.google.com/patent/US20100256229A1/en,https://patentimages.storage.googleapis.com/48/df/e2/58057d92d79e1e/US20100256229A1-20101007-D00001.png
US-2011251175-A1,Stigmine Conjugates for Substance Use Disorders ,"Nadia Rupniak, White James F","Nadia Rupniak, James F. White",2008-07-16,2009-07-16,2011-10-13,,https://patents.google.com/patent/US20110251175A1/en,https://patentimages.storage.googleapis.com/ea/af/e5/214a70cb369fc1/US20110251175A1-20111013-D00001.png
MX-2010000624-A,Methods for promoting wakefulness. ,Colucid Pharmaceuticals Inc,"James F White, Nadia M J Rupniak",2007-07-18,2008-07-18,2010-03-31,,https://patents.google.com/patent/MX2010000624A/en,
CA-3043772-A1,Compositions and methods related to pyridinoylpiperidine 5-ht1f agonists ,"Colucid Pharmaceuticals, Inc., Brigida ALLIERI, Paul Fagan, Emma Sharp, Raymond D. Skwierczynski","Brigida ALLIERI, Paul Fagan, Emma Sharp, Raymond D. Skwierczynski",2016-12-06,2017-12-05,2018-06-14,,https://patents.google.com/patent/CA3043772A1/en,
TW-201833097-A,As the compositions and methods of 5-htf pyridone group agonist of Hexahydropyridine ,美商科路西德製藥公司,"布吉達 艾利爾瑞, 保羅 費根, 艾瑪 夏普, 雷蒙德 D 史威爾森斯基",2016-12-06,2017-12-05,2018-09-16,,https://patents.google.com/patent/TW201833097A/en,
