search URL:,https://patents.google.com/?assignee=CONATUS+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-6504022-B1,"Human bad polypeptides, encoding nucleic acids and methods of use ","Idun Pharmaceuticals, Inc.","William A. Horne, Tilman Oltersdorf",1996-09-20,1999-08-16,2003-01-07,2003-01-07,https://patents.google.com/patent/US6504022B1/en,https://patentimages.storage.googleapis.com/40/68/bd/9b6bbf50771f8f/US6504022-drawings-page-2.png
AU-752339-B2,C-terminal modified oxamyl dipeptides as inhibitors of the ICE/ced-3 family of cysteine proteases ,"Conatus Pharmaceuticals, Inc.","Donald S. Karanewsky, Robert J. Ternansky",1998-07-02,1999-07-01,2002-09-19,2002-09-19,https://patents.google.com/patent/AU752339B2/en,
AU-738381-B2,Rapid methods for identifying modifiers of cellular apoptosis activity ,"Conatus Pharmaceuticals, Inc.","Robert C. Armstrong, Jose-Luis Diaz, Lawrence C. Fritz, Kevin J. Tomaselli",1997-06-05,1998-06-05,2001-09-20,2001-09-20,https://patents.google.com/patent/AU738381B2/en,
US-5869519-A,C-terminal modified (n-substituted)-2-indolyl dipeptides as inhibitors of the ICE/ced-3 family of cysteine proteases ,"Idun Pharmaceuticals, Inc.","Donald S. Karanewsky, Xu Bai",1996-12-16,1996-12-16,1999-02-09,1999-02-09,https://patents.google.com/patent/US5869519A/en,https://patentimages.storage.googleapis.com/72/d0/46/d4956a95174da3/US5869519-drawings-page-3.png
US-6489353-B2,C-terminal modified (N-substituted)-2-indolyl dipeptides as inhibitors of the ICE/ced-3 family of cysteine proteases ,"Idun Pharmaceuticals, Inc.","Donald S. Karanewsky, Xu Bai",1996-12-16,2000-12-20,2002-12-03,2002-12-03,https://patents.google.com/patent/US6489353B2/en,
US-2002147171-A1,Inhibition of apoptosis using interleukin-1beta converting enzyme (ICE)/CED-3 family inhibitors ,"Idun Pharmaceuticals, Inc.","Lawrence Fritz, Kevin Tomaselli, Donald Karanewsky, Steven Linton, Xu Bai",1996-09-12,2002-02-25,2002-10-10,,https://patents.google.com/patent/US20020147171A1/en,https://patentimages.storage.googleapis.com/4e/87/ac/0dc0a0dbafa89e/US20020147171A1-20021010-D00000.png
US-5877197-A,C-terminal modified (N-substituted)-2-indolyl dipeptides as inhibitors of the ICE/ced-3 family of cysteine proteases ,"Karanewsky; Donald S., Bai; Xu","Donald S. Karanewsky, Xu Bai",1996-12-16,1997-09-12,1999-03-02,1999-03-02,https://patents.google.com/patent/US5877197A/en,https://patentimages.storage.googleapis.com/f9/c8/a1/d393e9020c29d7/US5877197-drawings-page-3.png
US-6693096-B2,Treatment of inflammation-associated disorders using interleukin-1β-converting enzyme (ICE)/CED-3 family inhibitors ,"Idun Pharmaceuticals, Inc.","Lawrence C. Fritz, Kevin J. Tomaselli, Donald S. Karanewsky, Steven D. Linton, Xu Bai",1996-09-12,2002-07-29,2004-02-17,2004-02-17,https://patents.google.com/patent/US6693096B2/en,https://patentimages.storage.googleapis.com/01/d9/6a/32d83e5a19df35/US06693096-20040217-D00001.png
US-6762045-B2,"Membrane derived caspase-3, compositions comprising the same and methods of use therefor ","Idun Pharmaceuticals, Inc.","Joseph F. Krebs, Anupama Srinivasan, Lawrence C. Fritz, Joe C. Wu",2000-11-20,2002-03-20,2004-07-13,2004-07-13,https://patents.google.com/patent/US6762045B2/en,https://patentimages.storage.googleapis.com/99/74/bf/583b3ed4350087/US06762045-20040713-D00001.png
US-6391575-B1,Methods for detecting membrane derived caspase activity and modulators thereof ,"Idun Pharmaceuticals, Inc.","Lawrence C. Fritz, Joseph F. Krebs",1999-03-05,1999-03-05,2002-05-21,2002-05-21,https://patents.google.com/patent/US6391575B1/en,https://patentimages.storage.googleapis.com/4f/0d/37/f93c9ce59a3f25/US6391575-drawings-page-2.png
US-7183260-B2,C-terminal modified oxamyl dipeptides as inhibitors of the ICE/ced-3 family of cysteine proteases ,"Idun Pharmaceuticals, Inc.","Donald S Karanewsky, Robert J Ternansky, Steven D Linton, Thang Dinh",1998-07-02,2004-08-25,2007-02-27,2007-02-27,https://patents.google.com/patent/US7183260B2/en,
WO-2012080050-A1,Solid forms of a phenoxybenzenesulfonyl compound ,"F. Hoffmann-La Roche Ag, Conatus Pharmaceuticals Inc.","Michael Thomas Brandl, Jeffrey Allen Campbell, Lawrence Emerson Fisher, Alfred Paul Spada",2010-12-14,2011-12-07,2012-06-21,,https://patents.google.com/patent/WO2012080050A1/en,
US-6531467-B2,Inhibition of inflammation using interleukin-1β-converting enzyme (ICE)/CED-3 family inhibitors ,"Idun Pharmaceuticals, Inc.","Lawrence C. Fritz, Kevin J. Tomaselli, Donald S. Karanewsky, Steven D. Linton, Xu Bai, Dominic F. Montisano, David Higgins",1996-09-12,2001-10-16,2003-03-11,2003-03-11,https://patents.google.com/patent/US6531467B2/en,https://patentimages.storage.googleapis.com/d9/8b/ea/ce51845cf5afc1/US06531467-20030311-D00001.png
US-5990137-A,Method of inhibiting NADPH oxidase ,"Idun Pharmaceuticals, Inc.","Robert J. Ternansky, Karen L. Valentino, Donald S. Karanewsky",1996-07-08,1998-06-05,1999-11-23,1999-11-23,https://patents.google.com/patent/US5990137A/en,
US-6544951-B2,C-terminal modified oxamyl dipeptides as inhibitors of the ICE/ced-3 family of cysteine proteases ,"Idun Pharmaceuticals, Inc.","Donald S. Karanewsky, Robert J. Ternansky",1998-07-02,2000-12-19,2003-04-08,2003-04-08,https://patents.google.com/patent/US6544951B2/en,
AU-2007330478-B2,"Crystalline forms of ( 3 S ) -3- [N- (N' - (2-tert-butylphenyl) oxamyl) alaninyl] amino-5- (2 ', 3 ', 5 ', 6 ' -tetrafluorophenoxy) -4-oxopentanoic acid ","Conatus Pharmaceuticals, Inc.","Stuart Dimock, Eric Hagen, Jason Hanko",2006-12-06,2007-12-03,2011-09-08,2011-09-08,https://patents.google.com/patent/AU2007330478B2/en,
US-6790989-B2,Inhibitors of the ICE/ced-3 family of cysteine proteases ,"Idun Pharmaceuticals, Inc.","Robert J. Ternansky, Patricia L. Gladstone, Kevin J. Tomaselli, Bin Chao, Steven D. Linton",2000-01-13,2001-07-18,2004-09-14,2004-09-14,https://patents.google.com/patent/US6790989B2/en,
US-2008207605-A1,Combination therapy for the treatment of liver diseases ,Spada Alfred P,Alfred P. Spada,2007-02-28,2008-02-28,2008-08-28,,https://patents.google.com/patent/US20080207605A1/en,
EP-2144604-B1,Methods for the treatment of chronic viral hepatitis C using RO 113-0830 ,"Conatus Pharmaceuticals, Inc.",Alfred P. Spada,2007-02-28,2008-02-27,2011-09-21,2011-09-21,https://patents.google.com/patent/EP2144604B1/en,
EP-3142649-A1,Treatment of the complications of chronic liver disease with caspase inhibitors ,"Conatus Pharmaceuticals, Inc.",Alfred P. Spada,2014-05-12,2015-05-11,2017-03-22,,https://patents.google.com/patent/EP3142649A1/en,
ES-2369440-T3,Method for the treatment of chronic viral hepatitis type using ro c 113-0830. ,"Conatus Pharmaceuticals, Inc.",Alfred P. Spada,2007-02-28,2008-02-27,2011-11-30,2011-11-30,https://patents.google.com/patent/ES2369440T3/en,
US-2017128519-A1,Caspase inhibitors for the treatment of colorectal cancer ,"Conatus Pharmaceuticals, Inc.","Wilfried Roth, Marie Oliver METZIG",2015-11-05,2016-11-04,2017-05-11,,https://patents.google.com/patent/US20170128519A1/en,https://patentimages.storage.googleapis.com/80/18/ab/017ed9e701ce66/US20170128519A1-20170511-D00001.png
AU-2016381974-A1,Methods of using caspase inhibitors in treatment of liver disease ,Conatus Pharmaceuticals Inc.,Alfred P. Spada,2015-12-31,2016-12-30,2018-07-12,,https://patents.google.com/patent/AU2016381974A1/en,
WO-2017079566-A1,Caspase inhibitors for use in the treatment of liver cancer ,"Conatus Pharmaceuticals, Inc.",Alfred P. Spada,2015-11-05,2016-11-04,2017-05-11,,https://patents.google.com/patent/WO2017079566A1/en,
