search URL:,https://patents.google.com/?assignee=CONCERT+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-2212298-B1,Deuterated etravirine ,Concert Pharmaceuticals Inc.,Craig E. Masse,2007-10-18,2008-10-17,2013-03-27,2013-03-27,https://patents.google.com/patent/EP2212298B1/en,
EP-2148867-B1,Deuterated morpholinyl compounds ,Concert Pharmaceuticals Inc.,"Rose A. Persichetti, Scott L. Harbeson",2007-04-19,2008-04-18,2014-09-10,2014-09-10,https://patents.google.com/patent/EP2148867B1/en,
AU-2008317375-B2,Deuterated darunavir ,"Concert Pharmaceuticals, Inc.",Scott L. Harbeson,2007-10-26,2008-10-24,2013-02-28,2013-02-28,https://patents.google.com/patent/AU2008317375B2/en,
US-7514068-B2,Biphenyl-pyrazolecarboxamide compounds ,Concert Pharmaceuticals Inc.,Roger Tung,2005-09-14,2006-09-14,2009-04-07,2009-04-07,https://patents.google.com/patent/US7514068B2/en,
US-8541436-B2,Morphinan compounds ,Concert Pharmaceuticals Inc.,Roger Tung,2007-05-01,2011-05-31,2013-09-24,2013-09-24,https://patents.google.com/patent/US8541436B2/en,https://patentimages.storage.googleapis.com/51/b6/99/08c14e7158d171/US08541436-20130924-D00001.png
US-8796267-B2,Oxazolidinone derivatives and methods of use ,"Concert Pharmaceuticals, Inc.","Roger Tung, Scott Harbeson",2006-10-23,2008-06-17,2014-08-05,2014-08-05,https://patents.google.com/patent/US8796267B2/en,https://patentimages.storage.googleapis.com/88/c3/bf/61112b6794459a/US08796267-20140805-D00001.png
US-10022370-B2,Morphinan compounds ,"Concert Pharmaceuticals, Inc.","Philip B. Graham, I. Robert Silverman",2008-09-19,2017-04-14,2018-07-17,2018-07-17,https://patents.google.com/patent/US10022370B2/en,https://patentimages.storage.googleapis.com/d3/8f/ca/36f200ddcf7b99/US10022370-20180717-D00001.png
US-2009137457-A1,Pyrimidinedione derivatives ,"Concert Pharmaceuticals, Inc.",Scott L. Harbeson,2007-10-02,2008-10-02,2009-05-28,,https://patents.google.com/patent/US20090137457A1/en,
US-2009131485-A1,Deuterated pirfenidone ,"Concert Pharmaceuticals, Inc.","Julie F. Liu, Yong Dong",2007-09-10,2008-09-10,2009-05-21,,https://patents.google.com/patent/US20090131485A1/en,https://patentimages.storage.googleapis.com/d5/16/9a/a01916e668da8b/US20090131485A1-20090521-D00001.png
US-2008033011-A1,"Novel benzo[d][1,3]-dioxol derivatives ",Concert Pharmaceuticals Inc.,Roger Tung,2005-07-29,2007-07-10,2008-02-07,,https://patents.google.com/patent/US20080033011A1/en,https://patentimages.storage.googleapis.com/15/e6/0d/18dc6aeafb2487/US20080033011A1-20080207-D00000.png
