search URL:,https://patents.google.com/?assignee=CORCEPT+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8557839-B2,Fused ring azadecalin glucocorticoid receptor modulators ,"Corcept Therapeutics, Inc.","Robin D. Clark, Nicholas C. Ray, Paul M. Blaney, Christopher A. Hurley, Karen Williams",2004-03-09,2012-05-21,2013-10-15,2013-10-15,https://patents.google.com/patent/US8557839B2/en,
US-2004029849-A1,Methods for increasing the therapeutic response to electroconvulsive therapy ,"Corcept Therapeutics, Inc.","Alan Schatzberg, Joseph Belanoff",2002-04-29,2003-04-08,2004-02-12,,https://patents.google.com/patent/US20040029849A1/en,
CA-2504751-C,Methods for treating gastroesophageal reflux disease ,"Corcept Therapeutics, Inc., Joseph K. Belanoff",Joseph K. Belanoff,2002-11-05,2003-11-05,2013-02-05,2013-02-05,https://patents.google.com/patent/CA2504751C/en,
EP-1778236-B1,Modified pyrimidine glucocorticoid receptor modulators ,"Corcept Therapeutics, Inc.","David A. Clark, Robin D. Clark, Peter H. Crackett, Gwen Hickin, Nicholas C. Ray, Karen Williams",2004-07-02,2005-06-29,2010-07-14,2010-07-14,https://patents.google.com/patent/EP1778236B1/en,
AU-2002255845-B2,Methods for treating stress disorders using glucocorticoid receptor-specific antagonists ,"Corcept Therapeutics, Inc.",Joseph K. Belanoff,2001-03-23,2002-03-19,2006-11-23,2006-11-23,https://patents.google.com/patent/AU2002255845B2/en,
AU-778090-B2,Methods for treating mild cognitive impairment ,"Corcept Therapeutics, Inc.","Joseph K. Belanoff, Alan F. Schatzberg",1999-11-23,2000-11-21,2004-11-18,2004-11-18,https://patents.google.com/patent/AU778090B2/en,
AU-2002255845-A1,Methods for treating stress disorders using glucocorticoid receptor-specific antagonists ,"Corcept Therapeutics, Inc.",Joseph K. Belanoff,2001-03-23,2002-03-19,2003-03-27,,https://patents.google.com/patent/AU2002255845A1/en,
AU-2005206497-B2,Azadecalin glucocorticoid receptor modulators ,"Corcept Therapeutics, Inc.","Paul Blaney, David Clark, Robin D. Clark, Hazel Hunt, Christopher Hurley, Nicholas C. Ray, Karen Williams",2004-01-09,2005-01-10,2011-02-10,2011-02-10,https://patents.google.com/patent/AU2005206497B2/en,
US-9273047-B2,Heteroaryl-ketone fused azadecalin glucocorticoid receptor modulators ,"Corcept Therapeutics, Inc.","Hazel Hunt, Tony Johnson, Nicholas Ray, Iain Walters",2012-05-25,2014-09-16,2016-03-01,2016-03-01,https://patents.google.com/patent/US9273047B2/en,https://patentimages.storage.googleapis.com/89/2b/5b/e3c369f33b4bc5/US09273047-20160301-D00001.png
ES-2312598-T3,Method of preventing weight gain induced by antipsychotics. ,"Corcept Therapeutics, Inc.","Joseph K. Belanoff, Alan F. Schatzberg",2001-07-23,2002-07-22,2009-03-01,2009-03-01,https://patents.google.com/patent/ES2312598T3/en,
US-8476254-B2,Methods for treating psychosis associated with interferson-α therapy ,"Corcept Therapeutics, Inc.",Joseph K. Belanoff,2002-07-02,2003-07-02,2013-07-02,2013-07-02,https://patents.google.com/patent/US8476254B2/en,
US-2010179115-A1,Use of a glucocorticoid receptor ii antagonist to treat depression in patients taking il-2 ,"Corcept Therapeutics, Inc.",Joseph Belanoff,2006-02-28,2007-05-02,2010-07-15,,https://patents.google.com/patent/US20100179115A1/en,
US-8598154-B2,Pyridyl-amine fused azadecalin modulators ,"Corcept Therapeutics, Inc.","Robin Clark, Tony Johnson, Hazel Hunt, Ian McDonald",2010-08-27,2011-08-26,2013-12-03,2013-12-03,https://patents.google.com/patent/US8598154B2/en,https://patentimages.storage.googleapis.com/40/79/50/b9252d2d2a888d/US08598154-20131203-D00001.png
CA-2459033-C,Methods for inhibiting cognitive deterioration in adults with down's syndrome ,"Corcept Therapeutics, Inc., Joseph K. Belanoff",Joseph K. Belanoff,2001-08-31,2002-08-27,2012-05-22,2012-05-22,https://patents.google.com/patent/CA2459033C/en,
AU-2013266110-B2,Heteroaryl-ketone fused azadecalin glucocorticoid receptor modulators ,"Corcept Therapeutics, Inc.","Hazel Hunt, Tony Johnson, Nicholas Ray, Iain Walters",2012-05-25,2013-05-24,2017-04-20,2017-04-20,https://patents.google.com/patent/AU2013266110B2/en,
US-10047082-B2,Octahydro fused azadecalin glucocorticoid receptor modulators ,"Corcept Therapeutics, Inc.","Hazel Hunt, Iain Walters, Benoit Gourdet",2013-11-25,2014-11-21,2018-08-14,2018-08-14,https://patents.google.com/patent/US10047082B2/en,https://patentimages.storage.googleapis.com/5d/6f/90/4532490fffdadf/US10047082-20180814-D00001.png
US-8461172-B2,Solid forms and process for preparing ,"Corcept Therapeutics, Inc.","Robin Clark, Doug Fry",2009-05-12,2010-05-11,2013-06-11,2013-06-11,https://patents.google.com/patent/US8461172B2/en,https://patentimages.storage.googleapis.com/db/89/85/45450f13106c8c/US08461172-20130611-D00001.png
EP-2685827-B1,Pyrimidine cyclohexyl glucocorticoid receptor modulators ,"Corcept Therapeutics, Inc.","Robin Clark, George Hynd, Nicholas Ray, Mohammad SAJAD",2011-03-18,2012-03-16,2016-02-03,2016-02-03,https://patents.google.com/patent/EP2685827B1/en,
US-9996672-B2,Systems and methods of treatment using intervention and tasking determination ,"Corcept Therapeutics, Inc.","Steven Lo, David Penake, John Lyons, Kate Tully, Katherine Waidner",2013-09-20,2014-09-22,2018-06-12,2018-06-12,https://patents.google.com/patent/US9996672B2/en,https://patentimages.storage.googleapis.com/1a/50/0d/de5512ead2ed1c/US09996672-20180612-D00000.png
US-2013131030-A1,Optimizing mifepristone absorption ,"Corcept Therapeutics, Inc.","Joe Belanoff, Robert Roe, Caroline Loewy",2011-11-18,2012-11-15,2013-05-23,,https://patents.google.com/patent/US20130131030A1/en,
US-8829024-B2,Combination steroid and glucocorticoid receptor antagonist therapy ,"Corcept Therapeutics, Inc.","Joe Belanoff, Peter Lockey",2011-01-07,2012-01-06,2014-09-09,2014-09-09,https://patents.google.com/patent/US8829024B2/en,https://patentimages.storage.googleapis.com/d2/91/82/74b840fa3356b1/US08829024-20140909-D00001.png
CA-2532594-C,Antiglucocorticoids for the treatment of catatonia ,"Corcept Therapeutics, Inc., Joseph K. Belanoff",Joseph K. Belanoff,2003-07-23,2004-07-23,2012-10-02,2012-10-02,https://patents.google.com/patent/CA2532594C/en,
AU-2009267016-B2,Use of mifepristone for the treatment of Amyotrophic Lateral Sclerosis ,"Corcept Therapeutics, Inc.",Joseph Belanoff,2008-07-01,2009-06-30,2014-07-03,2014-07-03,https://patents.google.com/patent/AU2009267016B2/en,
AU-2004208842-B2,Antiglucocorticoids for the treatment of postpartum psychosis ,"Corcept Therapeutics, Inc.",Joseph K. Belanoff,2003-02-04,2004-02-04,2009-05-28,2009-05-28,https://patents.google.com/patent/AU2004208842B2/en,
US-2013225633-A1,Phenyl heterocycloalkyl glucocorticoid receptor modulators ,"Corcept Therapeutics, Inc.","Hazel Hunt, Tony Johnson, Nicholas C. Ray",2012-02-27,2013-02-26,2013-08-29,,https://patents.google.com/patent/US20130225633A1/en,https://patentimages.storage.googleapis.com/bb/08/bd/d9002525ac04b4/US20130225633A1-20130829-D00000.png
CA-2532415-C,Antiglucocorticoid therapy for the prevention of neurological damage in premature infants ,"Corcept Therapeutics, Inc., Joseph K. Belanoff",Joseph K. Belanoff,2003-07-23,2004-07-22,2012-10-02,2012-10-02,https://patents.google.com/patent/CA2532415C/en,
US-10213414-B2,Glucocorticoid receptor modulators to treat pancreatic cancer ,"Corcept Therapeutics, Inc.","Hazel Hunt, Thaddeus S. Block",2016-09-09,2018-10-03,2019-02-26,2019-02-26,https://patents.google.com/patent/US10213414B2/en,https://patentimages.storage.googleapis.com/de/d2/3f/5e16161939aaaa/US10213414-20190226-D00001.png
US-8921348-B2,Optimizing mifepristone levels in plasma serum of patients suffering from mental disorders treatable with glucocorticoid receptor antagonists ,"Corcept Therapeutics, Inc.",Joseph K. Belanoff,2007-08-30,2013-10-29,2014-12-30,2014-12-30,https://patents.google.com/patent/US8921348B2/en,https://patentimages.storage.googleapis.com/1d/55/ab/bdbfe4512c46e9/US08921348-20141230-D00000.png
US-10166243-B1,Optimizing mifepristone levels for cushing'S patients ,"Corcept Therapeutics, Inc.","Joseph Belanoff, Coleman Gross",2015-04-21,2018-09-28,2019-01-01,2019-01-01,https://patents.google.com/patent/US10166243B1/en,
US-7163934-B2,Methods for treating delirium glucocorticoid receptor-specific antagonists ,"Corcept Therapeutics, Inc.",Joseph K. Belanoff,2001-05-04,2002-05-06,2007-01-16,2007-01-16,https://patents.google.com/patent/US7163934B2/en,
CA-2446506-C,Methods for treating delirium using glucocorticoid receptor-specific antagonists ,"Corcept Therapeutics, Inc., Joseph K. Belanoff",Joseph K. Belanoff,2001-05-04,2002-05-06,2012-04-10,2012-04-10,https://patents.google.com/patent/CA2446506C/en,
CA-2649894-A1,The use of a glucocorticoid receptor ii antagonist to treat depression in patients taking il-2 ,"Corcept Therapeutics, Inc., Joseph K. Belanoff",Joseph K. Belanoff,2006-05-02,2007-05-02,2007-11-15,,https://patents.google.com/patent/CA2649894A1/en,
US-10195214-B2,Concomitant administration of glucocorticoid receptor modulators and CYP3A inhibitors ,"Corcept Therapeutics, Inc.",Joseph K. Belanoff,2017-03-01,2017-06-19,2019-02-05,2019-02-05,https://patents.google.com/patent/US10195214B2/en,https://patentimages.storage.googleapis.com/a3/24/6a/45e4a423cd879c/US10195214-20190205-D00001.png
AU-2015258807-B2,Systems and methods of managing treatment of a chronic condition by symptom tracking ,"Corcept Therapeutics, Inc.","Steven Lo, John Lyons, David PENAKE, Lisa SAGINIAN",2014-05-16,2015-05-18,2018-11-29,2018-11-29,https://patents.google.com/patent/AU2015258807B2/en,
US-9829495-B2,Method for differentially diagnosing ACTH-dependent Cushing's syndrome ,"Corcept Therapeutics, Inc.",Andreas G. Moraitis,2015-08-13,2016-08-12,2017-11-28,2017-11-28,https://patents.google.com/patent/US9829495B2/en,
US-2018100179-A1,Methods for treating and diagnosing cushing's syndrome ,"Corcept Therapeutics, Inc.","Joseph K. Belanoff, Hazel Hunt, John Francis Unitt, Andreas G. Moraitis",2015-05-18,2017-12-12,2018-04-12,,https://patents.google.com/patent/US20180100179A1/en,https://patentimages.storage.googleapis.com/99/65/2b/cbcef0bf394d1f/US20180100179A1-20180412-D00001.png
US-2019083486-A1,The use of glucocorticoid receptor modulators to potentiate checkpoint inhibitors ,Corcept Therapeutics Incorporated,Hazel Hunt,2016-03-01,2017-02-28,2019-03-21,,https://patents.google.com/patent/US20190083486A1/en,https://patentimages.storage.googleapis.com/bf/86/cf/78bc0df6ee5ddd/US20190083486A1-20190321-D00001.png
US-2011294771-A1,Treatment of muscular dystrophy ,"Corcept Therapeutics, Inc.",Joseph Belanoff,2010-05-26,2011-05-26,2011-12-01,,https://patents.google.com/patent/US20110294771A1/en,
AU-2006233254-B2,Methods for treating delirium using glucocorticoid receptor-specific antagonists ,"Corcept Therapeutics, Inc.",Joseph Belanoff,2001-05-04,2006-10-30,2007-08-02,2007-08-02,https://patents.google.com/patent/AU2006233254B2/en,
US-10151763-B2,Treatment and differential diagnosis of Cushing's disease and ectopic Cushing's syndrome ,"Corcept Therapeutics, Inc.",Andreas G. Moraitis,2016-01-19,2017-06-19,2018-12-11,2018-12-11,https://patents.google.com/patent/US10151763B2/en,https://patentimages.storage.googleapis.com/da/eb/8d/577e6e80193885/US10151763-20181211-D00001.png
US-10238659-B2,Fatty liver disease treatment using glucocorticoid and mineralocorticoid receptor antagonists ,"Corcept Therapeutics, Inc.","Joseph K. Belanoff, Hazel Hunt, Onno C. Meijer, José van den Heuvel",2014-10-15,2015-10-14,2019-03-26,2019-03-26,https://patents.google.com/patent/US10238659B2/en,https://patentimages.storage.googleapis.com/0f/33/74/fdbecffa62900f/US10238659-20190326-D00001.png
US-10231983-B1,Use of ACTH in assessment and prophylactic treatment of hypokalemia associated with glucocorticoid receptor modulator treatment of Cushing's syndrome patients ,"Corcept Therapeutics, Inc.",Andreas Moraitis,2018-08-22,2018-08-22,2019-03-19,2019-03-19,https://patents.google.com/patent/US10231983B1/en,https://patentimages.storage.googleapis.com/a2/6c/ed/dc59b987df4c08/US10231983-20190319-D00001.png
ES-2356729-T3,Using antogonistas specific glucocorticoid receptor for the treatment of delirium. ,"Corcept Therapeutics, Inc.",Joseph K. Belanoff,2001-05-04,2002-05-06,2011-04-12,2011-04-12,https://patents.google.com/patent/ES2356729T3/en,
US-2018125856-A1,Use of glucocorticoid receptor antagonist and somatostatin analogues to treat acth-secreting tumors ,"Corcept Therapeutics, Inc.","Andreas G. Moraitis, Joseph K. Belanoff",2015-03-02,2017-06-19,2018-05-10,,https://patents.google.com/patent/US20180125856A1/en,https://patentimages.storage.googleapis.com/67/e0/34/e3dffe710416ea/US20180125856A1-20180510-D00001.png
US-2019076424-A1,Glucocorticoid receptor modulators to treat cervical cancer ,"Corcept Therapeutics, Inc.",Hazel Hunt,2017-03-31,2018-11-09,2019-03-14,,https://patents.google.com/patent/US20190076424A1/en,https://patentimages.storage.googleapis.com/43/50/d6/66c38e58ec2b79/US20190076424A1-20190314-D00001.png
US-2006052354-A1,Methods for treating migraine ,"Corcept Therapeutics, Inc.",Joseph Belanoff,2002-11-05,2003-11-05,2006-03-09,,https://patents.google.com/patent/US20060052354A1/en,
WO-2015077537-A1,Heteroaryl-ether fused azadecalin glucocorticoid receptor modulators ,"Corcept Therapeutics, Inc.","Hazel Hunt, Iain Walters, Nicholas Ray",2013-11-25,2014-11-21,2015-05-28,,https://patents.google.com/patent/WO2015077537A1/en,
US-2018256604-A1,Use of glucocorticoid receptor modulators in the treatment of catecholamine-secreting tumors ,"Corcept Therapeutics, Inc.",Andreas Moraitis,2017-03-09,2018-03-08,2018-09-13,,https://patents.google.com/patent/US20180256604A1/en,
CN-1965840-A,Method for preventing weight increase caused by antipsychotic ,科塞普特治疗公司,"约琵夫·K·贝拉诺夫, 艾伦·F·斯彻特贝格",2005-11-18,2005-11-18,2007-05-23,,https://patents.google.com/patent/CN1965840A/en,
WO-2018236749-A2,Methods of treating neuroepithelial tumors using selective glucocorticoid receptor modulators ,"Corcept Therapeutics, Inc.",Andreas G. MORAITIS,2017-06-20,2018-06-18,2018-12-27,,https://patents.google.com/patent/WO2018236749A2/en,
CO-7190237-A2,Modulators of glucocorticoid receptor fused heteroaryl ketone azadecalin ,Corcept Therapeutics Inc,"Hazel Hunt, Tony Johnson, Nicholas Ray, Iain Walters",2012-05-25,2014-11-21,2015-02-19,,https://patents.google.com/patent/CO7190237A2/en,
WO-2018209142-A2,Octahydro azadecalin formulations ,"Corcept Therapeutics, Inc.","Ian Scott, Wei Tian, Jenifer Mains, Graeme Johnston",2017-05-10,2018-05-10,2018-11-15,,https://patents.google.com/patent/WO2018209142A2/en,
ZA-200408663-B,"Methods for increasing the therapeutic response toelectroconvulsie therapy (""ECT""). ",Corcept Therapeutics Inc,"Alan F Schatzberg, Joseph K Belanoff",2002-04-29,2004-10-26,2006-02-22,,https://patents.google.com/patent/ZA200408663B/en,
WO-2016160969-A1,Use of glucocorticoid receptor antagonists in combination with glucocorticoids to treat adrenal insufficiency ,"Corcept Therapeutics, Inc.","Andreas G. MORAITIS, Pejman COHAN, Joseph K. Belanoff",2015-03-30,2016-03-30,2016-10-06,,https://patents.google.com/patent/WO2016160969A1/en,
