search URL:,https://patents.google.com/?assignee=CORGENTECH+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-6077256-A,Delivery of a composition to the lung ,Mann; Michael J.,Michael J. Mann,1998-10-06,1998-10-06,2000-06-20,2000-06-20,https://patents.google.com/patent/US6077256A/en,https://patentimages.storage.googleapis.com/0c/04/91/5cc978658014ac/US6077256-drawings-page-2.png
US-2004191779-A1,Statistical analysis of regulatory factor binding sites of differentially expressed genes ,"Jie Zhang, Hsiu-Ying Wei, Mcevoy Leslie Margaret","Jie Zhang, Hsiu-Ying Wei, Leslie McEvoy",2003-03-28,2003-03-28,2004-09-30,,https://patents.google.com/patent/US20040191779A1/en,https://patentimages.storage.googleapis.com/98/31/e4/95486fdb024b1d/US20040191779A1-20040930-D00001.png
US-2006069055-A1,Delivery of polynucleotides ,"Maya Dajee, Rolf Ehrhardt, Hans Hofland, Mcevoy Leslie, Muchamuel Tony M, Schryver Brian B","Maya Dajee, Rolf Ehrhardt, Hans Hofland, Leslie McEvoy, Tony Muchamuel, Brian Schryver",2004-09-21,2005-09-21,2006-03-30,,https://patents.google.com/patent/US20060069055A1/en,https://patentimages.storage.googleapis.com/7a/7a/a2/3d6dae313fe84c/US20060069055A1-20060330-D00001.png
US-7378509-B2,NF-kappaB oligonucleotide decoy molecules ,"Anesiva, Inc.","Leslie M. McEvoy, Christi Parham, Jie Zhang, Rolf Ehrhardt",2003-12-02,2004-12-02,2008-05-27,2008-05-27,https://patents.google.com/patent/US7378509B2/en,https://patentimages.storage.googleapis.com/71/70/e1/3609ac4d811ed2/US07378509-20080527-D00011.png
US-2005215503-A1,HIF oligonucleotide decoy molecules ,"Mcevoy Leslie M, Lyn Powell, Jie Zhang, Karen Morris","Leslie McEvoy, Lyn Powell, Jie Zhang, Karen Morris",2003-12-03,2004-12-02,2005-09-29,,https://patents.google.com/patent/US20050215503A1/en,https://patentimages.storage.googleapis.com/aa/3e/50/8f26c377c8f29f/US20050215503A1-20050929-D00001.png
CA-2338032-C,Delivery of a composition to the liver by utilizing the portal vein ,"Michael J. Mann, Corgentech, Inc.",Michael J. Mann,1998-07-17,1999-07-16,2009-10-06,2009-10-06,https://patents.google.com/patent/CA2338032C/en,
US-2004191781-A1,Genomic profiling of regulatory factor binding sites ,"Jie Zhang, Hsiu-Ying Wei, Mcevoy Leslie Margaret","Jie Zhang, Hsiu-Ying Wei, Leslie McEvoy",2003-03-28,2003-03-28,2004-09-30,,https://patents.google.com/patent/US20040191781A1/en,https://patentimages.storage.googleapis.com/97/c3/ee/36a82c57fe6003/US20040191781A1-20040930-D00001.png
JP-2005160464-A,NF-κB OLIGONUCLEOTIDE DECOY MOLECULE ,"Corgentech Inc, コージェンテック，  インコーポレイテッドＣｏｒｇｅｎｔｅｃｈ，  Ｉｎｃ．","Leslie M Mcevoy, Christi Parham, Jie Zhang, パーハム クリスティ, ジエ ザン，, マーガレット  マクヴォイ レズリー",2003-12-02,2004-02-03,2005-06-23,,https://patents.google.com/patent/JP2005160464A/en,https://patentimages.storage.googleapis.com/b4/75/53/d5185881cde6e0/2005160464-6.png
US-2010234470-A1,Instillation Administration of Capsaicinoids for the Treatment of Pain ,"Anesiva, Inc.","Lakshmi Sangameswaran, Susan Kramer",2008-09-12,2009-09-14,2010-09-16,,https://patents.google.com/patent/US20100234470A1/en,https://patentimages.storage.googleapis.com/16/44/60/fbe03027d793b8/US20100234470A1-20100916-D00000.png
US-6395550-B1,Method and apparatus for tissue treatment ,"Corgentech, Inc.","Michael J. Mann, Paul Cherkas",2000-01-10,2000-01-10,2002-05-28,2002-05-28,https://patents.google.com/patent/US6395550B1/en,https://patentimages.storage.googleapis.com/8f/3d/de/2d70586c84cbdf/US06395550-20020528-D00001.png
US-2005164240-A1,E2F oligonucleotide decoy molecules ,"Corgentech, Inc.","Christi Parham, Leslie McEvoy, Jie Zhang, Xiaoping Rao",2003-10-06,2004-10-06,2005-07-28,,https://patents.google.com/patent/US20050164240A1/en,https://patentimages.storage.googleapis.com/a7/71/ac/1f8dc3d6c15829/US20050164240A1-20050728-D00001.png
WO-2008088301-A3,Inhibitors of dnaa activity ,"Corgentech Inc, Leslie M Mcevoy",Leslie M Mcevoy,2005-04-26,2006-04-26,2009-04-23,,https://patents.google.com/patent/WO2008088301A3/en,
