search URL:,https://patents.google.com/?assignee=CORIUM+INTERNATIONAL+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CA-2376286-C,Intracutaneous edged microneedle structure ,"The Procter & Gamble Company, Vladimir Garstein, Dragan Danilo Nebrigic, Grover David Owens, Faiz F. Sherman, Vadim Vladimirovich Yuzhakov, Francisco Arias, Corium International Inc.","Vladimir Garstein, Dragan Danilo Nebrigic, Grover David Owens, Faiz F. Sherman, Vadim Vladimirovich Yuzhakov, Francisco Arias",1999-06-09,2000-06-07,2008-09-16,2008-09-16,https://patents.google.com/patent/CA2376286C/en,
CA-2445086-C,Hydrogel compositions ,"A.V. Topchiev Institute Of Petrochemical Synthesis, Gary W. Cleary, Shoreh Parandoosh, Mikhail M. Feldstein, Anatoly E. Chalykh, Nicolai A. Plate, Valery G. Kulichikhin, Corium International","Gary W. Cleary, Shoreh Parandoosh, Mikhail M. Feldstein, Anatoly E. Chalykh, Nicolai A. Plate, Valery G. Kulichikhin",2001-05-01,2002-05-01,2008-04-08,2008-04-08,https://patents.google.com/patent/CA2445086C/en,
CA-2376283-C,Method of manufacturing an intracutaneous microneedle array ,"Faiz F. Sherman, Vadim Vladimirovich Yuzhakov, Vladimir Gartstein, Grover David Owens, The Procter & Gamble Company, Corium International Inc.","Faiz F. Sherman, Vadim Vladimirovich Yuzhakov, Vladimir Gartstein, Grover David Owens",1999-06-09,2000-06-07,2007-08-28,2007-08-28,https://patents.google.com/patent/CA2376283C/en,
CA-2447302-C,"Two-phase, water-absorbent bioadhesive composition ","A.V. Topchiev Institute Of Petrochemical Synthesis, Mikhail M. Feldstein, Gary W. Cleary, Danir F. Bairamov, Valery G. Kulichikhin, Corium International","Mikhail M. Feldstein, Gary W. Cleary, Danir F. Bairamov, Valery G. Kulichikhin",2001-05-01,2002-05-01,2008-07-29,2008-07-29,https://patents.google.com/patent/CA2447302C/en,
CA-2446637-C,Portable interstitial fluid monitoring system ,"The Procter & Gamble Company, Faiz Feisal Sherman, Francisco Arias, Vladimir Gartstein, Grover David Owens, Milan Marcel Jevtitch, Chow-Chi Huang, Corium International Inc.","Faiz Feisal Sherman, Francisco Arias, Vladimir Gartstein, Grover David Owens, Milan Marcel Jevtitch, Chow-Chi Huang",2001-05-11,2002-05-09,2012-01-03,2012-01-03,https://patents.google.com/patent/CA2446637C/en,
CA-2436207-C,Method of manufacturing microneedle structures using soft lithography and photolithography ,"The Procter & Gamble Company, Francisco Arias, Faiz Feisal Sherman, Grover David Owens, Corium International Inc.","Francisco Arias, Faiz Feisal Sherman, Grover David Owens",2001-03-14,2002-03-13,2008-12-02,2008-12-02,https://patents.google.com/patent/CA2436207C/en,
EP-1326674-B8,Microstructures for delivering a composition cutaneously to skin ,"Corium International, Inc.","Vladimir Gartstein, Faiz Feisal Sherman",2000-10-16,2001-10-15,2005-11-23,2005-11-23,https://patents.google.com/patent/EP1326674B8/en,
CA-2376285-C,Intracutaneous microneedle array apparatus ,"Vadim Vladimirovich Yuzhakov, Faiz F. Sherman, Grover David Owens, Vladimir Gartstein, The Procter & Gamble Company, Corium International Inc.","Vadim Vladimirovich Yuzhakov, Faiz F. Sherman, Grover David Owens, Vladimir Gartstein",1999-06-09,2000-06-07,2006-05-09,2006-05-09,https://patents.google.com/patent/CA2376285C/en,
EP-1299494-B1,Preparation of hydrophilic pressure sensitive adhesives having optimized adhesive properties ,"A.V. Topchiev Institute of Petrochemical Synthesis, Corium International, Inc.","Mikhail M. A.V. Topchiev Institute FELDSTEIN, Nicolai A. A.V. Topchiev Institute PLATE, Anatoly E. A.V. Topchiev Institute CHALYKH, Gary W. Cleary",2000-07-07,2001-07-06,2010-08-25,2010-08-25,https://patents.google.com/patent/EP1299494B1/en,https://patentimages.storage.googleapis.com/a4/14/3a/fa176fe0c40c47/imgf0001.png
US-7967867-B2,Expandable interbody fusion device ,"Spine Wave, Inc.","Peter Barreiro, Dennis Ty, Michael E. Landry",2007-05-31,2007-05-31,2011-06-28,2011-06-28,https://patents.google.com/patent/US7967867B2/en,https://patentimages.storage.googleapis.com/95/e1/13/287e4717ffeb1c/US07967867-20110628-D00000.png
